angela,aŋeːlaː
reinhard,ʁainhaɐt
baumeister,bauhmaistɐ
björn,pjøɐn
lindemann,lindeːman
birol,biːʀol
ünel,yːnel
lothar,lotaɐ
matthäus,mathoys
hermann,heɐman
haken,haːkən
breitner,pʁaitnɐ
rudi,ʁuːdiː
völler,følɐ
oliver,olifɐ
riedel,ʁiːdel
hesse,hesə
egon,eɡon
krenz,kʁənt͡s
gerlach,ɡeɐlax
heinrich,hainʁix
lübke,lypkə
gustav,ɡustaf
heinemann,haiəneːman
theodor,teoːdoɐ
heuss,hoys
herta,heɐtaː
müller,mylɐ
friedrich,fʁiːtʁix
erich,eʀix
honecker,hoːnekɐ
eucken,oyhkən
sidney,zitnai
sam,zam
uwe,uvə
seeler,zeːlɐ
koray,koːʀai
jochen,joːxən
rindt,ʁint
kirch,kiɐx
hindenburg,hindənbuɐk
edmund,etmunt
stoiber,ʃtoibɐ
ottmar,otmaɐ
hitzfeld,hit͡sfelt
maria,maːʀia
remarque,ʁeːmaʁkvə
pierre,piːɐʁə
littbarski,litbaɐskiː
rahn,ʁaːn
frank,fʁaŋk
ordenewitz,oɐdeːnevit͡s
magnus,maknus
enzensberger,ənt͡sənsbeɐɡɐ
claus,klaus
luthe,lutə
effenberg,efənbeɐk
feodor,feoːdoɐ
lynen,lynən
otto,otoː
fischer,fiʃɐ
mario,maːʀioː
gómez,ɡómet͡s
beckenbauer,beːkənbauɐ
hackl,hakl
sandra,zantʁaː
bullock,bulok
josef,joːsef
strauß,ʃtʁaus
seehofer,zeːhofɐ
otfried,otfʁiːt
preußler,pʁoyslɐ
nico,niːkoː
ottl,otl
rubens,ʁuːbəns
ronald,ʁoːnalt
pofalla,poːfalaː
raphael,ʁafael
schäfer,ʃefɐ
michael,miːxael
glos,klos
sofian,zoːfian
chahed,xaːhet
tilo,tieloː
gutzeit,ɡuːt͡sait
staudinger,ʃtauhdiŋɐ
alfred,alfʁet
schwarzmann,ʃvaɐt͡sman
tim,tim
hoogland,hoːklant
collatz,kolat͡s
löw,løv
mies,miːs
van,fan
der,dɐ
rohe,ʁoːə
bernard,beɐnaɐt
katz,kat͡s
laura,lauhʀaː
sebastian,zeːbastian
vettel,fetel
schmitt,ʃmit
wolfgang,volfɡaŋk
overath,ofeːʀat
günther,ɡyntɐ
beckstein,bekstain
erik,eʀik
zabel,t͡saːbel
timo,tiemoː
gebhart,ɡefaɐt
schweitzer,ʃvait͡sɐ
adrian,atʁian
sutil,zuːtil
meyer,maiɐ
harald,haːʀalt
schmid,ʃmit
elisabeth,eliːsaːbet
charlotte,xaɐlotə
pfalz,p͡falt͡s
böll,bøl
grass,kʁas
heino,haiənoː
raab,ʁaːp
polanski,poːlanskiː
adolf,adolf
butenandt,buːteːnant
weber,vebɐ
burkert,buɐkeɐt
kaas,kaːs
hempel,hempel
curt,kuɐt
backeberg,baːkeːbeɐk
noth,not
adil,adil
chihi,xiːi
henry,hənʁy
koster,kostɐ
peer,peɐ
steinbrück,ʃtainpʁyk
adalbert,adalbeɐt
preußen,pʁoysən
eichinger,aiexiŋɐ
siodmak,ziotmak
jaeger,jaeɡɐ
nicolas,niːkoːlas
höfler,høflɐ
ehrler,eːɐlɐ
zagrosek,t͡sakʁoːsek
stöck,ʃtøk
blossfeldt,plosfelt
reiner,ʁainɐ
knizia,kniːt͡siaː
valerius,faːleːʀius
cordus,koɐdus
weiß,vais
hilde,hildə
schrader,ʃʁadɐ
christina,xʁistiənaː
obergföll,obeɐkføl
philipp,fiːlip
lahm,laːm
linda,lindaː
stahl,ʃtaːl
gerd,ɡeɐt
leonid,leoːnit
kreutzer,kʁoyt͡sɐ
herbig,heɐbik
hengel,hənɡel
spiegel,ʃpiːɡel
frenkel,fʁənkel
hubert,huːbeɐt
hahne,haːnə
hein,hain
mayr,maiʁ
betty,bety
heidler,haitlɐ
barth,baɐt
rita,ʁiːtaː
wilden,vildən
markus,maɐkus
söder,zødɐ
schneider,ʃnaidɐ
linde,lində
dorothea,doːʀoteaː
brandenburgkulmbach,pʁandənbuɐkkulmbax
agnesmaria,aknesmaːʀia
andechsmeranien,andeksmeːʀaːniːn
heinz,haint͡s
keßler,keslɐ
rosa,ʁoːsaː
luxemburg,luksembuɐk
agnes,aknes
pockels,poːkels
margot,maɐɡot
edith,edit
frankholländer,fʁaŋkholendɐ
lützow,lyːt͡sov
vietoris,fiːtoːʀis
lubitsch,luːbit͡ʃ
wowereit,voːveːʀait
thüringen,tyːʀiŋən
ralf,ʁalf
bartels,baɐtels
welter,veltɐ
hellmuth,helmut
nikolaus,niːkoːlaus
oldenburg,oldənbuɐk
sabine,zaːbinə
busch,buʃ
eicher,aixɐ
rüdiger,ʁyːdiçɐ
safranski,zafʁanskiː
tommy,tomy
haas,haːs
knispel,knispel
radbruch,ʁadpʁux
hannelore,haneːloʀə
nadine,naːdinə
kleinert,klaiəneɐt
northeim,noɐtaim
herbert,heɐbeɐt
eulenberg,oyhlənbeɐk
böhm,bøːm
rudolph,ʁuːdolf
lorenz,loːʀənt͡s
maleuda,maːloyhdaː
klopfer,klop͡fɐ
scheidel,ʃaiedel
danne,danə
maro,maːʀoː
engel,ənɡel
hamacher,haːmaxɐ
gudrun,ɡutʁun
wagner,vaknɐ
johann,joːhan
wilhelm,vilhelm
hanns,hans
zischler,t͡siʃlɐ
lammerding,lameɐdiŋk
basilius,baːsiːlius
besler,beslɐ
tatjana,tatjaːna
patitz,paːtit͡s
anton,anton
ulrich,ulʁix
ellen,elən
unwerth,unveɐt
gisela,ɡiːseːlaː
birkemeyer,biɐkeːmaiɐ
glockshuber,klokshubɐ
urban,uɐban
hettich,hetix
bartholomäus,baɐtoːlomoys
ringwaldt,ʁiŋkvalt
maximilian,maksiːmilian
thurn,tuɐn
und,unt
taxis,taksis
schumacher,ʃuːmaxɐ
seizinger,zaiet͡siŋɐ
weill,vail
danny,dany
latza,laːt͡sa
barkmann,baɐkman
heckmann,hekman
gröttrup,kʁøtʁup
justus,justus
möser,møsɐ
salomon,zaːloːmon
karoli,kaːʀoːliː
hannah,hanaː
herzsprung,heɐt͡sspʁuŋk
isau,iːsauh
sami,zaːmiː
khedira,kheːdiːʀaː
gershon,ɡeɐshon
kingsley,kiŋslai
worringer,voɐʁiŋɐ
obstfelder,obstfeldɐ
erwin,eɐvin
schrödinger,ʃʁøːdiŋɐ
fieseler,fiːselɐ
rühl,ʁyːl
ampler,amplɐ
hohlbein,hoːlbain
jaki,jaːkiː
liebezeit,liːbeːt͡sait
marschall,maɐʃal
jakob,jaːkop
sporrenberg,ʃpoɐʁənbeɐk
dohnányi,doːnányiː
stein,ʃtain
bodewig,boːdeːvik
joël,joël
engelbert,ənɡelbeɐt
humperdinck,humpeɐdink
bauer,bauɐ
bethge,betɡə
leni,leːniː
riefenstahl,ʁiːfənstaːl
alexandra,aleksantʁaː
lara,laːʀa
franka,fʁaŋkaː
potente,poːtəntə
karoline,kaːʀoːlinə
günderrode,ɡyndeɐʁodə
haase,haːsə
gertrud,ɡeɐtʁut
sachsen,zaksən
minetti,miːnetiː
wim,vim
wenders,vəndeɐs
ophüls,ofyls
william,viliam
dieterle,diːteɐlə
beate,beatə
klarsfeld,klaɐsfelt
martina,maɐtiənaː
gedeck,ɡeːdek
beck,bek
schwaben,ʃvaːbən
philippine,fiːlipinə
vogel,foːɡel
ulf,ulf
schirmer,ʃiɐmɐ
diffring,difʁiŋk
trittin,tʁitin
ballack,balak
steffi,ʃtefiː
graf,kʁaf
margarethe,maɐɡaːʀetə
trotta,tʁotaː
kinski,kinskiː
gerda,ɡeɐdaː
förster,føɐstɐ
hansjosef,hansjoːsef
kapellmann,kaːpelman
eisenstaedt,aiesənstaet
theo,teoː
waigel,vaieɡel
gregor,kʁeːɡoɐ
gysi,ɡysiː
hugenberg,huːɡənbeɐk
ensslin,ənslin
brendel,pʁəndel
ostwald,ostvalt
sauer,zauɐ
meissner,maisnɐ
decker,dekɐ
gesine,ɡeːsinə
lötzsch,løt͡ʃ
corinna,koːʀinaː
harfouch,haɐfoux
köppel,køpel
lenard,leːnaɐt
laue,lauə
selten,zeltən
wien,viːn
naumann,nauhman
dörflein,døɐflain
hansi,hansiː
karlheinz,kaɐlhaint͡s
david,daːfit
mcallister,mkalistɐ
wisch,viʃ
claisen,klaiesən
lisa,liːsaː
kreuzer,kʁoyt͡sɐ
zimmermann,t͡simeɐman
funk,fuŋk
stern,ʃteɐn
strauss,ʃtʁaus
cem,kem
özdemir,øt͡sdeːmiɐ
nelly,nely
sachs,zaks
klinsmann,klinsman
marco,maɐkoː
salmuth,zalmut
biermann,biːɐman
elmendorff,elməndoɐf
inge,iŋə
borkh,boɐkh
weinzierl,vaint͡siːɐl
dietrich,diːtʁix
hildebrand,hildepʁant
schuman,ʃuːman
schäuble,ʃoyplə
genzken,ɡənt͡skən
ehrenfried,eːʀənfʁiːt
boege,boeɡə
greiffenberg,kʁaifənbeɐk
joseph,joːsef
effner,efnɐ
sexy,zeksy
cora,koːʀaː
bruno,pʁuːnoː
brauchitsch,pʁauhxit͡ʃ
lipfert,liːp͡feɐt
stark,ʃtaɐk
feistel,faistel
oskar,oskaɐ
hansjörg,hansjøɐk
jäkle,jeklə
gabelsberger,ɡaːbelsbeɐɡɐ
musgrave,muskʁafə
sperling,ʃpeɐliŋk
sigmund,zikmunt
rascher,ʁaʃɐ
tölzer,tølt͡sɐ
ewald,evalt
krull,kʁul
glaser,klasɐ
walther,valtɐ
dahl,daːl
louis,louis
de,də
wohl,voːl
rögner,ʁøknɐ
staus,ʃtaus
list,list
umbo,umboː
kathy,katy
radzuweit,ʁaːt͡suːvait
jens,jəns
lehmann,leːman
oswald,osvalt
spengler,ʃpənklɐ
struck,ʃtʁuk
altig,altik
diane,dianə
kruger,kʁuɡɐ
grünberg,kʁynbeɐk
cilly,kily
aussem,ausem
eichel,aiexel
eike,aikə
immel,imel
ollenhauer,olənhauɐ
zu,t͡suː
wied,viːt
lion,lion
doles,doːles
sylvester,sylfestɐ
mizler,mit͡slɐ
yuri,yuːʀiː
manin,maːnin
bahr,baːɐ
adam,adam
lonitzer,loːnit͡sɐ
kähler,keːlɐ
bieberbach,biːbeɐbax
moser,mosɐ
kossel,kosel
anna,anaː
kleve,klefə
canaris,kaːnaʀis
stoltenberg,ʃtoltənbeɐk
dimitri,diːmitʁiː
peters,peːteɐs
braun,pʁaun
volker,folkɐ
strassen,ʃtʁasən
curtius,kuɐtius
meyerhof,maieɐhof
arthur,aɐtuɐ
crispien,kʁispiːn
schëuch,ʃëux
manstein,manstain
schleicher,ʃlaixɐ
wever,vefɐ
kleist,klaist
leber,lebɐ
kasimir,kaːsiːmiɐ
soxhlet,zokshlet
ostendorff,ostəndoɐf
bernstorff,beɐnstoɐf
mücke,mykə
sascha,zaːʃa
maassen,maːsən
winterkorn,vinteɐkoɐn
neidlinger,naitliŋɐ
bradl,pʁadl
windt,vint
eberhard,ebeɐhaɐt
köllner,kølnɐ
fassbender,fasbəndɐ
hitzlsperger,hit͡slspeɐɡɐ
muthesius,muteːsius
falkenhayn,falkənhain
raeder,ʁaedɐ
cacau,kaːkauh
hoth,hot
stieglitz,ʃtieklit͡s
lilian,liːlian
harvey,haɐfai
münchinger,mynxiŋɐ
timothy,tiemoty
chandler,xantlɐ
thyssen,tysən
stürmer,ʃtyɐmɐ
reitsch,ʁait͡ʃ
kelly,kely
trump,tʁump
helmuth,helmut
pannwitz,panvit͡s
abraham,apʁaːham
josias,joːsias
tugendhat,tuːɡəntat
chevallerie,xeːfaleːʀiə
engholm,ənkholm
schlechter,ʃlextɐ
frits,fʁits
clausen,klauhsən
dorothee,doːʀoteə
sölle,zølə
bohle,boːlə
pancke,pankə
luther,lutɐ
maske,maskə
ingrid,iŋkʁit
micklerbecker,mikleɐbekɐ
mathilde,matildə
rené,ʁeːné
kollo,koloː
sander,zandɐ
uhde,uːdə
gräßler,kʁeslɐ
eleonore,eleoːnoʀə
dolbreuse,dolpʁoysə
troll,tʁol
esper,espɐ
godfrey,ɡodfʁai
kneller,knelɐ
emil,emil
leeb,leːp
welte,veltə
petersen,peːteɐsən
gottfried,ɡotfʁiːt
schwerin,ʃveːʀin
levi,leːfiː
schörner,ʃøɐnɐ
hausser,hausɐ
matthias,mathias
sammer,zamɐ
dalbert,dalbeɐt
bohrmann,boːɐman
sauerbruch,zaueɐpʁux
schroeter,ʃʁoetɐ
magda,makdaː
goebbels,ɡoepbels
plenzdorf,plənt͡sdoɐf
seeckt,zeːkt
alexander,aleksandɐ
wendt,vənt
galland,ɡalant
kesten,kestən
fröhlich,fʁøːlix
cassirer,kasiʁɐ
kevin,keːfin
mirocha,miːʀoːxaː
margarete,maɐɡaːʀetə
küchler,kyxlɐ
halder,haldɐ
rademacher,ʁaːdeːmaxɐ
waldmann,valtman
witt,vit
dahlhaus,daːlhaus
senta,zəntaː
berger,beɐɡɐ
anneliese,aneːliːsə
rothenberger,ʁotənbeɐɡɐ
jonas,joːnas
kaufmann,kaufman
stresemann,ʃtʁeːseman
lena,leːnaː
valaitis,faːlaietis
dieter,diːtɐ
zetsche,t͡set͡ʃə
weidt,vait
buch,bux
august,auhɡust
milch,milx
kroemer,kʁoemɐ
rethel,ʁetel
bisky,bisky
gundi,ɡundiː
tobias,toːbias
unger,uŋɐ
severin,zeːfeʀin
freund,fʁoynt
viola,fioːlaː
sudermann,zuːdeɐman
willy,vily
rampf,ʁamp͡f
störmer,ʃtøɐmɐ
ritter,ʁitɐ
pischetsrieder,piːʃetsʁiːdɐ
preiss,pʁais
kati,kaːtie
winkler,viŋklɐ
jakobäa,jaːkoːbeaː
baden,baːdən
thoms,toms
blume,plumə
hänsch,henʃ
béla,bélaː
barényi,baːʀényiː
nordhoff,noɐtof
blomberg,plombeɐk
hugo,huːɡoː
ball,bal
ralph,ʁalf
baer,baɐ
artur,aɐtuɐ
ardenne,aɐdənnə
claude,klaudə
dornier,doɐniɐ
hartmann,haɐtman
moritz,moːʀit͡s
schlick,ʃlik
peiper,paipɐ
constantin,konstantin
carathéodory,kaːʀatéoːdoʁy
ostermeier,osteɐmaiɐ
charell,xaːʀel
george,ɡeoɐɡə
lewy,levy
domagk,doːmaɡk
karin,kaːʀin
dor,doɐ
riemann,ʁiːman
sophie,zofiə
hinkel,hiŋkel
falkenhorst,falkənhoɐst
tykwer,tykvɐ
jähn,jeːn
gmelin,kmeːlin
juan,juan
linz,lint͡s
leitner,laitnɐ
rauff,ʁauf
dana,daːna
vávrová,fáfʁoːfá
blank,plaŋk
altmaier,altmaiɐ
baier,baiɐ
jüngere,jyŋeʀə
blaskowitz,plaskoːvit͡s
niklas,niklas
luhmann,luːman
hertha,heɐtaː
bothe,botə
manuel,maːnuel
reuter,ʁoytɐ
manuela,maːnueːlaː
henkel,hənkel
alex,aleks
wright,vʁiçht
hutier,huːtiɐ
kalbeck,kalbek
danckelman,dankelman
karen,kaːʀən
horney,hoɐnai
ruska,ʁuskaː
klitzing,kliːt͡siŋk
heike,haikə
drechsler,tʁekslɐ
modrow,motʁov
wendelin,vəndeːlin
wiedeking,viːdeːkiŋk
beatrix,beatʁiks
elsa,elsaː
muhs,muːs
heeringen,heːʀiŋən
tietjen,tietjən
lippert,lipeɐt
haussmann,hausman
rolff,ʁolf
maurizio,mauhʀiːt͡sioː
gaudino,ɡauhdiːnoː
falkenhausen,falkənhauhsən
pintscher,pint͡ʃɐ
furler,fuɐlɐ
graciano,kʁaːkianoː
rocchigiani,ʁokxiːɡiaːniː
sibylla,zibylaː
merian,meːʀian
zermelo,t͡seɐmeːloː
bittrich,bitʁix
hindemith,hindeːmit
timmermann,timeɐman
aldegrever,aldekʁefɐ
thienemann,tiːneːman
stephan,ʃtefan
sizzo,zit͡st͡soː
schwarzburg,ʃvaɐt͡sbuɐk
gressmann,kʁesman
margrit,maɐkʁit
kennedy,kənnedy
erlbruch,eɐlpʁux
blask,plask
schneiderhan,ʃnaiedeɐhan
rufer,ʁufɐ
freitag,fʁaietak
saalwächter,zaːlvextɐ
kleinheisterkamp,klainhaisteɐkamp
apel,apel
kammhuber,kamhubɐ
kronig,kʁoːnik
nikisch,niːkiʃ
hasso,hasoː
manteuffel,mantoyfel
gotthard,ɡothaɐt
heinrici,hainʁiːki
violante,fioːlantə
kummetz,kumet͡s
wolfram,volfʁam
sievers,ziːfeɐs
makatsch,maːkat͡ʃ
maihofer,maieːofɐ
last,last
traudl,tʁaudl
junge,juŋə
london,london
schlemm,ʃlem
möllemann,møleːman
krack,kʁak
boris,boːʀis
groys,kʁoys
riester,ʁiːstɐ
rathgen,ʁatɡən
larenz,laːʀənt͡s
pietsch,piːt͡ʃ
egger,ekɡɐ
eduard,eduaɐt
seler,zelɐ
tuta,tuːtaː
michel,miːxel
kretschmer,kʁet͡ʃmɐ
göring,ɡøːʀiŋk
melchior,melxioɐ
hofmann,hofman
balthasar,baltaːsaɐ
hubmaier,hupmaiɐ
schwarzkopf,ʃvaɐt͡skop͡f
mühe,myːə
baade,baːdə
mielke,miːlkə
michels,miːxels
schlöndorff,ʃløndoɐf
lombard,lombaɐt
gebhard,ɡefaɐt
joschka,joʃkaː
therese,teːʀesə
auguste,auhɡustə
sofie,zoːfiə
steger,ʃteɡɐ
vuckovic,fuːkoːfik
rahner,ʁaːnɐ
sartison,zaɐtieson
jerusalem,jeːʀuːsaːlem
wilfried,vilfʁiːt
sauerland,zaueɐlant
neuberg,noyhbeɐk
burwitz,buɐvit͡s
marika,maːʀiːkaː
kilius,kiːlius
betz,bet͡s
baeumler,baoymlɐ
hilberseimer,hilbeɐsaimɐ
mechler,mexlɐ
petra,petʁaː
hammesfahr,hamesfaːɐ
marcel,maɐkel
höhlig,høːlik
rolf,ʁolf
kanies,kaːniːs
rehder,ʁeːdɐ
jörg,jøɐk
schlaich,ʃlaix
jil,jil
gille,ɡilə
friedmann,fʁiːtman
trippel,tʁipel
henriette,hənʁiːtə
marie,maːʀiə
killmayer,kilmaiɐ
barkhorn,baɐkhoɐn
britta,pʁitaː
steffen,ʃtefən
weidling,vaitliŋk
benn,bənn
biela,biːlaː
ballhaus,balhaus
furtwängler,fuɐtveŋklɐ
dietmar,diːtmaɐ
hopp,hop
diehl,diːl
raudies,ʁauhdiːs
sandro,zantʁoː
cortese,koɐtesə
keppler,keplɐ
gerhardt,ɡeɐhaɐt
wieneke,viːnekə
glücks,klyks
woldemar,voldeːmaɐ
voigt,foiçt
saucken,zauhkən
foertsch,foeɐt͡ʃ
brandi,pʁandiː
dita,diːtaː
parlo,paɐloː
gerst,ɡeɐst
arnold,aɐnolt
fanck,fank
schuck,ʃuk
bredow,pʁeːdov
samuel,zaːmuel
leopold,leoːpolt
großmann,kʁosman
vitali,fiːtaːliː
tajbert,tajbeɐt
sven,sfən
ottke,otkə
kuno,kuːnoː
westarp,vestaɐp
liesel,liːsel
westermann,vesteɐman
christiane,xʁistianə
handrick,hantʁik
scholz,ʃolt͡s
antje,antjə
traue,tʁauə
schipplock,ʃiplok
jost,jost
vacano,faːkanoː
genzel,ɡənt͡sel
gerber,ɡeɐbɐ
rosenberg,ʁoːsənbeɐk
miriam,miːʀiam
förstemann,føɐsteːman
tropsch,tʁopʃ
noske,noskə
pfitzner,p͡fit͡snɐ
sarah,zaːʀaː
hecken,heːkən
germar,ɡeɐmaɐ
olaf,olaf
ittenbach,itənbax
falck,falk
caracciola,kaːʀakkioːlaː
tucholsky,tuːxolsky
christa,xʁistaː
lale,lalə
andersen,andeɐsən
fest,fest
löbe,løbə
dohnanyi,doːnanyiː
knochen,knoːxən
acardipane,akaɐdiːpanə
götz,ɡøt͡s
osterkamp,osteɐkamp
schreyer,ʃʁaiɐ
staudte,ʃtautə
krieck,kʁiːk
kegel,keːɡel
schottelius,ʃoteːlius
ehmke,eːmkə
kittler,kitlɐ
tomas,toːmas
gaffky,ɡafky
trapp,tʁap
crass,kʁas
anke,aŋkə
huber,hubɐ
groß,kʁos
schickard,ʃiːkaɐt
armin,aɐmin
meiwes,maieves
oster,ostɐ
frauenlob,fʁauənlop
späth,ʃpet
thierse,tiːɐsə
walser,valsɐ
döblin,døplin
krüger,kʁyɡɐ
rinser,ʁinsɐ
stipe,ʃtipə
erceg,eɐkek
herrmann,heɐʁman
wuttke,vutkə
reichhart,ʁaixhaɐt
leonhardt,leonhaɐt
vera,feːʀaː
tschechowa,t͡ʃeːxoːvaː
breith,pʁait
lassally,lasaly
trotha,tʁotaː
gunther,ɡuntɐ
hagens,haːɡəns
gazsi,ɡat͡ssiː
kroh,kʁoː
stefanie,ʃteːfaːniə
zweig,t͡svaik
sandberger,zantbeɐɡɐ
röhm,ʁøːm
andré,antʁé
wand,vant
gunkel,ɡuŋkel
hocke,hokə
krupinski,kʁuːpinskiː
bolkart,bolkaɐt
herr,heɐʁ
seghers,zekheɐs
til,til
schweiger,ʃvaiɡɐ
newton,nevton
knappertsbusch,knapeɐtsbuʃ
heiner,hainɐ
jochum,joːxum
claudia,klauhdiaː
pechstein,pekstain
lingen,liŋən
berthold,beɐtolt
kopff,kop͡ff
noddack,notdak
jaenecke,jaeːnekə
regina,ʁeːɡiːnaː
halmich,halmix
bukofzer,buːkoft͡sɐ
opel,opel
hoßbach,hosbax
unsöld,unsølt
offe,ofə
le,lə
coq,koq
geheeb,ɡeːheːp
edelsheim,edelshaim
arjouni,aɐjouːniː
casimir,kaːsiːmiɐ
stumpf,ʃtump͡f
koch,kox
rosemarie,ʁoːseːmaːʀiə
ackermann,akeɐman
seldte,zeltə
groener,kʁoənɐ
jung,juŋk
remer,ʁemɐ
mass,mas
krebs,kʁebs
wildt,vilt
andrea,antʁeaː
nahles,naːles
olga,olɡaː
henlein,hənlain
gustloff,ɡustlof
denke,dənkə
tippelskirch,tipelskiɐx
stefano,ʃteːfaːnoː
celozzi,keːlot͡st͡siː
meindl,maindl
femerling,feːmeɐliŋk
akif,akif
pirinçci,piːʀinķkiː
ciliax,kiːliaks
zacharias,t͡saːxaʀias
frey,fʁai
burgdorf,buɐkdoɐf
udo,uːdoː
schabowski,ʃaːbovskiː
knobelsdorff,knoːbelsdoɐf
nußelt,nuselt
koller,kolɐ
alexandros,aleksantʁos
margaritis,maɐɡaːʀiːtis
franco,fʁankoː
foda,foːdaː
lammers,lameɐs
battenberg,batənbeɐk
liman,liːman
sanders,zandeɐs
norbert,noɐbeɐt
lammert,lameɐt
hoffmann,hofman
ruth,ʁut
fuchs,fuks
scharoun,ʃaːʀoun
daniel,daːniːl
kehlmann,keːlman
eppelmann,epelman
cäsar,kesaɐ
flaischlen,flaiʃlən
schumann,ʃuːman
bartko,baɐtkoː
pfeffer,p͡fefɐ
heller,helɐ
harry,haɐʁy
franke,fʁaŋkə
prégardien,pʁéɡaɐdiːn
becker,bekɐ
neukirchner,noyhkiɐxnɐ
knuth,knut
krages,kʁaːɡes
trockel,tʁoːkel
glass,klas
benjamin,bənjaːmin
lauth,laut
bergmeister,beɐkmaistɐ
siegfried,ziːɡfʁiːt
mecklenburgstrelitz,meklənbuɐɡstʁeːlit͡s
sabina,zaːbiːnaː
karolina,kaːʀoːliːnaː
orzelska,oɐt͡selskaː
hantzsch,hant͡ʃ
alzen,alt͡sən
wende,vəndə
scherber,ʃeɐbɐ
kurland,kuɐlant
teufel,toyhfel
bouffier,boufiɐ
böhmen,bøːmən
haseloff,haːseːlof
aljona,aljoːnaː
savchenko,zafxənkoː
rochus,ʁoːxus
misch,miʃ
weingärtner,vaiŋeɐtnɐ
schwassmann,ʃvasman
benno,bənnoː
ohnesorg,oːneːsoɐk
morell,moːʀel
viktoria,fiktoːʀiaː
günsche,ɡynʃə
mauss,maus
barschel,baɐʃel
sıla,sılaː
şahinradlinger,şaːhinʁatliŋɐ
arendt,aʀənt
stolpe,ʃtolpə
hoeren,hoeːʀən
lil,lil
dagover,daːɡofɐ
kramer,kʁamɐ
conrad,konʁat
michaelis,miːxaeːlis
hubertus,huːbeɐtus
heil,hail
laufer,laufɐ
parvus,paɐfus
danner,danɐ
petković,petkoːfiḱ
labbadia,lapbaːdia
runge,ʁuŋə
graebe,kʁaebə
martha,maɐtaː
mödl,mødl
weichs,vaiks
schenker,ʃənkɐ
rösener,ʁøːsənɐ
grün,kʁyn
tibor,tieboɐ
pleiß,plais
joel,joel
matip,maːtip
demandt,deːmant
gerson,ɡeɐson
gunter,ɡuntɐ
dalquen,dalkvən
schweinfurt,ʃvainfuɐt
fiedler,fiːtlɐ
alice,alikə
schwarzer,ʃvaɐt͡sɐ
dagmar,dakmaɐ
krause,kʁausə
bogislaw,boːɡislav
croÿ,kʁoÿ
martens,maɐtəns
rabe,ʁabə
hipper,hipɐ
priebke,pʁiːpkə
hirschfeld,hiɐʃfelt
spemann,ʃpeːman
töpfer,tøp͡fɐ
curd,kuɐt
jürgens,jyɐɡəns
franziska,fʁant͡siskaː
almsick,almsik
rendulic,ʁənduːlik
roehler,ʁoeːlɐ
