andrzej,andʐɛj
gierymski,ɡʲɛrɨmskʲi
kierzkowski,kʲɛʂkɔfskʲi
dudek,dudɛk
wacław,vat͡swaf
niżyński,ɲiʐɨɲskʲi
taczanowski,tat͡ʂanɔfskʲi
carl,t͡sarl
yastrzemski,jastʂɛmskʲi
waldemar,valdɛmar
baszanowski,baʂanɔfskʲi
kwiatkowski,kfjatkɔfskʲi
ancuta,ant͡suta
nagórski,naɡurskʲi
celeban,t͡sɛlɛban
cesare,t͡sɛsarɛ
benedetti,bɛnɛdɛtti
urbaś,urbaɕ
nâzım,nâzım
hikmet,xikmɛt
oscar,ɔst͡sar
lewicki,lɛvit͡skʲi
wnęk,vnɛŋk
świderski,ɕfidɛrskʲi
mitch,mitx
kupchak,kupxak
sidło,ɕidwɔ
kasprzycki,kaspʂɨt͡skʲi
gintaras,ɡʲintaras
steponavičius,stɛpɔnavit͡šifs
zajkowski,zajkɔfskʲi
grzegorz,ɡʐɛɡɔʂ
bodziana,bɔd͡ʑana
jean,jɛan
graczyk,ɡrat͡ʂɨk
skrowaczewski,skrɔvat͡ʂɛfskʲi
eugenia,ɛvɡɛɲa
umińska,umiɲska
frankowski,frankɔfskʲi
boruc,bɔrut͡s
alfred,alfrɛt
tarski,tarskʲi
radwańska,radvaɲska
ziółkowski,ʑuwkɔfskʲi
małysz,mawɨʂ
kwaśniewska,kfaɕɲɛfska
wasilewski,vaɕilɛfskʲi
sobociński,sɔbɔt͡ɕiɲskʲi
miętus,mjɛntus
zagumny,zaɡumnɨ
pinsker,pinskɛr
beatrycze,bɛatrɨt͡ʂɛ
świdnicka,ɕfidɲit͡ska
miros,mirɔs
halina,xalina
górecka,ɡurɛt͡ska
michalczewski,mixalt͡ʂɛfskʲi
panufnik,panufɲik
edigey,ɛdiɡɛj
kaczyńska,kat͡ʂɨɲska
felix,fɛlix
nussbaum,nussbavm
abraham,abraxam
joshua,jɔsxua
heschel,xɛsxɛl
kapuściński,kapuɕt͡ɕiɲskʲi
fitelberg,fitɛlbɛrk
wanda,vanda
jakubowska,jakubɔfska
langfus,lankfus
krenz,krɛns
meyer,mɛjɛr
james,jamɛs
pawelczyk,pavɛlt͡ʂɨk
moriz,mɔris
rosenthal,rɔsɛntxal
karski,karskʲi
damien,damjɛn
perquis,pɛrqujs
schwalbé,sxfalbɛ́
bob,bɔp
kurland,kurlant
kalecki,kalɛt͡skʲi
kieszek,kʲɛʂɛk
rené,rɛnɛ́
leibowitz,lɛjbɔvits
szeligowski,ʂɛliɡɔfskʲi
tony,tɔnɨ
zale,zalɛ
młynarski,mwɨnarskʲi
smeterlin,smɛtɛrlin
kutz,kuts
potocki,pɔtɔt͡skʲi
katarzyna,kataʐɨna
figura,fiɡura
rasiak,raɕak
radzinski,rad͡ʑinskʲi
basia,baɕa
urbanowicz,urbanɔvit͡ʂ
tyrała,tɨrawa
rotblat,rɔtblat
szewińska,ʂɛviɲska
hugo,xuɡɔ
steinhaus,stɛjnxafs
pola,pɔla
negri,nɛɡri
izabella,izabɛlla
scorupco,st͡sɔrupt͡sɔ
stablinski,stablinskʲi
sobiech,sɔbjɛx
reyman,rɛjman
segal,sɛɡal
barbara,barbara
sobotta,sɔbɔtta
františek,františɛk
christopher,xristɔpxɛr
ferguson,fɛrɡusɔn
mirowski,mirɔfskʲi
rogowska,rɔɡɔfska
bronisława,brɔɲiswava
niżyńska,ɲiʐɨɲska
kamila,kamila
skolimowska,skɔlimɔfska
szmidt,ʂmitt
anja,anja
rubik,rubik
mrózolszewska,mruzɔlʂɛfska
ślusarski,ɕlusarskʲi
wszoła,fʂɔwa
malczewski,malt͡ʂɛfskʲi
blechacz,blɛxat͡ʂ
richard,rixart
pipes,pipɛs
holland,xɔllant
grażyna,ɡraʐɨna
bacewicz,bat͡sɛvit͡ʂ
newerly,nɛvɛrlɨ
martha,martxa
stewart,stɛvart
justyna,justɨna
kowalczyk,kɔvalt͡ʂɨk
rutkiewicz,rutkʲɛvit͡ʂ
freier,frɛjɛr
tul,tul
urszula,urʂula
dukaj,dukaj
partyka,partɨka
tara,tara
lipinski,lipinskʲi
marta,marta
domachowska,dɔmaxɔfska
joanna,jɔanna
chmielewska,xmjɛlɛfska
alice,alit͡sɛ
miller,millɛr
fryderyk,frɨdɛrɨk
jagiellończyk,jaɡʲɛllɔɲt͡ʂɨk
skrzypaszek,skʂɨpaʂɛk
mateusz,matɛfʂ
klich,klix
has,xas
juliusz,julifʂ
słowacki,swɔvat͡skʲi
ida,ida
haendel,xaɛndɛl
marie,marjɛ
rambert,rambɛrt
elżbieta,ɛlʐbjɛta
krzesińska,kʂɛɕiɲska
konopacka,kɔnɔpat͡ska
daria,darja
werbowy,vɛrbɔvɨ
eugeniusz,ɛvɡɛɲuʂ
zak,zak
wiłkomirska,viwkɔmirska
ivan,ivan
putski,putskʲi
maja,maja
ostaszewska,ɔstaʂɛfska
ignacy,iɡnat͡sɨ
friedman,frjɛdman
euzebiusz,ɛvzɛbifʂ
smolarek,smɔlarɛk
danuta,danuta
szaflarska,ʂaflarska
marzena,maʐɛna
karpińska,karpiɲska
boyżeleński,bɔjʐɛlɛɲskʲi
zygalski,zɨɡalskʲi
césar,t͡sɛ́sar
ruminski,ruminskʲi
uri,uri
orlew,ɔrlɛf
machulski,maxulskʲi
komar,kɔmar
huberman,xubɛrman
pawłowska,pavwɔfska
julian,juljan
marchlewski,marxlɛfskʲi
kuryłowicz,kurɨwɔvit͡ʂ
ernst,ɛrnst
stavro,stavrɔ
blofeld,blɔfɛlt
dziedziczak,d͡ʑɛd͡ʑit͡ʂak
puławski,puwafskʲi
malanowicz,malanɔvit͡ʂ
berling,bɛrlink
dawid,davit
kubacki,kubat͡skʲi
sowisz,sɔviʂ
liktoras,liktɔras
kaczorbednarska,kat͡ʂɔrbɛdnarska
walerian,valɛrjan
borowczyk,bɔrɔft͡ʂɨk
winiarski,viɲarskʲi
nastula,nastula
maksymiuk,maksɨmifk
olga,ɔlɡa
sosnovska,sɔsnɔfska
chaïm,xaïm
perelman,pɛrɛlman
helena,xɛlɛna
rasiowa,raɕɔva
oskar,ɔskar
lange,lanɡɛ
filipowski,filipɔfskʲi
lachert,laxɛrt
martin,martin
max,max
olbrychski,ɔlbrɨxskʲi
konwicki,kɔnvit͡skʲi
ewa,ɛva
kopacz,kɔpat͡ʂ
krzynówek,kʂɨnuvɛk
starewicz,starɛvit͡ʂ
niemczyk,ɲɛmt͡ʂɨk
żmijewski,ʐmijɛfskʲi
sulej,sulɛj
li,li
qian,qjan
fijas,fijas
włodkowic,vwɔtkɔvit͡s
wiesław,vjɛswaf
maniak,maɲak
zarębski,zarɛmpskʲi
jędraszewski,jɛndraʂɛfskʲi
kot,kɔt
kucharczyk,kuxart͡ʂɨk
tokarczuk,tɔkart͡ʂuk
awraham,avraxam
stern,stɛrn
felicja,fɛlit͡sja
blumental,blumɛntal
świeniewicz,ɕfjɛɲɛvit͡ʂ
ford,fɔrt
zawadzki,zavad͡skʲi
gołaś,ɡɔwaɕ
gadocha,ɡadɔxa
anski,anskʲi
aleksandra,alɛksandra
kurzak,kuʐak
ludovic,ludɔvit͡s
obraniak,ɔbraɲak
jesień,jɛɕɛɲ
natalia,natalja
luiza,lujza
złotkowska,zwɔtkɔfska
dominika,dɔmiɲika
paleta,palɛta
sonnet,sɔnnɛt
szymanowska,ʂɨmanɔfska
maciejewski,mat͡ɕɛjɛfskʲi
bogusław,bɔɡuswaf
schaeffer,sxaɛffɛr
leopold,lɛɔpɔlt
infeld,infɛlt
szymański,ʂɨmaɲskʲi
czochralski,t͡ʂɔxralskʲi
bereszyński,bɛrɛʂɨɲskʲi
michael,mixaɛl
klim,klim
kotarbiński,kɔtarbiɲskʲi
słania,swaɲa
teresa,tɛrɛsa
ciepły,t͡ɕɛpwɨ
malinowski,malinɔfskʲi
pazdan,pazdan
szrom,ʂrɔm
tarka,tarka
wielicki,vjɛlit͡skʲi
grabiński,ɡrabiɲskʲi
elie,ɛljɛ
nadelman,nadɛlman
stoch,stɔx
serocki,sɛrɔt͡skʲi
wierzbicka,vjɛʐbit͡ska
dobroniega,dɔbrɔɲɛɡa
wawrzyniak,vavʐɨɲak
denis,dɛɲis
urubko,urupkɔ
przemysław,pʂɛmɨswaf
niemiec,ɲɛmjɛt͡s
magda,maɡda
linette,linɛttɛ
benjamin,bɛnjamin
jekhowsky,jɛkxɔfskɨ
radomski,radɔmskʲi
sylwester,sɨlvɛstɛr
szmyd,ʂmɨt
karolina,karɔlina
koszewska,kɔʂɛfska
miko,mikɔ
jadwiga,jadviɡa
jędrzejowska,jɛndʐɛjɔfska
pacuła,pat͡suwa
kubiak,kubjak
laks,laks
bodnar,bɔdnar
peter,pɛtɛr
geach,ɡɛax
kmiecik,kmjɛt͡ɕik
jagiellonka,jaɡʲɛllɔnka
tomaszewski,tɔmaʂɛfskʲi
wajsówna,vajsuvna
świętosława,ɕfjɛntɔswava
swatawa,sfatava
kasia,kaɕa
smutniak,smutɲak
kuszczak,kuʂt͡ʂak
sternbach,stɛrnbax
eddie,ɛddjɛ
slovik,slɔvik
gorgoń,ɡɔrɡɔɲ
żmuda,ʐmuda
nowakowski,nɔvakɔfskʲi
wszołek,fʂɔwɛk
mateja,matɛja
bobak,bɔbak
bartkowiak,bartkɔvjak
rut,rut
kosowski,kɔsɔfskʲi
emanuel,ɛmanuɛl
ax,ax
fibak,fibak
hofmann,xɔfmann
granowska,ɡranɔfska
werblińska,vɛrbliɲska
lato,latɔ
panfilgonzález,panfilɡɔnzálɛs
bella,bɛlla
darvi,darvi
warzycha,vaʐɨxa
idziak,id͡ʑak
bolesławski,bɔlɛswafskʲi
kłobukowska,kwɔbukɔfska
włoszczowska,vwɔʂt͡ʂɔfska
egon,ɛɡɔn
petri,pɛtri
marusarz,marusaʂ
krychowiak,krɨxɔvjak
mehoffer,mɛxɔffɛr
wach,vax
gajos,ɡajɔs
louis,lɔvis
marcoussis,mart͡sɔfsɕis
zofia,zɔfja
holszańska,xɔlʂaɲska
krall,krall
matthias,mattxjas
ostrzolek,ɔstʂɔlɛk
karłowicz,karwɔvit͡ʂ
wielopolski,vjɛlɔpɔlskʲi
fałat,fawat
łasko,waskɔ
adamczyk,adamt͡ʂɨk
walczewski,valt͡ʂɛfskʲi
léon,lɛ́ɔn
glovacki,ɡlɔvat͡skʲi
wlazły,vlazwɨ
totenberg,tɔtɛnbɛrk
layvin,laɨvin
kurzawa,kuʐava
ludomir,ludɔmir
różycki,ruʐɨt͡skʲi
moïse,mɔïsɛ
kisling,kʲislink
peta,pɛta
lucjan,lut͡sjan
błaszczyk,bwaʂt͡ʂɨk
gombrowicz,ɡɔmbrɔvit͡ʂ
niementowski,ɲɛmɛntɔfskʲi
szewczyk,ʂɛft͡ʂɨk
jurkiewicz,jurkʲɛvit͡ʂ
chojnacka,xɔjnat͡ska
chesty,xɛstɨ
morgan,mɔrɡan
milena,milɛna
rosner,rɔsnɛr
roger,rɔɡɛr
walkowiak,valkɔvjak
małcużyński,mawt͡suʐɨɲskʲi
kosecki,kɔsɛt͡skʲi
chruściński,xruɕt͡ɕiɲskʲi
eric,ɛrit͡s
piatkowski,pjatkɔfskʲi
trepper,trɛppɛr
stefania,stɛfaɲa
woytowicz,vɔjtɔvit͡ʂ
maczek,mat͡ʂɛk
marczyński,mart͡ʂɨɲskʲi
żabiński,ʐabiɲskʲi
august,avɡust
freund,frɛvnt
mostowski,mɔstɔfskʲi
bochenek,bɔxɛnɛk
herkules,xɛrkulɛs
dembowski,dɛmbɔfskʲi
munk,munk
młynarczyk,mwɨnart͡ʂɨk
sekuła,sɛkuwa
glinkamogentale,ɡlinkamɔɡɛntalɛ
śliwiński,ɕliviɲskʲi
kłos,kwɔs
miron,mirɔn
kott,kɔtt
żuławski,ʐuwafskʲi
wat,vat
burliga,burliɡa
hieronim,xjɛrɔɲim
sanguszko,sanɡuʂkɔ
emilia,ɛmilja
plater,platɛr
gajowniczek,ɡajɔvɲit͡ʂɛk
ladislao,ladislaɔ
kubala,kubala
guerreiro,ɡuɛrrɛjrɔ
sierpiński,ɕɛrpiɲskʲi
german,ɡɛrman
nowak,nɔvak
tytoń,tɨtɔɲ
salamon,salamɔn
noga,nɔɡa
ludwik,ludvik
fleck,flɛt͡sk
czajkowski,t͡ʂajkɔfskʲi
mariola,marjɔla
zenik,zɛɲik
majerwardt,majɛrvartt
moshe,mɔsxɛ
lewin,lɛvin
kukuczka,kukut͡ʂka
gierek,ɡʲɛrɛk
plawgo,plavɡɔ
wyspiański,vɨspjaɲskʲi
szeryng,ʂɛrɨnk
brożek,brɔʐɛk
kutrzeba,kutʂɛba
dudka,dutka
babiński,babiɲskʲi
konchesky,kɔnxɛskɨ
kozakiewicz,kɔzakʲɛvit͡ʂ
włodzimierz,vwɔd͡ʑimjɛʂ
lubański,lubaɲskʲi
bosacki,bɔsat͡skʲi
żewłakow,ʐɛvwakɔf
szełochonow,ʂɛwɔxɔnɔf
herschel,xɛrsxɛl
grynszpan,ɡrɨnʂpan
półtawska,puwtafska
korzeniowski,kɔʐɛɲɔfskʲi
żurawski,ʐurafskʲi
mościcki,mɔɕt͡ɕit͡skʲi
kazimierzówna,kaʑimjɛʐuvna
przygoński,pʂɨɡɔɲskʲi
samuel,samuɛl
eilenberg,ɛjlɛnbɛrk
wolszczan,vɔlʂt͡ʂan
sapkowski,sapkɔfskʲi
leśniewski,lɛɕɲɛfskʲi
mikołajczyk,mikɔwajt͡ʂɨk
salomon,salɔmɔn
morel,mɔrɛl
lampe,lampɛ
kosiński,kɔɕiɲskʲi
abel,abɛl
czech,t͡ʂɛx
ficowski,fit͡sɔfskʲi
jędrzejczyk,jɛndʐɛjt͡ʂɨk
jagieło,jaɡʲɛwɔ
kilar,kʲilar
kalergis,kalɛrɡʲis
olejnik,ɔlɛjɲik
weronika,vɛrɔɲika
rosati,rɔsati
krawczyk,kraft͡ʂɨk
maurycy,mavrɨt͡sɨ
moszkowski,mɔʂkɔfskʲi
zumbach,zumbax
gajgałanioł,ɡajɡawaɲɔw
gąsienicadaniel,ɡɔ̃ɕɛɲit͡sadaɲɛl
matuszczyk,matuʂt͡ʂɨk
pilecki,pilɛt͡skʲi
murawski,murafskʲi
witkowska,vitkɔfska
sawicka,savit͡ska
bąk,bɔŋk
pudzianowski,pud͡ʑanɔfskʲi
solomon,sɔlɔmɔn
asch,asx
świerczok,ɕfjɛrt͡ʂɔk
srokowski,srɔkɔfskʲi
spławaneyman,spwavanɛjman
podkowiński,pɔtkɔviɲskʲi
kania,kaɲa
ireneusz,irɛnɛfʂ
jeleń,jɛlɛɲ
grosicki,ɡrɔɕit͡skʲi
kuć,kut͡ɕ
adamowicz,adamɔvit͡ʂ
drzewiecki,dʐɛvjɛt͡skʲi
wadim,vadim
brodski,brɔtskʲi
zuzanna,zuzanna
szwed,ʂfɛt
legień,lɛɡʲɛɲ
karweta,karvɛta
wroński,vrɔɲskʲi
łuczak,wut͡ʂak
rudolf,rudɔlf
dreszer,drɛʂɛr
słowik,swɔvik
ajdukiewicz,ajdukʲɛvit͡ʂ
balthus,baltxus
turczyński,turt͡ʂɨɲskʲi
listowski,listɔfskʲi
grzegorczyk,ɡʐɛɡɔrt͡ʂɨk
flanek,flanɛk
bryan,brjan
rabello,rabɛllɔ
mordechaj,mɔrdɛxaj
anielewicz,aɲɛlɛvit͡ʂ
jabłoński,jabwɔɲskʲi
rytel,rɨtɛl
rakoczy,rakɔt͡ʂɨ
sylwia,sɨlvja
pycia,pɨt͡ɕa
pachulski,paxulskʲi
kord,kɔrt
korzybski,kɔʐɨpskʲi
grotowski,ɡrɔtɔfskʲi
maliszewski,maliʂɛfskʲi
dworzyński,dvɔʐɨɲskʲi
komosa,kɔmɔsa
ilona,ilɔna
senderek,sɛndɛrɛk
bernadowski,bɛrnadɔfskʲi
dygat,dɨɡat
żelichowska,ʐɛlixɔfska
tatiana,tatjana
szebanowa,ʂɛbanɔva
bibrowski,bibrɔfskʲi
mamed,mamɛt
chalidow,xalidɔf
bodzek,bɔd͡zɛk
wojnicz,vɔjɲit͡ʂ
ben,bɛn
sahar,saxar
