"","origin","ipa","original","ja/ja-v12-1536-full","ja-w","ja-gt","ja-d","ja-c3","ja-c4","ja-gem","ja-gema","ja-l3","ja-co"
10,"lv","stɑ͜iʦelĕ","staicele","スタイツェレ"," ","シュタイツェル","Staicele","スタイツェレ","スタイツェレ","スターツェレ","スタイチェレ","スタイチェレ","スタイツェレ"
11,"lv","ʦɔdĕ","code","チョーデ"," ","コード","コード","コデ","コーデ","コーデ","コーデ","コーデ","ツォデ"
12,"lv","ʃcesterĭ","šķesteri","シュケステリ"," ","シェステリ","クロイスターズ","シュケーステリ","シュケステリ","シケステリ","シュケステリ","シュケステリ","シュケステリ"
13,"lv","ɑlːɑʓĭ","allaži","アッラジ"," ","アッラージ","Allaži","アラージ","アラージ","アラージ","アッラジ","アラージ","アッラジ"
14,"lv","piltenĕ","piltene","ピルテネ"," ","ピルテネ","ピルテネ","ピルテネ","ピルテネ","ピルテーネ","ピルテーネ","ピルテーネ","ピルテネ"
15,"lv","evikɑ̆","evika","エビカ","エビカ","エビカ","エビカ","エヴィカ","エヴィカ","エヴィカ","エヴィカ","エヴィカ","エヴィカ"
16,"lv","siliɲɑ̆","siliņa","シリニャ","シリニャ","シリナ","Siliņa","シリーニャ","シリーニャ","シリニャ","シリニャ","シリーニャ","シリニャ"
17,"lv","kriʃʝɑːnĭs","krišjānis","クリシュヤーニス","クリシュヤーニス","クリスジャニス","Krišjānis","クリシャーニス","クリシュヤーニス","クリシャーンス","クリシャーンス","クリシュヤーニス","クリシャーニス"
18,"lv","kɑriɲʃ","kariņš","カリンズ","カリンシュ","カリシュ","リンズ","カリーンシュ","カリーニュ","カリニェシュ","カリニシュ","カリーニュス","カリンシュ"
19,"lv","mɑːrĭs","māris","マーリス","マーリス","マリス","マリス","マーリス","マーリス","マールス","マーリス","マーリス","マーリス"
20,"lv","kuʧinskĭs","kučinskis","クチンスキス","クチンスキス","クチンスキス","クチンスキス","クチンスキス","クーチンスキス","クチィンスキィ","クチンスキス","クチンスキス","クチンスキス"
21,"lv","lɑ͜imdɔtɑ̆","laimdota","ライムドータ","ライムドータ","ライムドータ","ライムドタ","ライムドタ","ライムドータ","ライムドタ","ライムドータ","ライムドータ","ライムドタ"
22,"lv","strɑ͜uʝumɑ̆","straujuma","ストラウユマ","ストラウユマ","ストラウジュマ","ストラウジュマ","ストラウユマ","ストラウユマ","ストラウユーマ","ストラユーマ","ストラウユマ","ストラウユマ"
23,"lv","vɑldĭs","valdis","ヴァルディス","ヴァルディス","ヴァルディス","バルディス","ヴァルディス","ヴァルディス","ヴァルディス","ヴァルディス","ヴァルディス","ヴァルディス"
24,"lv","du͜ombrɔ͜uskĭs","dombrovskis","ドンブロウスキス","ドンブロウスキス","ドンブロフスキス","ドンブロフスキス","ドンブロフスキス","ドンブロフスキス","ドンブロフスキィ","ドンブロフスキス","ドンブロフスキス","ドンブロフスキス"
25,"lv","zɑnĕ","zane","ザネ"," ","ゼイン","ゼイン","ザネ","ザネ","ザネ","ザネ","ザネー","ザネ"
26,"lv","biʧe͜uskɑ̆","bičevska","ビチェフスカ"," ","ビチェフスカ","Bičevska","ビチェフスカ","ビーチェフスカ","ビチェフスカ","ビチェフスカ","ビチェフスカ","ビチェフスカ"
27,"lv","sɑndrĭs","sandris","サンドリス"," ","サンドリス","サンドリス","サンドリス","サンドリス","サンドリス","サンドリス","サンドリス","サンドリス"
28,"lv","lɑːʦĭs","lācis","ラーツィス"," ","クマ","ベア","ラーツィス","ラーチス","ラーツィス","ラーツィス","ラーツィス","ラーツィス"
29,"lv","ʝɑːnĭs","jānis","ヤーニス"," ","ジャニス","ジョン","ヤーニス","ヤーニス","ヤーニス","ヤーンス","ヤーニス","ヤーニス"
30,"lv","pri͜edĕ","priede","プリエデ"," ","プライド","プリエデ","プリェーデ","プリエデ","プリーデ","プリエデ","プリエデ","プリエデ"
31,"lv","vɑldɑ̆","valda","ヴァルダ"," ","ヴァルダ","ヴァルダ","ヴァルダ","ヴァルダ","ヴァルダ","ヴァルダ","ヴァルダ","ヴァルダ"
32,"lv","kʎɑvɑ̆","kļava","クラヴァ"," ","メイプル","Kļava","クラーヴァ","クリャーヴァ","クラーヴァ","クラヴァ","クラーヴァ","クリャヴァ"
33,"lv","lindɑ̆","linda","リンダ"," ","リンダ","リンダ","リンダ","リンダ","リンダ","リンダ","リンダ","リンダ"
34,"lv","dɑni͜elɑ̆","daniela","ダニエラ"," ","ダニエラ","ダニエラ","ダニエラ","ダニエラ","ダニエラ","ダニエラ","ダニエラ","ダニエラ"
35,"lv","mildɑ̆","milda","ミルダ"," ","ミルダ","ミルダ","ミルダ","ミルダ","ミルダ","ミルダ","ミルダ","ミルダ"
36,"lv","puːpɔlĕ","pūpole","プーポレ"," ","プポル","プーポレ","プーポレ","プーポレ","プーポレ","プーポレ","プーポレ","プーポレ"
37,"lv","dɑ͜inĭs","dainis","ダイニス"," ","ダイニス","ダイニス","ダイニス","ダイニス","ダイニス","ダイニス","ダイニス","ダイニス"
38,"lv","tukɑːns","tukāns","トゥカーンス"," ","トゥカン","トゥカーンズ","トゥカーンス","トゥカーンス","トゥカーンス","トゥカーンス","トゥカーンス","トゥカーンス"
39,"lv","uldĭs","uldis","ウルディス"," ","ウルディス","ウルディス","ウルディス","ウルディス","ウルディス","ウルディス","ウルディス","ウルディス"
40,"lv","rɔkpelnĭs","rokpelnis","ロクペルニス"," ","ロクペルニス","ロクペルニス","ロクペルニス","ロクペルニス","ロックペルニス","ロックペルニス","ロクペルニス","ロクペルニス"
41,"lv","mɑrutɑ̆","maruta","マルタ"," ","丸田","丸田","マルタ","マルータ","マルタ","マルタ","マルータ","マルタ"
42,"lv","bruːverĕ","brūvere","ブルーヴェレ"," ","ブリューワー","ブルヴェール","ブルーヴェレ","ブルーヴェレ","ブルヴェーレ","ブルヴェレ","ブルーヴェレ","ブルーヴェレ"
43,"lv","edvɑrʦ","edvards","エドヴァルズ"," ","エドワード","エドワード","エドヴァルズ","エドヴァルド","エドヴァルド","エドヴァルダス","エドヴァルズ","エドヴァルツ"
44,"lv","ʝɑːnĭs","jānis","ヤーニス"," ","ジャニス","ジョン","ヤーニス","ヤーニス","ヤーニス","ヤーンス","ヤーニス","ヤーニス"
45,"lv","reʧiʦkĭs","rečickis","レチツキス"," ","レチキス","レチキス","レチツキス","レーチキス","レチツキィス","レチツキス","レチツキス","レチツキス"
