"","origin","ipa","original","zh/zh-v12-1664-full","zh-w","zh-gt","zh-d","zh-c3","zh-c4","zh-gem","zh-gema","zh-l3","zh-co"
12,"lv","ʃcesterĭ","šķesteri","施凯斯特里"," ","谢斯特里","克罗斯特","斯克斯特里","什克斯特里","什凯斯特里","什凯斯特里","什凯斯特里","什克斯特里"
13,"lv","ɑlːɑʓĭ","allaži","阿拉日"," ","阿拉济","阿拉日","阿拉兹","阿拉兹","阿拉日","阿拉日","阿拉日","阿拉日"
14,"lv","piltenĕ","piltene","皮尔泰内","皮尔泰内","皮尔泰内","皮尔泰内","皮尔特内","皮尔特内","皮尔帖涅","皮尔帖涅","皮尔特内","皮尔特内"
15,"lv","evikɑ̆","evika","艾维卡","埃维卡","艾维卡","埃维卡","艾维卡","埃维卡","埃维卡","艾薇卡","埃维卡","埃维卡"
16,"lv","siliɲɑ̆","siliņa","西利尼亚","西利尼亚","西琳娜","Siliņa","斯利纳","西里尼娜","希利娜","希利尼亚","希利尼亚","西里尼亚"
17,"lv","kriʃʝɑːnĭs","krišjānis","克里沙尼","克里什亚尼斯","克里斯贾尼斯","克里希亚尼斯","克里什亚尼斯","克里沙尼斯","克利沙尼斯","克里斯蒂亚尼斯","克里什亚尼斯","克里夏尼斯"
18,"lv","kɑriɲʃ","kariņš","卡林斯","卡林什","卡里什","卡林斯","卡林什","卡林什","卡里ņš","卡里尼什","卡林什","卡林什"
19,"lv","mɑːrĭs","māris","马里斯","马里斯","马里斯","马里斯","马里斯","马里斯","马力","马里斯","马里斯","马里斯"
20,"lv","kuʧinskĭs","kučinskis","库钦斯基斯","库钦斯基斯","库钦斯基斯","Kučinskis","库奇斯基斯","库钦斯基斯","库钦斯基","库钦斯基","库钦斯基斯","库钦斯基斯"
21,"lv","lɑ͜imdɔtɑ̆","laimdota","莱姆多塔","莱姆多塔","莱姆多塔","莱姆多塔","莱姆多塔","莱姆多塔","莱梅杜奥塔","莱姆多塔","拉伊姆多塔","莱姆多塔"
22,"lv","strɑ͜uʝumɑ̆","straujuma","斯特劳尤马","斯特劳尤马","斯特劳尤马","斯特劳尤马","斯特劳尤马","斯特劳尤玛","斯特劳尤马","斯特劳尤马","斯特劳尤马","斯特劳尤马"
23,"lv","vɑldĭs","valdis","瓦尔季斯","瓦尔季斯","瓦尔迪斯","瓦尔蒂斯","瓦尔迪斯","瓦尔迪斯","瓦尔迪斯","瓦尔迪斯","瓦尔迪斯","瓦尔迪斯"
24,"lv","du͜ombrɔ͜uskĭs","dombrovskis","东布罗夫斯基斯","东布罗夫斯基斯","东布罗夫斯基斯","东布罗夫斯基斯","多姆布罗夫斯基斯","多姆布罗夫斯基斯","多姆布罗夫斯基","多姆布罗夫斯基","多姆布罗夫斯基斯","多姆布罗夫斯基斯"
25,"lv","zɑnĕ","zane","赞恩"," ","赞恩","赞恩","扎内","扎内","扎内","扎内","扎内","扎内"
26,"lv","biʧe͜uskɑ̆","bičevska","比切夫斯卡"," ","比切夫斯卡","比切夫斯卡","比切夫斯卡","比切夫斯卡","比切夫斯卡","比切夫斯卡","比切夫斯卡","比切夫斯卡"
27,"lv","sɑndrĭs","sandris","桑德里斯"," ","桑德里斯","桑德里斯","桑德里斯","桑德里斯","桑迪斯","桑德里斯","桑德里斯","桑德里斯"
28,"lv","lɑːʦĭs","lācis","拉齐斯"," ","熊","熊","拉齐斯","拉奇斯","拉茨","拉茨","拉齐斯","拉齐斯"
29,"lv","ʝɑːnĭs","jānis","雅尼斯"," ","贾尼斯","约翰","亚尼斯","扬尼斯","亚尼斯","亚尼斯","雅尼斯","亚尼斯"
30,"lv","pri͜edĕ","priede","普里代"," ","普里德","普里耶","普里埃德","普里德","普里埃德","普里埃德","普里埃德","普列德"
31,"lv","vɑldɑ̆","valda","瓦尔达"," ","瓦尔达","瓦尔达","瓦尔达","瓦尔达","瓦尔达","瓦尔达","瓦尔达","瓦尔达"
32,"lv","kʎɑvɑ̆","kļava","克拉瓦"," ","枫","克ļava","克拉瓦","克拉瓦","克利亚瓦","克拉瓦","克拉瓦","克里亚瓦"
33,"lv","lindɑ̆","linda","林达"," ","琳达","琳达","林达","琳达","琳达","琳达","林达","琳达"
34,"lv","dɑni͜elɑ̆","daniela","丹妮拉"," ","丹妮拉","达妮埃拉","达涅拉","丹妮埃拉","丹妮埃拉","丹妮埃拉","丹尼拉","达涅拉"
35,"lv","mildɑ̆","milda","米尔达"," ","米尔达","米尔达","米尔达","米尔达","米尔达","米尔达","米尔达","米尔达"
36,"lv","puːpɔlĕ","pūpole","普波莱"," ","普波尔","Pūpole","普普莱","普波勒","普波莱","普波莱","普波莱","普波勒"
37,"lv","dɑ͜inĭs","dainis","戴尼斯"," ","戴尼斯","戴尼斯","戴尼斯","达伊尼斯","戴尼斯","戴尼斯","代尼斯","戴尼斯"
38,"lv","tukɑːns","tukāns","图坎斯"," ","图坎","图卡斯","图坎斯","图坎斯","图卡恩","图卡恩","图卡恩斯","图坎斯"
39,"lv","uldĭs","uldis","乌尔迪斯"," ","乌尔迪斯","乌尔迪斯","乌尔迪斯","乌尔迪斯","武尔迪斯","乌尔迪斯","乌尔迪斯","乌尔迪斯"
40,"lv","rɔkpelnĭs","rokpelnis","罗克佩尔尼斯"," ","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯","罗克佩尔尼斯"
41,"lv","mɑrutɑ̆","maruta","马鲁塔"," ","马鲁塔","马鲁塔","玛鲁塔","玛鲁塔","玛鲁塔","玛鲁塔","马鲁塔","马鲁塔"
42,"lv","bruːverĕ","brūvere","布鲁韦雷"," ","布鲁尔","布鲁维尔","布鲁韦雷","布鲁韦雷","布鲁韦雷","布鲁韦雷","布鲁韦雷","布鲁韦雷"
43,"lv","edvɑrʦ","edvards","埃德瓦茨"," ","爱德华","爱德华","爱德华兹","爱德华兹","爱德华兹","爱德华兹","埃德瓦尔德斯","爱德华兹"
44,"lv","ʝɑːnĭs","jānis","雅尼斯"," ","贾尼斯","约翰","亚尼斯","扬尼斯","亚尼斯","亚尼斯","雅尼斯","亚尼斯"
45,"lv","reʧiʦkĭs","rečickis","雷奇茨基斯"," ","雷西基斯","雷奇基斯","瑞奇茨基斯","雷奇茨基斯","热茨基斯","热茨基斯","雷奇基斯","雷奇茨基斯"
