gerónimo,제로니모,jeronimo
buñuel,부뉴엘,bunyuel
rafael,라파엘,rapael
márquez,마르케스,mareukeseu
fox,폭스,pogseu
santa,산타,santa
anna,아나,ana
marga,마르가,mareuga
adolfo,아돌포,adolpo
ruiz,루이스,ruiseu
cortines,코르티네스,koreutineseu
alberto,알베르토,albereuto
del,델,del
río,리오,rio
olga,올가,olga
costa,코스타,koseuta
obrador,오브라도르,obeuradoreu
óscar,오스카르,oseukareu
hoya,호야,hoya
sergio,세르히오,sereuhio
pérez,페레스,pereseu
juan,후안,huan
rulfo,룰포,rulpo
ernesto,에르네스토,ereuneseuto
zedillo,세디요,sediyo
robles,로블레스,robeulreseu
paulina,파울리나,paulrina
rubio,루비오,rubio
vikki,비키,biki
carr,카,ka
victoriano,빅토리아노,bigtoriano
huerta,우에르타,uereuta
israel,이스라엘,iseurael
castro,카스트로,kaseuteuro
mariano,마리아노,mariano
arista,아리스타,ariseuta
icaza,이카사,ikasa
alejandro,알레한드로,alrehandeuro
iñárritu,이냐리투,inyaritu
pancho,판초,panco
villa,비야,biya
aguirre,아기레,agire
felipe,펠리페,pelripe
calderón,칼데론,kalderon
cantinflas,칸틴플라스,kantinpeulraseu
solís,솔리스,solriseu
madrid,마드리드,madeurideu
lázaro,라사로,rasaro
cárdenas,카르데나스,kareudenaseu
mateos,마테오스,mateoseu
guido,기도,gido
pizarro,피사로,pisaro
olivia,올리비아,olribia
harrison,해리슨,haeriseun
carlton,칼턴,kalteon
cuse,큐스,kyuseu
maribel,마리벨,maribel
domínguez,도밍게스,dominggeseu
montalbán,몬탈반,montalban
mónica,모니카,monika
ocampo,오캄포,okampo
enrique,엔리케,enrike
peña,페냐,penya
nieto,니에토,nieto
silvia,실비아,silbia
pinal,피날,pinal
clemente,클레멘테,keulremente
orozco,오로스코,oroseuko
anthony,앤서니,aenseoni
quinn,퀸,kwin
cuauhtémoc,콰우테모크,kwautemokeu
blanco,블랑코,beulrangko
salcido,살시도,salsido
ignacio,이그나시오,igeunasio
edward,에드워드,edeuweodeu
james,제임스,jeimseu
olmos,올모스,olmoseu
adam,아담,adam
mckay,매케이,maekei
claudio,클라우디오,keulraudio
suárez,수아레스,suareseu
demián,데미안,demian
bichir,비치르,bicireu
kitten,키튼,kiteun
natividad,나티비더드,natibideodeu
gallardo,가야르도,gayareudo
álvaro,알바로,albaro
obregón,오브레곤,obeuregon
john,존,jon
sutter,서터,seoteo
toro,토로,toro
sandra,산드라,sandeura
echeverría,에체베리아,eceberia
anastasio,아나스타시오,anaseutasio
bustamante,부스타만테,buseutamante
oswaldo,오스왈도,oseuwaldo
sánchez,산체스,sanceseu
chávez,차베스,cabeseu
aceves,아세베스,asebeseu
bocanegra,보카네그라,bokanegeura
edgar,에드거,edeugeo
castillo,카스티요,kaseutiyo
cecilia,세실리아,sesilria
elpidia,엘피디아,elpidia
carrillo,카릴로,karilro
pascual,파스쿠알,paseukual
ortiz,오르티스,oreutiseu
osuna,오수나,osuna
millán,밀란,milran
leticia,레티시아,retisia
bárbara,바르바라,bareubara
mori,모리,mori
jacqueline,하켈리네,hakelrine
bracamontes,브라카몬테스,beurakamonteseu
marco,마르코,mareuko
rodríguez,로드리게스,rodeurigeseu
julia,훌리아,hulria
pastrana,파스트라나,paseuteurana
salma,살마,salma
hayek,아예크,ayekeu
danna,다나,dana
paola,파올라,paolra
mario,마리오,mario
van,밴,baen
peebles,피블스,pibeulseu
consuelo,콘수엘로,konsuelro
velázquez,벨라스케스,belraseukeseu
linda,린다,rinda
christian,크리스티안,keuriseutian
libertad,리베르타드,ribereutadeu
lamarque,라마르케,ramareuke
gaitán,가이탄,gaitan
soraya,소라야,soraya
jiménez,히메네스,himeneseu
ulises,울리세스,ulriseseu
dávila,다빌라,dabilra
urrea,우레아,urea
fernando,페르난도,pereunando
valenzuela,발렌수엘라,balrensuelra
tlacotzin,틀라코친,teulrakocin
lupita,루피타,rupita
tovar,토바르,tobareu
brook,브룩,beurug
dulce,둘체,dulce
maría,마리아,maria
canto,칸토,kanto
ailton,아이우통,aiutong
da,다,da
silva,실바,silba
césar,세사르,sesareu
verónica,베로니카,beronika
nailea,나일레아,nailrea
norvind,노르빈드,noreubindeu
oribe,오리베,oribe
peralta,페랄타,peralta
ninel,니넬,ninel
conde,콘데,konde
gómez,고메스,gomeseu
pedraza,페드라사,pedeurasa
mauricio,마우리시오,maurisio
islas,이슬라스,iseulraseu
susana,수사나,susana
félix,펠릭스,pelrigseu
adrián,아드리안,adeurian
ana,아나,ana
claudia,클라우디아,keulraudia
talancón,탈랑콘,talrangkon
fabián,파비안,pabian
iturbide,이투르비데,itureubide
armando,아르만도,areumando
archundia,아르춘디아,areucundia
laura,라우라,raura
harring,해링,haering
torres,토레스,toreseu
nilo,닐로,nilro
maite,마이테,maite
perroni,페로니,peroni
julieta,훌리에타,hulrieta
venegas,베네가스,benegaseu
belinda,벨린다,belrinda
adriana,아드리아나,adeuriana
barraza,바라자,baraja
chavela,차벨라,cabelra
raúl,라울,raul
bach,바흐,baheu
isela,이셀라,iselra
alejandra,알레한드라,alrehandeura
guzmán,구스만,guseuman
zamora,사모라,samora
aarón,아론,aron
hugo,우고,ugo
morales,모랄레스,moralreseu
julio,훌리오,hulrio
depaula,데폴라,depolra
víctor,빅토르,bigtoreu
fonseca,폰세카,ponseka
louvier,루비에르,rubiereu
villagrán,비야그란,biyageuran
osvaldo,오스발도,oseubaldo
benavides,베나비데스,benabideseu
ofelia,오펠리아,opelria
medina,메디나,medina
osorno,오소르노,osoreuno
oneli,오넬리,onelri
subcomandante,부사령관,busaryeonggwan
marcos,마르코스,mareukoseu
manny,매니,maeni
martínez,마르티네스,mareutineseu
gabriel,가브리엘,gabeuriel
valencia,발렌시아,balrensia
justo,후스토,huseuto
corro,코로,koro
barragán,바라간,baragan
alaska,알라스카,alraseuka
iglesias,이글레시아스,igeulresiaseu
martín,마르틴,mareutin
perfecto,페르펙토,pereupegto
cos,코스,koseu
teresa,테레사,teresa
flor,플로르,peulroreu
silvestre,실베스트레,silbeseuteure
esmeralda,에스메랄다,eseumeralda
pimentel,피멘텔,pimentel
sariñana,사리냐나,sarinyana
ángel,앙헬,anghel
ponce,폰세,ponse
nigris,니그리스,nigeuriseu
amaya,아마야,amaya
jaime,하이메,haime
camil,카밀,kamil
alcubierre,알쿠비에레,alkubiere
patricia,파트리시아,pateurisia
rojo,로호,roho
manterola,만테롤라,manterolra
margo,마고,mago
espinoza,에스피노사,eseupinosa
alfredo,알프레도,alpeuredo
jesús,헤수스,hesuseu
corona,코로나,korona
martha,마르타,mareuta
higareda,이가레다,igareda
yovani,요바니,yobani
paty,파티,pati
cantú,칸투,kantu
jay,제이,jei
boneta,보네타,boneta
borja,보르하,boreuha
rodrigo,로드리고,rodeurigo
prieto,프리에토,peurieto
talavera,탈라베라,talrabera
amaury,아모리,amori
aída,아이다,aida
román,로만,roman
érick,에리크,erikeu
padilla,파디야,padiya
laisha,라이샤,raisya
wilkins,윌킨스,wilkinseu
delanda,데란다,deranda
ce,세,se
ácatl,아카틀,akateul
topiltzin,토필친,topilcin
quetzalcóatl,케찰코아틀,kecalkoateul
arcelia,아르셀리아,areuselria
super,슈퍼,syupeo
crazy,크레이지,keureiji
geo,헤오,heo
meneses,메네세스,meneseseu
zaragoza,사라고사,saragosa
y,이,i
ayako,아야코,ayako
hamada,아마다,amada
giovani,조바니,jobani
alcoriza,알코리자,alkorija
eiza,에이사,eisa
néstor,네스토르,neseutoreu
araujo,아라우호,arauho
arturo,아르투로,areuturo
irán,이란,iran
blanca,블랑카,beulrangka
estela,에스텔라,eseutelra
pavón,파본,pabon
rogelio,로헬리오,rohelrio
funes,푸네스,puneseu
barros,바로스,baroseu
natalia,나탈리아,natalria
lafourcade,라푸르카데,rapureukade
clavijero,클라비헤로,keulrabihero
carla,카를라,kareulra
morrison,모리손,morison
vanessa,바네사,banesa
bauche,바우체,bauce
eugenio,에우헤니오,euhenio
derbez,데르베스,dereubeseu
michelle,미첼,micel
renaud,르노,reuno
grettell,그레텔,geuretel
valdez,발데스,baldeseu
ruffo,루포,rupo
manzanero,만사네로,mansanero
yuridia,유리디아,yuridia
ayala,아얄라,ayalra
layún,라윤,rayun
renata,레나타,renata
notni,노트니,noteuni
reyes,레예스,reyeseu
spíndola,스핀돌라,seupindolra
guty,구티,guti
chucho,추초,cuco
navarro,나바로,nabaro
karim,카림,karim
brenda,브렌다,beurenda
contreras,콘트레라스,konteureraseu
altaír,알타이르,altaireu
jarabo,하라보,harabo
aquino,아키노,akino
roberto,로베르토,robereuto
cobo,코보,kobo
núñez,누녜스,nunyeseu
regueiro,레게이로,regeiro
urquiola,우르키올라,ureukiolra
corrales,코랄레스,koralreseu
armén,아르멘,areumen
ohanián,오하냔,ohanyan
stephany,스테파니,seutepani
mayor,마요르,mayoreu
ludwika,루드비카,rudeubika
paleta,팔레타,palreta
valentín,발렌틴,balrentin
canalizo,카날리소,kanalriso
melchor,멜초르,melcoreu
múzquiz,무스키스,museukiseu
rosales,레예스,reyeseu
itatí,이타티,itati
cantoral,칸토랄,kantoral
rivero,리베로,ribero
natasha,나타샤,natasya
dupeyrón,뒤페롱,dwiperong
allende,알렌드,alrendeu
pitol,피톨,pitol
rufino,루피노,rupino
tamayo,타마요,tamayo
emmanuel,에마누엘,emanuel
lubezki,루베스키,rubeseuki
candela,칸델라,kandelra
diana,다이아나,daiana
bracho,브라초,beuraco
novarro,노바로,nobaro
galilea,갈릴레아,galrilrea
montijo,몬티호,montiho
guerra,게라,gera
jenni,제니,jeni
garibay,가리베이,garibei
vergara,베르가라,bereugara
alan,알란,alran
pulido,풀리도,pulrido
camila,카밀라,kamilra
sodi,소디,sodi
negrete,네그레테,negeurete
flores,플로레스,peulroreseu
lombardo,롬바르도,rombareudo
toledano,톨레다노,tolredano
elizabeth,엘리사베트,elrisabeteu
cervantes,세르반테스,sereubanteseu
ely,엘리,elri
carrasco,카라스코,karaseuko
mejía,메히아,mehia
alma,엘머,elmeo
beltran,벨트란,belteuran
nyong'o,뇽오,nyongo
lumi,루미,rumi
cavazos,카바소스,kabasoseu
angélica,앙헬리카,anghelrika
soto,소토,soto
aracely,아라셀리,araselri
arámbula,아람불라,arambulra
dosamantes,도사만테스,dosamanteseu
serradilla,세르라딜라,sereuradilra
mayra,마이라,maira
sérbulo,세르불로,sereubulro
steve,스티브,seutibeu
alanís,로드리게스,rodeurigeseu
marlene,마를렌,mareulren
favela,파벨라,pabelra
cuevas,쿠에바스,kuebaseu
isaac,이사크,isakeu
acuña,아쿠냐,akunya
chaparro,차파로,caparo
mon,몬,mon
laferte,라페르테,rapereute
murguía,무르기아,mureugia
carmen,카르멘,kareumen
aub,아우브,aubeu
daniela,다니엘라,danielra
luján,루한,ruhan
úrsula,우르술라,ureusulra
santana,산타나,santana
colunga,코룬가,korunga
bernardo,베르나르도,bereunareudo
sepúlveda,세풀베다,sepulbeda
amor,아모르,amoreu
pico,피코,piko
fernanda,페르난다,pereunanda
gilbert,길버트,gilbeoteu
roland,롤랜드,rolraendeu
briseño,브리세뇨,beurisenyo
david,다비드,dabideu
zepeda,세페다,sepeda
joakim,호아킴,hoakim
soria,소리아,soria
arau,아라우,arau
garza,가르자,gareuja
gutiérrez,구티에레스,gutiereseu
jacob,하코브,hakobeu
karyme,카리메,karime
lozano,로사노,rosano
eréndira,에렌디라,erendira
ibarra,이바라,ibara
ojeda,오제다,ojeda
taracena,타라세나,tarasena
zambrano,잠브라노,jambeurano
grijalva,그리할바,geurihalba
súper,수페르,supereu
nova,노바,noba
el,엘,el
santo,산토,santo
estrada,에스트라다,eseuteurada
stiglitz,스티글리츠,seutigeulriceu
humberto,움베르토,umbereuto
elizondo,엘리존도,elrijondo
gabriela,가브리엘라,gabeurielra
calva,칼바,kalba
vázquez,바스케스,baseukeseu
méndez,멘데스,mendeseu
jürgen,위르겐,wireugen
damm,담,dam
irene,이레네,irene
azuela,아수엘라,asuelra
máscara,그랜,geuraen
dorada,메탈릭,metalrig
goldani,골다니,goldani
telles,텔레스,telreseu
maya,마야,maya
tito,티토,tito
junco,준코,junko
andrade,안드라데,andeurade
ídolo,알마스,almaseu
sofía,소피아,sopia
cepeda,세페다,sepeda
bucio,부시오,busio
sophie,소피,sopi
alexander,알레한데르,alrehandereu
ténoch,테노치,tenoci
arrieta,아리에타,arieta
carriles,카릴즈,kariljeu
isaác,이사크,isakeu
brizuela,브리수엘라,beurisuelra
nayeli,나옐리,nayelri
rangel,랑헬,ranghel
sauto,사우토,sauto
kristyan,크리스티안,keuriseutian
ferrer,페레르,perereu
mascarita,마스카리타,maseukarita
sagrada,사그라다,sageurada
marina,마리나,marina
tavira,타비라,tabira
salcedo,살세도,salsedo
alcántara,알칸타라,alkantara
goto,고토,goto
rosa,로사,rosa
bianchi,비안치,bianci
karla,카를라,kareulra
souza,소우사,sousa
raquel,라퀠,rakwel
ela,엘라,elra
velden,벨덴,belden
hirving,이르빙,ireubing
orbelín,오르벨린,oreubelrin
pineda,피네다,pineda
rodolfo,로돌포,rodolpo
cota,코타,kota
peter,피터,piteo
gadiot,개디오,gaedio
henry,엔리,enri
michel,미셸,misyel
zachary,재커리,jaekeori
laoutides,래오타이즈,raeotaijeu
adan,아단,adan
cordovabuckley,코르도바버클리,koreudobabeokeulri
yanet,야네트,yaneteu
álex,알렉스,alregseu
verdugo,베르두고,bereudugo
karol,카롤,karol
sevilla,세비야,sebiya
stephanie,스테파니,seutepani
sigman,시그만,sigeuman
roberta,로베르타,robereuta
colindrez,콜린드레스,kolrindeureseu
schloesser,슬루서르,seulruseoreu
melissa,멜리사,melrisa
ilse,일세,ilse
salas,살라스,salraseu
alvarado,알바라도,albarado
montes,몬테스,monteseu
kristal,크리스탈,keuriseutal
uriel,우리엘,uriel
antuna,안투나,antuna
nodal,노달,nodal
córdova,코르도바,koreudoba
dharius,다리우스,dariuseu
arteaga,아르테아가,areuteaga
yago,야구,yagu
alexis,알렉시스,alregsiseu
samuel,사무엘,samuel
burgos,부르고스,bureugoseu
romo,로모,romo
kimberly,킴벌리,kimbeolri
loaiza,로아이사,roaisa
edson,에드손,edeuson
álvarez,알바레스,albareseu
santiago,산티아고,santiago
giménez,히메네스,himeneseu
julián,훌리안,hulrian
lajud,라후드,rahudeu
yalitza,얄리차,yalrica
aparicio,아파리시오,aparisio
kevin,케빈,kebin
andrea,안드레아,andeurea
meza,메사,mesa
johan,요한,yohan
vásquez,바스케스,baseukeseu
luka,루카,ruka
romero,로메로,romero
cabrera,카브레라,kabeurera
avilés,아빌레스,abilreseu
kenia,케니아,kenia
os,오스,oseu
iñaki,이냐키,inyaki
godoy,고도이,godoi
hidalgo,이달고,idalgo
costilla,코스티야,koseutiya
aznar,아스나르,aseunareu
dani,다니,dani
carvajal,카르바할,kareubahal
rubén,루벤,ruben
picasso,피카소,pikaso
paco,파코,pako
lucía,루시아,rusia
guillén,기옌,giyen
echegaray,에체가라이,ecegarai
barenboim,바렌보임,barenboim
ortega,오르테가,oreutega
gasset,가세트,gaseteu
albiol,알비올,albiol
primo,프리모,peurimo
brühl,브륄,beurwil
gris,그리스,geuriseu
alberti,알베르티,albereuti
salvador,살바도르,salbadoreu
dalí,달리,dalri
panizo,파니소,paniso
alkorta,알코르타,alkoreuta
leal,레알,real
joan,주안,juan
miró,미로,miro
cuéllar,케야르,keyareu
montserrat,몽세라,mongsera
caballé,카바예,kabaye
garbiñe,가르비녜,gareubinye
muguruza,무구루사,mugurusa
hernán,에르난,ereunan
cortés,코르테스,koreuteseu
shakira,샤키라,syakira
solana,솔라나,solrana
maceda,마세다,maseda
simón,시몬,simon
bolívar,볼리바르,bolribareu
artur,아르투르,areutureu
mas,마스,maseu
lluís,유이스,yuiseu
llach,야흐,yaheu
abril,아브릴,abeuril
ronaldinho,호나우지뉴,honaujinyu
isco,이스코,iseuko
semprún,셈프룬,sempeurun
camilo,카밀로,kamilro
cela,셀라,selra
plácido,플라시도,peulrasido
domingo,도밍고,dominggo
asier,아시에르,asiereu
illarramendi,이야라멘디,iyaramendi
itziar,이치아르,iciareu
ituño,이투뇨,itunyo
nadal,나달,nadal
marcelo,마르셀루,mareuselru
vieira,비에이라,bieira
wolfgang,볼프강,bolpeugang
ratz,라츠,raceu
epifanio,에피파니오,epipanio
fernández,페르난데스,pereunandeseu
jacinto,하신토,hasinto
benavente,베나벤테,benabente
ricky,리키,riki
martin,마틴,matin
grecia,소피아,sopia
eugenia,외제니,oejeni
almunia,알무니아,almunia
bayo,바요,bayo
patricio,파트리시오,pateurisio
escobal,에스코발,eseukobal
sancho,산초,sanco
gracia,그라시아,geurasia
rajoy,라호이,rahoi
aleixandre,알레익산드레,alreigsandeure
contador,콘타도르,kontadoreu
bardem,바르뎀,bareudem
ángela,앙헬라,anghelra
molina,몰리나,molrina
barranco,바랑코,barangko
martí,마르티,mareuti
sol,솔,sol
catalina,카탈리나,katalrina
aragón,아라곤,aragon
capablanca,카파블랑카,kapabeulrangka
iker,이케르,ikereu
casillas,카시야스,kasiyaseu
alonso,알론소,alronso
zapatero,사파테로,sapatero
marc,마르크,mareukeu
butragueño,부트라게뇨,buteuragenyo
pánfilo,판필로,panpilro
narváez,나르바에스,nareubaeseu
penélope,페넬로페,penelrope
cruz,크루스,keuruseu
llosa,요사,yosa
rafa,라파엘,rapael
benítez,베니테스,beniteseu
erauso,에라우소,erauso
rey,레이,rei
javi,하비,habi
simonet,시모네,simone
julen,훌렌,hulren
lopetegui,로페테기,ropetegi
carme,카르메,kareume
chacón,차콘,cakon
pepe,페페,pepe
reina,레이나,reina
pep,펩,peb
guardiola,과르디올라,gwareudiolra
carles,카를레스,kareulreseu
puyol,푸욜,puyol
onetti,오네티,oneti
thiago,티아고,tiago
federico,페데리코,pederiko
lorca,로르카,roreuka
banderas,반데라스,banderaseu
remón,레몬,remon
lope,로페,rope
soriano,소리아노,soriano
di,디,di
stéfano,스테파노,seutepano
cesc,세스크,seseukeu
fàbregas,파브레가스,pabeuregaseu
xavi,차비,cabi
gerard,제라르드,jerareudeu
piqué,피케,pike
jean,장,jang
reno,르노,reuno
gea,헤아,hea
pinto,핀토,pinto
calatrava,칼라트라바,kalrateuraba
isabel,이사벨,isabel
borbónparma,이사벨라,isabelra
bojan,보얀,boyan
krkić,크르키치,keureukici
mata,마타,mata
iniesta,이니에스타,inieseuta
cajal,카할,kahal
loyola,로욜라,royolra
güiza,귀사,gwisa
curro,쿠로,kuro
matilde,마틸데,matilde
camus,카무스,kamuseu
barca,바르카,bareuka
vasco,바스코,baseuko
balboa,발보아,balboa
rouco,로우코,rouko
varela,발레라,balrera
pierreemerick,피에르에므리크,piereuemeurikeu
aubameyang,오바메양,obameyang
unamuno,우나무노,unamuno
xisco,시스코,siseuko
guaita,과이타,gwaita
bernat,베르나트,bereunateu
morientes,모리엔테스,morienteseu
parejo,파레호,pareho
canales,카날레스,kanalreseu
samaranch,사마란치,samaranci
emma,에마,ema
penella,페넬라,penelra
navas,나바스,nabaseu
markel,마르켈,mareukel
susaeta,수사에타,susaeta
mikel,미켈,mikel
arteta,아르테타,areuteta
santi,산티,santi
cazorla,카소를라,kasoreulra
fiz,피스,piseu
iago,이아고,iago
aspas,아스파스,aseupaseu
busquets,부스케츠,buseukeceu
morata,모라타,morata
amarilla,아마리야,amariya
cuenca,쿠엥카,kuengka
callejón,카예혼,kayehon
caicedo,카이세도,kaisedo
manolo,마누엘,manuel
preciado,프레시아도,peuresiado
cristian,크리스티안,keuriseutian
tello,테요,teyo
antoni,안토니,antoni
gaudí,가우디,gaudi
insúa,인수아,insua
quique,키케,kike
marchena,마르체나,mareucena
floro,플로로,peulroro
ferrero,페레로,perero
albéniz,알베니스,albeniseu
servet,세르베투스,sereubetuseu
alves,아우베스,aubeseu
saviola,사비올라,sabiolra
cienfuegos,시엔푸에고스,sienpuegoseu
aritz,아리츠,ariceu
aduriz,아두리스,aduriseu
almodóvar,알모도바르,almodobareu
jordi,조르디,joreudi
rojas,로자스,rojaseu
adelardo,아델라르도,adelrareudo
segura,세구라,segura
bueno,부에노,bueno
arantxa,아란차,aranca
vicario,비카리오,bikario
llorente,요렌테,yorente
cierva,휘에르바,hwiereuba
soler,솔레르,solrereu
deulofeu,데울로페우,deulropeu
milla,미야,miya
sarabia,사라비아,sarabia
balenziaga,발렌시아가,balrensiaga
amancio,아만시오,amansio
galdós,갈도스,galdoseu
gonzalo,곤살로,gonsalro
alarcón,알라르콘,alrareukon
jaume,자우메,jaume
colletserra,코예트세라,koyeteusera
crespo,크레스포,keureseupo
jesé,헤세,hese
urdangarin,우르단가린,ureudangarin
bartolomé,바르톨로메,bareutolrome
esteban,에스테반,eseuteban
murillo,무리요,muriyo
segovia,세고비아,segobia
raymond,레몽,remong
domenech,도메네크,domenekeu
aguilera,아길레라,agilrera
gaspar,가스파르,gaseupareu
casemiro,카제미루,kajemiru
domènec,도메네크,domenekeu
balmanya,발마냐,balmanya
cea,세아,sea
verdasco,베르다스코,bereudaseuko
bosé,보세,bose
gabri,가브리,gabeuri
jon,혼,hon
andoni,안도니,andoni
goikoetxea,고이코에체아,goikoecea
aleix,알레시,alresi
vidal,비달,bidal
quevedo,케베도,kebedo
moyá,모야,moya
pau,파우,pau
gasol,가솔,gasol
gregorio,그레고리오,geuregorio
manzano,만사노,mansano
abalo,아발로,abalro
vizcaíno,비스카이노,biseukaino
otero,오테로,otero
josep,주제프,jujepeu
escolà,에스콜라,eseukolra
falla,파야,paya
fernándezcavada,페르난데스카바다,pereunandeseukabada
grimaldo,그리말도,geurimaldo
benicio,베니시오,benisio
senna,세나,sena
rexach,렉사치,regsaci
xabi,샤비,syabi
farías,파리아스,pariaseu
gurpegi,구르페기,gureupegi
ferrán,페란,peran
corominas,코로미나스,korominaseu
postigo,포스티고,poseutigo
eva,에바,eba
elcano,엘카노,elkano
ismael,이스마엘,iseumael
urzaiz,우르사이스,ureusaiseu
baltasar,발타사르,baltasareu
gracián,그라시안,geurasian
ibai,이바이,ibai
guti,구티,guti
muñoz,무뇨스,munyoseu
valverde,발베르데,balbereude
amorós,아모로스,amoroseu
valdo,발도,baldo
huélamo,우엘라모,uelramo
caparrós,카파로스,kaparoseu
lopo,로포,ropo
tomás,토마스,tomaseu
heriberto,에리베르토,eribereuto
calatayud,칼라타유드,kalratayudeu
riesgo,리에스고,rieseugo
azaña,아사냐,asanya
riego,리에고,riego
bécquer,베케르,bekereu
molowny,몰로니,molroni
albert,알베르트,albereuteu
rocas,로카스,rokaseu
manu,마누엘,manuel
artigas,아르티가스,areutigaseu
tosar,토사르,tosareu
hierro,이에로,iero
farnesio,파르네세,pareunese
nando,난도,nando
mayorga,마요르가,mayoreuga
eduardo,에두아르도,eduareudo
noriega,노리에가,noriega
habas,아바스,abaseu
manolete,마놀레테,manolrete
eguiazábal,에기아사발,egiasabal
puerta,푸에르타,puereuta
las,라스,raseu
casas,카사스,kasaseu
hombrados,옴브라도스,ombeuradoseu
pahiño,파이뇨,painyo
entrerríos,엔트레리오스,enteurerioseu
gonzalvo,곤살보,gonsalbo
baena,바에나,baena
bayona,바요나,bayona
porta,포르타,poreuta
casals,카살스,kasalseu
buenaventura,부에나벤투라,buenabentura
durruti,두루티,duruti
chao,차오,cao
orellana,오레야나,oreyana
juanmi,후안미,huanmi
espronceda,에스프론세다,eseupeuronseda
zurbarán,수르바란,sureubaran
mercedes,메르세데스,mereusedeseu
sampietro,삼피에트로,sampieteuro
poli,이폴리토,ipolrito
rincón,링콘,ringkon
quincoces,킹코세스,kingkoseseu
iribar,이리바르,iribareu
galarreta,갈라레타,galrareta
torre,토레,tore
eusebio,에우세비오,eusebio
sacristán,사크리스탄,sakeuriseutan
negredo,네그레도,negeuredo
sainz,사인스,sainseu
lennie,레니에,renie
palop,팔로프,palropeu
oier,오이에르,oiereu
olazábal,올라사발,olrasabal
romà,로마,roma
