françois,프랑수아,peurangsua
landry,란드리,randeuri
n'guemo,눈게모,nungemo
yoan,요안,yoan
gouffran,구프랑,gupeurang
ravel,라벨,rabel
frédéric,프레데리크,peurederikeu
chopin,쇼팽,syopaeng
philippe,필리프,pilripeu
pétain,페탱,petaeng
adolphe,아돌프,adolpeu
thiers,티에르,tiereu
héloïse,엘로이즈,elroijeu
alfred,알프레드,alpeuredeu
sauvy,소비,sobi
bastiat,바스티아,baseutia
jeanbaptiste,장바티스트,jangbatiseuteu
say,세,se
arnault,아르노,areuno
benoît,브누아,beunua
trémoulinas,트레물리나,teuremulrina
quesnay,케네,kene
m'baye,음바예,eumbaye
niang,니앙,niang
marc,마르크,mareukeu
planus,플라뉘,peulranwi
édith,에디트,editeu
piaf,피아프,piapeu
leblanc,르블랑,reubeulrang
messier,메시에,mesie
josé,조제,joje
bové,보베,bobe
pierrejoseph,피에르조제프,piereujojepeu
proudhon,프루동,peurudong
audran,오드랑,odeurang
rachida,라시다,rasida
dati,다티,dati
florian,플로리앙,peulroriang
thauvin,토뱅,tobaeng
aznavour,아즈나부르,ajeunabureu
renaud,르노,reuno
lavillenie,라빌레니,rabilreni
serge,세르주,sereuju
gainsbourg,갱스부르,gaengseubureu
jeanluc,장뤼크,jangrwikeu
mélenchon,멜랑숑,melrangsyong
laurent,로랑,rorang
blanc,블랑,beulrang
zinédine,지네딘,jinedin
zidane,지단,jidan
robert,로베르,robereu
schuman,쉬망,swimang
thiry,티리,tiri
d'holbach,돌바크,dolbakeu
alice,알리스,alriseu
belaïdi,벨라이디,belraidi
giroud,지루,jiru
wahbi,와흐비,waheubi
khazri,카즈리,kajeuri
joseph,조제프,jojepeu
gallieni,갈리에니,galrieni
jeanarmel,장아르멜,jangareumel
kanabiyik,카나비크,kanabikeu
eugène,외젠,oejen
delacroix,들라크루아,deulrakeurua
marie,마리,mari
curie,퀴리,kwiri
marcel,마르셀,mareusel
duchamp,뒤샹,dwisyang
doré,도레,dore
julien,쥘리앵,jwilriaeng
offray,오프루아,opeurua
la,라,ra
mettrie,메트리,meteuri
durkheim,뒤르켐,dwireukem
évariste,에바리스트,ebariseuteu
galois,갈루아,galrua
lloris,요리스,yoriseu
corentin,코랑탱,korangtaeng
martins,마르탱,mareutaeng
delaunay,들로네,deulrone
seurat,쇠라,soera
jules,쥘,jwil
verne,베른,bereun
barbusse,바르뷔스,bareubwiseu
karim,카림,karim
benzema,벤제마,benjema
florent,플로랑,peulrorang
malouda,말루다,malruda
koscielny,코시엘니,kosielni
tristan,트리스탕,teuriseutang
tzara,차라,cara
mehdi,메디,medi
mostefa,모스테파,moseutepa
sambou,삼부,sambu
yatabaré,야타바레,yatabare
yohan,요안,yoan
cabaye,카바예,kabaye
adil,아딜,adil
rami,라미,rami
sophie,소피,sopi
germain,제르맹,jereumaeng
toifilou,투아필루,tuapilru
maoulida,마울리다,maulrida
jérôme,제롬,jerom
rothen,로탕,rotang
oumar,우마르,umareu
sissoko,시소코,sisoko
courbet,쿠르베,kureube
appert,아페르,apereu
simone,시몬,simon
beauvoir,보부아르,bobuareu
mexès,멕세스,megseseu
patrice,파트리스,pateuriseu
évra,에브라,ebeura
ribéry,리베리,riberi
albert,알베르,albereu
camus,카뮈,kamwi
ismaël,이스마엘,iseumael
traoré,트라오레,teuraore
jonathan,조나탕,jonatang
schmid,슈미트,syumiteu
ayité,아이테,aite
yann,얀,yan
m'vila,음빌라,eumbilra
alou,알루,alru
diarra,디아라,diara
fernandel,페르낭델,pereunangdel
steve,스테브,seutebeu
mandanda,망당다,mangdangda
jérémy,제레미,jeremi
ménez,메네즈,menejeu
marieanne,마리안,marian
pierrette,폴즈,poljeu
paulze,라부아지에,rabuajie
manet,마네,mane
girard,지라르,jirareu
anthony,앙토니,angtoni
réveillère,레베이에르,rebeiereu
blaise,블레즈,beulrejeu
matuidi,마튀디,matwidi
samir,사미르,samireu
nasri,나스리,naseuri
mathieu,마티외,matioe
valbuena,발뷔에나,balbwiena
proust,프루스트,peuruseuteu
cézanne,세잔,sejan
roger,로제,roje
martin,마르탱,mareutaeng
gard,가르,gareu
éric,에리크,erikeu
abidal,아비달,abidal
nadar,나다르,nadareu
ney,네,ne
becquerel,베크렐,bekeurel
catalan,카탈랑,katalrang
marvin,마르빈,mareubin
compper,콤퍼,kompeo
hatem,아템,atem
ben,벤,ben
arfa,아르파,areupa
brigitte,브리지트,beurijiteu
bardot,바르도,bareudo
sidney,시드네,sideune
govou,고부,gobu
cédric,세드리크,sedeurikeu
carrasso,카라소,karaso
renoir,르누아르,reunuareu
djibril,지브릴,jibeuril
cissé,시세,sise
charlotte,샤를로트,syareulroteu
bonnet,보네,bone
igor,이고르,igoreu
stravinsky,스트라빈스키,seuteurabinseuki
beckett,베케트,beketeu
bacary,바카리,bakari
sagna,사냐,sanya
william,윌리엄,wilrieom
gallas,갈라스,galraseu
sébastien,세바스티앵,sebaseutiaeng
squillaci,스킬라치,seukilraci
andrépierre,앙드레피에르,angdeurepiereu
gignac,지냐크,jinyakeu
irène,이렌,iren
joliotcurie,졸리오퀴리,jolriokwiri
anelka,아넬카,anelka
jeanmarc,장마르크,jangmareukeu
ayrault,에로,ero
offenbach,오펜바흐,openbaheu
donzelli,돈젤리,donjelri
gauguin,고갱,gogaeng
poussin,푸생,pusaeng
abou,아부,abu
diaby,디아비,diabi
toulalan,툴랄랑,tulralrang
bonaparte,보나파르트,bonapareuteu
mitterrand,미테랑,miterang
dumas,뒤마,dwima
daguerre,다게르,dagereu
bergson,베르그손,bereugeuson
marouane,마루안,maruan
chamakh,샤마크,syamakeu
dominique,도미니크,dominikeu
pinon,피뇽,pinyong
anatole,아나톨,anatol
france,프랑스,peurangseu
derrida,데리다,derida
alekhine,알레힌,alrehin
sully,쉴리,swilri
prudhomme,프뤼돔,peurwidom
pompidou,퐁피두,pongpidu
valéry,발레리,balreri
giscard,지스카르,jiseukareu
d'estaing,데스탱,deseutaeng
jarry,자리,jari
loeb,뢰브,roebeu
david,다비드,dabideu
ginola,지놀라,jinolra
jeanétienne,장에티엔,jangetien
guettard,게타르,getareu
sophia,소피아,sopia
loren,로렌,roren
bixente,빅상트,bigsangteu
lizarazu,리자라쥐,rijarajwi
alejo,알레호,alreho
carpentier,카르펜티에르,kareupentiereu
maurras,모라스,moraseu
fourier,푸리에,purie
django,장고,janggo
reinhardt,라인하르트,rainhareuteu
chirac,시라크,sirakeu
boris,보리스,boriseu
vian,비앙,biang
mistral,미스트랄,miseuteural
simon,시몽,simong
catherine,카트린,kateurin
médicis,메디시스,medisiseu
youri,유리,yuri
djorkaeff,조르카에프,joreukaepeu
louise,루이즈,ruijeu
robbegrillet,로브그리예,robeugeuriye
villepin,빌팽,bilpaeng
rigobert,리고베르,rigobereu
song,송,song
dukas,뒤카스,dwikaseu
juppé,쥐페,jwipe
coluche,콜루슈,kolrusyu
funès,퓌네스,pwineseu
guetta,게타,geta
flaubert,플로베르,peulrobereu
reno,르노,reuno
saintjohn,생존,saengjon
perse,페르스,pereuseu
puvis,퓌뷔,pwibwi
chavannes,샤반,syaban
hippolyte,이폴리트,ipolriteu
fizeau,피조,pijo
fouché,푸셰,pusye
gabriel,가브리엘,gabeuriel
lippmann,리프만,ripeuman
mohamed,모하메드,mohamedeu
antoine,앙투안,angtuan
saintexupéry,생텍쥐페리,saengtegjwiperi
guillaume,기욤,giyom
apollinaire,아폴리네르,apolrinereu
antoinejean,앙투안장,angtuanjang
gros,그로,geuro
jeunet,죄네,joene
fabius,파비위스,pabiwiseu
george,조지,joji
sand,상드,sangdeu
aragon,아라공,aragong
marion,마리옹,mariong
cotillard,코티야르,kotiyareu
voltaire,볼테르,boltereu
maximilien,막시밀리앵,magsimilriaeng
robespierre,로베스피에르,robeseupiereu
andré,앙드레,angdeure
the,더,deo
giant,자이언트,jaieonteu
foucault,푸코,puko
heinrich,하인리히,hainrihi
heine,하이네,haine
thierry,티에리,tieri
omeyer,오메예르,omeyereu
bourgeois,부르주아,bureujua
wiltord,윌토르,wiltoreu
camille,카미유,kamiyu
pissarro,피사로,pisaro
gamelin,가믈랭,gameulraeng
resnais,레네,rene
jacob,자코브,jakobeu
kanouté,카누테,kanute
platini,플라티니,peulratini
aulas,올라스,olraseu
lacombe,라콩브,rakongbeu
descartes,데카르트,dekareuteu
omnès,옴네,omne
aurore,오로르,ororeu
clément,클레망,keulremang
wissam,위삼,wisam
yedder,예데르,yedereu
floyd,플로이드,peulroideu
queneau,크노,keuno
guy,기,gi
maupassant,모파상,mopasang
willy,윌리,wilri
sagnol,사뇰,sanyol
alphonse,알퐁스,alpongseu
manaudou,마노두,manodu
lucas,뤼카,rwika
muffat,뮈파,mwipa
herriot,에리오,erio
tussaud,튀소,twiso
jeanjacques,장자크,jangjakeu
goldman,골드만,goldeuman
ousmane,우스만,useuman
coulibaly,쿨리발리,kulribalri
étienne,에티엔,etien
kellermann,켈레르만,kelrereuman
honoré,오노레,onore
balzac,발자크,baljakeu
zabou,자부,jabu
breitman,브레이트만,beureiteuman
tocqueville,토크빌,tokeubil
nadia,나디아,nadia
boulanger,불랑제,bulrangje
bruno,브뤼노,beurwino
cremer,크레메르,keuremereu
rogervasselin,로제바슬랭,rojebaseulraeng
anaïs,아나이스,anaiseu
nin,닌,nin
manuel,마뉘엘,manwiel
valls,발스,balseu
millerand,밀랑,milrang
josephignace,조제프이냐스,jojepeuinyaseu
guillotin,기요탱,giyotaeng
abdou,압두,abdu
diouf,디우프,diupeu
giuly,지울리,jiulri
vingttrois,뱅트루아,baengteurua
boulle,불,bul
citroën,시트로엥,siteuroeng
pierreemerick,피에르에므리크,piereuemeurikeu
aubameyang,오바메양,obameyang
prost,프로스트,peuroseuteu
raoul,라울,raul
dufy,뒤피,dwipi
élie,엘리,elri
cartan,카르탕,kareutang
christophe,크리스토프,keuriseutopeu
lemaitre,르메트르,reumeteureu
coco,코코,koko
chanel,샤넬,syanel
laure,로르,roreu
anne,안,an
turgot,튀르고,twireugo
carla,카를라,kareulra
bruni,브루니,beuruni
lacoste,라코스트,rakoseuteu
élise,엘리즈,elrijeu
bussaglia,부사글리아,busageulria
éliphas,엘리파스,elripaseu
lévi,레비,rebi
anggun,앙군,anggun
élodie,엘로디,elrodi
frégé,프레제,peureje
navarre,나바르,nabareu
thomis,토미스,tomiseu
stephanie,스테퍼니,seutepeoni
szostak,쇼스택,syoseutaeg
maritain,마리탱,maritaeng
daniel,다니엘,daniel
schneidermann,슈네데르만,syunedereuman
yannick,야니크,yanikeu
noah,노아,noa
patrick,파트리크,pateurikeu
modiano,모디아노,modiano
andréjacques,앙드레자크,angdeurejakeu
garnerin,가르느랭,gareuneuraeng
mauricequentin,캉탱,kangtaeng
tour,투르,tureu
rio,리오,rio
mavuba,마뷔바,mabwiba
man,만,man
ray,레이,rei
miralem,미랄렘,miralrem
pjanić,퍄니치,pyanici
millet,밀레,milre
corot,코로,koro
armand,아르망,areumang
lwoff,르보프,reubopeu
benveniste,뱅베니스트,baengbeniseuteu
boutroux,부트루,buteuru
bréhier,브레이에,beureie
picard,피카르,pikareu
dacourt,다쿠르,dakureu
luis,루이스,ruiseu
fernandez,페르난데스,pereunandeseu
barrès,바레스,bareseu
vieira,비에라,biera
edgar,에드가,edeuga
degas,드가,deuga
francis,프랑시스,peurangsiseu
lai,레,re
pavel,파벨,pabel
dourov,두로프,duropeu
marcvivien,마르크비비앙,mareukeubibiang
foé,푀,poe
soboul,소불,sobul
combes,콩브,kongbeu
brissot,브리소,beuriso
théodore,테오도르,teodoreu
bèze,베즈,bejeu
saintsaëns,생상스,saengsangseu
beigbeder,베그베데,begeubede
lalo,랄로,ralro
doumergue,두메르그,dumereugeu
brakni,브라크니,beurakeuni
ivan,이반,iban
bounine,부닌,bunin
mickaël,미카엘,mikael
landreau,랑드로,rangdeuro
froissart,프루아사르,peuruasareu
malot,말로,malro
romain,로맹,romaeng
rolland,롤랑,rolrang
renard,르나르,reunareu
achard,아샤르,asyareu
gérard,제라르,jerareu
philipe,필리프,pilripeu
lucien,뤼시앵,rwisiaeng
malraux,말로,malro
germaine,제르멘,jereumen
dulac,뒬락,dwilrag
clotilde,클로틸드,keulrotildeu
hesme,엠,em
bernanos,베르나노스,bereunanoseu
charrière,샤리에르,syariereu
cassini,카시니,kasini
maurois,모루아,morua
maria,마리아,maria
schneider,슈나이더,syunaideo
buridan,뷔리당,bwiridang
marieantoinette,마리,mari
d'autriche,도트리슈,doteurisyu
gide,지드,jideu
arsène,아르센,areusen
wenger,벵거,benggeo
murat,뮈라,mwira
anouk,아누크,anukeu
aimée,에메,eme
mariejosé,마리조제,marijoje
pérec,페레크,perekeu
aïssé,아이세,aise
daudet,도데,dode
györgy,죄르지,joereuji
kurtág,쿠르탁,kureutag
didier,디디에,didie
drogba,드로그바,deurogeuba
laval,라발,rabal
messiaen,메시앙,mesiang
signac,시냐크,sinyakeu
ulrich,윌리시,wilrisi
ramé,라메,rame
louisferdinand,루이페르디낭,ruipereudinang
céline,셀린,selrin
zoumana,주마나,jumana
camara,카마라,kamara
zoé,조에,joe
joséphine,조제핀,jojepin
baker,베이커,beikeo
nicole,니콜,nikol
maurey,모리,mori
brochet,브로셰,beurosye
éluard,엘뤼아르,elrwiareu
réard,레아르,reareu
martine,마르틴,mareutin
aubry,오브리,obeuri
yeardley,야들리,yadeulri
smith,스미스,seumiseu
feydeau,페도,pedo
fontaine,퐁텐,pongten
ambroise,앙브루아즈,angbeuruajeu
paré,파레,pare
pascal,파스칼,paseukal
chimbonda,심봉다,simbongda
painlevé,팽르베,paengreube
lafforgue,라포르그,raporeugeu
masson,마송,masong
blanchot,블랑쇼,beulrangsyo
diane,디안,dian
poitiers,푸아티에,puatie
richard,리샤르,risyareu
faubert,포베르,pobereu
tarde,타르드,tareudeu
carlos,카를로스,kareulroseu
gardel,가르델,gareudel
hortense,오르탕스,oreutangseu
beauharnais,보아르네,boareune
ratsiraka,라치라카,raciraka
agnès,아녜스,anyeseu
varda,바르다,bareuda
vuitton,비통,bitong
ronsard,롱사르,rongsareu
capa,카파,kapa
dausset,도세,dose
mariethérèse,마리테레즈,mariterejeu
schweitzer,슈바이처,syubaiceo
matthieu,마티외,matioe
delpierre,델피에르,delpiereu
méliès,멜리에스,melrieseu
íngrid,잉그리드,inggeurideu
betancourt,베탕쿠르,betangkureu
isabelle,이자벨,ijabel
aubret,오브레,obeure
louisclaude,루이클로드,ruikeulrodeu
daquin,다캥,dakaeng
lamy,라미,rami
schaeffer,셰페르,syepereu
dupré,뒤프레,dwipeure
philibert,필리베르,pilribereu
tsiranana,치라나나,ciranana
jacek,야체크,yacekeu
bąk,봉크,bongkeu
jan,얀,yan
guillou,기유,giyu
couperin,쿠프랭,kupeuraeng
hugues,위그,wigeu
aufray,오프레,opeure
césar,세자르,sejareu
charpak,샤르파크,syareupakeu
emmanuel,에마뉘엘,emanwiel
levinas,레비나스,rebinaseu
trierweiler,트리에르바일레르,teuriereubailrereu
peter,피터,piteo
brook,브룩,beurug
françoisrené,프랑수아르네,peurangsuareune
chateaubriand,샤토브리앙,syatobeuriang
trichet,트리셰,teurisye
iannis,이안니스,ianniseu
xenakis,크세나키스,keusenakiseu
leslie,레슬리,reseulri
caron,카롱,karong
ève,이브,ibeu
leroy,르루아,reurua
caro,카로,karo
mauriat,모리아,moria
rohmer,로메르,romereu
gaylussac,게이뤼삭,geirwisag
rond,롱,rong
d'alembert,달랑베르,dalrangbereu
michèle,미셸,misyel
mercier,메르시에,mereusie
micheline,미셸린,misyelrin
bernardini,베르나르디니,bereunareudini
vanessa,바네사,banesa
paradis,파라디,paradi
cassandre,카산드르,kasandeureu
fert,페르,pereu
jolivet,졸리베,jolribe
tony,토니,toni
estanguet,에스탕게,eseutangge
jacqueline,자클린,jakeulrin
boyer,부아예,buaye
marcellin,마르슬랭,mareuseulraeng
marbot,마르보,mareubo
danielle,다니엘,daniel
rousseau,루소,ruso
rafik,라피크,rapikeu
djebbour,제부르,jebureu
distin,디스탱,diseutaeng
tati,타티,tati
roman,로만,roman
polanski,폴란스키,polranseuki
marguerite,마르그리트,mareugeuriteu
duras,뒤라스,dwiraseu
fourniret,푸르니레,pureunire
delors,들로르,deulroreu
adriana,아드리아나,adeuriana
karembeu,카랑뵈,karangboe
renault,르노,reuno
cresson,크레송,keuresong
bianchi,비앙키,biangki
starck,스타르크,seutareukeu
claire,클레르,keulrereu
keim,켐,kem
moïse,모이즈,moijeu
kisling,키슬링,kiseulring
carné,카르네,kareune
arp,아르프,areupeu
braque,브라크,beurakeu
celan,첼란,celran
henriette,잉글랜드의,inggeulraendeuyi
d'angleterre,헨리에타,henrieta
léa,레아,rea
seydoux,세두,sedu
flameng,플라멩,peulrameng
jeanalain,장알랭,jangalraeng
boumsong,붐송,bumsong
cheyrou,셰이루,syeiru
lafargue,라파르그,rapareugeu
samy,사미,sami
naceri,나세리,naseri
lanti,랑티,rangti
godard,고다르,godareu
truffaut,트뤼포,teurwipo
aristide,아리스티드,ariseutideu
maillol,마욜,mayol
angélique,앙젤리크,angjelrikeu
kidjo,키조,kijo
schumann,슈만,syuman
monod,모노,mono
marieadélaïde,사부아의,sabuayi
savoie,아델라이드,adelraideu
chiara,키아라,kiara
mastroianni,마스트로이안니,maseuteuroianni
diaw,디아우,diau
safet,사페트,sapeteu
sušić,수시치,susici
lucheni,루케니,rukeni
saintvictor,생빅토르,saengbigtoreu
tchéky,체키,ceki
karyo,카료,karyo
vittorio,비토리오,bitorio
sica,시카,sika
borel,보렐,borel
arago,아라고,arago
odilon,오딜롱,odilrong
redon,르동,reudong
leszczynska,레슈친스카,resyucinseuka
françoise,프랑수아즈,peurangsuajeu
hardy,아르디,areudi
vasarely,바사렐리,basarelri
freycinet,프레시네,peuresine
arielle,애리엘,aeriel
dombasle,돔바슬,dombaseul
arnaud,아르노,areuno
stanislas,스타니스와프,seutaniseuwapeu
leszczynski,레슈친스키,resyucinseuki
mahut,마위,mawi
suzanne,쉬잔,swijan
lenglen,랑글렌,ranggeulren
max,막스,magseu
ernst,에른스트,ereunseuteu
valeria,발레리아,balreria
tedeschi,테데스키,tedeseuki
salvador,살바도르,salbadoreu
ferrat,페라,pera
kontchalovski,콘찰롭스키,koncalrobseuki
léopold,레오폴,reopol
sédar,세다르,sedareu
senghor,상고르,sanggoreu
annaud,아노,ano
sorel,소렐,sorel
casimir,카지미르,kajimireu
perier,페리에,perie
morin,모랭,moraeng
anna,아나,ana
karina,카리나,karina
renée,르네,reune
adorée,애도레이,aedorei
paulboncour,폴봉쿠르,polbongkureu
chasles,샬,syal
serrault,세로,sero
giraud,지로,jiro
nicot,니코,niko
henrigeorges,앙리조르주,angrijoreuju
clouzot,클루조,keulrujo
jouhaux,주오,juo
léotard,레오타르,reotareu
chabrol,샤브롤,syabeurol
becker,베케르,bekereu
gnassingbé,냐싱베,nyasingbe
eyadéma,에야데마,eyadema
malle,말,mal
bresson,브레송,beuresong
sandrine,상드린,sangdeurin
bonnaire,보네르,bonereu
néel,네엘,neel
rouault,루오,ruo
bassong,바송,basong
bouvard,부바르,bubareu
laurencin,로랑생,rorangsaeng
madame,마담,madam
lamballe,랑발,rangbal
cassin,카생,kasaeng
clémence,클레망스,keulremangseu
poésy,포에지,poeji
vigo,비고,bigo
tourneur,투르뇌,tureunoe
lila,릴라,rilra
kedrova,케드로바,kedeuroba
ophüls,오퓔스,opwilseu
bernadette,베르나데트,bereunadeteu
soubirous,수비루,subiru
boulez,불레즈,bulrejeu
bourdieu,부르디외,bureudioe
derain,드랭,deuraeng
ludivine,뤼디빈,rwidibin
sagnier,사니에,sanie
scribe,스크리브,seukeuribeu
furet,퓌레,pwire
maginot,마지노,majino
jeanantoine,장앙투안,jangangtuan
houdon,우동,udong
gad,가드,gadeu
elmaleh,엘마레,elmare
brune,브뢴,beuroen
dutilleux,뒤티외,dwitioe
roux,루,ru
koyré,쿠아레,kuare
andry,안드리,andeuri
rajoelina,라조엘리나,rajoelrina
edgard,에드가르,edeugareu
varèse,바레즈,barejeu
bizet,비제,bije
ismaïl,이스마일,iseumail
omar,오마르,omareu
guelleh,겔레,gelre
döblin,되블린,doebeulrin
thibaud,티보,tibo
kléber,클레베르,keulrebereu
cassel,카셀,kasel
federico,페데리코,pederiko
leloir,를루아르,reulruareu
àstrid,아스트리드,aseuteurideu
bergèsfrisbey,베르제프리스베,bereujepeuriseube
darrieux,다리외,darioe
jeannie,자니,jani
longo,롱고,ronggo
mauroy,모루아,morua
juliette,쥘리에트,jwilrieteu
gréco,그레코,geureko
nicolle,니콜,nikol
long,롱,rong
lombard,롬바드,rombadeu
nina,니나,nina
ricci,리치,rici
gabrielle,가브리엘,gabeuriel
polignac,폴리냐크,polrinyakeu
souphanouvong,수파누봉,supanubong
savorgnan,사보르냥,saboreunyang
brazza,브라자,beuraja
valadon,발라동,balradong
bloch,블로크,beulrokeu
christian,크리스티앙,keuriseutiang
walter,발터,balteo
darlan,다를랑,dareulrang
waldteufel,발퇴펠,baltoepel
nolwenn,놀웬,nolwen
biot,비오,bio
fernand,페르낭,pereunang
léger,레제,reje
marceau,마르소,mareuso
alberto,알베르토,albereuto
giacometti,자코메티,jakometi
christine,크리스틴,keuriseutin
pizan,피장,pijang
emmanuelle,에마뉘엘,emanwiel
seigner,세니에르,seniereu
yoyo,요요,yoyo
ma,마,ma
abdoul,압둘,abdul
mbaye,음바예,eumbaye
élisabeth,엘리자베트,elrijabeteu
jacquet,자케,jake
guerre,게르,gereu
mistinguett,미스탱게트,miseutaenggeteu
danielfrançoisesprit,다니엘,daniel
auber,오베르,obereu
émilie,에밀리,emilri
jeanyves,장이브,jangibeu
berteloot,베르틀루,bereuteulru
léo,레오,reo
ferré,페레,pere
mounir,무니르,munireu
obbadi,오바디,obadi
fabrice,파브리스,pabeuriseu
n'sakala,은사칼라,eunsakalra
febvre,페브르,pebeureu
jorge,호르헤,horeuhe
semprún,셈프룬,sempeurun
gary,가리,gari
tiersen,티에르상,tiereusang
perec,페렉,pereg
weil,베유,beyu
carrière,카리에르,kariereu
alessandra,알레산드라,alresandeura
martines,말티네스,maltineseu
di,디,di
meco,메코,meko
eugénie,외제니,oejeni
montijo,몽티조,mongtijo
ernest,에르네스트,ereuneseuteu
renan,르낭,reunang
zemmour,제무르,jemureu
douchez,두셰,dusye
virginie,비르지니,bireujini
ledoyen,르두아얭,reuduayaeng
mélanie,멜라니,melrani
mélissa,멜리사,melrisa
theuriau,퇴리오,toerio
brière,브리에르,beuriereu
l'isle,리즐,rijeul
woerth,뵈르트,boereuteu
guizot,기조,gijo
medeiros,메데이루스,medeiruseu
hélène,엘렌,elren
cixous,식수,sigsu
cécilia,세실리아,sesilria
attias,아티아스,atiaseu
marielouise,마리루이즈,mariruijeu
emma,에마,ema
caunes,콘,kon
julie,쥘리,jwilri
clary,클라리,keulrari
natalya,나탈리야,natalriya
lisovskaya,리솝스카야,risobseukaya
yvonne,이본,ibon
loriod,로리오,rorio
