lech,레흐,reheu
zawadzki,자바츠키,jabaceuki
kolberger,콜베르게르,kolbereugereu
tul,툴,tul
marie,마리,mari
rambert,램버트,raembeoteu
konopacka,코노파츠카,konopaceuka
daria,다리아,daria
werbowy,워보위,weobowi
ida,이다,ida
haendel,헨델,hendel
liv,리브,ribeu
mazur,마주르,majureu
simon,시몽,simong
zimny,짐니,jimni
sylwester,실베스테르,silbeseutereu
bednarek,베드나레크,bedeunarekeu
euzebiusz,에우제비우시,eujebiusi
smolarek,스몰라레크,seumolrarekeu
juliusz,율리우시,yulriusi
słowacki,스워바츠키,seuweobaceuki
szmidt,슈미트,syumiteu
richard,리처드,riceodeu
pipes,파이프스,paipeuseu
blechacz,블레하치,beulrehaci
gruszka,그루슈카,geurusyuka
berling,베를링,bereulring
malanowicz,말라노비치,malranobici
maja,마야,maya
ostaszewska,오스타셰프스카,oseutasyepeuseuka
ewelina,에벨리나,ebelrina
lisowska,리소프스카,risopeuseuka
mazurkiewicz,마주르키에비치,majureukiebici
dąbrowski,동브로프스키,dongbeuropeuseuki
piekarska,피에카르스카,piekareuseuka
huberman,후베르만,hubereuman
komar,코마르,komareu
danuta,다누타,danuta
szaflarska,샤플라르스카,syapeulrareuseuka
ludwika,루드비카,rudeubika
paleta,팔레타,palreta
pieczka,피에치카,piecika
kopacz,코파치,kopaci
barańska,바란스카,baranseuka
oskar,오스카르,oseukareu
lange,랑게,rangge
przybylska,프시빌스카,peusibilseuka
czesław,체스와프,ceseuwapeu
kiszczak,키슈차크,kisyucakeu
thiago,치아구,ciagu
cionek,시오네크,sionekeu
krzynówek,크지누베크,keujinubekeu
olga,올가,olga
tokarczuk,토카르추크,tokareucukeu
lucyna,루치나,rucina
winnicka,빈니츠카,binniceuka
wyszomirski,비쇼미르스키,bisyomireuseuki
kukulska,쿠쿨스카,kukulseuka
skrzypaszek,스크시파셰크,seukeusipasyekeu
sylwia,실비아,silbia
bogacka,보가차,bogaca
klich,클리흐,keulriheu
partyka,파르티카,pareutika
ludovic,루도비크,rudobikeu
obraniak,오브라니아크,obeuraniakeu
chaïm,카임,kaim
perelman,페렐만,perelman
bocheński,보헨스키,bohenseuki
abbott,아봇,abos
ustynowicz,우스티노비치,useutinobici
soćko,소치코,sociko
niemczyk,니엠치크,niemcikeu
rowecki,로베츠키,robeceuki
wawrzyniak,바브지니아크,babeujiniakeu
joanna,요안나,yoanna
pacuła,파추와,pacuwa
liliana,릴리아나,rilriana
komorowska,코모로프스카,komoropeuseuka
awraham,아브라함,abeuraham
stern,슈테른,syutereun
august,아우구스트,auguseuteu
emil,에밀,emil
fieldorf,피엘도르프,pieldoreupeu
miko,미코,miko
leopold,레오폴트,reopolteu
infeld,인펠트,inpelteu
bereszyński,베레신스키,beresinseuki
zygalski,지갈스키,jigalseuki
korwinmikke,코르빈미케,koreubinmike
kłobukowska,크워부코프스카,keuweobukopeuseuka
kasia,카시아,kasia
smutniak,스무트니아크,seumuteuniakeu
stoch,스토흐,seutoheu
martin,마르틴,mareutin
max,막스,magseu
olbrychski,올브리흐스키,olbeuriheuseuki
bella,벨라,belra
darvi,다르비,dareubi
lato,라토,rato
wanda,반다,banda
panfilgonzález,판필,panpil
krystyna,크리스티나,keuriseutina
janda,얀다,yanda
borsuk,보르수크,boreusukeu
heinrich,하인츠,hainceu
kwiatkowski,크비아트코프스키,keubiateukopeuseuki
filipowski,필리포프스키,pilripopeuseuki
czerkawski,체르카프스키,cereukapeuseuki
jean,장,jang
templin,탕플랭,tangpeulraeng
wolny,볼니,bolni
szumowska,슈모프스카,syumopeuseuka
kalina,칼리나,kalrina
jędrusik,옝드루시크,yengdeurusikeu
sternbach,스턴바크,seuteonbakeu
ireneusz,이레네우시,ireneusi
paliński,팔린스키,palrinseuki
kuszczak,쿠슈차크,kusyucakeu
jurek,유렉,yureg
dybał,뒤발,dwibal
celińska,첼린스카,celrinseuka
bartkowiak,바르트코비아크,bareuteukobiakeu
kotarbiński,코타르빈스키,kotareubinseuki
friedman,프리드만,peurideuman
dagmara,다그마라,dageumara
wozniak,워즈니악,weojeuniag
aleksandra,알렉산드라,alregsandeura
shelton,셸턴,syelteon
woyda,보이다,boida
martyna,마르티나,mareutina
synoradzka,시노라츠카,sinoraceuka
blanik,블라니크,beulranikeu
gombrowicz,곰브로비치,gombeurobici
mycielski,미치엘스키,micielseuki
emanuel,엠마누엘,emmanuel
ax,엑스,egseu
lemkin,렘킨,remkin
pazdan,파즈단,pajeudan
ronczewski,론체프스키,roncepeuseuki
moïse,모이즈,moijeu
kisling,키슬링,kiseulring
hofmann,호프만,hopeuman
wielicki,비엘리츠키,bielriceuki
koman,코먼,komeon
chlewińska,흘레빈스카,heulrebinseuka
grzeszczak,그제슈차크,geujesyucakeu
steczkowska,스테치코프스카,seutecikopeuseuka
stenka,스텐카,seutenka
gruchała,그루하와,geuruhawa
szapołowska,샤포워프스카,syapoweopeuseuka
peter,피터,piteo
geach,기치,gici
szmal,슈말,syumal
emilia,에밀리아,emilria
plater,플라테르,peulratereu
kowalska,코발스카,kobalseuka
maczek,마체크,macekeu
julia,율리아,yulria
marcell,마셀,masel
siwiec,시비예츠,sibiyeceu
ladislao,쿠벌러,kubeolreo
kubala,라슬로,raseulro
śmigłyrydz,리츠시미그위,riceusimigeuwi
egon,에곤,egon
petri,페트리,peteuri
bródka,브루트카,beuruteuka
layvin,레뱅,rebaeng
kurzawa,퀴르자와,kwireujawa
sierpiński,시에르핀스키,siereupinseuki
przemysław,프셰미스와프,peusyemiseuwapeu
tytoń,티톤,titon
roger,호제르,hojereu
guerreiro,게헤이루,geheiru
chyra,히라,hira
grabowski,그라보프스키,geurabopeuseuki
pyciakpeciak,피치아크페치아크,piciakeupeciakeu
wyspiański,비스피안스키,biseupianseuki
brożek,브로제크,beurojekeu
wroński,브론스키,beuronseuki
szeryng,셰링,syering
seweryn,세베린,seberin
korzeniowski,코제니오프스키,kojeniopeuseuki
żurawski,주라프스키,jurapeuseuki
nowak,노바크,nobakeu
mościcki,모시치츠키,mosiciceuki
pawłowski,파브워프스키,pabeuweopeuseuki
mostowski,모스토프스키,moseutopeuseuki
wasilewski,바실레프스키,basilrepeuseuki
wolszczan,볼시찬,bolsican
sapkowski,삽코프스키,sabkopeuseuki
kukuczka,쿠쿠츠카,kukuceuka
gierek,기에레크,gierekeu
sekuła,세쿠와,sekuwa
małcużyński,마우추진스키,maucujinseuki
dudka,두트카,duteuka
lubański,루반스키,rubanseuki
bosacki,보사츠키,bosaceuki
żuławski,주와프스키,juwapeuseuki
jurkiewicz,유르키에비치,yureukiebici
pilecki,필레츠키,pilreceuki
matuszczyk,마투슈치크,matusyucikeu
murawski,무라프스키,murapeuseuki
bąk,봉크,bongkeu
solomon,솔로몬,solromon
asch,애쉬,aeswi
kania,카니아,kania
abel,아벨,abel
struss,스트러스,seuteureoseu
żebrowski,제브로프스키,jebeuropeuseuki
hurewicz,후레비치,hurebici
kulig,쿨리크,kulrikeu
grosicki,그로시츠키,geurosiceuki
barbara,바르바라,bareubara
grabowska,그라보프스카,geurabopeuseuka
mikołajczyk,미코와이치크,mikowaicikeu
sandomierski,산도미에르스키,sandomiereuseuki
olaf,올라프,olrapeu
lubaszenko,루바젠코,rubajenko
kristof,크리스토프,keuriseutopeu
konrad,콘래드,konraedeu
maurycy,모리츠,moriceu
moszkowski,모슈코프스키,mosyukopeuseuki
berenika,베레니카,berenika
tomsia,톰시아,tomsia
dydek,디데크,didekeu
ślebodziński,실레보진스키,silrebojinseuki
mączyński,몽친스키,mongcinseuki
iwanicki,이바니츠키,ibaniceuki
gintrowski,긴트로스키,ginteuroseuki
różewicz,루제비치,rujebici
jędrzejczyk,옝제이치크,yengjeicikeu
kryszałowicz,크리샤워비치,keurisyaweobici
marta,마르타,mareuta
żmuda,주무다,jumuda
trzebiatowska,트셰비아토프스카,teusyebiatopeuseuka
rita,리타,rita
karin,카린,karin
legień,레기엔,regien
sieroszewski,시에로셰프스키,sierosyepeuseuki
adamowicz,아다모비치,adamobici
teodorczyk,테오도르치크,teodoreucikeu
andrzejewski,안제예프스키,anjeyepeuseuki
deyna,데이나,deina
frąckowiak,프라츠코비아크,peuraceukobiakeu
fajdek,파이데크,paidekeu
wojtkowiak,보이트코비아크,boiteukobiakeu
niecisław,니에치스와프,nieciseuwapeu
baudouin,보두앵,boduaeng
de,드,deu
courtenay,쿠르트네,kureuteune
wojnicz,보이니치,boinici
angelika,안겔리카,angelrika
jakubowska,야쿠보프스카,yakubopeuseuka
iwona,이보나,ibona
bielska,비엘스카,bielseuka
rybus,리부스,ribuseu
salamon,살라몬,salramon
jagaciak,야가치아크,yagaciakeu
garguła,가르구와,gareuguwa
urszula,우르슐라,ureusyulra
ferency,페렌치,perenci
sadowska,사도프스카,sadopeuseuka
trela,트렐라,teurelra
czcheidze,치헤이제,ciheije
wagner,바그네르,bageunereu
świątek,시비옹테크,sibiongtekeu
gabriela,가브리엘라,gabeurielra
muskała,무스카와,museukawa
ada,아다,ada
fijał,피야우,piyau
krukówna,크루쿠브나,keurukubeuna
roma,로마,roma
gąsiorowska,공시오로프스카,gongsioropeuseuka
nehrebecka,네흐레베츠카,neheurebeceuka
weronika,베로니카,beronika
rosati,로사티,rosati
tracz,트라치,teuraci
mucha,무하,muha
elżbieta,엘주비에타,eljubieta
witek,비테크,bitekeu
chanas,하나스,hanaseu
bosak,보사크,bosakeu
flinta,플린타,peulrinta
dereszowska,데레쇼프스카,deresyopeuseuka
aneta,아네타,aneta
szczepańska,슈체판스카,syucepanseuka
bilski,빌스키,bilseuki
ilona,일로나,ilrona
ostrowska,오스트로프스카,oseuteuropeuseuka
stokowiec,스토코비에크,seutokobiekeu
fafiński,파핀스키,papinseuki
beata,베아타,beata
szydło,시드워,sideuweo
lyda,리다,rida
roberti,로버티,robeoti
michniewicz,미흐니에비치,miheuniebici
liszowska,리쇼프스카,risyopeuseuka
walach,발라흐,balraheu
karolak,카롤라크,karolrakeu
tomala,토말라,tomalra
bendkowski,벤트코프스키,benteukopeuseuki
wiktor,빅토르,bigtoreu
zborowski,즈보로브스키,jeuborobeuseuki
kamińska,카민스카,kaminseuka
green,그린,geurin
sapryk,사프리크,sapeurikeu
galla,갈라,galra
buczkowska,부치코프스카,bucikopeuseuka
gosiewska,고시에프스카,gosiepeuseuka
linetty,리네티,rineti
popowska,포포프스카,popopeuseuka
kidawabłońska,키다바브원스카,kidababeuweonseuka
skorupski,스코룹스키,seukorubseuki
majchrzak,마이흐샤크,maiheusyakeu
maliszewska,말리셰프스카,malrisyepeuseuka
mandat,만다트,mandateu
strzałkowski,스트샤우코프스키,seuteusyaukopeuseuki
reizl,라이즐,raijeul
bozyk,보직,bojig
duda,두다,duda
konieczna,코니에치나,koniecina
honorata,호노라타,honorata
skarbek,스카르베크,seukareubekeu
garbocz,가르보치,gareuboci
kluźniak,클루지니아크,keulrujiniakeu
ogrodnik,오그로드니크,ogeurodeunikeu
jonak,요나크,yonakeu
trzaskowski,트샤스코프스키,teusyaseukopeuseuki
słobodzianek,스와보지아네크,seuwabojianekeu
petru,페트루,peteuru
terlecki,털레키,teolreki
hołownia,호워브니아,howeobeunia
sonia,소니아,sonia
bohosiewicz,보호시에비치,bohosiebici
narębski,나렘프스키,narempeuseuki
nowicki,노비츠키,nobiceuki
czarzasty,차자스티,cajaseuti
rau,라우,rau
filip,필리프,pilripeu
starzyński,스타진스키,seutajinseuki
borys,보리스,boriseu
budka,부드카,budeuka
mirosław,미로스와프,miroseuwapeu
złotkowski,즈워트코프스키,jeuweoteukopeuseuki
izabela,이자벨라,ijabelra
kuna,쿠나,kuna
braciak,브라치아크,beuraciakeu
komasa,코마사,komasa
jowita,요비타,yobita
budnik,부드니크,budeunikeu
kropidłowski,크로피드워프스키,keuropideuweopeuseuki
marika,마리카,marika
dorociński,도로친스키,dorocinseuki
hirsch,히르슈,hireusyu
malwina,말비나,malbina
kopron,코프론,kopeuron
morawiecki,모라비에츠키,morabieceuki
mela,멜라,melra
koteluk,코텔루크,kotelrukeu
kuszyńska,쿠신스카,kusinseuka
dawidowicz,다비도비츠,dabidobiceu
kapustka,카푸스트카,kapuseuteuka
trzebuchowska,트셰부호프스카,teusyebuhopeuseuka
kasztelan,카슈텔란,kasyutelran
cleo,클레오,keulreo
margaret,마거릿,mageoris
kownacki,코브나츠키,kobeunaceuki
kari,카리,kari
amirian,아미리안,amirian
sikora,시코라,sikora
wieteska,비에테스카,bieteseuka
kiedrzynek,키에지네크,kiejinekeu
pajor,파요르,payoreu
żal,잘,jal
oktawia,옥타비아,ogtabia
nowacka,노바츠카,nobaceuka
bartłomiej,바르트워미에이,bareuteuweomiei
drągowski,드롱고프스키,deuronggopeuseuki
charamsa,하람사,haramsa
zofia,조피아,jopia
wichłacz,비흐와치,biheuwaci
ogórek,오구레크,ogurekeu
bielik,비엘리크,bielrikeu
kijowska,키요프스카,kiyopeuseuka
michalina,미할리나,mihalrina
olszańska,올샨스카,olsyanseuka
damian,다미안,damian
szymański,시만스키,simanseuki
góralski,구랄스키,guralseuki
zawada,자바다,jabada
nykiel,니키엘,nikiel
zandberg,잔드베르크,jandeubereukeu
świderski,시비데르스키,sibidereuseuki
babatunde,다바,daba
aiyegbusi,케이토,keito
piątek,피옹테크,piongtekeu
lubnauer,루브나우에르,rubeunauereu
gumny,굼니,gumni
iga,이가,iga
żurkowski,주르코프스키,jureukopeuseuki
wieniawa,비에니아바,bieniaba
kryscina,크리스치나,keuriseucina
cimanouska,치마노우스카야,cimanouseukaya
grabara,그라바라,geurabara
bułka,부우카,buuka
kiwior,키비오르,kibioreu
nicola,니콜라,nikolra
zalewski,잘레프스키,jalrepeuseuki
sanah,사나,sana
piątkowski,피옹트코프스키,piongteukopeuseuki
gabriel,가브리엘,gabeuriel
slonina,슬로니나,seulronina
annamaria,안나마리아,annamaria
sieklucka,시에클루츠카,siekeulruceuka
blanka,블란카,beulranka
stajkow,스타이코프,seutaikopeu
polska,폴란드,polrandeu
świętochłowice,시비엥토흐워비체,sibiengtoheuweobice
poznań,포즈난,pojeunan
oświęcim,오시비엥침,osibiengcim
iława,이와바,iwaba
toruń,토룬,torun
głogów,그워구프,geuweogupeu
warszawa,바르샤바,bareusyaba
gdynia,그디니아,geudinia
