lionel,リオネル
ferreri,フェレーリ
levi,レヴィ
michael,マイケル
bublé,ブーブレ
oriana,オリアーナ
fallaci,ファラーチ
monicelli,モニチェリ
gillo,ジッロ
pontecorvo,ポンテコルヴォ
dino,ディーノ
risi,リージ
lanfranco,ランフランコ
elsa,エルザ
respighi,レスピーギ
bobby,ボビー
solo,ソロ
gianluca,ジャンルカ
pessotto,ペッソット
maur,マウル
piepoli,ピエポリ
luchino,ルキノ
visconti,ヴィスコンティ
margherita,マルゲリータ
hack,アック
alex,アレックス
schwazer,シュバーツァー
duccio,ドゥッチョ
buoninsegna,ブオニンセーニャ
eros,エロス
ramazzotti,ラマゾッティ
pablo,パブロ
piatti,ピアッティ
luca,ルカ
lombardi,ロンバルディ
andreas,アンドレアス
seppi,セッピ
alcide,アルチーデ
gasperi,ガスペリ
veltroni,ヴェルトローニ
cataldo,カタルド
castellazzi,カステラッツィ
cigna,チーニャ
chiara,キアラ
maurizio,マウリツィオ
damilano,ダミラノ
domenico,ドメニコ
pozzovivo,ポッツォヴィーヴォ
gibilisco,ジビリスコ
vittori,ヴィットーリ
virgilio,ヴィルジリオ
mortari,モルターリ
boninsegna,ボニンセーニャ
nespoli,ネスポリ
italo,イタロ
calvino,カルヴィーノ
cristian,クリスティアン
zaccardo,ザッカルド
gino,ジーノ
bartali,バルタリ
pella,ペッラ
cecilia,チェチーリア
bartoli,バルトリ
dallapiccola,ダッラピッコラ
aldo,アルド
totti,トッティ
sydne,シドニー
rome,ローム
moreno,モレノ
argentin,アルゼンティン
jasmine,ジャスミン
trinca,トリンカ
erika,エリカ
blanc,ブラン
lorenzo,ロレンツォ
monaco,モナコ
cristina,クリスティーナ
clara,クララ
calamai,カラマイ
giuseppina,ジュゼッピーナ
costello,コステロ
accardi,アッカルディ
maldera,マルデラ
baldato,バルダート
goi,ゴイ
remo,レモ
giazotto,ジャゾット
bertolini,ベルトリーニ
furino,フリーノ
chirico,キリコ
felix,フェリックス
silla,シラ
amurri,アムリ
durand,ドゥランド
la,ラ
penne,ペンネ
adorni,アドルニ
gobbi,ゴッビ
piccioni,ピッチョーニ
benigni,ベニーニ
ennio,エンニオ
morricone,モリコーネ
armani,アルマーニ
pollini,ポリーニ
vattimo,ヴァッティモ
beniamino,ベニアミーノ
gigli,ジッリ
pittau,ピタウ
carnera,カルネラ
javier,ハビエル
mascherano,マスチェラーノ
pinzi,ピンツィ
benarrivo,ベナリーヴォ
battiato,バッティアート
nono,ノーノ
horvat,ホーヴァット
saba,サバ
manassero,マナセロ
moretti,モレッティ
crespo,クレスポ
pasolini,パゾリーニ
cassola,カッソーラ
bernini,ベルニーニ
ercole,エルコーレ
baldini,バルディーニ
kaká,カカ
acerbi,アチェルビ
anselmo,アンセルモ
colzani,コルツァーニ
nunzio,ヌンツィオ
malasomma,マラソンマ
maffei,マッフェイ
goffredo,ゴッフレード
lombardo,ロンバルド
giorgia,ジョルジア
meloni,メローニ
saviano,サビアーノ
lizzani,リッツァーニ
moravia,モラヴィア
colin,コリン
firth,ファース
jonas,ジョナス
gonçalves,ゴンサウヴェス
oliveira,オリヴェイラ
morfeo,モルフェオ
gariboldi,ガリボルディ
cicognini,チコニーニ
gambino,ガンビーノ
sebastiano,セバスティアーノ
serlio,セルリオ
curcio,クルチオ
nucci,ヌッチ
donati,ドナーティ
selvaggi,セルヴァッジ
nero,ネロ
sonia,ソニア
gandhi,ガンディー
zuculini,スクリーニ
salvadore,サルヴァドーレ
conte,コンテ
berlinguer,ベルリンゲル
marchi,マルキ
angelino,アンジェリーノ
alfano,アルファーノ
bosso,ボッソ
fioravanti,フィオラヴァンティ
bruno,ブルーノ
davide,ダヴィデ
rigon,リゴン
rutelli,ルテッリ
conterno,コンテルノ
baldolini,バルドリーニ
bartolomeo,バルトロメオ
schedoni,スケドーニ
ferdinando,フェルディナンド
tagliavini,タリアヴィーニ
indro,インドロ
montanelli,モンタネッリ
roatta,ロアッタ
volpi,ヴォルピ
scalice,スカリーチェ
vincenzo,ヴィンチェンツォ
lucio,ルーチョ
dalla,ダッラ
michelucci,ミケルッチ
natale,ナターレ
ornella,オルネラ
muti,ムーティ
ferruccio,フェルッチョ
bandirola,バンディローラ
eduardo,エドゥアルド
gatto,ガット
alessio,アレッシオ
cerci,チェルチ
archibugi,アルキブージ
paulo,パウロ
dybala,ディバラ
ebe,エベ
stignani,スティニャーニ
tito,ティート
schipa,スキーパ
paolini,パオリーニ
graziella,グラツィエラ
sciutti,シュッティ
giacinto,ジャチント
scelsi,シェルシ
ulrich,ウリ
forte,フォルテ
giada,ジャダ
laurentiis,ラウレンティス
elisa,エリーザ
violante,ヴィオランテ
placido,プラーチド
astori,アストーリ
evangelisti,エヴァンジェリスティ
lamberto,ランベルト
maggiorani,マジョラーニ
tajoli,タヨーリ
michele,ミケーレ
canini,カニーニ
giancarlo,ジャンカルロ
sisti,システィ
bernardi,ベルナルディ
loris,ロリス
capirossi,カピロッシ
camilleri,カミッレーリ
gregor,グレゴール
fučka,フッカ
emidio,エミディオ
greco,グレコ
quinto,クイント
ghermandi,ゲルマンディ
calò,カロ
saronni,サローニ
nascimbene,ナシンベーネ
ignazio,イニャツィオ
lupo,ルーポ
ruggero,ルッジェーロ
deodato,デオダート
d'arrigo,ダリーゴ
bugno,ブーニョ
arciso,アルシソ
artesiani,アルテジアーニ
beccafumi,ベッカフーミ
barbara,バーバラ
bouchet,ブーシェ
cirillo,チリッロ
girotti,ジロッティ
vito,ヴィート
genovese,ジェノヴェーゼ
edinson,エディンソン
norberto,ノルベルト
bobbio,ボッビオ
spadolini,スパドリーニ
coco,ココ
quinn,クイン
delneri,デルネーリ
pulici,プリーチ
sansone,サンソーネ
lucia,ルチア
ambrosini,アンブロジーニ
rezaei,レザイー
bertagnolli,ベルタニョッリ
moll,モル
maratta,マラッタ
borgonovo,ボルゴノーヴォ
dalida,ダリダ
silone,シローネ
panucci,パヌッチ
daniele,ダニエレ
carrà,カッラ
da,ダ
cortona,コルトーナ
julius,ユリウス
evola,エヴォラ
melandri,メランドリ
frattini,フラッティーニ
bombieri,ボンビエリ
alberico,アルベリゴ
evani,エヴァーニ
ciro,チーロ
immobile,インモービレ
nicole,ニコール
minetti,ミネッティ
volterra,ヴォルテッラ
marchisio,マルキジオ
letícia,レティシア
román,ロマン
gulli,グッリ
laura,ラウラ
pausini,パウジーニ
severini,セヴェリーニ
signori,シニョーリ
goria,ゴリーア
ariaudo,アリアウド
lino,リノ
ventura,ヴァンチュラ
garzelli,ガルゼッリ
esposito,エスポジト
dallapé,ダラッペ
fassino,ファッシノ
biondi,ビオンディ
morante,モランテ
aleandro,アレアンドロ
cappuccilli,カプッチルリ
arnaldo,アルナルド
momigliano,モミリアーノ
ferrari,フェラーリ
marchionni,マルキオンニ
vitantonio,ヴィタントニオ
liuzzi,リウッツィ
jarno,ヤルノ
trulli,トゥルーリ
andretti,アンドレッティ
verratti,ヴェッラッティ
casella,カゼッラ
gonella,ゴネーラ
lavaggi,ラバッジ
capelli,カペリ
baghetti,バゲッティ
modena,モデナ
motta,モッタ
merzario,メルツァリオ
naspetti,ナスペッティ
musso,ムッソ
baldi,バルディ
rosina,ロジーナ
albertosi,アルベルトージ
ezio,エツィオ
pinza,ピンツァ
tonino,トニーノ
guerra,グエッラ
rampulla,ランプッラ
ottavio,オッタヴィオ
bianchi,ビアンキ
alda,アルダ
noni,ノーニ
amedeo,アメデオ
amadei,アマデイ
achille,アキーレ
varzi,ヴァルツィ
occhetto,オケット
morandi,モランディ
pira,ピーラ
pancaro,パンカロ
thomas,トーマス
manfredini,マンフレディーニ
crippa,クリッパ
defilippis,デフィリッピス
abbondati,アボンダッティ
tullio,トゥリオ
pinelli,ピネッリ
lionello,リオネッロ
manfredonia,マンフレドーニア
gianpaolo,ジャンパオロ
bellini,ベッリーニ
leda,レダ
gloria,グロリア
brambilla,ブランビラ
morbidelli,モルビデリ
pierluigi,ピエルルイジ
martini,マルティーニ
pirro,ピロ
mannini,マンニーニ
cattelan,カテラン
flaminio,フラミーニオ
bertoni,ベルトーニ
paro,パーロ
teresa,テレーザ
filippis,フィリッピス
scarfiotti,スカルフィオッティ
lella,レラ
paletta,パレッタ
andy,アンディ
selva,セルヴァ
max,マックス
tonetto,トネット
carboni,カルボーニ
serge,セルジュ
reggiani,レジアーニ
stefania,ステファニア
basile,バジーレ
barilla,バリッラ
taruffi,タルッフィ
teo,テオ
fabi,ファビ
corrado,コッラード
moro,モーロ
lucien,ルシアン
fulci,フルチ
rafael,ラファエル
sabatini,サバティーニ
pino,ピノ
lancetti,ランチェッティ
zuccari,ツッカリ
bagni,バーニ
mazzinghi,マジンギ
berti,ベルティ
leoni,レオーニ
serena,セレーナ
ederson,エデルソン
honorato,オノラト
campos,カンポス
isa,イザ
miranda,ミランダ
ivano,イヴァノ
brugnetti,ブルグネッティ
donatoni,ドナトーニ
uncini,ウンチーニ
andaloro,アンダローロ
pugliese,パリシ
fiorentino,フィオレンティーノ
potenza,ポテンツァ
palma,パルマ
giunti,ジュンティ
castellotti,カステロッティ
gabbiani,ガビアーニ
berardi,ベラルディ
adalberto,アダルベルト
libera,リベラ
armin,アルミン
zöggeler,ツェゲラー
bianco,ビアンコ
altobelli,アルトベッリ
berton,ベルトン
curci,クルチ
susanna,スザンナ
driano,ドリアーノ
galiena,ガリエナ
burri,ブッリ
zaytsev,ザイツェフ
martinello,マルティネッロ
bacci,バッチ
licio,リーチオ
gelli,ジェッリ
battista,バッティスタ
serafin,セラフィン
nello,ネッロ
pagani,パガーニ
costa,コスタ
bartolini,バルトリーニ
vierchowod,ヴィエルコウッド
maderna,マデルナ
ganna,ガンナ
gianpiero,ジャンピエロ
combi,コンビ
munari,ムナーリ
tosatto,トザット
gemma,ジェンマ
schiaparelli,スキャパレッリ
apicella,アピチェラ
renzo,レンツォ
zorzi,ゾルジ
siegfried,ジークフリート
stohr,ストール
clementi,クレメンティ
carrara,カッラーラ
mussi,ムッシ
minotti,ミノッティ
faggin,ファジン
galiazzo,ガリアッツォ
zedda,ゼッダ
taibi,タイービ
cristiano,クリスティアーノ
doni,ドニ
tommasi,トンマージ
cabibbo,カビボ
padoin,パドイン
gianmarco,ジャンマルコ
zigoni,ジゴーニ
mazzola,マッツォーラ
fonseca,フォンセカ
pelizzoli,ペリッツォーリ
ray,レイ
lovelock,ラブロック
afro,アフロ
poli,ポーリ
fausto,ファウスト
cercignani,チェルチニャーニ
pellissier,ペリッシエール
schianchi,スキアンキ
facetti,ファセット
timi,ティーミ
casini,カジーニ
badoer,バドエル
fisichella,フィジケラ
victor,ヴィクトル
sabata,サバタ
cavalli,カヴァッリ
alcides,アルシデス
ghiggia,ギジャ
sculli,スクッリ
starrabba,スタルラッバ
barbazza,バルバッツァ
patrese,パトレーゼ
caffi,カフィ
montermini,モンテルミーニ
larini,ラリーニ
mark,マーク
iuliano,ユリアーノ
oriali,オリアーリ
grandi,グランディ
massaro,マッサーロ
della,デッラ
valle,ヴァッレ
sella,セッラ
gazzaniga,ガザニガ
pellizotti,ペッリツォッティ
rosario,ロザリオ
scalero,スカレロ
patty,パティ
pravo,プラヴォ
falchi,ファルチ
pittin,ピッティン
dalila,ダリラ
lazzaro,ラッザロ
carla,カルラ
fracci,フラッチ
zumino,ズミノ
calasso,カラッソ
bontempi,ボンテンピ
piercarlo,ピエルカルロ
ghinzani,ギンザーニ
alboreto,アルボレート
schiattarella,スキャッタレーラ
nannini,ナニーニ
angelis,アンジェリス
giacomelli,ジャコメリ
bandini,バンディーニ
massimiliano,マッシミリアーノ
allegri,アッレグリ
nereo,ネレオ
dovizioso,ドヴィツィオーゾ
angioni,アンジョーニ
gianmaria,ジャンマリア
bruni,ブルーニ
adamich,アダミッチ
zanardi,ザナルディ
rosy,ロージー
bindi,ビンディ
domenicali,ドメニカリ
flavio,フラヴィオ
briatore,ブリアトーレ
cesaris,チェザリス
barioni,バリオーニ
naike,ナイケ
rivelli,リベリ
bigon,ビゴン
polidoro,ポリドロ
marino,マリーノ
basso,バッソ
lucchinelli,ルッキネリ
letta,レッタ
rinaldo,リナルド
capello,カペッロ
fantastichini,ファンタスティキーニ
pierfrancesco,ピエールフランチェスコ
favino,ファヴィーノ
polerio,ポレリオ
fernando,フェルナンド
napoli,ナーポリ
paletti,パレッティ
ginzburg,ギンズブルグ
pasquini,パスクィーニ
causio,カウジオ
brighi,ブリーギ
vincent,ヴィンセント
gardenia,ガーディニア
ferzetti,フェルツェッティ
pasquale,パスクアーレ
foggia,フォッジャ
mattia,マッティア
preti,プレーティ
alessandra,アレッサンドラ
amoroso,アモローゾ
leandro,レアンドロ
rinaudo,リナウド
aronica,アロニカ
aurelio,アウレリオ
lampredi,ランプレディ
gioachino,ジョアッキーノ
colombo,コロンボ
raphael,ラファエル
gualazzi,グアラッツィ
starnone,スタルノーネ
nicolás,ニコラス
pareja,パレハ
danny,ダニー
huston,ヒューストン
pinotti,ピノッティ
papis,パピス
galli,ガッリ
tarquini,タルキーニ
joe,ジョー
manganiello,マンガニエロ
beretta,ベレッタ
conti,コンティ
riccò,リッコ
pozzato,ポッツァート
malfatti,マルファッティ
carlos,カルロス
diogo,ディオゴ
giovanardi,ジョヴァナルディ
armando,アルマンド
picchi,ピッキ
cipollini,チポリーニ
miguel,ミゲル
bosé,ボセ
mariacarla,マリアカルラ
boscono,ボスコーノ
fábio,ファビオ
deivson,デイヴソン
lopes,ロペス
maciel,マシエウ
orlando,オルランド
battistelli,バティステッリ
ascanelli,アスカネッリ
forghieri,フォルギエリ
tazio,タツィオ
nuvolari,ヌヴォラーリ
ancelotti,アンチェロッティ
trovajoli,トロヴァヨーリ
gregotti,グレゴッティ
meoni,メオーニ
ferré,フェレ
locatelli,ロカテッリ
zavattini,ザヴァッティーニ
lo,ロ
cascio,カーショ
baresi,バレージ
sartori,サルトーリ
ballan,バッラン
orlandoni,オルランドーニ
salvator,サルヴァトル
rosa,ローザ
balmamion,バルマミオン
valsecchi,ヴァルセッキ
costante,コスタンテ
girardengo,ジラルデンゴ
mattei,マッテイ
guidolin,グイドリン
rigoni,リゴーニ
stern,ステルン
sal,サル
borgese,ボルジェーセ
artur,アルトゥール
moraes,モラエス
dante,ダンテ
spinotti,スピノッティ
siepi,シエピ
scarponi,スカルポーニ
pericle,ペリクレ
fazzini,ファッツィーニ
jannis,ヤニス
kounellis,クネリス
leopoldo,レオポルド
trieste,トリエステ
emilio,エミリオ
scanavino,スカナヴィーノ
riganò,リガノ
manzoni,マンゾーニ
mascara,マスカーラ
d'amato,ダマト
marianelli,マリアネッリ
frigerio,フリジェリオ
charles,チャールズ
ponzi,ポンジ
gazebo,ガゼボ
nocentini,ノチェンティーニ
villaggio,ヴィラッジョ
learco,レアルコ
taddei,タッデイ
corradi,コッラーディ
tavano,タヴァーノ
benvenuti,ベンヴェヌーティ
biaggi,ビアッジ
licitra,リチートラ
bertinotti,ベルティノッティ
immacolata,イマコラータ
sirressi,シレッシ
amelio,アメリオ
zevi,ゼヴィ
muccino,ムッチーノ
calogero,カロジェロ
vizzini,ヴィッツィーニ
zoff,ゾフ
manuel,マヌエル
pasqual,パスクアル
chinaglia,キナーリャ
storaro,ストラーロ
bennati,ベンナーティ
gasparotto,ガスパロット
regazzi,レガッツィ
noè,ノエ
edoardo,エドアルド
mortara,モルタラ
amaldi,アマルディ
sau,サウ
baglioni,バリオーニ
arcangeli,アルカンジェリ
galetti,ガレッティ
santi,サンティ
spada,スパーダ
adolfo,アドルフォ
consolini,コンソリーニ
baloncieri,バロンチェーリ
celi,チェリ
cova,コバ
maldini,マルディーニ
amy,エイミー
adams,アダムス
cassano,カッサーノ
caprioli,カプリオーリ
savinio,サヴィニオ
pambianco,パンビアンコ
adonis,アドニス
david,ダヴィド
landolfi,ランドルフィ
stradivari,ストラディバリ
gilardino,ジラルディーノ
bordon,ボルドン
fulvio,フルヴィオ
collovati,コッロヴァーティ
zambrotta,ザンブロッタ
bovo,ボーヴォ
scelba,シェルバ
toto,トト
cutugno,クトゥーニョ
negro,ネグロ
lanzafame,ランザファーメ
ricky,リッキー
daria,ダリア
nicolodi,ニコロディ
pagano,パガーノ
gigi,ジジ
proietti,プロイエッティ
moser,モゼール
scolari,スコラーリ
johnny,ジョニー
torrio,トーリオ
saverio,サヴェリオ
nitti,ニッティ
sani,サニ
bečirovič,ベシロビッチ
guglielmo,グリエルモ
stendardo,ステンダルド
collina,コッリーナ
gianbattista,ジャンバッティスタ
baronchelli,バロンケッリ
zandegù,ザンデグー
mauricio,マウリシオ
macri,マクリ
pareyson,パレイゾン
pierfranco,ピエルフランコ
vianelli,ヴィアネッリ
agazzi,アガッツィ
lussu,ルッス
biasi,ビアージ
dessena,デッセーナ
rubbia,ルビア
giacconi,ジャコーニ
caricola,カリコラ
schiavone,スキアボーネ
collinelli,コッリネッリ
cossu,コッス
fortunato,フォルトゥナート
tricella,トリセラ
robbiati,ロヴィアーティー
lucchetta,ルケッタ
sospiri,ソスピリ
sammartino,サンマルチノ
zecchi,ゼッキ
alessandrini,アレッサンドリーニ
bastico,バスティコ
abarth,アバルト
parisse,パリセ
nomellini,ノメリーニ
materazzi,マテラッツィ
cacciari,カッチャーリ
gasperini,ガスペリーニ
toni,トニ
gasbarroni,ガスバッローニ
langes,ランジェス
sraffa,スラッファ
carnevale,カルネヴァーレ
cassarà,カッサーラ
anthony,アンソニー
steffen,ステファン
parolin,パロリン
boattini,ボアッティーニ
salvatori,サルヴァトーリ
salce,サルチェ
elena,エレナ
ferrante,フェランテ
guardini,グアルディーニ
iannone,イアンノーネ
masiello,マジエッロ
mantovani,マントヴァーニ
mandorlini,マンドルリーニ
ottaviani,オッタビアーニ
giacomo,ジャコモ
balla,バッラ
busi,ブージ
vieri,ヴィエリ
reinhold,ラインホルト
messner,メスナー
camoranesi,カモラネージ
chailly,シャイー
mazzarri,マッツァーリ
delio,デリオ
ruggiero,ルジェーロ
rizzitelli,リッツィテッリ
clyde,クライド
geronimi,ジェロニミ
zanin,ツァニン
gustavo,グスタボ
petro,ペトロ
poggi,ポッジ
fabiano,ファビアーノ
santacroce,サンタクローチェ
felice,フェリーチェ
casorati,カゾラーティ
paladino,パラディーノ
semioli,セミオーリ
galderisi,ガルデリシ
marini,マリーニ
ganz,ガンツ
lione,リオーネ
capecchi,カペッキ
alvaro,アルヴァロ
stecca,ステッカ
sacco,サッコ
carmelo,カルメロ
antonioli,アントニオーリ
alfonso,アルフォンソ
calzolari,カルツォラーリ
priamo,プリアーモ
marrone,マッローネ
piano,ピアーノ
torricelli,トリチェッリ
nuccio,ヌッチョ
ordine,オルディネ
leali,レアーリ
giaccherini,ジャッケリーニ
tacconi,タッコーニ
chiappucci,キアプッチ
camusso,カムッソ
baliani,バリアーニ
adriano,アドリアーノ
baffi,バッフィ
arrighi,アリギ
chimenti,キメンティ
roger,ロジェ
piantoni,ピアントニ
