нюша,뉴샤,nyusha,nyusya
сихотэалинь,시호테알린산맥,sihotealin,sihotealrinsanmaeg
корсаков,코르사코프,korsakov,koreusakopeu
королёв,코롤료프,korolyov,korolryopeu
костерёво,코스테료보,kosteryovo,koseuteryobo
костомукша,코스토묵샤,kostomuksha,koseutomugsya
коряжма,코랴즈마,koryazhma,koryajeuma
марий,마리옐,mariy,mariyel
эл,공화국,el,gonghwagug
калачнадону,칼라치나도누,kalachnadonu,kalracinadonu
ковров,코브로프,kovrov,kobeuropeu
кораблино,코라블리노,korablino,korabeulrino
айны,아이누,ayny,ainu
волоколамск,볼로콜람스크,volokolamsk,bolrokolramseukeu
дмитров,드미트로프,dmitrov,deumiteuropeu
елец,옐레츠,elec,yelreceu
ельня,옐냐,elnya,yelnya
котельнич,코텔니치,kotelnich,kotelnici
котлас,코틀라스,kotlas,koteulraseu
агрыз,아그리스,agryz,ageuriseu
магнитогорск,마그니토고르스크,magnitogorsk,mageunitogoreuseukeu
кондрово,콘드로보,kondrovo,kondeurobo
петропавловсккамчатский,페트로파블롭스크캄차츠키,petropavlovskkamchatskiy,peteuropabeulrobseukeukamcaceuki
копейск,코페이스크,kopeysk,kopeiseukeu
волжский,볼시스키,volzhskiy,bolsiseuki
магадан,마가단,magadan,magadan
адыгейск,아디게이스크,adygeysk,adigeiseukeu
красноармейск,크라스노아르메이스크,krasnoarmeysk,keuraseunoareumeiseukeu
красногорск,크라스노고르스크,krasnogorsk,keuraseunogoreuseukeu
алейск,알레이스크,aleysk,alreiseukeu
белокуриха,벨로쿠리하,belokuriha,belrokuriha
боспорское,보스포로스,bosporskoe,boseuporoseu
царство,왕국,carstvo,wanggug
азнакаево,아즈나카예보,aznakaevo,ajeunakayebo
азов,아조프,azov,ajopeu
алатырь,알라티리,alatyr,alratiri
алагир,알라기르,alagir,alragireu
аксай,악사이,aksay,agsai
акдовурак,악도부락,akdovurak,agdoburag
приозерск,프리오제르스크,priozersk,peuriojereuseukeu
анадырь,아나디리,anadyr,anadiri
абдулино,아브둘리노,abdulino,abeudulrino
бийск,비스크,biysk,biseukeu
газпром,가스프롬,gazprom,gaseupeurom
агидель,아기델,agidel,agidel
краснознаменск,크라스노즈나멘스크,krasnoznamensk,keuraseunojeunamenseukeu
российский,러시아,rossiyskiy,reosia
футбольный,축구,futbolnyy,cuggu
союз,연합,soyuz,yeonhab
александровск,알렉산드롭스크,aleksandrovsk,alregsandeurobseukeu
александровсксахалинский,알렉산드롭스크사할린스키,aleksandrovsksahalinskiy,alregsandeurobseukeusahalrinseuki
алдан,알단,aldan,aldan
александров,알렉산드로프,aleksandrov,alregsandeuropeu
кронштадт,크론시타트,kronshtadt,keuronsitateu
кстово,크스토보,kstovo,keuseutobo
кувшиново,쿱시노보,kuvshinovo,kubsinobo
алексин,알렉신,aleksin,alregsin
амурск,아무르스크,amursk,amureuseukeu
ангарск,안가르스크,angarsk,angareuseukeu
кудымкар,쿠딤카르,kudymkar,kudimkareu
альметьевск,알메티옙스크,almetevsk,almetiyebseukeu
алзамай,알자마이,alzamay,aljamai
куйбышев,쿠이비셰프,kuybyshev,kuibisyepeu
лукойл,루크오일,lukoyl,rukeuoil
анжеросудженск,안제로수젠스크,anzherosudzhensk,anjerosujenseukeu
анива,아니바,aniva,aniba
первый,페르비,pervyy,pereubi
канал,운하,kanal,unha
андреаполь,안드레아폴,andreapol,andeureapol
курильск,쿠릴스크,kurilsk,kurilseukeu
курлово,쿠를로보,kurlovo,kureulrobo
нижегородский,니즈니노브고로드,nizhegorodskiy,nijeuninobeugorodeu
апатиты,아파티티,apatity,apatiti
кунгур,쿤구르,kungur,kungureu
арамиль,아라밀,aramil,aramil
апрелевка,아프렐렙카,aprelevka,apeurelrebka
аргун,아르군,argun,areugun
кушва,쿠시바,kushva,kusiba
кыштым,키시팀,kyshtym,kisitim
находка,나홋카,nahodka,nahoska
шантарские,샨타르스키예,shantarskie,syantareuseukiye
лаишево,라이셰보,laishevo,raisyebo
арзамас,아르자마스,arzamas,areujamaseu
ардатов,아르다토프,ardatov,areudatopeu
аркадак,아르카닥,arkadak,areukadag
арсеньев,아르세니예프,arsenev,areuseniyepeu
кяхта,캬흐타,kyahta,kyaheuta
артём,아르툠,artyom,areutyom
арск,아르스크,arsk,areuseukeu
артёмовск,아르툐몹스크,artyomovsk,areutyomobseukeu
артёмовский,아르툐몹스키,artyomovskiy,areutyomobseuki
асбест,아스베스트,asbest,aseubeseuteu
асино,아시노,asino,asino
керчь,케르치,kerch,kereuci
аткарск,앗카르스크,atkarsk,askareuseukeu
лесозаводск,레소자보츠크,lesozavodsk,resojaboceukeu
главное,러시아,glavnoe,reosia
адмиралтейство,구해군성,admiralteystvo,guhaegunseong
антропово,안트로포보,antropovo,anteuropobo
ачинск,아친스크,achinsk,acinseukeu
лебедянь,레베댠,lebedyan,rebedyan
лениногорск,레니노고르스크,leninogorsk,reninogoreuseukeu
байкальск,바이칼스크,baykalsk,baikalseukeu
бакал,바칼,bakal,bakal
балабаново,발라바노보,balabanovo,balrabanobo
лесной,레스노이,lesnoy,reseunoi
балашиха,발라시하,balashiha,balrasiha
ливны,리브니,livny,ribeuni
бабаево,바바예보,babaevo,babayebo
бабушкин,바부시킨,babushkin,babusikin
липки,립키,lipki,ribki
багратионовск,바그라티오놉스크,bagrationovsk,bageurationobseukeu
бавлы,바블리,bavly,babeulri
ленск,렌스크,lensk,renseukeu
лихославль,리호슬라블,lihoslavl,rihoseulrabeul
кильдин,킬딘섬,kildin,kildinseom
любим,류빔,lyubim,ryubim
балаково,발라코보,balakovo,balrakobo
балахна,발라흐나,balahna,balraheuna
луховицы,루호비치,luhovicy,ruhobici
ломоносов,로모노소프,lomonosov,romonosopeu
балашов,발라쇼프,balashov,balrasyopeu
балей,발레이,baley,balrei
барабинск,바라빈스크,barabinsk,barabinseukeu
бежецк,베제츠크,bezheck,bejeceukeu
батайск,바타이스크,bataysk,bataiseukeu
белёв,벨료프,belyov,belryopeu
лача,라차호,lacha,racaho
демянск,데먄스크,demyansk,demyanseukeu
берингов,베링,beringov,bering
пролив,해협,proliv,haehyeob
белозерск,벨로제르스크,belozersk,belrojereuseukeu
белогорск,벨로고르스크,belogorsk,belrogoreuseukeu
белово,벨로보,belovo,belrobo
байкалоамурская,바이칼아무르,baykaloamurskaya,baikalamureu
магистраль,철도,magistral,ceoldo
белорецк,벨로레츠크,beloreck,belroreceukeu
беломорск,벨로모르스크,belomorsk,belromoreuseukeu
людиново,류디노보,lyudinovo,ryudinobo
макаров,마카로프,makarov,makaropeu
макарьев,마카례프,makarev,makaryepeu
малгобек,말고베크,malgobek,malgobekeu
беслан,베슬란,beslan,beseulran
мглин,므글린,mglin,meugeulrin
малоархангельск,말로아르한겔스크,maloarhangelsk,malroareuhangelseukeu
малоярославец,말로야로슬라베츠,maloyaroslavec,malroyaroseulrabeceu
березники,베레즈니키,berezniki,berejeuniki
берёзовский,베료조프스키,beryozovskiy,beryojopeuseuki
курган,쿠르간,kurgan,kureugan
русская,러시아,russkaya,reosia
кухня,요리,kuhnya,yori
бикин,비킨,bikin,bikin
билибино,빌리비노,bilibino,bilribino
государственный,국립,gosudarstvennyy,gugrib
университет,대학교,universitet,daehaggyo
бирск,비르스크,birsk,bireuseukeu
мантурово,만투로보,manturovo,manturobo
мамоново,마모노보,mamonovo,mamonobo
бердск,베르츠크,berdsk,bereuceukeu
белый,벨리,belyy,belri
мегион,메기온,megion,megion
бирюсинск,비류신스크,biryusinsk,biryusinseukeu
медвежьегорск,메드베지예고르스크,medvezhegorsk,medeubejiyegoreuseukeu
фосагро,포스아그로,fosagro,poseuageuro
невский,넵스키,nevskiy,nebseuki
проспект,대로,prospekt,daero
калинка,칼린카,kalinka,kalrinka
интерфакс,인테르팍스,interfaks,intereupagseu
выборг,비보르크,vyborg,biboreukeu
благодарный,블라고다르니,blagodarnyy,beulragodareuni
боготол,보고톨,bogotol,bogotol
богородицк,보고로디츠크,bogorodick,bogorodiceukeu
богданович,보그다노비치,bogdanovich,bogeudanobici
ленфильм,렌필름,lenfilm,renpilreum
медынь,메딘,medyn,medin
межгорье,메즈고리예,mezhgore,mejeugoriye
междуреченск,메즈두레첸스크,mezhdurechensk,mejeudurecenseukeu
мезень,메젠,mezen,mejen
бодайбо,보다이보,bodaybo,bodaibo
болгар,볼가르,bolgar,bolgareu
бологое,볼로고예,bologoe,bolrogoye
меленки,멜렌키,melenki,melrenki
менделеевск,멘델레옙스크,mendeleevsk,mendelreyebseukeu
миллерово,밀레로보,millerovo,milrerobo
мензелинск,멘젤린스크,menzelinsk,menjelrinseukeu
мещовск,메숍스크,meshchovsk,mesyobseukeu
волосово,볼로소보,volosovo,bolrosobo
бокситогорск,복시토고르스크,boksitogorsk,bogsitogoreuseukeu
болхов,볼호프,bolhov,bolhopeu
болохово,볼로호보,bolohovo,bolrohobo
бор,보르,bor,boreu
борзя,보르자,borzya,boreuja
георгиевск,게오르기옙스크,georgievsk,georeugiyebseukeu
ледовое,페이푸스호,ledovoe,peipuseuho
побоище,전투,poboishche,jeontu
минусинск,미누신스크,minusinsk,minusinseukeu
волхов,볼호프,volhov,bolhopeu
всеволожск,프세볼로시스크,vsevolozhsk,peusebolrosiseukeu
высоцк,비소츠크,vysock,bisoceukeu
мичуринск,미추린스크,michurinsk,micurinseukeu
михайлов,미하일로프,mihaylov,mihailropeu
можайск,모자이스크,mozhaysk,mojaiseukeu
уланудэнский,울란우데,ulanudenskiy,ulranude
авиационный,항공기,aviacionnyy,hanggonggi
завод,공장,zavod,gongjang
ивангород,이반고로드,ivangorod,ibangorodeu
каменногорск,카멘노고르스크,kamennogorsk,kamennogoreuseukeu
донецк,도네츠크,doneck,doneceukeu
миасс,미아스,miass,miaseu
каменскуральский,카멘스크우랄스키,kamenskuralskiy,kamenseukeuuralseuki
кингисепп,킨기세프,kingisepp,kingisepeu
мирный,미르니,mirnyy,mireuni
семилуки,세밀루키,semiluki,semilruki
урюпинск,우류핀스크,uryupinsk,uryupinseukeu
мончегорск,몬체고르스크,monchegorsk,moncegoreuseukeu
моршанск,모르샨스크,morshansk,moreusyanseukeu
мосальск,모살스크,mosalsk,mosalseukeu
агинское,아긴스코예,aginskoe,aginseukoye
приморск,프리모르스크,primorsk,peurimoreuseukeu
татарский,타타르,tatarskiy,tatareu
демянская,데먄스크,demyanskaya,demyanseukeu
операция,전투,operaciya,jeontu
луга,루가,luga,ruga
немецкий,네메츠키,nemeckiy,nemeceuki
национальный,나치오날니,nacionalnyy,nacionalni
район,군,rayon,gun
история,러시아의,istoriya,reosiayi
саки,사키,saki,saki
красноперекопск,크라스노페레콥스크,krasnoperekopsk,keuraseunoperekobseukeu
смоленское,스몰렌스크,smolenskoe,seumolrenseukeu
сражение,전투,srazhenie,jeontu
тосно,토스노,tosno,toseuno
шлиссельбург,실리셀부르크,shlisselburg,silriselbureukeu
суздаль,수즈달,suzdal,sujeudal
анапа,아나파,anapa,anapa
темрюк,템류크,temryuk,temryukeu
мышкин,미시킨,myshkin,misikin
тихвин,티흐빈,tihvin,tiheubin
айхал,아이할,ayhal,aihal
мценск,므첸스크,mcensk,meucenseukeu
казанский,카잔,kazanskiy,kajan
собор,대성당,sobor,daeseongdang
муром,무롬,murom,murom
новороссийск,노보로시스크,novorossiysk,noborosiseukeu
эльхотово,옐호토보,elhotovo,yelhotobo
апшеронск,압셰론스크,apsheronsk,absyeronseukeu
абинск,아빈스크,abinsk,abinseukeu
раменское,라멘스코예,ramenskoe,ramenseukoye
навашино,나바시노,navashino,nabasino
геленджик,겔렌지크,gelendzhik,gelrenjikeu
армавир,아르마비르,armavir,areumabireu
белореченск,벨로레첸스크,belorechensk,belrorecenseukeu
назрань,나즈란,nazran,najeuran
нарофоминск,나로포민스크,narofominsk,naropominseukeu
называевск,나지바옙스크,nazyvaevsk,najibayebseukeu
янтарный,호박의,yantarnyy,hobagyi
путь,길,put,gil
акелла,아켈라,akella,akelra
лабинск,라빈스크,labinsk,rabinseukeu
крымск,크림스크,krymsk,keurimseukeu
черногорск,체르노고르스크,chernogorsk,cereunogoreuseukeu
парк,고리키,park,goriki
горького,공원,gorkogo,gongweon
герб,러시아의,gerb,reosiayi
яковлев,이르쿠트,yakovlev,ireukuteu
ялта,얄타,yalta,yalta
невель,네벨,nevel,nebel
невельск,네벨스크,nevelsk,nebelseukeu
невинномысск,네비노미스크,nevinnomyssk,nebinomiseukeu
фридландское,프리틀란트,fridlandskoe,peuriteulranteu
камов,카모프,kamov,kamopeu
маканруши,마칸루시섬,makanrushi,makanrusiseom
храм,성,hram,seong
василия,바실리,vasiliya,basilri
блаженного,대성당,blazhennogo,daeseongdang
китайскороссийские,중러,kitayskorossiyskie,jungreo
футуризм,미래주의,futurizm,miraejuyi
первоуральск,페르보우랄스크,pervouralsk,pereubouralseukeu
тобольск,토볼스크,tobolsk,tobolseukeu
петербургский,상트페테르부르크,peterburgskiy,sangteupetereubureukeu
гальбштадт,갈프슈타트,galbshtadt,galpeusyutateu
комсомолец,콤소몰레츠섬,komsomolec,komsomolreceuseom
ника,니카상,nika,nikasang
яшкино,야시키노,yashkino,yasikino
симферополь,심페로폴,simferopol,simperopol
подольск,포돌스크,podolsk,podolseukeu
газета,가제타,gazeta,gajeta
таганрог,타간로크,taganrog,taganrokeu
ладушкин,라두시킨,ladushkin,radusikin
дербент,데르벤트,derbent,dereubenteu
нерехта,네레흐타,nerehta,nereheuta
нерюнгри,네륜그리,neryungri,neryungeuri
нелидово,넬리도보,nelidovo,nelridobo
медный,메드니섬,mednyy,medeuniseom
палтога,팔토가,paltoga,paltoga
новатэк,노바텍,novatek,nobateg
забайкальск,자바이칼스크,zabaykalsk,jabaikalseukeu
кетой,케토이섬,ketoy,ketoiseom
борисоглебск,보리소글렙스크,borisoglebsk,borisogeulrebseukeu
боровск,보롭스크,borovsk,borobseukeu
бородино,보로디노,borodino,borodino
боровичи,보로비치,borovichi,borobici
нестеров,네스테로프,nesterov,neseuteropeu
нефтегорск,넵테고르스크,neftegorsk,nebtegoreuseukeu
нефтекамск,넵테캄스크,neftekamsk,nebtekamseukeu
нефтеюганск,넵테유간스크,nefteyugansk,nebteyuganseukeu
нея,네야,neya,neya
алупка,알룹카,alupka,alrubka
бронницы,브론니치,bronnicy,beuronnici
чемпионат,쳄피오나트,chempionat,cempionateu
по,포,po,po
футболу,푸트볼루,futbolu,puteubolru
среди,스레디,sredi,seuredi
женщин,젠신,zhenshchin,jensin
братск,브라츠크,bratsk,beuraceukeu
нижневартовск,니즈네바르톱스크,nizhnevartovsk,nijeunebareutobseukeu
федеральное,러시아,federalnoe,reosia
собрание,연방의회,sobranie,yeonbangyihoe
нижнекамск,니즈네캄스크,nizhnekamsk,nijeunekamseukeu
бугульма,부굴마,bugulma,bugulma
бугуруслан,부구루슬란,buguruslan,buguruseulran
николаевск,니콜라옙스크,nikolaevsk,nikolrayebseukeu
николаевскнаамуре,니콜라옙스크나아무레,nikolaevsknaamure,nikolrayebseukeunaamure
нижнеудинск,니즈네우딘스크,nizhneudinsk,nijeuneudinseukeu
новозыбков,노보집코프,novozybkov,nobojibkopeu
новодвинск,노보드빈스크,novodvinsk,nobodeubinseukeu
новоалтайск,노보알타이스크,novoaltaysk,noboaltaiseukeu
экономика,러시아의,ekonomika,reosiayi
гранпри,러시아,granpri,reosia
венёв,베네프,venyov,benepeu
верея,베레야,vereya,bereya
валуйки,발루이키,valuyki,balruiki
валдай,발다이,valday,baldai
ногинск,노긴스크,noginsk,noginseukeu
новоржев,노보르제프,novorzhev,noboreujepeu
новосиль,노보실,novosil,nobosil
новоуральск,노보우랄스크,novouralsk,nobouralseukeu
новочебоксарск,노보체복사르스크,novocheboksarsk,nobocebogsareuseukeu
бутурлиновка,부투를리놉카,buturlinovka,butureulrinobka
буйнакск,부이낙스크,buynaksk,buinagseukeu
новочеркасск,노보체르카스크,novocherkassk,nobocereukaseukeu
новосокольники,노보소콜니키,novosokolniki,nobosokolniki
ряжск,랴시스크,ryazhsk,ryasiseukeu
буинск,부인스크,buinsk,buinseukeu
будённовск,부됸놉스크,budyonnovsk,budyonnobseukeu
буй,부이,buy,bui
новомосковск,노보모스콥스크,novomoskovsk,nobomoseukobseukeu
новомичуринск,노보미추린스크,novomichurinsk,nobomicurinseukeu
ржевская,르제프,rzhevskaya,reujepeu
битва,전투,bitva,jeontu
имандра,이만트라호,imandra,imanteuraho
коломна,콜롬나,kolomna,kolromna
норильск,노릴스크,norilsk,norilseukeu
ноябрьск,노야브리스크,noyabrsk,noyabeuriseukeu
нурлат,누를라트,nurlat,nureulrateu
новосибирский,국립,novosibirskiy,gugrib
новодевичий,노보데비치,novodevichiy,nobodebici
монастырь,수녀원,monastyr,sunyeoweon
день,승리의,den,seungriyi
победы,날,pobedy,nal
верхоянск,베르호얀스크,verhoyansk,bereuhoyanseukeu
нягань,냐간,nyagan,nyagan
нюрба,뉴르바,nyurba,nyureuba
няндома,냔도마,nyandoma,nyandoma
весьегонск,베시예곤스크,vesegonsk,besiyegonseukeu
видное,비드노예,vidnoe,bideunoye
вилюйск,빌류이스크,vilyuysk,bilryuiseukeu
облучье,오블루치예,obluche,obeulruciye
обнинск,오브닌스크,obninsk,obeuninseukeu
вилючинск,빌류친스크,vilyuchinsk,bilryucinseukeu
вихоревка,비호레프카,vihorevka,bihorepeuka
одинцово,오딘초보,odincovo,odincobo
ожерелье,오제렐리예,ozherele,ojerelriye
озёрск,오조르스크,ozyorsk,ojoreuseukeu
олёкминск,올료크민스크,olyokminsk,olryokeuminseukeu
окуловка,오쿨롭카,okulovka,okulrobka
путорана,푸토라나고원,putorana,putoranagoweon
санктпетербургский,국립,sanktpeterburgskiy,gugrib
вичуга,비추가,vichuga,bicuga
волгодонск,볼고돈스크,volgodonsk,bolgodonseukeu
омутнинск,오무트닌스크,omutninsk,omuteuninseukeu
онега,오네가,onega,onega
ореховозуево,오레호보주예보,orehovozuevo,orehobojuyebo
волжск,볼시스크,volzhsk,bolsiseukeu
кремль,크렘린,kreml,keuremrin
волгореченск,볼고레첸스크,volgorechensk,bolgorecenseukeu
осташков,오스타시코프,ostashkov,oseutasikopeu
островной,오스트로브노이,ostrovnoy,oseuteurobeunoi
остров,오스트로프,ostrov,oseuteuropeu
адлер,아들레르,adler,adeulrereu
оха,오하,oha,oha
острогожск,오스트로고시스크,ostrogozhsk,oseuteurogosiseukeu
вольск,볼스크,volsk,bolseukeu
