マツモトユキヒロ,松本行弘,matsumotoyukihiro
ゴウヒロミ,乡裕美,gouhiromi
アジサト,味里,ajisato
ヤナセタカシ,柳濑嵩,yanasetakashi
イチゴミルク,草莓牛奶,ichigomiruku
ハットリミツル,服部充,hattorimitsuru
アン,安,an
ルイス,刘易斯,ruisu
カカズユミ,嘉数由美,kakazuyumi
カトキハジメ,角木肇,katokihajime
カントク,监督,kantoku
ジェシー,杰西,jeshī
クスノキカツラ,楠桂,kusunokikatsura
テイサトシ,定觉,teisatoshi
テイケイ,定庆,teikei
カイケイ,快庆,kaikei
ホリチエミ,堀智荣美,horichiemi
クウヤ,空也,kuuya
ゴウオニ,豪鬼,gouoni
ウコン,右近,ukon
カオリクミコ,小野木久美子,kaorikumiko
キョウ,京,kyou
テラソママサキ,寺杣昌纪,terasomamasaki
ツジアユミ,辻步美,tsujiayumi
トコウ,渡航,tokou
エンイ,圆伊,eni
ツルヒロミ,鹤弘美,tsuruhiromi
マキヨウコ,槙阳子,makiyouko
ハネダエリカ,羽田惠理香,hanedaerika
キタダニヒロシ,北谷洋,kitadanihiroshi
ガモウヒロシ,蒲生洋,gamouhiroshi
ヤブウチユウ,薮内优,yabuuchiyuu
ノウイン,能因,nouin
コウケイ,康庆,koukei
マミ,摩味,mami
アズママユミ,东麻由美,azumamayumi
サガミ,相模,sagami
アツミサオリ,渥美佐织,atsumisaori
サキウレシ,濑户早妃,sakiureshi
タカナシシズエ,高梨静江,takanashishizue
スンエ,俊惠,sune
ヨコザワケイコ,横泽启子,yokozawakeiko
タンケイ,湛庆,tankei
アンネン,安然,annen
シュウブン,天章周文,shuubun
イズミヒロシ,泉浩,izumihiroshi
シミケン,清水健,shimiken
タニナオミ,谷直美,taninaomi
イカリゲンドウ,碇源堂,ikarigendou
クダリミコト,行尊,kudarimikoto
ギョウゼン,凝然,gyouzen
オトキチ,山本音吉,otokichi
メイリア,美依礼芽,meiria
タイラサトシ,平聪,tairasatoshi
ハナクマユウサク,花隈勇作,hanakumayuusaku
タケカワユキヒデ,武川行秀,takekawayukihide
エトオミユキ,永远幸,etoomiyuki
ハラアユミ,原步,haraayumi
マリウスハ,叶成龙,mariusuha
ミナミヒロシ,南弘,minamihiroshi
タチバナヒカリ,橘光,tachibanahikari
イワサキチヒロ,岩崎知弘,iwasakichihiro
ヤシキタカジン,家铺隆仁,yashikitakajin
サクラマヤ,樱真耶,sakuramaya
コミネリサ,小峰理纱,kominerisa
アライキヨコ,新井清子,araikiyoko
ウエダヒデヒト,植田秀仁,uedahidehito
イトハク,丝博,itohaku
フクイマイ,福井舞,fukuimai
ミナトカナエ,凑佳苗,minatokanae
ケンナオコ,研直子,kennaoko
マリカ,茉莉香,marika
ナラハシミキ,楢桥美纪,narahashimiki
リョウカン,良宽,ryoukan
サクラココミ,樱心美,sakurakokomi
メグリ,藤浦惠,meguri
アミノテツロー,网野哲郎,aminotetsurō
カメヒメ,龟姬,kamehime
ダイアズカ,台与,daiazuka
ハヤシイサム,林勇,hayashiisamu
ツルヒメ,德川鹤姬,tsuruhime
クラモチフサコ,仓持房子,kuramochifusako
コンドウアキ,近藤亚希,kondouaki
アキヤマルナ,秋山留奈,akiyamaruna
アイミツ,叆光,aimitsu
コヤマヒロカズ,小山广和,koyamahirokazu
ハヤシトオル,林享,hayashitooru
タニハラナツキ,谷原菜月,taniharanatsuki
キユヅキサトコ,季游月聪子,kiyudzukisatoko
テッペイ,铁平,teppei
イチヒメ,市姬,ichihime
ケラエイコ,蝼荣子,keraeiko
ニチハナ,日华,nichihana
カチヤ,胜矢,kachiya
タスク,永濑匡,tasuku
カタナ,武士刀,katana
アヤユメ,小池彩梦,ayayume
イシヅカアツコ,石冢敦子,ishidzukaatsuko
ミネアツコ,峰敦子,mineatsuko
タカシゲチュウ,高树宙,takashigechuu
キムラヒデフミ,木村英文,kimurahidefumi
フジツカユキ,藤冢雪,fujitsukayuki
ニチアラワ,日显,nichiarawa
クスノキミチハル,楠通春,kusunokimichiharu
カヅキ,华月,kadzuki
タネサカエ,胤荣,tanesakae
ソンイ,孙𬀩,soni
ユキヒロマツシタ,福岛宏之,yukihiromatsushita
ジュンコイ,纯恋,junkoi
イクエミアヤ,育江绫,ikuemiaya
ハヤミケイ,速见圭,hayamikei
ジュンニョ,准如,junnyo
ジョウコウ,美智,joukou
キサキミチコ,子上皇后,kisakimichiko
クリハラ,栗原,kurihara
ルイ,类,rui
コバヤシ,小林,kobayashi
カユメエラ,可梦伟,kayumeera
ワカギ,若木,wakagi
タミキ,民喜,tamiki
オダ,尾田,oda
ナガサワ,长泽,nagasawa
トオル,彻,tooru
ユウジ,祐治,yuuji
スキガラ,锄柄,sukigara
マサヒロ,昌宏,masahiro
キシモト,岸本,kishimoto
ヒトシシ,齐史,hitoshishi
ムロフシ,室伏,murofushi
ヒロジ,广治,hiroji
カンタダシ,菅直,kantadashi
ヨシダ,吉田,yoshida
シンジ,真司,shinji
カガミサト,镜里,kagamisato
キヨジ,喜代治,kiyoji
オノ,小野,ono
カトウ,加藤,katou
ハラダ,原田,harada
ヒラヤマ,平山,hirayama
セイジ,清次,seiji
タカガキ,高垣,takagaki
アヤヨウ,彩阳,ayayou
エト,江渡,eto
サトシトク,聪德,satoshitoku
エイミサト,英美里,eimisato
タダモリ,理森,tadamori
ヨリユキサン,赖山,yoriyukisan
ヒ,阳,hi
キリュウ,桐生,kiryuu
サチシュウ,祥秀,sachishuu
ミヤモト,宫本,miyamoto
シゲル,茂,shigeru
マツライ,松来,matsurai
ミユウ,未祐,miyuu
ヒデキ,英树,hideki
ハラヨシミ,原嘉,harayoshimi
ミチ,道,michi
サイトウ,斋藤,saitou
サトウ,佐藤,satou
タナカ,田中,tanaka
イノウエ,井上,inoue
ヒサシ,厦,hisashi
イトウ,伊藤,itou
カナメグミ,加奈惠,kanamegumi
トウコ,藤子,touko
ヒカサ,日笠,hikasa
ヨウシ,阳子,youshi
シント,新渡,shinto
トイナゾウ,户稻造,toinazou
トマツ,户松,tomatsu
ハルカ,遥,haruka
ヤマグチ,山口,yamaguchi
カンヒロシ,观弘,kanhiroshi
ワカマツ,若松,wakamatsu
セツロウ,节朗,setsurou
タケミツ,武满,takemitsu
シノダ,筿田,shinoda
モモベニ,桃红,momobeni
コシバ,小柴,koshiba
マサトシ,昌俊,masatoshi
アベ,安部,abe
コウボウ,公房,koubou
タカフミ,崇史,takafumi
トモナガ,朝永,tomonaga
タカハシ,高桥,takahashi
サヤカ,沙也加,sayaka
コウノ,河野,kouno
ヨウヘイ,洋平,youhei
カツシカ,葛饰,katsushika
ホクサイ,北斋,hokusai
リエ,理惠,rie
ミユキ,美雪,miyuki
ミソラ,美空,misora
ヒバリ,云雀,hibari
マツオ,松尾,matsuo
バショウ,芭蕉,bashou
ヤガミ,矢神,yagami
クミ,久美,kumi
オリカサ,折笠,orikasa
トミコ,富美子,tomiko
ハナザワ,花泽,hanazawa
カナ,香菜,kana
オモネキヨシ,阿澄,omonekiyoshi
カワセ,川濑,kawase
アキコ,晶子,akiko
ヒダリミユキ,左幸,hidarimiyuki
コ,子,ko
ムラタ,村田,murata
シン,真,shin
イグチ,井口,iguchi
コウキュウ,恒久,koukyuu
オウヒショウジナイシンノウ,王妃昌子内亲王,ouhishoujinaishinnou
タンゲ,丹下,tange
ホンダ,本多,honda
サヨ,沙世,sayo
アナミ,阿南,anami
ドウジョウ,堂上,doujou
チョクリン,直伦,chokurin
ホウジョウ,方条,houjou
モリイサオ,森功,moriisao
イタリ,至,itari
ヤマベ,山部,yamabe
カシタ,㭴田,kashita
ユイカ,结下,yuika
ミチル,美智留,michiru
キリガ,雾贺,kiriga
サルハシ,猿桥,saruhashi
カツコ,胜子,katsuko
クロサワ,黑泽,kurosawa
アキラ,明,akira
ノリコ,范子,noriko
サク,佐久,saku
ハザマレイ,间玲,hazamarei
ノト,能登,noto
マミコ,麻美子,mamiko
カワスミ,川澄,kawasumi
アヤコ,绫子,ayako
アサヌマ,浅沼,asanuma
イネジロウ,稻次郎,inejirou
キクチ,菊池,kikuchi
タケトキ,武时,taketoki
セイホウ,西方,seihou
カノ,鹿野,kano
ミチヒコ,道彦,michihiko
イタルゾウ,达增,itaruzou
タクヤ,拓也,takuya
ヨシノ,吉野,yoshino
マサヨシ,正芳,masayoshi
フユバ,冬马,fuyuba
ユミ,由美,yumi
ミズハシ,水桥,mizuhashi
カオリ,香织,kaori
コンドウ,近藤,kondou
ヨウスケ,洋介,yousuke
フクダ,福田,fukuda
ヤスオ,康夫,yasuo
ヒロナカ,广中,hironaka
タイラユウ,平祐,tairayuu
リコン,利根,rikon
カワススム,川进,kawasusumu
スズキ,铃木,suzuki
ミツミ,睦美,mitsumi
ミサト,美里,misato
ウエシバ,植芝,ueshiba
モリタイラ,盛平,moritaira
ナガタ,永田,nagata
トクモト,德本,tokumoto
ユノキ,柚木,yunoki
キタデ,北出,kitade
ナナ,菜奈,nana
クワケイ,桑佳,kuwakei
サナダ,真田,sanada
ユキ,裕贵,yuki
ヨシミタ,嘉田,yoshimita
ユキコ,由纪子,yukiko
ヤマモト,山本,yamamoto
ヒダカ,日高,hidaka
リナ,里菜,rina
サスハラ,指原,sasuhara
マツウラ,松浦,matsuura
ヨコヤマ,横山,yokoyama
ユイ,由依,yui
コトブキヨシ,寿美,kotobukiyoshi
サイコ,菜子,saiko
ウロフチ,虚渊,urofuchi
ゲン,玄,gen
リカタ,李方,rikata
ホリエ,堀江,horie
シンボウ,新房,shinbou
アキユキ,昭之,akiyuki
ヒサコ,寿子,hisako
キヨシ,清,kiyoshi
コン,昆,kon
ミヤザキ,宫崎,miyazaki
シュン,骏,shun
タイショウ,大正,taishou
テンノウ,天皇,tennou
ノヨリ,野依,noyori
ヨシハル,良治,yoshiharu
ノウミタケシ,乃海刚司,noumitakeshi
リュウノスケ,龙之介,ryuunosuke
アキタ,秋田,akita
ウジャク,雨雀,ujaku
コトノ,琴乃,kotono
ツヨシ,彊,tsuyoshi
カツラフトシ,桂太,katsurafutoshi
ロウ,郎,rou
スギハラ,杉原,sugihara
ダテ,伊达,date
チュウムネ,忠宗,chuumune
フチタ,渊田,fuchita
ミツオ,美津雄,mitsuo
キキョウ,贵教,kikyou
トヨトミ,丰臣,toyotomi
ヒデヨシ,秀吉,hideyoshi
ワタナベ,渡边,watanabe
マユ,麻友,mayu
クリタ,栗田,kurita
タケオ,健男,takeo
カタヤマ,片山,katayama
トラノスケ,虎之助,toranosuke
ハマザキ,滨崎,hamazaki
アユミ,步,ayumi
アンノ,庵野,anno
ヒデアキ,秀明,hideaki
マツサカ,松坂,matsusaka
ダイスケ,大辅,daisuke
タケヨシ,武吉,takeyoshi
コヅ,小津,kodzu
ミゾグチ,沟口,mizoguchi
ミヤザワ,宫泽,miyazawa
ケンジ,贤治,kenji
タテヤマ,馆山,tateyama
ショウヘイ,昌平,shouhei
ナギサ,渚,nagisa
カノウ,嘉纳,kanou
チュウジョウ,中条,chuujou
ジミ,自见,jimi
モリユウ,森有,moriyuu
タダシ,正,tadashi
アキマサ,明正,akimasa
ヌカタ,额田,nukata
オウ,姬王,ou
ウチダ,内田,uchida
リョウヘイ,良平,ryouhei
ミナモトヨリユキ,源赖,minamotoyoriyuki
セイ,政,sei
オオスガ,大菅,oosuga
ナガタニ,长谷,nagatani
ブマコト,部诚,bumakoto
ソタ,曾田,sota
ゼンヒョウエ,善兵卫,zenhyoue
ナンブ,南部,nanbu
マサキ,真崎,masaki
コウ,航,kou
シバザキ,柴崎,shibazaki
メグミジ,惠次,megumiji
ヒエタ,稗田,hieta
アレイ,阿礼,arei
エンドウ,远藤,endou
アリオカ,有冈,arioka
ダイタカ,大贵,daitaka
マサノブ,正信,masanobu
タニグチ,谷口,taniguchi
タケウチ,竹内,takeuchi
メンタイロウ,明太郎,mentairou
カツノリ,克则,katsunori
ノダ,野田,noda
ヨシヒコ,佳彦,yoshihiko
ゲンハ,玄叶,genha
リョウフト,谅太,ryoufuto
ヒデオ,英夫,hideo
ススムワレ,晋吾,susumuware
カンヨシ,菅义,kanyoshi
エラ,伟,era
ヒロシブ,广部,hiroshibu
コウテル,好辉,kouteru
コウショウ,后小,koushou
マツテンノウ,松天皇,matsutennou
ヤオ,矢尾,yao
トウノ,东野,touno
ケイゴ,圭吾,keigo
コヤマ,小山,koyama
キヨシゲ,清茂,kiyoshige
コヅカ,小冢,kodzuka
タケハル,武春,takeharu
ヨオモネ,世阿,yoomone
ワタル,弥,wataru
レナ,玲奈,rena
シマザキ,岛崎,shimazaki
ハタタスク,秦佐,hatatasuku
カズコ,和子,kazuko
タクマ,琢磨,takuma
タイムネ,泰宗,taimune
アマチ,天知,amachi
ブンヤ,文屋,bunya
ヤスヒデ,康秀,yasuhide
ユウスケ,祐辅,yuusuke
ウエハラ,上原,uehara
ユウサク,勇作,yuusaku
シバタ,柴田,shibata
マツイ,松井,matsui
ホシノ,星野,hoshino
イヌイタカ,干贵,inuitaka
シ,士,shi
ヒカ,比嘉,hika
リカルド,列卡度,rikarudo
シュンスケ,俊辅,shunsuke
テヅカ,手冢,tedzuka
オサム,治虫,osamu
ムサシ,武藏,musashi
アソウ,麻生,asou
サクラウチ,樱内,sakurauchi
ユキオ,幸雄,yukio
キヨコ,贵代子,kiyoko
フジワラ,藤原,fujiwara
タカコ,高子,takako
コダマ,儿玉,kodama
ミナモトタロウ,源太郎,minamototarou
ショウワ,昭和,shouwa
ナカジマ,中嶋,nakajima
ヨサ,与谢,yosa
ミナモトヨシ,源义,minamotoyoshi
イエ,家,ie
ナガセ,长濑,nagase
トミロウ,富郎,tomirou
サダヲ,贞夫,sadawo
テラウチ,寺内,terauchi
カワサカエ,川荣,kawasakae
ホウアキラ,方明,houakira
イリヤマ,入山,iriyama
アンナ,杏奈,anna
ドイ,土居,doi
ミサキ,美咲,misaki
ナカタ,中田,nakata
ヒデトシ,英寿,hidetoshi
ヨネリョウ,米良,yoneryou
サコン,左近,sakon
ウキョウ,右京,ukyou
アカシ,明石,akashi
トシオ,利男,toshio
ナカザワ,中泽,nakazawa
サトフトシ,聪太,satofutoshi
カンスグル,康英,kansuguru
ユウダイロウ,祐大朗,yuudairou
ヒライ,平井,hirai
ショウセイ,将生,shousei
ヨシザワ,吉泽,yoshizawa
アキラフ,明步,akirafu
オオウラ,大浦,ooura
ワタセ,渡濑,watase
シライシ,白石,shiraishi
マイ,麻衣,mai
トモザキ,友崎,tomozaki
アキ,亚希,aki
トニー,东尼,tonī
タイボク,大木,taiboku
ミズキ,水木,mizuki
ムラサキアヤ,紫彩,murasakiaya
ホソノ,细野,hosono
セイブン,正文,seibun
ヤスダ,安田,yasuda
リダイ,理大,ridai
イシイ,石井,ishii
キクジロウ,菊次郎,kikujirou
オオエ,大江,ooe
コイズミ,小泉,koizumi
マルヤマ,丸山,maruyama
ヨシアキ,良明,yoshiaki
シゲルノリ,滋则,shigerunori
タカギ,高木,takagi
トラノカイ,虎之介,toranokai
リュウサトシホ,隆智穗,ryuusatoshiho
マエハラ,前原,maehara
サカグチ,坂口,sakaguchi
アンゴ,安吾,ango
ハトヤマ,鸠山,hatoyama
イエヤス,家康,ieyasu
マスダ,增田,masuda
ユウキ,裕生,yuuki
タネタ,种田,taneta
リサ,梨沙,risa
クニオ,国男,kunio
クラフジ,仓藤,kurafuji
ヨネモト,米本,yonemoto
タクジ,拓司,takuji
マエダ,前田,maeda
タカヒロ,孝弘,takahiro
サンチュウ,山中,sanchuu
シンワタル,伸弥,shinwataru
ヤスゲイ,安艺,yasugei
ノウミセツオ,乃海节男,noumisetsuo
サトル,悟,satoru
アクサト,亚久里,akusato
イデ,井出,ide
ユウチ,有治,yuuchi
マツバラ,松原,matsubara
リョウコウ,良香,ryoukou
オオサコ,大迫,oosako
ケンタロウ,健太朗,kentarou
モリワキ,森脇,moriwaki
リョウタ,良太,ryouta
ケンタ,健太,kenta
トゴシ,户越,togoshi
マゴメ,马込,magome
コノエ,近卫,konoe
モトミ,基实,motomi
リンヒサシ,伦央,rinhisashi
カゲヤマ,影山,kageyama
マサヒサシ,雅永,masahisashi
ソウマ,相马,souma
ヤマザキ,山崎,yamazaki
トミタ,富田,tomita
ヨシオ,芳郎,yoshio
イシハラ,石原,ishihara
マキタロウ,慎太郎,makitarou
ヤスノ,安野,yasuno
モヨコ,梦洋子,moyoko
タカシ,乔,takashi
タロウ,太郎,tarou
カジウラ,梶浦,kajiura
フナコシ,船越,funakoshi
ギチン,义珍,gichin
ミナモトミノル,源实,minamotominoru
アサ,朝,asa
メイジ,明治,meiji
ヒロブミ,博文,hirobumi
ヤクショウ,役小,yakushou
カク,角,kaku
コマチ,小町,komachi
サルワレ,申吾,saruware
ジンム,神武,jinmu
カズヤ,和也,kazuya
ヒロシゲ,广重,hiroshige
カワグチ,川口,kawaguchi
ノウカツ,能活,noukatsu
モリシゲル,森重,morishigeru
ブン,文,bun
アンドウ,安藤,andou
タダオ,忠雄,tadao
アケボノフトシ,曙太,akebonofutoshi
ゴンベエ,权兵卫,gonbee
カワバタ,川端,kawabata
ヤスナリ,康成,yasunari
ゼンシン,善臣,zenshin
シロコモ,白隐,shirokomo
トシツル,慧鹤,toshitsuru
マサヤマ,雅山,masayama
テツシ,哲士,tetsushi
キヨミ,喜代美,kiyomi
キヨハラ,清原,kiyohara
オオヒサ,大久,oohisa
ホナガヤス,保长安,honagayasu
フヒトウ,不比等,fuhitou
ヒロヤ,浩哉,hiroya
タカハタ,高畑,takahata
クン,勋,kun
マツモト,松本,matsumoto
セイチョウ,清张,seichou
タグチ,田口,taguchi
サダミ,贞美,sadami
トリヤマ,鸟山,toriyama
マコト,诚,makoto
マキハラ,槙原,makihara
ヒロシオノレ,宽己,hiroshionore
ケイタスク,圭佑,keitasuku
モトヨシ,本吉,motoyoshi
ジョウテンノウ,条天皇,joutennou
ソウマイ,相米,soumai
ダイセツ,大拙,daisetsu
ニシダ,西田,nishida
キタロウ,几多郎,kitarou
ハヅキ,叶月,hadzuki
マレイ,真礼,marei
シノヤマ,筿山,shinoyama
キノシン,纪信,kinoshin
マツダ,松田,matsuda
ヒロシ,浩,hiroshi
ヒロユキ,裕幸,hiroyuki
アントニオ,安东尼奥,antonio
イノキ,猪木,inoki
アシハラ,芦原,ashihara
キサキナゴ,妃名子,kisakinago
チュウセツ,仲哀,chuusetsu
トシヒデ,敏英,toshihide
ノサカ,野坂,nosaka
オオタ,太田,oota
アキヒロ,昭宏,akihiro
ヒガシグチ,东口,higashiguchi
ジュンアキラ,顺昭,junakira
タサカ,田坂,tasaka
クラタ,仓田,kurata
マツバヤシ,松林,matsubayashi
ソウメグミ,宗惠,soumegumi
フジタ,藤田,fujita
ラクザン,乐山,rakuzan
フジヶタニ,藤谷,fujiヶtani
マツダイ,松代,matsudai
ナオキ,直树,naoki
アイダ,合田,aida
シイ,志位,shii
カズオ,和夫,kazuo
ナシモト,梨本,nashimoto
ミヤモリタダシオウ,宫守正王,miyamoritadashiou
モリヤマ,森山,moriyama
ツトシコ,津敏子,tsutoshiko
フサエ,房江,fusae
テツヤ,哲也,tetsuya
ヤスタカ,安孝,yasutaka
ヨシユキ,善之,yoshiyuki
カンノ,菅野,kanno
ハタアキラ,将晃,hataakira
ウエノ,上野,ueno
オグラ,小椋,ogura
マカイ,真介,makai
アキノリ,明纪,akinori
カサイ,葛西,kasai
キノアキラ,纪明,kinoakira
ミメイ,未明,mimei
タツヤ,龙也,tatsuya
タハタ,田畑,tahata
ハジ,端,haji
カズヒサ,和久,kazuhisa
コウジ,浩史,kouji
ヤスハラ,安原,yasuhara
ナルタイ,成泰,narutai
マサノリ,昌典,masanori
フカサク,深作,fukasaku
イシノモリアキラ,石之森章,ishinomoriakira
セキタカシ,关孝,sekitakashi
ワ,和,wa
ノブツナ,信纲,nobutsuna
ホリシゲル,堀秀,horishigeru
タツミ,辰巳,tatsumi
ヨシヒロ,嘉裕,yoshihiro
コウキ,光辉,kouki
ウエスギ,上杉,uesugi
ノリザネ,宪实,norizane
