angela,アンゲラ
haken,ハーケン
breitner,ブライトナー
rudi,ルディ
völler,フェラー
oliver,オリバー
riedel,リーデル
hesse,ヘッセ
egon,エゴン
krenz,クレンツ
gerlach,ゲルラッハ
heinrich,ハインリヒ
lübke,リュプケ
gustav,グスタフ
heinemann,ハイネマン
theodor,テオドール
heuss,ホイス
herta,ヘルタ
müller,ミュラー
friedrich,フリードリヒ
erich,エーリヒ
honecker,ホーネッカー
eucken,オイケン
sidney,シドニー
sam,サム
uwe,ウーヴェ
seeler,ゼーラー
koray,コライ
jochen,ヨッヘン
rindt,リント
kirch,キルヒ
hindenburg,ヒンデンブルク
edmund,エドムント
stoiber,シュトイバー
ottmar,オットマール
hitzfeld,ヒッツフェルト
maria,マリア
remarque,レマルク
pierre,ピエール
littbarski,リトバルスキー
rahn,ラーン
frank,フランク
ordenewitz,オルデネビッツ
magnus,マグヌス
enzensberger,エンツェンスベルガー
claus,クラウス
luthe,ルーテ
effenberg,エッフェンベルク
feodor,フェオドル
lynen,リュネン
otto,オットー
fischer,フィッシャー
mario,マリオ
gómez,ゴメス
beckenbauer,ベッケンバウアー
hackl,ハックル
sandra,サンドラ
bullock,ブロック
josef,ヨーゼフ
strauß,シュトラウス
seehofer,ゼーホーファー
otfried,オトフリート
preußler,プロイスラー
nico,ニコ
ottl,オットル
rubens,ルーベンス
ronald,ロナルト
pofalla,ポファッラ
raphael,ラファエル
schäfer,シェーファー
michael,ミヒャエル
glos,グロース
sofian,ソフィアン
chahed,シャヘド
tilo,ティロ
gutzeit,グーツァイト
staudinger,シュタウディンガー
alfred,アルフレート
schwarzmann,シュヴァルツマン
tim,ティム
hoogland,ホーグラント
collatz,コラッツ
löw,レーヴ
mies,ミース
van,ファン
der,デア
rohe,ローエ
bernard,ベルナルト
katz,カッツ
laura,ラウラ
sebastian,セバスティアン
vettel,ベッテル
schmitt,シュミット
wolfgang,ヴォルフガング
overath,オヴェラート
günther,ギュンター
beckstein,ベックシュタイン
erik,エリック
zabel,ツァベル
timo,ティモ
gebhart,ゲプハルト
schweitzer,シュヴァイツァー
adrian,エイドリアン
sutil,スーティル
meyer,マイヤー
harald,ハラルト
schmid,シュミット
elisabeth,エリーザベト
charlotte,シャルロッテ
pfalz,プファルツ
böll,ベル
grass,グラス
heino,ハイノ
raab,ラープ
polanski,ポランスキ
adolf,アドルフ
butenandt,ブーテナント
weber,ヴェーバー
burkert,ブルケルト
kaas,カース
hempel,ヘンペル
curt,クルト
backeberg,バッケベルク
noth,ノート
adil,アディル
chihi,シヒ
henry,ヘンリー
koster,コスター
peer,ペール
steinbrück,シュタインブリュック
adalbert,アーダルベルト
preußen,プロイセン
eichinger,アイヒンガー
siodmak,シオドマク
jaeger,イェーガー
nicolas,ニコラス
höfler,ヘフラー
ehrler,エールラー
zagrosek,ツァグロセク
stöck,シュテック
blossfeldt,ブロスフェルト
reiner,ライナー
knizia,クニツィア
valerius,ヴァレリウス
cordus,コルドゥス
weiß,ヴァイス
hilde,ヒルデ
schrader,シュラーダー
christina,クリスティーナ
obergföll,オーバークフォル
philipp,フィリップ
lahm,ラーム
linda,リンダ
stahl,シュタール
gerd,ゲルト
leonid,レオニード
kreutzer,クロイツァー
herbig,ヘルビヒ
hengel,ヘンゲル
spiegel,シュピーゲル
frenkel,フレンケル
hubert,フーベルト
hahne,ハーネ
hein,ハイン
mayr,マイヤー
betty,ベティ
heidler,ハイドラー
barth,バルト
rita,リタ
wilden,ウィルデン
markus,マルクス
söder,ゼーダー
schneider,シュナイダー
linde,リンデ
dorothea,ドロテア
brandenburgkulmbach,ブランデンブルク
agnesmaria,アニェス
andechsmeranien,メラニー
heinz,ハインツ
keßler,ケスラー
rosa,ローザ
luxemburg,ルクセンブルク
agnes,アグネス
pockels,ポッケルス
margot,マーゴット
edith,エーディト
frankholländer,フランク
lützow,リュッツオウ
vietoris,ベアトリス
lubitsch,ルビッチ
wowereit,ヴォーヴェライト
thüringen,テューリンゲン
ralf,ラルフ
bartels,バルテルス
welter,ヴェルター
hellmuth,ヘルムート
nikolaus,ニコラウス
oldenburg,オルデンブルク
sabine,ザビーネ
busch,ブッシュ
eicher,アイヒャー
rüdiger,リュディガー
safranski,ザフランスキー
tommy,トミー
haas,ハース
knispel,クニスペル
radbruch,ラートブルフ
hannelore,ハンネローレ
nadine,ナディネ
kleinert,クライネルト
northeim,ノルトハイム
herbert,ヘルベルト
eulenberg,オイレンベルク
böhm,ベーム
rudolph,ルドルフ
lorenz,ローレンツ
maleuda,マロイダ
klopfer,クロップファー
scheidel,シャイデル
danne,ダンネ
maro,マロ
engel,エンゲル
hamacher,ハーマッハー
gudrun,グードルン
wagner,ワーグナー
johann,ヨハン
wilhelm,ヴィルヘルム
hanns,ハンス
zischler,ツィッシュラー
lammerding,ラマーディング
basilius,バシリウス
besler,ベスラー
tatjana,タチアナ
patitz,パティッツ
anton,アントン
ulrich,ウルリッヒ
ellen,エレン
unwerth,アンワース
gisela,ギゼラ
birkemeyer,ビルケマイヤー
glockshuber,グロクシュバー
urban,ウルバン
hettich,ヘティヒ
bartholomäus,バルトロメウス
ringwaldt,リングヴァルト
maximilian,マクシミリアン
thurn,トゥルン
und,ウント
taxis,タクシス
schumacher,シューマッハー
seizinger,ザイツィンガー
weill,ヴァイル
danny,ダニー
latza,ラッツァ
barkmann,バルクマン
heckmann,ヘックマン
gröttrup,グレトルップ
justus,ユストゥス
möser,メーザー
salomon,ザロモン
karoli,カローリ
hannah,ハンナ
herzsprung,ヘルツシュプルング
isau,イーザウ
sami,サミ
khedira,ケディラ
gershon,ガーション
kingsley,キングスレイ
worringer,ヴォリンガー
obstfelder,オープストフェルダー
erwin,エルヴィン
schrödinger,シュレーディンガー
fieseler,フィーゼラー
rühl,ルール
ampler,アンプラー
hohlbein,ホールバイン
jaki,ヤキ
liebezeit,リーベツァイト
marschall,マーシャル
jakob,ヤーコプ
sporrenberg,シュポレンベルク
dohnányi,ドホナーニ
stein,シュタイン
bodewig,ボーデヴィヒ
joël,ジョエル
engelbert,エンゲルベルト
humperdinck,フンパーディンク
bauer,バウアー
bethge,ベートゲ
leni,レニ
riefenstahl,リーフェンシュタール
alexandra,アレクサンドラ
lara,ララ
franka,フランカ
potente,ポテンテ
karoline,カロリーネ
günderrode,ギュンダーローデ
haase,ハーゼ
gertrud,ゲルトルート
sachsen,ザクセン
minetti,ミネッティ
wim,ヴィム
wenders,ヴェンダース
ophüls,オフュルス
william,ウィリアム
dieterle,ディターレ
beate,ベアテ
klarsfeld,クラルスフェルト
martina,マルティナ
gedeck,ゲデック
beck,ベック
schwaben,シュヴァーベン
philippine,フィリッピーネ
vogel,フォーゲル
ulf,ウルフ
schirmer,シルマー
diffring,ディフリング
trittin,トリッティン
ballack,バラック
steffi,シュテフィ
graf,グラーフ
margarethe,マルガレーテ
trotta,トロッタ
kinski,キンスキー
gerda,ゲルダ
förster,フェルスター
hansjosef,ユップ
kapellmann,カペルマン
eisenstaedt,アイゼンスタット
theo,テオ
waigel,ヴァイゲル
gregor,グレゴール
gysi,ギジ
hugenberg,フーゲンベルク
ensslin,エンスリン
brendel,ブレンデル
ostwald,オストヴァルト
sauer,ザウアー
meissner,マイスナー
decker,デッカー
gesine,ゲジーネ
lötzsch,レッチュ
corinna,コリンナ
harfouch,ハルフォーフ
köppel,ケッペル
lenard,レーナルト
laue,ラウエ
selten,ゼルテン
wien,ヴィーン
naumann,ナウマン
dörflein,デルフライン
hansi,ハンジ
karlheinz,カールハインツ
david,デイヴィッド
mcallister,マカリスター
wisch,ヴィッシュ
claisen,クライゼン
lisa,リサ
kreuzer,クロイツァー
zimmermann,ツィンマーマン
funk,フンク
stern,シュテルン
strauss,シュトラウス
cem,ジェム
özdemir,オズデミル
nelly,ネリー
sachs,ザックス
klinsmann,クリンスマン
marco,マルコ
salmuth,ザルムート
biermann,ビーアマン
elmendorff,エルメンドルフ
inge,インゲ
borkh,ボルク
weinzierl,ヴァインツィール
dietrich,ディートリヒ
hildebrand,ヒルデブラント
schuman,シューマン
schäuble,ショイブレ
genzken,ゲンツケン
ehrenfried,エーレンフリート
boege,ベーゲ
greiffenberg,グライフェンベルク
joseph,ヨーゼフ
effner,エフナー
sexy,セクシー
cora,コーラ
bruno,ブルーノ
brauchitsch,ブラウヒッチュ
lipfert,リップフェルト
stark,シュタルク
feistel,ファイステル
oskar,オスカー
hansjörg,ハンスイェルク
jäkle,イエックレ
gabelsberger,ガベルスベルガー
musgrave,マスグレイブ
sperling,スパーリング
sigmund,ジークムント
rascher,ラッシャー
tölzer,テルツァー
ewald,エヴァルト
krull,クルル
glaser,グラーザー
walther,ヴァルター
dahl,ダール
louis,ルイス
de,ド
wohl,ウォール
rögner,レーグナー
staus,シュタウス
list,リスト
umbo,ウンボ
kathy,カティ
radzuweit,ラツバイト
jens,イェンス
lehmann,レーマン
oswald,オスヴァルト
spengler,シュペングラー
struck,シュトルック
altig,アルティヒ
diane,ダイアン
kruger,クルーガー
grünberg,グリューンベルク
cilly,シリー
aussem,アウセム
eichel,アイヒェル
eike,アイケ
immel,インメル
ollenhauer,オレンハウアー
zu,ツー
wied,ヴィート
lion,ライオン
doles,ドーレス
sylvester,シルベスター
mizler,ミツラー
yuri,ユーリ
manin,マニン
bahr,バール
adam,アダム
lonitzer,ロニチェル
kähler,ケーラー
bieberbach,ビーベルバッハ
moser,モーザー
kossel,コッセル
anna,アンナ
kleve,クレーヴズ
canaris,カナリス
stoltenberg,シュトルテンベルク
dimitri,ディミトリ
peters,ペータース
braun,ブラウン
volker,フォルカー
strassen,シュトラッセン
curtius,クルチウス
meyerhof,マイヤーホフ
arthur,アルトゥール
crispien,クリスピン
schëuch,シューク
manstein,マンシュタイン
schleicher,シュライヒャー
wever,ヴェーファー
kleist,クライスト
leber,レーバー
kasimir,カジミール
soxhlet,ソックスレー
ostendorff,オステンドルフ
bernstorff,ベルンシュトルフ
mücke,ミュッケ
sascha,サシャ
maassen,マーセン
winterkorn,ヴィンターコルン
neidlinger,ナイトリンガー
bradl,ブラドル
windt,ヴィント
eberhard,エーベルハルト
köllner,ケルナー
fassbender,ファスベンダー
hitzlsperger,ヒッツルスペルガー
muthesius,ムテジウス
falkenhayn,ファルケンハイン
raeder,レーダー
cacau,カカウ
hoth,ホト
stieglitz,ステイグリッツ
lilian,リリアン
harvey,ハーヴェイ
münchinger,ミュンヒンガー
timothy,ティモシー
chandler,チャンドラー
thyssen,ティッセン
stürmer,シュテュルマー
reitsch,ライチュ
kelly,ケリー
trump,トランプ
helmuth,ヘルムート
pannwitz,パンヴィッツ
abraham,アブラハム
josias,ヨシアス
tugendhat,トゥーゲントハット
chevallerie,シュヴァルリー
engholm,エングホルム
schlechter,シュレヒター
frits,フリッツ
clausen,クラウゼン
dorothee,ドロテー
sölle,ゼレ
bohle,ボーレ
pancke,パンケ
luther,ルター
maske,マスケ
ingrid,イングリット
micklerbecker,ベッカー
mathilde,マティルデ
rené,ルネ
kollo,コロ
sander,ザンダー
uhde,ウーデ
gräßler,グレッスラー
eleonore,エレオノーレ
dolbreuse,ドルブリューズ
troll,トロール
esper,エシュペル
godfrey,ゴドフリー
kneller,ネラー
emil,エミール
leeb,レープ
welte,ヴェルテ
petersen,ペーターゼン
gottfried,ゴットフリート
schwerin,シュヴェリーン
levi,レヴィ
schörner,シェルナー
hausser,ハウサー
matthias,マティアス
sammer,ザマー
dalbert,ダルベール
bohrmann,ボーアマン
sauerbruch,ザウアーブルッフ
schroeter,シュレーター
magda,マクダ
goebbels,ゲッベルス
plenzdorf,プレンツドルフ
seeckt,ゼークト
alexander,アレクサンダー
wendt,ウェント
galland,ガーランド
kesten,ケステン
fröhlich,フレーリッヒ
cassirer,カッシーラー
kevin,ケヴィン
mirocha,ミロチャ
margarete,マルガレーテ
küchler,キュヒラー
halder,ハルダー
rademacher,ラーデマッハー
waldmann,ウォルドマン
witt,ヴィット
dahlhaus,ダールハウス
senta,センタ
berger,ベルガー
anneliese,アンネリーゼ
rothenberger,ローテンベルガー
jonas,ヨナス
kaufmann,カウフマン
stresemann,シュトレーゼマン
lena,レナ
valaitis,ワライティス
dieter,ディーター
zetsche,ツェッチェ
weidt,ヴァイト
buch,ブーフ
august,アウグスト
milch,ミルヒ
kroemer,クレーマー
rethel,レーテル
bisky,ビスキー
gundi,ガンディ
tobias,トビアス
unger,ウンガー
severin,ゼヴェリン
freund,フロイント
viola,ヴィオラ
sudermann,ズーダーマン
willy,ヴィリー
rampf,ランプ
störmer,シュテルマー
ritter,リッター
pischetsrieder,ピシェッツリーダー
preiss,プライス
kati,カティ
winkler,ヴィンクラー
jakobäa,ヤコベア
baden,バーデン
thoms,トムス
blume,ブルーメ
hänsch,ヘンシュ
béla,ベラ
barényi,バレニー
nordhoff,ノルトホフ
blomberg,ブロンベルク
hugo,フーゴー
ball,バル
ralph,ラルフ
baer,ベア
artur,アルトゥール
ardenne,アルデンヌ
claude,クラウディウス
dornier,ドルニエ
hartmann,ハルトマン
moritz,モーリッツ
schlick,シュリック
peiper,パイパー
constantin,コンスタンティン
carathéodory,カラテオドリ
ostermeier,オスターマイアー
charell,シャレル
george,ゲオルゲ
lewy,レヴィー
domagk,ドーマク
karin,カリン
dor,ドール
riemann,リーマン
sophie,ゾフィー
hinkel,ヒンケル
falkenhorst,ファルケンホルスト
tykwer,ティクヴァ
jähn,イェーン
gmelin,グメリン
juan,ホアン
linz,リンス
leitner,ライトナー
rauff,ラウフ
dana,ダーナ
vávrová,ヴァヴロヴァ
blank,ブランク
altmaier,アルトマイヤー
baier,バイアー
jüngere,ユンゲレ
blaskowitz,ブラスコヴィッツ
niklas,ニクラス
luhmann,ルーマン
hertha,ヘルタ
bothe,ボーテ
manuel,マヌエル
reuter,ロイター
manuela,マヌエラ
henkel,ヘンケル
alex,アレックス
wright,ライト
hutier,フーチェル
kalbeck,カルベック
danckelman,ダンケルマン
karen,カレン
horney,ホーナイ
ruska,ルスカ
klitzing,クリッツィング
heike,ハイケ
drechsler,ドレクスラー
modrow,モドロウ
wendelin,ヴェンデリン
wiedeking,ヴィーデキング
beatrix,ベアトリクス
elsa,エルザ
muhs,ムース
heeringen,ヘーリンゲン
tietjen,ティーティエン
lippert,リッペルト
haussmann,ハウスマン
rolff,ロルフ
maurizio,マウリツィオ
gaudino,ガウディーノ
falkenhausen,ファルケンハウゼン
pintscher,ピンチャー
furler,フルラー
graciano,グラシアノ
rocchigiani,ロッシジャーニ
sibylla,ジビーラ
merian,メーリアン
zermelo,ツェルメロ
bittrich,ビットリヒ
hindemith,ヒンデミット
timmermann,ティンマーマン
aldegrever,アルデグレーファー
thienemann,ティーネマン
stephan,シュテファン
sizzo,ジッツォ
schwarzburg,シュヴァルツブルク
gressmann,グレスマン
margrit,マルグリット
kennedy,ケネディ
erlbruch,エァルブルッフ
blask,ブラスク
schneiderhan,シュナイダーハン
rufer,ルーファー
freitag,フライターク
saalwächter,ザールヴェヒター
kleinheisterkamp,クラインハイスターカンプ
apel,アーペル
kammhuber,カムフーバー
kronig,クローニッヒ
nikisch,ニキシュ
hasso,ハッソ
manteuffel,マントイフェル
gotthard,ゴットハルト
heinrici,ハインリツィ
violante,ヴィオランテ
kummetz,クメッツ
wolfram,ヴォルフラム
sievers,ジーファース
makatsch,マカチュ
maihofer,マイホーファー
last,ラスト
traudl,トラウデル
junge,ユンゲ
london,ロンドン
schlemm,シュレム
möllemann,メレマン
krack,クラック
boris,ボリス
groys,グロイス
riester,リースター
rathgen,ラートゲン
larenz,ラーレンツ
pietsch,ピーチ
egger,エッガー
eduard,エドゥアルト
seler,ゼーラー
tuta,トゥタ
michel,ミヒェル
kretschmer,クレッチマー
göring,ゲーリング
melchior,メルヒオール
hofmann,ホフマン
balthasar,バルタザール
hubmaier,フープマイヤー
schwarzkopf,シュヴァルツコップ
mühe,ミューエ
baade,バーデ
mielke,ミールケ
michels,ミヒェルス
schlöndorff,シュレンドルフ
lombard,ロンバルト
gebhard,ゲプハルト
joschka,ヨシュカ
therese,テレーゼ
auguste,アウグステ
sofie,ゾフィー
steger,シュテガー
vuckovic,ブコビッチ
rahner,ラーナー
sartison,サーティソン
jerusalem,イェルーザレム
wilfried,ヴィルフリート
sauerland,ザウアーラント
neuberg,ノイベルグ
burwitz,ブルヴィッツ
marika,マリカ
kilius,キリウス
betz,ベッツ
baeumler,ボイムラー
hilberseimer,ヒルベルザイマー
mechler,メヒラー
petra,ペトラ
hammesfahr,ハメスファール
marcel,マルセル
höhlig,ヘーリッヒ
rolf,ロルフ
kanies,カニース
rehder,レーダー
jörg,イェルク
schlaich,シュライヒ
jil,ジル
gille,ギレ
friedmann,フリートマン
trippel,トリッペル
henriette,ヘンリエッテ
marie,マリー
killmayer,キルマイヤー
barkhorn,バルクホルン
britta,ブリッタ
steffen,シュテフェン
weidling,ヴァイトリング
benn,ベン
biela,ビエラ
ballhaus,バルハウス
furtwängler,フルトヴェングラー
dietmar,ディートマー
hopp,ホップ
diehl,ディール
raudies,ラウディス
sandro,サンドロ
cortese,コルテセ
keppler,ケプラー
gerhardt,ゲルハルト
wieneke,ウィニケ
glücks,グリュックス
woldemar,ヴォルデマール
voigt,フォークト
saucken,ザウケン
foertsch,フェルチュ
brandi,ブランディ
dita,ディタ
parlo,パルロ
gerst,ゲルスト
arnold,アルノルト
fanck,ファンク
schuck,シュック
bredow,ブレドウ
samuel,ザムエル
leopold,レオポルト
großmann,グロスマン
vitali,ビタリ
tajbert,タイベルト
sven,スヴェン
ottke,オットケ
kuno,クーノ
westarp,ヴェスタープ
liesel,リーゼル
westermann,ヴェステルマン
christiane,クリスティアーネ
handrick,ハンドリック
scholz,ショルツ
antje,アンジェ
traue,トラウェ
schipplock,シプロック
jost,ヨスト
vacano,ヴァカーノ
genzel,ゲンツェル
gerber,ゲルベル
rosenberg,ローゼンベルク
miriam,ミリアム
förstemann,フェルステマン
tropsch,トロプシュ
noske,ノスケ
pfitzner,プフィッツナー
sarah,サラ
hecken,ヘッケン
germar,ゲルマー
olaf,オラフ
ittenbach,イッテンバッハ
falck,ファルク
caracciola,カラツィオラ
tucholsky,トゥホルスキー
christa,クリスタ
lale,ララ
andersen,アンデルセン
fest,フェスト
löbe,レーベ
dohnanyi,ドホナーニ
knochen,クノッヘン
acardipane,トローネ
götz,ゲッツ
osterkamp,オステルカンプ
schreyer,シュライヤー
staudte,シュタウテ
krieck,クリーク
kegel,ケーゲル
schottelius,ショッテル
ehmke,エームケ
kittler,キットラー
tomas,トーマス
gaffky,ガフキー
trapp,トラップ
crass,クラス
anke,アンケ
huber,フーバー
groß,グロス
schickard,シッカート
armin,アルミン
meiwes,マイヴェス
oster,オスター
frauenlob,フラウエンロープ
späth,シュペート
thierse,ティールゼ
walser,ヴァルザー
döblin,デーブリーン
krüger,クリューガー
rinser,リンザー
stipe,スティペ
erceg,エルツェッグ
herrmann,ヘルマン
wuttke,ヴトケ
reichhart,ライヒハート
leonhardt,レオンハルト
vera,ヴェラ
tschechowa,チェコヴァ
breith,ブライト
lassally,ラサリー
trotha,トロータ
gunther,グンター
hagens,ハーゲンス
gazsi,ガージ
kroh,クロー
stefanie,シュテファニー
zweig,ツヴァイク
sandberger,ザントベルガー
röhm,ローム
andré,アンドレ
wand,ヴァント
gunkel,グンケル
hocke,ホッケ
krupinski,クルピンスキー
bolkart,ボルカート
herr,ヘル
seghers,ゼーガース
til,ティル
schweiger,シュヴァイガー
newton,ニュートン
knappertsbusch,クナッパーツブッシュ
heiner,ハイナー
jochum,ヨッフム
claudia,クラウディア
pechstein,ペヒシュタイン
lingen,リンゲン
berthold,ベルトルト
kopff,コプフ
noddack,ノダック
jaenecke,イェーネッケ
regina,レギーナ
halmich,ハルミッヒ
bukofzer,ブコフツァー
opel,オペル
hoßbach,ホスバッハ
unsöld,ウンゼルト
offe,オッフェ
le,ル
coq,コック
geheeb,ゲヘープ
edelsheim,エーデルスハイム
arjouni,アルユーニ
casimir,カシミール
stumpf,シュトゥンプ
koch,コッホ
rosemarie,ローズマリー
ackermann,アッカーマン
seldte,ゼルテ
groener,グレーナー
jung,ユング
remer,レーマー
mass,マス
krebs,クレープス
wildt,ヴィルト
andrea,アンドレア
nahles,ナーレス
olga,オルガ
henlein,ヘンライン
gustloff,グストロフ
denke,デンケ
tippelskirch,ティッペルスキルヒ
stefano,ステファノ
celozzi,チェロッツィ
meindl,マインドル
femerling,フェメルリンク
akif,アキフ
pirinçci,ピリンチ
ciliax,チリアクス
zacharias,ツァハリアス
frey,フライ
burgdorf,ブルクドルフ
udo,ウド
schabowski,シャボフスキー
knobelsdorff,クノーベルスドルフ
nußelt,ヌセルト
koller,コラー
alexandros,アレクサンドロス
margaritis,マルガリティス
franco,フランコ
foda,フォーダ
lammers,ラマース
battenberg,バッテンベルク
liman,リーマン
sanders,ザンデルス
norbert,ノルベルト
lammert,ランメルト
hoffmann,ホフマン
ruth,ルート
fuchs,フックス
scharoun,シャロウン
daniel,ダニエル
kehlmann,ケールマン
eppelmann,エッペルマン
cäsar,ツェーザル
flaischlen,フライシュレン
schumann,シューマン
bartko,バルトコ
pfeffer,プフェファー
heller,ヘラー
harry,ハリー
franke,フランケ
prégardien,プレガルディエン
becker,ベッカー
neukirchner,ノイキルヒナー
knuth,クヌート
krages,クラージェス
trockel,トロッケル
glass,グラス
benjamin,ベンヤミン
lauth,ラウト
bergmeister,ベルグマイスター
siegfried,ジークフリート
mecklenburgstrelitz,メクレンブルク
sabina,ザビーナ
karolina,カロリーナ
orzelska,オジェルスカ
hantzsch,ハンチュ
alzen,アルツェン
wende,ヴェンデ
scherber,シェルバー
kurland,クールラント
teufel,トイフェル
bouffier,ボフィエー
böhmen,ベーメン
haseloff,ハーゼロフ
aljona,アリオナ
savchenko,サフチェンコ
rochus,ローフス
misch,ミシュ
weingärtner,ヴァインゲルトナー
schwassmann,シュヴァスマン
benno,ベンノ
ohnesorg,オーネゾルク
morell,モレル
viktoria,ヴィクトリア
günsche,ギュンシェ
mauss,マウス
barschel,バルシェル
sıla,シーラ
şahinradlinger,シャヒン
arendt,アーレント
stolpe,シュトルペ
hoeren,ヘーレン
lil,リル
dagover,ダゴファー
kramer,クラマー
conrad,コンラート
michaelis,ミカエリス
hubertus,フーベルトゥス
heil,ハイル
laufer,ラウファー
parvus,パルヴス
danner,ダナー
petković,ペトコビッチ
labbadia,ラッバディア
runge,ルンゲ
graebe,グレーベ
martha,マルタ
mödl,メードル
weichs,ヴァイクス
schenker,シェンカー
rösener,レーゼナー
grün,グリューン
tibor,ティボー
pleiß,プライス
joel,ジョエル
matip,マティプ
demandt,デマント
gerson,ゲルソン
gunter,ギュンター
dalquen,ダルケン
schweinfurt,シュヴァインフルト
fiedler,フィードラー
alice,アリス
schwarzer,シュヴァルツァー
dagmar,ダグマー
krause,クラウゼ
bogislaw,ボギスラフ
croÿ,クロイ
martens,マルテンス
rabe,ラーベ
hipper,ヒッパー
priebke,プリーブケ
hirschfeld,ヒルシュフェルト
spemann,シュペーマン
töpfer,テプファー
curd,クルト
jürgens,ユルゲンス
franziska,フランツィスカ
almsick,アルムシック
rendulic,レンデュリック
roehler,レーラー
meinecke,マイネッケ
schöne,ショーン
gaßner,ガスナー
felix,フェリックス
steiner,シュタイナー
backe,バッケ
daluege,ダリューゲ
ramin,ラミン
djawadi,ジャヴァディ
mayländer,マイレンダー
peterson,ピーターソン
uhse,ウーゼ
thrun,スラン
dru,ドリュー
berrymore,バリモア
leonor,レオノール
bäke,ベーケ
uhlen,ウーレン
eggeling,エッゲリンク
lepenies,レペニース
beyer,バイヤー
liedtke,リートケ
ohnesorge,オーネゾルゲ
thomalla,トマラ
julius,ユリウス
caroline,カロリーネ
link,リンク
kathrin,カトリーン
neimke,ナイムケ
doldinger,ドルディンガー
fischinger,フィッシンガー
genazino,ゲナツィーノ
vogler,フォーグラー
basilea,バジレア
schlink,シュリンク
roland,ローラント
freisler,フライスラー
shawn,ショーン
bradley,ブラッドリー
auerbach,アウエルバッハ
bierofka,ビエロフカ
leonhard,レオンハルト
kaupisch,カウピッシュ
rogge,ロッゲ
leo,レオ
blech,ブレッヒ
hollreiser,ホルライザー
kretschmann,クレッチマン
hildegard,ヒルデガルト
knef,クネフ
hornschuch,ホルンシュック
lucht,ルフト
bockhorst,ブックホルスト
gottlieb,ゴットリープ
hering,ヘリング
röhrl,ロール
winkelhock,ヴィンケルホック
quandt,クヴァント
oscar,オスカー
drude,ドルーデ
schwalbahoth,シュバルバホス
hansen,ハンゼン
jacob,ヤコブ
bartsch,バルチュ
ising,イジング
annett,アネット
clemens,クレメンス
paula,パウラ
hary,ハリー
panofsky,パノフスキー
john,ジョン
enders,エンダース
gruschke,グルシュケ
hanke,ハンケ
platzeck,プラツェック
pohl,ポール
winifred,ヴィニフレート
rust,ルスト
andi,アンディ
deris,デリス
julian,ユリアン
knapp,クナップ
