alexandra,알렉산드라,alregsandeura
bicfalvi,비크팔비,bikeupalbi
valerică,발레리커,balrerikeo
găman,거만,geoman
piștereanu,피슈테레아누,pisyutereanu
popa,포파,popa
costel,코스텔,koseutel
pantilimon,판틸리몬,pantilrimon
armand,아르만드,areumandeu
călinescu,컬리네스쿠,keolrineseuku
crin,크린,keurin
mateuț,마테우츠,mateuceu
codrea,코드레아,kodeurea
dacian,다치안,dacian
cioloș,치올로슈,ciolrosyu
fița,피타,pita
lovin,로빈,robin
horia,호리아,horia
sima,시마,sima
păucă,퍼우커,peoukeo
vasile,바실레,basilre
andrei,안드레이,andeurei
raul,라울,raul
rusescu,루세스쿠,ruseseuku
dărăban,더러반,deoreoban
gherman,게르만,gereuman
elina,엘리나,elrina
löwensohn,뢰벤존,roebenjon
sirițeanu,시리체아누,siriceanu
ionuț,이온,ion
luțu,루추,rucu
stoian,스토이안,seutoian
mirel,미렐,mirel
rădoi,러도이,reodoi
bănel,버넬,beonel
nicoliță,니콜리처,nikolriceo
david,데이비드,deibideu
wechsler,웩슬러,wegseulreo
prepeliță,프레펠리처,peurepelriceo
sebastian,세바스티안,sebaseutian
torje,토르제,toreuje
dragoș,드라고슈,deuragosyu
grigore,그리고레,geurigore
coteanu,코테아누,koteanu
florentin,플로렌틴,peulrorentin
mureșan,무레샨,muresyan
dumitrescu,두미트레스쿠,dumiteureseuku
nicolao,니콜라오,nikolrao
dumitru,두미트루,dumiteuru
rebreanu,레브레아누,rebeureanu
otilia,오틸리아,otilria
bădescu,바데스쿠,badeseuku
bianca,비안카,bianka
pascu,파스쿠,paseuku
nicușor,니콜라에,nikolrae
stanciu,스탄치우,seutanciu
aurelian,아우렐리안,aurelrian
chițu,키추,kicu
caterina,카테리나,katerina
morariu,모라리우,morariu
olăroiu,올러로이우,olreoroiu
lupu,루푸,rupu
rodion,로디온,rodion
cămătaru,커머타루,keomeotaru
chiricheș,키리케슈,kirikesyu
tătărescu,터터레스쿠,teoteoreseuku
mureșanu,무레샤누,muresyanu
ghiță,기타,gita
ianis,이아니스,ianiseu
zicu,지쿠,jiku
vartolomei,바르톨로메이,bareutolromei
sânmărtean,슨머르테안,seunmeoreutean
maxim,막심,magsim
babii,바비,babi
denis,데니스,deniseu
alibec,알리베크,alribekeu
vasilache,바실라케,basilrake
anca,안카,anka
măroiu,머로이우,meoroiu
vladimir,블라디미르,beulradimireu
cosma,코스마,koseuma
pușcașu,푸슈카슈,pusyukasyu
bucur,부쿠르,bukureu
crăciunescu,크러치우네스쿠,keureociuneseuku
moți,모치,moci
gafencu,가펜쿠,gapenku
cosmina,코스미나,koseumina
stratan,스트라탄,seuteuratan
claudiu,클라우디우,keulraudiu
keșerü,케셰뤼,kesyerwi
mățel,머첼,meocel
constantin,콘스탄틴,konseutantin
virgil,비르질,bireujil
teodoroiu,테오도로이우,teodoroiu
anghel,안겔,angel
iordănescu,이오르더네스쿠,ioreudeoneseuku
tamara,타마라,tamara
costache,코스타체,koseutace
loredana,로레다나,roredana
eva,에바,eba
mozes,모제스,mojeseu
kor,코르,koreu
buș,부슈,busyu
rebengiuc,레벤지우크,rebenjiukeu
fărcaș,퍼르카슈,peoreukasyu
parhon,파론,paron
tătărușanu,터터루샤누,teoteorusyanu
diaconu,디아코누,diakonu
plagino,플라기노,peulragino
cristi,크리스티,keuriseuti
puiu,푸이우,puiu
dulca,둘카,dulka
pârvulescu,프르불레스쿠,peureubulreseuku
ovidiu,오비디우,obidiu
hoban,호반,hoban
cristina,크리스티나,keuriseutina
flutur,플루투르,peulrutureu
petrescu,페트레스쿠,peteureseuku
marcel,마르첼,mareucel
iureș,이우레슈,iuresyu
tattarescu,타타레스쿠,tatareseuku
nicolaescu,니콜라에스쿠,nikolraeseuku
șerbănescu,셰르버네스쿠,syereubeoneseuku
mihalcea,미할체아,mihalcea
ludovic,루도비크,rudobikeu
orban,오르반,oreuban
gâlcă,글커,geulkeo
preda,프레다,peureda
mihăilescu,미허일레스쿠,miheoilreseuku
tibor,티보르,tiboreu
selymes,셀리메스,selrimeseu
stancu,스탄쿠,seutanku
klaus,클라우스,keulrauseu
iohannis,요하니스,yohaniseu
alina,알리나,alrina
eremia,에레미아,eremia
alin,알린,alrin
moldoveanu,몰도베아누,moldobeanu
stăncioiu,스턴치오이우,seuteoncioiu
nica,니카,nika
covaliu,코발리우,kobalriu
andra,안드라,andeura
moscu,모스코,moseuko
alkalai,알카라이,alkarai
silvestri,실베스트리,silbeseuteuri
iulian,이울리안,iulrian
arhire,아르히레,areuhire
tănase,터나세,teonase
barbu,바르부,bareubu
ivanov,이바노브,ibanobeu
oana,오아나,oana
gregory,그레고리,geuregori
rareș,라레슈,raresyu
steliano,스텔리아노,seutelriano
filip,필립,pilrib
condurache,콘두라체,kondurace
dragnea,드라그네아,deurageunea
martinescu,마르티네스쿠,mareutineseuku
cătălin,커털린,keoteolrin
moroșanu,모로샤누,morosyanu
dăncilă,던칠러,deoncilreo
ucenescu,우체네스쿠,uceneseuku
ada,아다,ada
condeescu,콘데스쿠,kondeseuku
oproiu,오프로이우,opeuroiu
vasilescu,바실레스쿠,basilreseuku
spahiu,스파히우,seupahiu
șerban,셰르반,syereuban
pavlu,파블루,pabeulru
manea,마네아,manea
nae,나에,nae
caranfil,카란필,karanpil
tudose,투도세,tudose
zamfirescu,잠피레스쿠,jampireseuku
ularu,울라루,ulraru
teodosiu,테오도시우,teodosiu
papadopol,파파도폴,papadopol
sandu,산두,sandu
teodor,테오도르,teodoreu
corban,코르반,koreuban
pop,포프,popeu
kázím,카짐,kajim
abdulakim,압둘라킴,abdulrakim
andone,안도네,andone
andreea,안드레아,andeurea
valentin,발렌틴,balrentin
lisa,리사,risa
ferraday,퍼라데이,peoradei
ganea,가네아,ganea
hanca,한카,hanka
cîmpeanu,심페아누,simpeanu
carp,카르프,kareupeu
olimpia,올림피아,olrimpia
ciolacu,치올라쿠,ciolraku
grindeanu,그린데아누,geurindeanu
ioana,이오아나,ioana
flora,플로라,peulrora
florian,플로리안,peulrorian
cîțu,크추,keucu
marin,마린,marin
ciucă,치우커,ciukeo
ingrid,인그리드,ingeurideu
bisu,비수,bisu
alec,알레크,alrekeu
secăreanu,세커레아누,sekeoreanu
chicu,키쿠,kiku
karim,카림,karim
adeyemi,아데예미,adeyemi
dascălu,다스컬루,daseukeolru
adina,아디나,adina
pintilie,핀틸리에,pintilrie
sabrina,사브리나,sabeurina
drăgușin,드러구신,deureogusin
popovici,포포비치,popobici
brăila,브러일라,beureoilra
românia,루마니아,rumania
zalău,잘러우,jalreou
suceava,수체아바,suceaba
bistrița,비스트리차,biseuteurica
piatraneamț,피아트라네암츠,piateuraneamceu
pitești,피테슈티,pitesyuti
târgoviște,트르고비슈테,teureugobisyute
stepa,폰토스카스피,pontoseukaseupi
euroasiatică,스텝,seuteb
craiova,크라이오바,keuraioba
reșița,레시차,resica
constanța,콘스탄차,konseutanca
galați,갈라치,galraci
banat,바나트,banateu
rapid,라피드,rapideu
bucurești,부쿠레슈티,bukuresyuti
focșani,포크샤니,pokeusyani
vaslui,바슬루이,baseulrui
brașov,브라쇼브,beurasyobeu
sibiu,시비우,sibiu
stema,루마니아의,rumaniayi
româniei,국장,gugjang
arad,아라드,aradeu
valahia,왈라키아,walrakia
sighișoara,시기쇼아라,sigisyoara
timișoara,티미쇼아라,timisyoara
botoșani,보토샤니,botosyani
tulcea,툴체아,tulcea
oradea,오라데아,oradea
clujnapoca,클루지나포카,keulrujinapoka
ploiești,플로이에슈티,peulroiesyuti
buzău,부저우,bujeou
giurgiu,지우르지우,jiureujiu
bucovina,부코비나,bukobina
dinamo,디나모,dinamo
bechet,베케트,beketeu
zimnicea,짐니체아,jimnicea
leu,루마니아,rumania
românesc,레우,reu
deva,데바,deba
lugoj,루고지,rugoji
dobrogea,도브루자,dobeuruja
orăștie,오러슈티에,oreosyutie
muntenia,문테니아,muntenia
caransebeș,카란세베슈,karansebesyu
transilvania,트란실바니아,teuransilbania
bazinul,판노니아,pannonia
panonic,평원,pyeongweon
oltenia,올테니아,oltenia
borșa,보르샤,boreusya
turda,투르다,tureuda
sinaia,시나이아,sinaia
bucătăria,루마니아,rumania
românească,요리,yori
hunedoara,후네도아라,hunedoara
buftea,부프테아,bupeutea
slobozia,슬로보지아,seulrobojia
sovata,소바타,sobata
crișana,크리샤나,keurisyana
holcim,홀심,holsim
dej,데지,deji
politehnica,폴리테흐니카,polriteheunika
pontocaspică,스텝,seuteb
segarcea,세가르체아,segareucea
pecica,페치카,pecika
dăbuleni,더불레니,deobulreni
hârlău,흐를러우,heureulreou
economia,루마니아의,rumaniayi
caracal,카라칼,karakal
bitdefender,비트디펜더,biteudipendeo
citibank,씨티은행,ssitieunhaeng
câmpina,큼피나,keumpina
băilești,버일레슈티,beoilresyuti
blaj,블라지,beulraji
unirea,우니레아,unirea
urziceni,우르지체니,ureujiceni
sulina,술리나,sulrina
otopeni,오토페니,otopeni
bârlad,브를라드,beureulradeu
arena,아레나,arena
națională,나치오날러,nacionalreo
munții,메탈리페리,metalriperi
metaliferi,산맥,sanmaeg
voluntari,볼룬타리,bolruntari
beiuș,베이우슈,beiusyu
mediaș,메디아슈,mediasyu
sebeș,세베슈,sebesyu
mioveni,미오베니,miobeni
calafat,칼라파트,kalrapateu
toplița,토플리차,topeulrica
oltenița,올테니차,oltenica
sarmizegetusa,사르미제게투사,sareumijegetusa
regia,레기아,regia
tropaeum,트로파에움,teuropaeum
traiani,트라이아니,teuraiani
moinești,모이네슈티,moinesyuti
mangalia,만갈리아,mangalria
tălmaciu,털마치우,teolmaciu
petroșani,페트로샤니,peteurosyani
medgidia,메드지디아,medeujidia
universitatea,우니베르시타테아,unibereusitatea
cluj,클루지,keulruji
onești,오네슈티,onesyuti
baraolt,바라올트,baraolteu
năvodari,너보다리,neobodari
covasna,코바스나,kobaseuna
parlamentul,몰도바,moldoba
republicii,공화국,gonghwagug
moldova,의회,yihoe
gheorgheni,게오르게니,georeugeni
carei,카레이,karei
salonta,살론타,salronta
președintele,루마니아의,rumaniayi
clisura,클리수라,keulrisura
dunării,두너리,duneori
argeș,아르제슈,areujesyu
sportul,스포르툴,seuporeutul
studențesc,스투덴체스크,seutudenceseukeu
centura,알프스히말라야,alpeuseuhimalraya
alpidă,조산대,josandae
scornicești,스코르니체슈티,seukoreunicesyuti
fcu,우니베르시타테아,unibereusitatea
ținutul,세케이,sekei
secuiesc,지대,jidae
siret,시레트,sireteu
ulpia,울피아,ulpia
traiana,트라이아나,teuraiana
petrolul,페트롤룰,peteurolrul
lupii,부쿠레슈티,bukuresyuti
senatul,루마니아,rumania
transcarpatia,자카르파탸,jakareupatya
cultura,쿠쿠테니트리필랴,kukuteniteuripilrya
cucuteni,문화,munhwa
roton,로톤,roton
transhumanță,이목,imog
frontul,루마니아,rumania
tapae,타파이,tapai
bacău,바커우,bakeou
maramureș,마라무레슈,maramuresyu
primministrul,루마니아의,rumaniayi
lidia,리디아,ridia
șimon,시몬,simon
cornelia,코르넬리아,koreunelria
tăutu,터우투,teoutu
irina,이리나,irina
spîrlea,스프를레아,seupeureulrea
dulgheru,둘게루,dulgeru
vali,발리,balri
niculescu,니쿨레스쿠,nikulreseuku
agache,아가케,agake
sorana,소라나,sorana
cîrstea,크르스테아,keureuseutea
piersic,피에르시크,piereusikeu
bălan,벌란,beolran
edina,에디나,edina
gallovitshall,갈로비츠홀,galrobiceuhol
marțian,마르치안,mareucian
negrea,네그레아,negeurea
cleopatra,클레오파트라,keulreopateura
chelaru,켈라루,kelraru
angelica,안젤리카,anjelrika
adelsteinrozeanu,로제아누,rojeanu
cadanțu,카단추,kadancu
ruxandra,룩산드라,rugsandeura
dragomir,드라고미르,deuragomireu
titu,티투,titu
maiorescu,마이오레스쿠,maioreseuku
ilena,엘레나,elrena
gheorghi,게오르게,georeuge
florica,플로리카,peulrorika
musicescu,무시체스쿠,musiceseuku
panait,파나이트,panaiteu
istrati,이스트라티,iseuteurati
vintilă,빈틸러,bintilreo
rose,로제,roje
ausländer,아우슬렌더,auseulrendeo
albulescu,알불레스쿠,albulreseuku
pantelimon,판텔리몬,pantelrimon
steve,스티브,seutibeu
holmes,홈즈,homjeu
diță,디타,dita
mîndru,민드루,mindeuru
katz,카츠,kaceu
steff,스테프,seutepeu
rainea,라이네아,rainea
steriadi,스테리아디,seuteriadi
erik,에리크,erikeu
lincar,린카르,rinkareu
stelea,스텔레아,seutelrea
nichita,니키타,nikita
stănescu,스터네스쿠,seuteoneseuku
mitică,미티커,mitikeo
mateiu,마테이우,mateiu
caragiale,카라지알레,karajialre
agnès,아녜스,anyeseu
ullmann,울만,ulman
theodor,테오도르,teodoreu
rosetti,로세티,roseti
camil,카밀,kamil
ressu,레수,resu
tameș,타메슈,tamesyu
francisc,프란치스크,peuranciseukeu
vaștag,바슈타그,basyutageu
leonard,레오나르드,reonareudeu
doroftei,도로프테이,doropeutei
tudor,투도르,tudoreu
arghezi,아르게지,areugeji
prunea,프루네아,peurunea
bellow,벨로,belro
iorgu,이오르구,ioreugu
iordan,이오르단,ioreudan
cărtărescu,커르터레스쿠,keoreuteoreseuku
rovana,로바나,robana
plumb,플룸브,peulrumbeu
foiaș,포이아슈,poiasyu
mariavictoria,마리아빅토리아,mariabigtoria
pîrcălab,프르컬라브,peureukeolrabeu
alla,알라,alra
baianova,바이야노바,baiyanoba
roxana,록사나,rogsana
mărăcineanu,머러치네아누,meoreocineanu
mihăilescubrăila,미허일레스쿠브러일라,miheoilreseukubeureoilra
lalescu,랄레스쿠,ralreseuku
nelly,넬리,nelri
miricioiu,미리치오이우,miricioiu
toma,토마,toma
caragiu,카라지우,karajiu
lazăr,라저르,rajeoreu
șăineanu,셔이네아누,syeoineanu
horațiu,호라치우,horaciu
mălăele,멀러엘레,meolreoelre
sănmărtean,산머르테안,sanmeoreutean
foarță,포아르처,poareuceo
tătărăscu,터터레스쿠,teoteoreseuku
văcariu,버카리우,beokariu
sînă,시나,sina
lovinescu,로비네스쿠,robineseuku
florea,플로레아,peulrorea
voinea,보이네아,boinea
macedonski,마체돈스키,macedonseuki
ivanovitch,이바노비치,ibanobici
negoițescu,네고이체스쿠,negoiceseuku
imre,임레,imre
mihail,미하일,mihail
andricu,안드리쿠,andeuriku
colea,콜레아,kolrea
răutu,러우투,reoutu
pleșu,플레슈,peulresyu
mitu,미투,mitu
sadoveanu,사도베아누,sadobeanu
tararache,타라라케,tararake
ionel,이오넬,ionel
dănciulescu,던치울레스쿠,deonciulreseuku
cerna,체르나,cereuna
alice,알리체,alrice
voinescu,보이네스쿠,boineseuku
serge,세르주,sereuju
moscovici,모스코비치,moseukobici
ruști,루슈티,rusyuti
mihăileanu,미허일레아누,miheoilreanu
dana,다나,dana
nălbaru,나타바루,natabaru
sever,세베르,sebereu
burada,부라다,burada
de,드,deu
bourbonparma,부르봉파르므,bureubongpareumeu
serghei,세르게이,sereugei
țvetcov,츠베트코프,ceubeteukopeu
béla,벨러,belreo
károlyi,카로이,karoi
negru,네그루,negeuru
vinea,비네아,binea
ilarion,일라리온,ilrarion
ciobanu,치오바누,ciobanu
damian,다미안,damian
drăghici,드러기치,deureogici
comissiona,코미시오나,komisiona
hîldan,흘단,heuldan
kehinde,케힌데,kehinde
fatai,파타이,patai
bulimar,불리마르,bulrimareu
tamás,타마스,tamaseu
vesmás,베스마스,beseumaseu
bîrlădeanu,브를러데아누,beureulreodeanu
dragomirescu,드라고미레스쿠,deuragomireseuku
ramona,라모나,ramona
buzărnescu,부저르네스쿠,bujeoreuneseuku
dărăscu,더러스쿠,deoreoseuku
dondoe,돈도에,dondoe
călugăru,컬루거루,keolrugeoru
pogor,포고르,pogoreu
vitanidis,비타니디스,bitanidiseu
margareta,마르가레타,mareugareta
diet,디트,diteu
sayler,자일러,jailreo
besoiu,베소이우,besoiu
popoviciu,포포비치우,popobiciu
moga,모가,moga
jora,조라,jora
pancu,판쿠,panku
ștefănescu,슈테퍼네스쿠,syutepeoneseuku
dimitrie,디미트리에,dimiteurie
cuclin,쿠클린,kukeulrin
țăranu,타라누,taranu
papaiani,파파이아니,papaiani
bute,부테,bute
radici,라디치,radici
iosif,이오시프,iosipeu
tâlvan,틀반,teulban
geo,지오,jio
da,다,da
silva,실바,silba
antoine,앙트와느,angteuwaneu
goléa,골레아,golrea
mosko,모스코,moseuko
philippide,필리피데,pilripide
titulescu,티툴레스쿠,titulreseuku
brădeanu,브러데아누,beureodeanu
aurel,아우렐,aurel
stroe,스트로에,seuteuroe
meissner,메이스네르,meiseunereu
cugler,쿠글레르,kugeulrereu
grigorescu,그리고레스쿠,geurigoreseuku
leo,레온틴,reontin
grozavu,그로자부,geurojabu
hilda,힐다,hilda
jerea,제레아,jerea
liiceanu,리차누,ricanu
ádám,보도르,bodoreu
bodor,아담,adam
luca,루카,ruka
băjenaru,바제나루,bajenaru
matila,마틸라,matilra
ghyka,기카,gika
ciucurencu,치우쿠렌쿠,ciukurenku
horiaroman,호리아로만,horiaroman
patapievici,파타피에비치,patapiebici
morar,모라르,morareu
folbert,폴베르트,polbereuteu
loghin,로긴,rogin
mina,미나,mina
minovici,미노비치,minobici
esca,에스카,eseuka
nedelciu,네델치우,nedelciu
amos,아모스,amoseu
guttman,구트만,guteuman
ioan,이오안,ioan
d,두미트루,dumiteuru
chirescu,키레스쿠,kireseuku
octav,옥타브,ogtabeu
onicescu,오니체스쿠,oniceseuku
serafina,세라피나,serapina
moritz,모리츠,moriceu
vasilicaviorica,비오리카,biorika
bădoi,바도이,badoi
pacha,파차,paca
man,맨,maen
perpessicius,페르페시치우스,pereupesiciuseu
repan,레판,repan
țițeica,치체이카,ciceika
rotariu,로타리우,rotariu
jinga,진가,jinga
smiley,스마일리,seumailri
cucu,쿠쿠,kuku
similea,시밀레아,similrea
augustin,아우구스틴,auguseutin
bena,베나,bena
făturăduțu,퍼투러두추,peotureoducu
bagdasar,바그다사르,bageudasareu
laurențiu,라우렌치우,raurenciu
profeta,프로페타,peuropeta
lora,로라,rora
saizescu,사이제스쿠,saijeseuku
caius,카이우스,kaiuseu
iacob,이아코브,iakobeu
nonna,노나,nona
otescu,오테스쿠,oteseuku
caciureac,카치우레아크,kaciureakeu
magda,마그다,mageuda
catone,카토네,katone
coca,코카,koka
andronescu,안드로네스쿠,andeuroneseuku
dinculeanu,딘쿨레아누,dinkulreanu
corina,코리나,korina
dănilă,다닐라,danilra
sârbu,사부,sabu
cotescu,코테스쿠,koteseuku
horea,호레아,horea
paștina,파슈티나,pasyutina
firea,피레아,pirea
dorian,도리아,doria
roșca,로슈카,rosyuka
rogoz,고즈,gojeu
sesto,세스토,seseuto
pals,팔스,palseu
pătrașcu,퍼트라슈쿠,peoteurasyuku
bumbea,붐베아,bumbea
vizante,비잔테,bijante
tatiana,타티아나,tatiana
iekel,이에켈,iekel
slav,슬라브,seulrabeu
teodorovici,테오도로비치,teodorobici
cristea,크리스테아,keuriseutea
matei,마테이,matei
balș,발스,balseu
olguța,올거타,olgeota
berbec,양자리,yangjari
știubei,슈티우베이,syutiubei
buzdugan,부두던,bududeon
emilia,에밀리아,emilria
comișel,코미셸,komisyel
diplan,디플란,dipeulran
lăzăreanu,라자네아누,rajaneanu
glință,글린처,geulrinceo
henry,헨리,henri
herscovici,헤르스코비치,hereuseukobici
carmen,카르멘,kareumen
galin,갈린,galrin
cornea,코르네아,koreunea
bătrânu,버트르누,beoteureunu
vâlcan,발칸,balkan
ottescu,오테스쿠,oteseuku
nicoleta,니콜레타,nikolreta
anton,안톤,anton
tauf,타우프,taupeu
lya,리아,ria
hubic,후비크,hubikeu
dăscălescu,더스컬레스쿠,deoseukeolreseuku
cavallioti,카발리오티,kabalrioti
fotinonegru,포티노네그루,potinonegeuru
theodorescu,테오도레스쿠,teodoreseuku
feli,펠리,pelri
donose,도노세,donose
miriam,미리암,miriam
bulgaru,불가루,bulgaru
rimes,이리나,irina
talabă,탈라버,talrabeo
tania,타니아,tania
micovschi,미코브스키,mikobeuseuki
marco,마르코,mareuko
marinescu,마리네스쿠,marineseuku
fotino,포티노,potino
nora,노라,nora
fetecău,페테커우,petekeou
mihăilă,미허일러,miheoilreo
alcina,알시나,alsina
dimitrescu,디미트레스쿠,dimiteureseuku
karl,칼,kal
heisenberg,하이젠베르크,haijenbereukeu
emaa,에마,ema
roman,로만,roman
câmpia,판노니아,pannonia
panonică,평원,pyeongweon
slatina,슬라티나,seulratina
alexandria,알렉산드리아,alregsandeuria
istoria,루마니아의,rumaniayi
ponticocaspică,스텝,seuteb
oțelul,오첼룰,ocelrul
fetești,페테슈티,petesyuti
berveni,베르베니,bereubeni
chiajna,키아지나,kiajina
cernavodă,체르나보다,cereunaboda
mizil,미질,mijil
miss,미스,miseu
făgăraș,파가라슈,pagarasyu
orșova,오르소바,oreusoba
bran,브란,beuran
astra,아스트라,aseuteura
simeria,시메리아,simeria
târlișua,트를리슈아,teureulrisyua
găiceana,가이세아나,gaiseana
stadionul,스타디오눌,seutadionul
oblemenco,오블레멘코,obeulremenko
broscăuți,브로스커우치,beuroseukeouci
plătărești,플러터레슈티,peulreoteoresyuti
mogoșoaia,모고쇼아이아,mogosyoaia
fly,플라이,peulrai
project,프로젝트,peurojegteu
halmeu,하르메우,hareumeu
palatul,엘리사베타,elrisabeta
relațiile,루마니아우크라이나,rumaniaukeuraina
românoucrainene,관계,gwangye
deveselu,데베셀루,debeselru
ilișești,일리셰슈티,ilrisyesyuti
bucharest,부쿠레슈티,bukuresyuti
constanţa,콘스탄차,konseutanca
