stefano,스테파노,seutepano
beppe,베페,bepe
grillo,그릴로,geurilro
gian,잔,jan
volonté,볼론테,bolronte
giuliano,줄리아노,julriano
razzoli,라촐리,racolri
agnelli,아녤리,anyelri
sinopoli,시노폴리,sinopolri
donadel,도나델,donadel
mauri,마우리,mauri
masolino,마솔리노,masolrino
da,다,da
panicale,파니칼레,panikalre
abbado,아바도,abado
fiore,피오레,piore
fellini,펠리니,pelrini
mezzogiorno,메초조르노,mecojoreuno
alfred,앨프리드,aelpeurideu
duncan,덩컨,deongkeon
malipiero,말리피에로,malripiero
rodolfo,로돌포,rodolpo
graziani,그라치아니,geuraciani
arturo,아르투로,areuturo
benedetti,베네데티,benedeti
michelangeli,미켈란젤리,mikelranjelri
edoardo,에도아르도,edoareudo
ponti,폰티,ponti
christof,크리스토프,keuriseutopeu
innerhofer,이너호퍼,ineohopeo
montolivo,몬톨리보,montolribo
walter,발테르,baltereu
veltroni,벨트로니,belteuroni
sordi,소르디,soreudi
berruti,베루티,beruti
bassani,바사니,basani
enzo,엔초,enco
mari,마리,mari
primo,프리모,peurimo
levi,레비,rebi
gianluca,잔루카,janruka
pessotto,페소토,pesoto
morandi,모란디,morandi
calabi,칼라비,kalrabi
sara,사라,sara
simeoni,시메오니,simeoni
pietro,피에트로,pieteuro
mennea,멘네아,mennea
mancini,만치니,mancini
monti,몬티,monti
maresca,마레스카,mareseuka
stramaccioni,스트라마초니,seuteuramaconi
pozzo,포초,poco
jonas,조나스,jonaseu
gonçalves,곤사우베스,gonsaubeseu
oliveira,올리베이라,olribeira
fermi,페르미,pereumi
dino,디노,dino
carla,카를라,kareulra
bruni,브루니,beuruni
parmigianino,파르미자니노,pareumijanino
giulio,줄리오,julrio
andreotti,안드레오티,andeureoti
gae,가에,gae
aulenti,아울렌티,aulrenti
michael,마이클,maikeul
bublé,부블레,bubeulre
pablo,파블로,pabeulro
piatti,피아티,piati
ivan,이반,iban
rassimov,라시모프,rasimopeu
oriana,오리아나,oriana
fallaci,팔라치,palraci
alcide,알치데,alcide
gasperi,가스페리,gaseuperi
eros,에로스,eroseu
ramazzotti,라마초티,ramacoti
gros,그로스,geuroseu
gianfranco,잔프랑코,janpeurangko
zola,졸라,jolra
sica,시카,sika
rossellini,로셀리니,roselrini
frank,프랭크,peuraengkeu
capra,캐프라,kaepeura
blasetti,블라세티,beulraseti
germi,제르미,jereumi
cristian,크리스티안,keuriseutian
zaccardo,차카르도,cakareudo
italo,이탈로,italro
calvino,칼비노,kalbino
luca,루카,ruka
castellazzi,카스텔라치,kaseutelraci
pella,펠라,pelra
norberto,노르베르토,noreubereuto
bobbio,보비오,bobio
ferruccio,페루초,peruco
tagliavini,탈리아비니,talriabini
eduardo,에두아르도,eduareudo
coco,코코,koko
silvio,실비오,silbio
berlusconi,베를루스코니,bereulruseukoni
corsetti,코르세티,koreuseti
umberto,움베르토,umbereuto
eco,에코,eko
comencini,코멘치니,komencini
danny,대니,daeni
quinn,퀸,kwin
bellocchio,벨로키오,belrokio
bernardo,베르나르도,bereunareudo
bertolucci,베르톨루치,bereutolruci
trillini,트릴리니,teurilrini
argento,아르젠토,areujento
cortona,코르토나,koreutona
delneri,델네리,delneri
chirico,키리코,kiriko
armani,아르마니,areumani
carnera,카르네라,kareunera
julius,율리우스,yulriuseu
evola,에볼라,ebolra
guido,귀도,gwido
signori,시뇨리,sinyori
lorenzo,로렌초,rorenco
bernini,베르니니,bereunini
felix,펠릭스,pelrigseu
silla,실라,silra
moravia,모라비아,morabia
javier,하비에르,habiereu
mascherano,마스체라노,maseucerano
colin,콜린,kolrin
firth,퍼스,peoseu
perlasca,페를라스카,pereulraseuka
salvadore,살바도레,salbadore
sonia,소냐,sonya
gandhi,간디,gandi
goria,고리아,goria
dotti,도티,doti
domenghini,도멘기니,domengini
meloni,멜로니,melroni
angelino,안젤리노,anjelrino
alfano,알파노,alpano
eraldo,에랄도,eraldo
monzeglio,몬첼리오,moncelrio
locatelli,로카텔리,rokatelri
stephan,스테판,seutepan
el,엘,el
shaarawy,샤라위,syarawi
toscanini,토스카니니,toseukanini
nanni,난니,nanni
loy,로이,roi
ferreri,페레리,pereri
frattini,프라티니,peuratini
bombieri,봄비에리,bombieri
luchino,루키노,rukino
visconti,비스콘티,biseukonti
monicelli,모니첼리,monicelri
beniamino,베니아미노,beniamino
gigli,질리,jilri
vattimo,바티모,batimo
alex,알렉스,alregseu
schwazer,슈바처,syubaceo
gillo,질로,jilro
pontecorvo,폰테코르보,pontekoreubo
maurizio,마우리치오,mauricio
pollini,폴리니,polrini
hernán,에르난,ereunan
crespo,크레스포,keureseupo
nono,노노,nono
dallapiccola,달라피콜라,dalrapikolra
cecilia,체칠리아,cecilria
bartoli,바르톨리,bareutolri
alfredo,알프레도,alpeuredo
casella,카셀라,kaselra
lino,리노,rino
ventura,벤투라,bentura
verratti,베라티,berati
motta,모타,mota
tajoli,타욜리,tayolri
alba,알바,alba
parietti,파리에티,parieti
amedeo,아메데오,amedeo
savoiaaosta,사보이아아오스타,saboiaaoseuta
ennio,엔니오,ennio
morricone,모리코네,morikone
achille,아킬레,akilre
varzi,바르치,bareuci
okaka,오카카,okaka
paletta,팔레타,palreta
andy,안디,andi
selva,셀바,selba
dalida,달리다,dalrida
chiesa,키에사,kiesa
ferrero,페레로,perero
barbara,바르바라,bareubara
bouchet,부셰,busye
totti,토티,toti
benigni,베니니,benini
patrick,파트리크,pateurikeu
thaler,탈러,talreo
berlinguer,베를링구에르,bereulringguereu
elisa,엘리사,elrisa
paulo,파울로,paulro
dybala,디발라,dibalra
ornella,오르넬라,oreunelra
muti,무티,muti
moretti,모레티,moreti
andré,안드레,andeure
pasolini,파솔리니,pasolrini
natale,나탈레,natalre
edinson,에딘손,edinson
danova,다노바,danoba
altobelli,알토벨리,altobelri
axel,액설,aegseol
braun,브론,beuron
panucci,파누치,panuci
pulici,풀리치,pulrici
girotti,지로티,jiroti
lucio,루초,ruco
dalla,달라,dalra
davide,다비데,dabide
astori,아스토리,aseutori
artemio,아르테미오,areutemio
franchi,프란키,peuranki
armin,아르민,areumin
zöggeler,최겔러,coegelreo
curci,쿠르치,kureuci
ferrari,페라리,perari
violante,비올란테,biolrante
placido,플라치도,peulracido
battiato,바티아토,batiato
carrà,카라,kara
alessio,알레시오,alresio
cerci,체르치,cereuci
domenico,도메니코,domeniko
berardi,베라르디,berareudi
lizzani,리차니,ricani
puccini,푸치니,pucini
martina,마르티나,mareutina
valcepina,발체피나,balcepina
archibugi,아르키부지,areukibuji
conte,콘테,konte
cuomo,쿠오모,kuomo
cristiano,크리스티아노,keuriseutiano
doni,도니,doni
valentino,발렌티노,balrentino
mazzola,마촐라,macolra
ezio,에치오,ecio
pinza,핀차,pinca
nicolas,니콜라스,nikolraseu
vaporidis,바포리디스,baporidiseu
benelli,베넬리,benelri
laura,라우라,raura
morante,모란테,morante
galiazzo,갈리아초,galriaco
cabibbo,카비보,kabibo
ruggero,루제로,rujero
deodato,데오다토,deodato
cappuccilli,카푸칠리,kapucilri
sansone,산소네,sansone
pausini,파우시니,pausini
marchionni,마르키오니,mareukioni
andretti,안드레티,andeureti
bruno,브루노,beuruno
maderna,마데르나,madereuna
gianpiero,잔피에로,janpiero
combi,콤비,kombi
vierchowod,비에르코보드,biereukobodeu
zaytsev,자이체브,jaicebeu
rahman,라만,raman
rezaei,레자에이,rejaei
nicole,니콜,nikol
grimaudo,그리마우도,geurimaudo
ciro,치로,ciro
immobile,임모빌레,immobilre
cavalli,카발리,kabalri
munari,무나리,munari
mark,마르크,mareukeu
iuliano,율리아노,yulriano
daniele,다니엘레,danielre
massaro,마사로,masaro
aristide,아리스티데,ariseutide
guarneri,과르네리,gwareuneri
alcides,알시데스,alsideseu
ghiggia,기지아,gijia
alberico,알베리고,alberigo
evani,에바니,ebani
marisa,마리사,marisa
merlini,메를리니,mereulrini
ariaudo,아리아우도,ariaudo
marina,마리나,marina
massironi,마시로니,masironi
don,돈,don
backy,백키,baegki
grandi,그란디,geurandi
oriali,오리알리,orialri
celano,첼라노,celrano
patrizia,파트리치아,pateuricia
panico,파니코,paniko
moro,모로,moro
nespoli,네스폴리,neseupolri
battista,바티스타,batiseuta
farina,파리나,parina
ivano,이바노,ibano
brugnetti,브루녜티,beurunyeti
carolina,카롤리나,karolrina
morace,모라체,morace
serge,세르주,sereuju
reggiani,레지아니,rejiani
stefania,스테파니아,seutepania
rocca,로카,roka
stellini,스텔리니,seutelrini
serena,세레나,serena
galiena,갈리에나,galriena
costa,코스타,koseuta
bigon,비곤,bigon
carboni,카르보니,kareuboni
biavati,비아바티,biabati
amadei,아마데이,amadei
massimiliano,마시밀리아노,masimilriano
allegri,알레그리,alregeuri
nereo,네레오,nereo
nazzari,나자리,najari
berti,베르티,bereuti
ederson,이데르송,idereusong
honorato,오노라투,onoratu
campos,캄푸스,kampuseu
isa,이사,isa
miranda,미란다,miranda
calvani,칼바니,kalbani
carotenuto,카로테누토,karotenuto
glori,글로리,geulrori
attilio,아틸리오,atilrio
ferraris,페라리스,perariseu
nicolás,니콜라스,nikolraseu
pareja,파레하,pareha
conti,콘티,konti
faraoni,파라오니,paraoni
timi,티미,timi
huston,휴스턴,hyuseuteon
miguel,미겔,migel
bosé,보세,bose
letta,레타,reta
gabbriellini,가브리엘리니,gabeurielrini
miriam,미리암,miriam
orlando,오를란도,oreulrando
fábio,파비우,pabiu
deivson,데이비송,deibisong
lopes,로페스,ropeseu
maciel,마시에우,masieu
gallo,갈로,galro
armando,아르만도,areumando
salvator,살바토르,salbatoreu
rosa,로사,rosa
charles,찰스,calseu
ponzi,폰지,ponji
marianelli,마리아넬리,marianelri
victor,빅토르,bigtoreu
sabata,사바타,sabata
base,바세,base
zumino,추미노,cumino
fantastichini,판타스티키니,pantaseutikini
pierfrancesco,피에르프란체스코,piereupeuranceseuko
favino,파비노,pabino
johnny,조니,joni
dorelli,도렐리,dorelri
minotti,미노티,minoti
ginzburg,긴츠부르그,ginceubureugeu
causio,카우시오,kausio
susanna,수산나,susanna
driano,드리아노,deuriano
gregotti,그레고티,geuregoti
picchi,피키,piki
eva,에바,eba
grimaldi,그리말디,geurimaldi
ferrante,페란테,perante
brighi,브리기,beurigi
sartori,사르토리,sareutori
carlos,카를로스,kareulroseu
diogo,디오고,diogo
jádson,자드송,jadeusong
barilli,바릴리,barilri
gemma,젬마,jemma
elsa,엘사,elsa
schiaparelli,스키아파렐리,seukiaparelri
cucciolla,쿠치올라,kuciolra
gino,지노,jino
gaetano,가에타노,gaetano
sanctis,산크티스,sankeutiseu
lambruschini,람브루스키니,rambeuruseukini
gazebo,가체보,gacebo
ferzetti,페르제티,pereujeti
fernando,페르난도,pereunando
napoli,나폴리,napolri
vincent,빈센트,binsenteu
gardenia,가데니아,gadenia
dalila,달리아,dalria
lazzaro,라자로,rajaro
scarponi,스카르포니,seukareuponi
chinaglia,키날리아,kinalria
tito,티토,tito
gobbi,고비,gobi
falchi,팰치,paelci
ancelotti,안첼로티,ancelroti
paoletta,파올레타,paolreta
magoni,마고니,magoni
storaro,스토라로,seutoraro
regazzi,레가찌,regajji
gullotta,굴로타,gulrota
ranieri,라니에리,ranieri
chiara,키아라,kiara
cainero,카이네로,kainero
scilla,쉴라,swilra
gabel,가벨,gabel
elio,엘리오,elrio
vittorini,비토리니,bitorini
gravina,그라비나,geurabina
gabry,가브리,gabeuri
ponte,폰테,ponte
valerio,발레리오,balrerio
alessandra,알레산드라,alresandeura
amoroso,아모로소,amoroso
naike,나이케,naike
rivelli,리벨리,ribelri
lo,로,ro
cascio,카시오,kasio
haber,하버,habeo
herlitzka,에를리츠카,ereulriceuka
molfetta,몰페타,molpeta
dionigi,디오니지,dioniji
tettamanzi,테타만치,tetamanci
sal,살바토레,salbatore
borgese,보르게스,boreugeseu
adolfo,아돌포,adolpo
baloncieri,발론치에리,balroncieri
celi,셀리,selri
consolini,콘솔리니,konsolrini
cova,코바,koba
giuliana,줄리아나,julriana
sio,시오,sio
gerini,제리니,jerini
malfatti,말파티,malpati
foni,포니,poni
cassano,카사노,kasano
parri,파리,pari
caprioli,카프리올리,kapeuriolri
villaggio,빌라조,bilrajo
gasperini,가스페리니,gaseuperini
rosolino,로솔리노,rosolrino
guidolin,구이돌린,guidolrin
sastri,사스트리,saseuteuri
marchisio,마르키시오,mareukisio
artur,아르투르,areutureu
moraes,모라이스,moraiseu
dante,단테,dante
spinotti,스피노티,seupinoti
guglielmo,굴리엘모,gulrielmo
stendardo,스텐다르도,seutendareudo
joe,조,jo
manganiello,맹거넬로,maenggeonelro
torrio,토리오,torio
fulvio,풀비오,pulbio
collovati,콜로바티,kolrobati
al,알,al
cliver,클리버,keulribeo
ave,아브,abeu
ninchi,닌치,ninci
daria,다리아,daria
nicolodi,니콜로디,nikolrodi
mariacarla,마리아카를라,mariakareulra
boscono,보스코노,boseukono
ferré,페레,pere
amelio,아멜리오,amelrio
giacomo,자코모,jakomo
rossi,로시,rosi
stuart,스튜어트,seutyueoteu
toti,토티,toti
dal,달,dal
monte,몬테,monte
zoff,초프,copeu
lisa,리사,risa
gastoni,가스토니,gaseutoni
manuel,마누엘,manuel
pasqual,파스콸,paseukwal
virginio,비르지니오,bireujinio
rosetta,로세타,roseta
allemandi,알레만디,alremandi
izzo,이초,ico
padoaschioppa,파도아스키오파,padoaseukiopa
fabiano,파비아노,pabiano
caruana,카루아나,karuana
scelba,셸바,syelba
paola,파올라,paolra
pitagora,피타고라,pitagora
gigi,지지,jiji
proietti,프로이에티,peuroieti
salvo,살보,salbo
randone,란도네,randone
elena,엘레나,elrena
sofia,소피아,sopia
ricci,리치,rici
stradivari,스트라디바리,seuteuradibari
daniela,다니엘라,danielra
giordano,조르다노,joreudano
gilardino,질라르디노,jilrareudino
ottaviani,오타비아니,otabiani
corradi,코라디,koradi
leopoldo,레오폴도,reopoldo
trieste,트리에스테,teurieseute
sau,사우,sau
baglioni,발리오니,balrioni
serato,세라토,serato
zambrotta,참브로타,cambeurota
guerritore,구에리토레,gueritore
sammartino,삼마르티노,sammareutino
sraffa,스라파,seurapa
mazzarri,마차리,macari
lombardo,롬바르도,rombareudo
radice,라디체,radice
siri,시리,siri
negro,네그로,negeuro
clemente,클레멘테,keulremente
russo,루소,ruso
bastico,바스티코,baseutiko
mauricio,마우리시오,maurisio
macri,마크리,makeuri
capello,카펠로,kapelro
bordon,보르돈,boreudon
rita,리타,rita
levimontalcini,레비몬탈치니,rebimontalcini
chailly,샤이,syai
moreno,모레노,moreno
torricelli,토리첼리,toricelri
lorella,로렐라,rorelra
dessena,데세나,desena
adami,아다미,adami
nicolai,니콜라이,nikolrai
maroni,마로니,maroni
novo,노보,nobo
santacroce,산타크로체,santakeuroce
gustavo,구스타보,guseutabo
petro,페트로,peteuro
marino,마리노,marino
marini,마리니,marini
materazzi,마테라치,materaci
toni,토니,toni
giacconi,자코니,jakoni
diego,디에고,diego
lugano,루가노,rugano
amy,에이미,eimi
adams,아담스,adamseu
moschino,모스키노,moseukino
maldini,말디니,maldini
benito,베니토,benito
lorenzi,로렌치,rorenci
annibale,안니발레,annibalre
bugnini,부니니,bunini
antonioli,안토니올리,antoniolri
marrone,마로네,marone
rubbia,루비아,rubia
schiavone,스키아보네,seukiabone
pierluigi,피에를루이지,piereulruiji
collina,콜리나,kolrina
adriana,아드리아나,adeuriana
asti,아스티,aseuti
sorrentino,소렌티노,sorentino
tricella,트리첼라,teuricelra
milano,밀라노,milrano
toto,토토,toto
cutugno,쿠투뇨,kutunyo
lione,리오네,rione
rik,릭,rig
battaglia,바탈리아,batalria
ambrosini,암브로시니,ambeurosini
vieri,비에리,bieri
reinhold,라인홀트,rainholteu
messner,메스너,meseuneo
arrighi,아리기,arigi
tacconi,타코니,takoni
agazzi,아가치,agaci
tiziano,티지아노,tijiano
ferro,페로,pero
galli,갈리,galri
tony,토니,toni
terlazzo,털러조,teolreojo
parolin,파롤린,parolrin
braglia,브랄리아,beuralria
renzo,렌초,renco
piano,피아노,piano
aquilani,아퀼라니,akwilrani
vincenzo,빈첸초,bincenco
iaquinta,이아퀸타,iakwinta
thiago,티아고,tiago
baldini,발디니,baldini
aureli,오렐리,orelri
ruggiero,루제로,rujero
rizzitelli,리치텔리,ricitelri
omero,오메로,omero
tognon,토뇬,tonyon
meazza,메아차,meaca
benedetto,베네데토,benedeto
croce,크로체,keuroce
protti,프로티,peuroti
castelnuovotedesco,카스텔누오보테데스코,kaseutelnuobotedeseuko
giulia,줄리아,julria
michelini,미켈리니,mikelrini
infanti,인판티,inpanti
cassarà,카사라,kasara
carnevale,카르네발레,kareunebalre
rava,라바,raba
cossu,코수,kosu
collinelli,콜리넬리,kolrinelri
zanin,차닌,canin
roger,로제,roje
piantoni,피앙토니,piangtoni
fano,파노,pano
rodari,로다리,rodari
bagnasco,바냐스코,banyaseuko
casiraghi,카시라기,kasiragi
giaccherini,자케리니,jakerini
fortunato,포르투나토,poreutunato
stecca,스테카,seuteka
cantelli,칸텔리,kantelri
gelindo,젤린도,jelrindo
bordin,보르딘,boreudin
adriano,아드리아노,adeuriano
celentano,첼렌타노,celrentano
samantha,사만타,samanta
cristoforetti,크리스토포레티,keuriseutoporeti
ildebrando,일데브란도,ildebeurando
pizzetti,피체티,piceti
mantovani,만토바니,mantobani
minguzzi,민구치,minguci
mandorlini,만도를리니,mandoreulrini
gama,가마,gama
maximilian,맥시밀리언,maegsimilrieon
sciandri,시안드리,siandeuri
badoglio,바돌리오,badolrio
antognoni,안토뇨니,antonyoni
modugno,모두뇨,modunyo
centa,첸타,centa
moriero,모리에로,moriero
zagatti,차가티,cagati
guccio,구찌오,gujjio
gucci,구찌,gujji
calvi,칼비,kalbi
rossettini,로세티니,rosetini
margherita,마르게리타,mareugerita
buy,부이,bui
mattia,마티아,matia
sciglio,실리오,silrio
robert,로베르트,robereuteu
acquafresca,아콰프레스카,akwapeureseuka
amato,아마토,amato
crescentini,크레센티니,keuresentini
occhialini,오키알리니,okialrini
pasquale,파스콸레,paseukwalre
dominici,도미니치,dominici
simone,시모네,simone
pepe,페페,pepe
isabella,이사벨라,isabelra
raoul,라울,raul
bova,보바,boba
jacopo,자코포,jakopo
amigoni,아미고니,amigoni
destro,데스트로,deseuteuro
modigliani,모디글리아니,modigeulriani
samuele,사무엘레,samuelre
longo,론고,rongo
caproni,카프로니,kapeuroni
stéphane,스테판,seutepan
grappelli,그라펠리,geurapelri
flavia,플라비아,peulrabia
pennetta,펜네타,penneta
casarini,카사리니,kasarini
pazienza,파치엔차,pacienca
cudicini,쿠디치니,kudicini
cammarelle,캄마렐레,kammarelre
ferri,페리,peri
villa,빌라,bilra
andreolli,안드레올리,andeureolri
nico,니코,niko
pulzetti,풀체티,pulceti
burgnich,부르니치,bureunici
bean,빈,bin
biondini,비온디니,biondini
cerruti,세루티,seruti
bulgarelli,불가렐리,bulgarelri
lido,리도,rido
tranquillo,트란퀼로,teurankwilro
barnetta,바르네타,bareuneta
leonardo,레오나르도,reonareudo
bonucci,보누치,bonuci
lamberto,람베르토,rambereuto
dini,디니,dini
lucky,러키,reoki
macheda,마케다,makeda
igor,이고르,igoreu
markevitch,마르케비치,mareukebici
antonello,안토넬로,antonelro
fassari,파사리,pasari
cuccureddu,쿠쿠레두,kukuredu
virdis,비르디스,bireudiseu
antonia,안토니아,antonia
truppo,트루포,teurupo
diamanti,디아만티,diamanti
poli,폴리,polri
albini,알비니,albini
amorth,아모르트,amoreuteu
neri,네리,neri
tomasi,토마시,tomasi
lampedusa,람페두사,rampedusa
nocerino,노체리노,nocerino
costacurta,코스타쿠르타,koseutakureuta
ignazio,이냐치오,inyacio
abate,아바테,abate
maggio,마조,majo
sebastian,세바스티안,sebaseutian
giovinco,조빈코,jobinko
corso,코르소,koreuso
agostina,아고스티나,agoseutina
belli,벨리,belri
baccaro,바카로,bakaro
jovanotti,조바노티,jobanoti
bertoni,베르토니,bereutoni
rota,로타,rota
floridi,플로리디,peulroridi
criscito,크리시토,keurisito
milo,밀로,milro
manara,마나라,manara
nevio,네비오,nebio
scala,스칼라,seukalra
prandelli,프란델리,peurandelri
graziano,그라치아노,geuraciano
pellè,펠레,pelre
eusebio,에우세비오,eusebio
cantafora,캔타포라,kaentapora
contini,콘티니,kontini
lentini,렌티니,rentini
cassani,카사니,kasani
morgan,모르간,moreugan
giacinto,자친토,jacinto
facchetti,파케티,paketi
giampaolo,잠파올로,jampaolro
pazzini,파치니,pacini
bellugi,벨루지,belruji
galloppa,갈로파,galropa
lupatelli,루파텔리,rupatelri
fausto,파우스토,pauseuto
coppi,코피,kopi
leiva,레이바,reiba
martini,마르티니,mareutini
bud,버드,beodeu
spencer,스펜서,seupenseo
gaudino,가우디노,gaudino
berio,베리오,berio
pino,피노,pino
dordoni,도르도니,doreudoni
brivio,브리비오,beuribio
maccarone,마카로네,makarone
antonino,안토니노,antonino
barillà,바릴라,barilra
petagna,페타냐,petanya
soriano,소리아노,soriano
nichi,니키,niki
vendola,벤돌라,bendolra
nesta,네스타,neseuta
gigliola,질리올라,jilriolra
cinquetti,칭케티,cingketi
donatella,도나텔라,donatelra
versace,베르사체,bereusace
renata,레나타,renata
tebaldi,테발디,tebaldi
rivera,리베라,ribera
vezzali,베찰리,becalri
grosso,그로소,geuroso
valeria,발레리아,balreria
solarino,솔라리노,solrarino
servillo,세르빌로,sereubilro
facundo,파쿤도,pakundo
roncaglia,롱카글리아,rongkageulria
ezequiel,에제키엘,ejekiel
schelotto,스켈로토,seukelroto
anquilletti,안퀼레티,ankwilreti
puppo,푸포,pupo
floro,플로로,peulroro
