andrzej,アンジェイ
bein,バイン
sławomir,スワヴォミル
mrożek,ムロージェク
edward,エドヴァルト
strasburger,シュトラースブルガー
menachem,メナヘム
begin,ベギン
chasyd,ハシッド
wielgus,ヴィエルグス
matysek,マティセク
przeworski,プシェヴォルスキ
rapacki,ラパツキ
paulina,パウリナ
ligocka,リゴツカ
wróblewski,ヴルブレフスキ
wałdoch,ヴァウドフ
korfanty,コルファンティ
herr,ヘル
kamil,カミル
glik,グリク
arkadiusz,アルカディウシュ
milik,ミリク
lukas,ルーカス
podolski,ポドルスキ
bolesław,ボレスワフ
prus,プルス
sarota,サロタ
stefan,ステファン
sapieha,サピェハ
marcin,マルチン
matkowski,マトコフスキ
ingarden,インガルデン
zagajewski,ザガエフスキ
szarmach,シャルマッフ
krystian,クリスティアン
zimerman,ツィマーマン
rafał,ラファウ
wolski,ヴォルスキ
robert,ロベルト
lewandowski,レヴァンドフスキ
jakub,ヤクブ
błaszczykowski,ブワシュチコフスキ
saganowski,サガノフスキ
gortat,ゴルタット
makula,マクラ
bartosz,バルトシュ
kurek,クレク
tansman,タンスマン
messing,メッシング
baird,バイルト
mirosław,ミロスワフ
hermaszewski,ヘルマシェフスキ
mariusz,マリウシュ
jop,ヨプ
marcel,マルセル
witeczek,ヴィテチェク
irena,イレーナ
sendlerowa,センドラー
władysław,ヴワディスワフ
sikorski,シコルスキ
emmanuel,エマヌエル
olisadebe,オリサデベ
janowicz,ヤノヴィッツ
funk,フンク
szurkowski,シュルコヴスキ
paweł,パヴェウ
klecki,クレツキ
bezprym,ベスプリム
łukasz,ウカシュ
piszczek,ピシュチェク
georges,ジョルジュ
charpak,シャルパク
penderecki,ペンデレツキ
feldhendler,フェルトヘンドラー
daniel,ダニエル
libeskind,リベスキンド
sebastian,セバスティアン
boenisch,ボエニシュ
popiełuszko,ポピエウシュコ
witold,ヴィトルト
lutosławski,ルトスワフスキ
szpilman,シュピルマン
romain,ロマン
gary,ガリー
grechuta,グレフタ
magdalena,マグダレナ
abakanowicz,アバカノヴィッチ
marczewski,マルチェフスキ
kozierowski,コジエロフスキ
teodor,テオドル
leszetycki,レシェティツキ
dudziak,ドゥジアック
gabriel,ガブリエル
chmura,フムラ
artur,アルトゥル
rodziński,ロジンスキ
fabiański,ファビアンスキ
leonid,レオニード
hurwicz,ハーヴィッツ
anna,アンナ
jopek,ヨペック
bronisław,ブロニスワフ
geremek,ゲレメク
kołakowski,コワコフスキ
sienkiewicz,シェンキェヴィチ
kubica,クビサ
janusz,ヤヌシュ
kamiński,カミンスキー
bauman,バウマン
wisława,ヴィスワヴァ
szymborska,シンボルスカ
rob,ロブ
van,ヴァン
dam,ダム
komorowski,コモロフスキ
rejewski,レイェフスキ
iwaszkiewicz,イヴァシュキェヴィッチ
czesław,チェスワフ
miłosz,ミウォシュ
szymon,シモン
askenazy,アスケナジ
edelman,エデルマン
kawalerowicz,カヴァレロヴィチ
jan,ヤン
urban,ウルバン
konstanty,コンスタンティ
czartoryski,チャルトリスキ
ernest,エルンスト
wilimowski,ヴィリモフスキ
david,デヴィッド
seymour,シーモア
zdzisław,ズジスワフ
hoffmann,ホフマン
kuratowski,クラトフスキ
wyszyński,ヴィシンスキー
wit,ファイト
stwosz,シュトース
michał,ミハウ
żyro,ジロ
anders,アンデルス
bąkiewicz,ボンキェビッチ
fyrstenberg,フィルステンベルク
cybulski,ツィブルスキ
piotr,ピオトル
kowalski,コワルスキー
żyła,ジワ
cyganiewicz,ズビスコ
pohl,ポール
rowicki,ロヴィツキ
semkow,セムコフ
majka,マイカ
stojowski,ストヨフスキ
matyjaszewski,マテャシェフスキー
dariusz,ダリウシュ
etgar,エトガル
keret,ケレット
skolimowski,スコリモフスキ
adrian,アドリアン
mierzejewski,ミェジェイェフスキ
zajonc,ザイアンス
pyrkosz,プィルコシュ
słowiński,スロウィンスキー
polański,ポランスキー
gerson,ゲルソン
anderszewski,アンデルジェフスキ
ansgar,アンスカー
pichen,ピヒン
bohdan,ボフダン
paczyński,パチンスキ
paczoski,パチョスキ
mieczysław,ミェチスワフ
horszowski,ホルショフスキ
zenon,ゼノン
jankowski,ヤンコフスキ
kakowski,カコフスキ
jacek,ヤツェク
zieliński,ジェリンスキ
zabriskie,ザブリスキー
benedykt,ベネディクト
dybowski,ディボフスキィ
skupień,スクーピエン
jodłowiec,ヨドウォヴィエツ
preisner,プレイスネル
namysłowski,ナミスオフスキ
ławrynowicz,ラヴリノヴィチ
acquafresca,アクアフレスカ
serge,セルジュ
silberman,シルベルマン
rybczyński,リプチンスキー
seifert,セイフェルト
gimpel,ギンペル
kaper,ケイパー
victor,ヴィクトル
sikora,シコラ
mikusiński,ミクシンスキー
przybyszewski,プシビシェフスキ
klabiński,クラビニスキ
wycech,ヴィツェフ
rząsa,ジョンサ
werner,ヴェルナー
bakst,バクスト
świerczewski,シビエルチェフスキ
mark,マーク
grudzielanek,グルジラネック
dan,ダン
dickau,ディッカウ
beksiński,ベクシンスキー
jack,ジャック
tramiel,トラミエル
szalom,ショーレム
asz,アッシュ
alain,アラン
finkielkraut,フィンケルクロート
siudek,シュデク
sadlok,サドロク
meir,メイル
wilner,ヴィルナー
pawlikowski,パヴリコフスキ
timothée,ティモテー
kolodziejczak,コロジエチャク
skalski,スカルスキ
stańko,スタンコ
boris,ボリス
sawinkow,サヴィンコフ
stępiński,ステピンスキ
dorota,ドロタ
medyńska,メディンスカ
wójtowicz,ボイトビッチ
franciszek,フランチシェク
gąsienica,ガシエニカ
groń,グロン
huelle,ヒュレ
bartoszewski,バルトシェフスキ
michel,ミシェル
jazy,ジャジ
odonic,オドニツ
możdżer,モジジェル
emerson,エマーソン
fittipaldi,フィッティパルディ
stanisława,スタニスラワ
walasiewicz,ワラシェビッチ
kusociński,クソチンスキー
załuska,ザウスカ
szukała,シュカワ
żygadło,ジガドウォ
kurtyka,クルティカ
julia,ユリア
hartwig,ハルトヴィク
michałowski,ミハウォフスキ
żeleński,ジェレンスキ
chmielnik,チェミルニク
agata,アガタ
poniatowski,ポニャトフスキ
antoni,アントニ
łaciak,ワチアク
kalinowski,カリノフスキー
weiss,ヴァイス
makarczyk,マカルチク
radziwiłł,ラジヴィウ
urbaniak,ウルバニアク
zubel,ズベル
agenor,アゲノル
romuald,ロムアルド
gołuchowski,ゴウホフスキ
agnieszka,アグニェシュカ
duczmal,ドゥチマル
filip,フィリップ
bednarek,ベドナレク
przysiężny,プシシェズニ
adamek,アダメク
jarosz,ヤロス
harald,ハーラルト
konopka,コノプカ
szczęsny,シュチェスニー
łeonid,レオニード
krawczuk,クラフチュク
icchok,イツホク
lejb,レイブシュ
perec,ペレツ
słomczyński,スウォムチンスキー
jaskuła,ヤスクワ
peszko,ペシュコ
marino,マリーノ
rubinstein,ルービンシュタイン
komeda,コメダ
buncol,ブンツォル
igor,イゴール
mitoraj,ミトライ
fortuna,フォルトゥナ
gierymski,ギェルィムスキ
kierzkowski,キエジュコヴスキ
dudek,ドゥデク
wacław,ヴァツワフ
niżyński,ニジンスキー
taczanowski,タチャノフスキ
carl,カール
yastrzemski,ヤストレムスキー
waldemar,ヴァルデマル
baszanowski,バシャノフスキ
kwiatkowski,クフャトコフスキ
ancuta,アンクタ
nagórski,ナグルスキ
celeban,ツェレバン
cesare,チェーザレ
benedetti,ベネデッティ
urbaś,ウルバス
nâzım,ナーズム
hikmet,ヒクメット
oscar,オスカル
lewicki,レヴィツキ
wnęk,ヴネンク
świderski,シフィデルスキ
mitch,ミッチ
kupchak,カプチャック
sidło,シドウォ
kasprzycki,カスプシツキ
gintaras,ギンタラス
steponavičius,ステポナヴィチュス
zajkowski,ザイコフスキー
grzegorz,グジェゴシュ
bodziana,ボジアナ
jean,ジャン
graczyk,グラチィク
skrowaczewski,スクロヴァチェフスキ
eugenia,エウゲニア
umińska,ウミンスカ
frankowski,フランコフスキー
boruc,ボルツ
alfred,アルフレト
tarski,タルスキ
radwańska,ラドワンスカ
ziółkowski,ジョルコフスキ
małysz,マリシュ
kwaśniewska,クファシニェフスカ
wasilewski,ヴァシレフスキ
sobociński,ソボチンスキ
miętus,ミエトゥス
zagumny,ザグムニ
pinsker,ピンスケル
beatrycze,ベアトリチェ
świdnicka,シフィドニツカ
miros,ポドレッツ
halina,ハリナ
górecka,ゴレツカ
michalczewski,ミハルチェフスキ
panufnik,パヌフニク
edigey,エディゲイ
kaczyńska,カチンスカ
felix,フェリックス
nussbaum,ヌスバウム
abraham,アブラハム
joshua,ヨシュア
heschel,ヘッシェル
kapuściński,カプシチンスキ
fitelberg,フィテルベルク
wanda,ワンダ
jakubowska,ヤクボフスカ
langfus,ラングフュス
krenz,クレンツ
meyer,メイエル
james,ジェームズ
pawelczyk,パウェルチェイク
moriz,モーリツ
rosenthal,ローゼンタール
karski,カルスキ
damien,ダミアン
perquis,ペルキ
schwalbé,シュヴァルベ
bob,ボブ
kurland,カーランド
kalecki,カレツキ
kieszek,キェシェク
rené,ルネ
leibowitz,レイボヴィッツ
szeligowski,シェリゴフスキ
tony,トニー
zale,ゼール
młynarski,ムイナルスキ
smeterlin,スメテルリン
kutz,クッツ
potocki,ポトツキ
katarzyna,カタジナ
figura,フィグラ
rasiak,ラシャク
radzinski,ラジンスキ
basia,バーシア
urbanowicz,ウルバノヴィチ
tyrała,ティラワ
rotblat,ロートブラット
szewińska,シェビンスカ
hugo,フーゴ
steinhaus,シュタインハウス
pola,ポーラ
negri,ネグリ
izabella,イザベラ
scorupco,スコルプコ
stablinski,スタブリンスキ
sobiech,ソビエフ
reyman,レイマン
segal,シーガル
barbara,バルバラ
sobotta,ヤニシェフスカ
františek,フランチシェク
christopher,クリストファー
ferguson,ファーガソン
mirowski,ミロースキー
rogowska,ロゴフスカ
bronisława,ブロニスラヴァ
niżyńska,ニジンスカ
kamila,カミラ
skolimowska,スコリモフスカ
szmidt,シュミット
anja,アンジャ
rubik,ルービック
mrózolszewska,ムロズ
ślusarski,スルシャルスキー
wszoła,ウショラ
malczewski,マルチェフスキ
blechacz,ブレハッチ
richard,リチャード
pipes,パイプス
holland,ホランド
grażyna,グラジナ
bacewicz,バツェヴィチ
newerly,ネーヴェルリ
martha,マーサ
stewart,スチュワート
justyna,ユスティナ
kowalczyk,コヴァルチク
rutkiewicz,ルトキエヴィチ
freier,フライアー
tul,トゥル
urszula,ウルシュラ
dukaj,ドゥカイ
partyka,パルティカ
tara,タラ
lipinski,リピンスキー
marta,マルタ
domachowska,ドマホフスカ
joanna,ヨアンナ
chmielewska,ケミレスカ
alice,アリス
miller,ミラー
fryderyk,フリデリク
jagiellończyk,ヤギェロンチク
skrzypaszek,スクシパシェク
mateusz,マテウシュ
klich,クリヒ
has,ハス
juliusz,ユリウシュ
słowacki,スウォヴァツキ
ida,イダ
haendel,ヘンデル
marie,マリー
rambert,ランバート
elżbieta,エルジュビェタ
krzesińska,クシェシンスカ
konopacka,コノパッカ
daria,ダリア
werbowy,ウェーボウィ
eugeniusz,エウゲニウシュ
zak,ザク
wiłkomirska,ウィウコミルスカ
ivan,イワン
putski,プトスキー
maja,マヤ
ostaszewska,オスタシェフスカ
ignacy,イグナツィ
friedman,フリードマン
euzebiusz,エウゼビウシュ
smolarek,スモラレク
danuta,ダヌタ
szaflarska,シャフラルスカ
marzena,マルエナ
karpińska,カルピンスカ
boyżeleński,ジェレニスキー
zygalski,ジガルスキ
césar,セザール
ruminski,ルミンスキ
uri,ウーリー
orlew,オルレブ
machulski,マチュルスキ
komar,コマル
huberman,フーベルマン
pawłowska,パヴウォヴスカ
julian,ユリアン
marchlewski,マルフレフスキ
kuryłowicz,クリウォヴィチ
ernst,エルンスト
stavro,スタヴロ
blofeld,ブロフェルド
dziedziczak,ジェジツァク
puławski,プワフスキ
malanowicz,マラノウッツ
berling,ベルリンク
dawid,ダヴィド
kubacki,クバッキ
sowisz,ソーヴィシュ
liktoras,リクトラス
kaczorbednarska,カチョル
walerian,ヴァレリアン
borowczyk,ボロフチク
winiarski,ヴィニャルスキ
nastula,ナツラ
maksymiuk,マクシミウク
olga,オルガ
sosnovska,ソスノフスカ
chaïm,カイム
perelman,ペレルマン
helena,ヘレナ
rasiowa,ラショーヴァ
oskar,オスカル
lange,ランゲ
filipowski,フィリポフスキ
lachert,ラヘルト
martin,マルティン
max,マックス
olbrychski,オルブリフスキー
konwicki,コンヴィツキ
ewa,エヴァ
kopacz,コパチ
krzynówek,クジノヴェク
starewicz,スタレヴィッチ
niemczyk,ニェムチック
żmijewski,ジミイェフスキ
sulej,スレイ
li,リー
qian,チェン
fijas,フィヤス
włodkowic,ヴウォトコヴィツ
wiesław,ヴィエスワフ
maniak,マニアク
zarębski,ザレンプスキ
jędraszewski,イェドラシェウスキー
kot,コット
kucharczyk,クハルチク
tokarczuk,トカルチュク
awraham,アヴラハム
stern,シュテルン
felicja,フェリシア
blumental,ブルメンタール
świeniewicz,シフィニェビッチ
ford,フォルト
zawadzki,ザヴァツキ
gołaś,ゴワシュ
gadocha,ガドハ
anski,アンスキー
aleksandra,アレクサンドラ
kurzak,クルジャク
ludovic,ルドヴィク
obraniak,オブラニアク
jesień,イェシェン
natalia,ナタリア
luiza,ルイザ
złotkowska,ズウォトコフスカ
dominika,ドミニカ
paleta,パレタ
sonnet,ソネット
szymanowska,シマノフスカ
maciejewski,マチエイェフスキ
bogusław,ボグスワフ
schaeffer,シェッフェル
leopold,レオポルト
infeld,インフェルト
szymański,シマンスキ
czochralski,チョクラルスキー
bereszyński,ベレシンスキ
michael,マイケル
klim,クリム
kotarbiński,コタルビンスキ
słania,スワニア
teresa,テレサ
ciepły,チェプラ
malinowski,マリノフスキ
pazdan,パズダン
szrom,スローム
tarka,ターカ
wielicki,ヴィエリツキ
grabiński,グラビンスキ
elie,エリー
nadelman,ナーデルマン
stoch,ストッフ
serocki,セロツキ
wierzbicka,ヴェジビツカ
dobroniega,ドブロネガ
wawrzyniak,バブジニャク
denis,デニス
urubko,ウルブコ
przemysław,プシェミスワフ
niemiec,ニエミエツ
magda,マグダ
linette,リネッテ
benjamin,ヴェニアミン
jekhowsky,ジェコフスキー
radomski,ラドムスキ
sylwester,シルヴェスタ
szmyd,シュミット
karolina,カロリーナ
koszewska,ウカシク
miko,マイコ
jadwiga,ヤドヴィガ
jędrzejowska,イェンジェヨフスカ
pacuła,パクラ
kubiak,クビアク
laks,ラクス
bodnar,ボドナル
peter,ピーター
geach,ギーチ
kmiecik,クミェチク
jagiellonka,ヤギェロンカ
tomaszewski,トマシェフスキ
wajsówna,ワイス
świętosława,スヴァタヴァ
swatawa,ポルスカー
kasia,カシア
smutniak,スムトゥニアク
kuszczak,クシュチャク
sternbach,スターンバック
eddie,エディ
slovik,スロヴィク
gorgoń,ゴルゴン
żmuda,ジュムダ
nowakowski,ノバコフスキ
wszołek,ヴショウェク
mateja,マテヤ
bobak,ボバク
bartkowiak,バートコウィアク
rut,ルット
kosowski,コソフスキ
emanuel,エマニュエル
ax,アックス
fibak,フィバク
hofmann,ホフマン
granowska,グラノフスカ
werblińska,ヴェルブリンスカ
lato,ラトー
panfilgonzález,パンフィル
bella,ベラ
darvi,ダルヴィ
warzycha,ヴァジハ
idziak,イジャック
bolesławski,ボレスワフスキ
kłobukowska,クロブコフスカ
włoszczowska,ヴウォシュチョヴスカ
egon,エゴン
petri,ペトリ
marusarz,マルサシュ
krychowiak,クリホビアク
mehoffer,メホフェル
wach,ヴァフ
gajos,ガヨス
louis,ルイ
marcoussis,マルクーシ
zofia,ゾフィア
holszańska,ホルシャンスカ
krall,クラル
matthias,マティアス
ostrzolek,オストルツォレク
karłowicz,カルウォーヴィチ
wielopolski,ヴィエロポルスキ
fałat,ファワト
łasko,ラスコ
adamczyk,アダムチク
walczewski,ヴァルチェフスキ
léon,レオン
glovacki,グロヴァツキ
wlazły,ブラズウィー
totenberg,トーテンベルク
layvin,レイヴァン
kurzawa,クルザワ
ludomir,ルドミル
różycki,ルジツキ
moïse,モイズ
kisling,キスリング
peta,ペタ
lucjan,ルシアン
błaszczyk,ブラシュチック
gombrowicz,ゴンブローヴィッチ
niementowski,ニーメントウスキー
szewczyk,シェブチック
jurkiewicz,ユルキェビッチ
chojnacka,ホイナツカ
chesty,チェスティー
morgan,モーガン
milena,ミレナ
rosner,ロスネル
roger,ロジェ
walkowiak,ワルコヴィアック
małcużyński,マウツジンスキ
kosecki,コセツキ
chruściński,フルシチンスキー
eric,エリック
piatkowski,パイカウスキー
trepper,トレッペル
stefania,ステファニア
woytowicz,ヴォイトヴィチ
maczek,マチェク
marczyński,マルチィニスキ
żabiński,ジャビンスキ
august,アウグスト
freund,フロイント
mostowski,モストフスキ
bochenek,ボヘネク
herkules,エルコレ
dembowski,デンボフスキ
munk,ムンク
młynarczyk,ムイナルチク
sekuła,セクラ
glinkamogentale,グリンカ
śliwiński,スリヴィンスキ
kłos,クウォス
miron,ミロン
kott,コット
żuławski,ジュワフスキ
wat,ヴァット
burliga,ブルリガ
hieronim,ヒェロニム
sanguszko,サングシュコ
emilia,エミリア
plater,プラテル
gajowniczek,ガヨウィニチェク
ladislao,ラディスラオ
kubala,クバラ
guerreiro,ゲレイロ
sierpiński,シェルピニスキ
german,ゲルマン
nowak,ノヴァク
tytoń,ティトン
salamon,サラモン
noga,ノガ
ludwik,ルドヴィク
fleck,フレック
czajkowski,チャイコフスキ
mariola,マリオラ
zenik,ゼニク
majerwardt,マイ
moshe,モーシェ
lewin,レヴィン
kukuczka,ククチカ
gierek,ギェレク
plawgo,プワブゴ
wyspiański,ヴィスピャンスキ
szeryng,シェリング
brożek,ブロジェク
kutrzeba,クチシェバ
dudka,ドゥドゥカ
babiński,ババンスキー
konchesky,コンチェスキー
kozakiewicz,コザキエビッチ
włodzimierz,ヴウォジミェシュ
lubański,ルバンスキ
bosacki,ボサツキ
żewłakow,ジェヴワコフ
szełochonow,シェロホーノフ
herschel,ヘルシェル
grynszpan,グリュンシュパン
półtawska,プウタフスカ
korzeniowski,コジェニョフスキ
żurawski,ジュラフスキ
mościcki,モシチツキ
kazimierzówna,カジミェジュヴナ
przygoński,プルジゴンスキー
samuel,サミュエル
eilenberg,アイレンベルグ
wolszczan,ヴォルシュチャン
sapkowski,サプコフスキ
leśniewski,レシニェフスキ
mikołajczyk,ミコワイチク
salomon,サロモン
morel,モレル
lampe,ランペ
kosiński,コジンスキー
abel,アベル
czech,チェフ
ficowski,フィツォフスキ
jędrzejczyk,イェンドジェイチク
jagieło,ヤゲーロ
kilar,キラール
kalergis,カレルギス
olejnik,オレイニク
weronika,ヴェロニカ
rosati,ロサティ
krawczyk,クラフチク
maurycy,モーリッツ
moszkowski,モシュコフスキ
zumbach,ズムバッハ
gajgałanioł,ガイガウ
gąsienicadaniel,ガシェニツァ
matuszczyk,マトゥシュチク
pilecki,ピレツキ
murawski,ムラフスキ
witkowska,ヴィトコフスカ
sawicka,サビツカ
bąk,ボンク
pudzianowski,プッツナウスキー
solomon,ソロモン
asch,アッシュ
świerczok,シュヴィルツォク
srokowski,スロコフスキ
spławaneyman,ネイマン
podkowiński,ポドコヴィンスキー
kania,カニャ
ireneusz,イレネウシュ
jeleń,イェレン
grosicki,グロシツキ
kuć,クーツ
adamowicz,アダモビッチ
drzewiecki,ジェヴィエツキ
wadim,ヴァディム
brodski,ブロドスキー
zuzanna,スザンナ
szwed,シュフェト
legień,レジェン
karweta,カルヴェタ
wroński,ヴロンスキ
łuczak,ウチャク
rudolf,ルドルフ
dreszer,ドレシェル
słowik,スウォビィク
ajdukiewicz,アイドゥキエヴィチ
balthus,バルテュス
turczyński,トゥルチンスキ
listowski,リストフスキ
grzegorczyk,グジェゴルチク
flanek,フラネク
bryan,ブライアン
rabello,ラベージョ
mordechaj,モルデハイ
anielewicz,アニエレヴィッツ
jabłoński,ヤブロンスキー
rytel,レイテル
rakoczy,ラコチ
sylwia,シルヴィア
pycia,ピチャ
pachulski,パフルスキ
kord,コルト
korzybski,コージブスキー
grotowski,グロトフスキ
maliszewski,マリシェフスキ
dworzyński,ドヴォジンスキ
komosa,コモサ
ilona,イロナ
senderek,センデレク
bernadowski,ベルナドウスキー
dygat,ディガット
żelichowska,ジェリホフスカ
tatiana,タチアナ
szebanowa,シェバノワ
bibrowski,ビブロフスキー
mamed,マメッド
chalidow,ハリドヴ
bodzek,ボジェク
wojnicz,ヴォイニッチ
ben,ベン
sahar,サハル
kubot,クボット
kruczek,クルチェク
bednarekkasza,ベドナレク
abe,エイブ
coleman,コールマン
olgierdówna,アルギルダイテ
świątek,シフィオンテク
kołodziej,コウォジェイ
kleeberg,クレーベルク
kopański,コパンスキ
rybus,リブス
darski,ダルスキ
kukiel,クキェル
korczyc,コルチツ
merwart,メルワール
bortnowski,ボルトノフスキ
eleonora,エレオノーラ
dziękiewicz,ジェキェビッチ
deyna,デイナ
andrzejewski,アンジェイェフスキ
delfina,デルフィナ
potocka,ポトツカ
basta,バスタ
rubén,ルーベン
wolkowyski,ウォルコウスキー
mirek,ミレツ
halter,アルテール
izabela,イザベラ
bełcik,ベルチク
weissowa,ヴァイソワ
kłys,クライス
kędzierzawska,ケンジェルザヴスカ
domański,ドマンスキー
zając,ザヨンツ
kowalińska,コバリンスカ
rechnio,レフニョ
białkowski,ビャウコフスキ
aneta,アネタ
szczepańska,シュチェパンスカ
dąbrowski,ドンブロフスキ
gabriela,ガブリエラ
polańska,ポランスカ
sadurek,ラデツカ
skowrońska,スコブロニスカ
klata,クラタ
śliwa,シリバ
struss,ストラス
hope,ホープ
dworaczyk,ドラーシク
pierre,ピエール
mankowski,マンコウスキ
ekier,エキエル
lewczuk,レヴチュク
hoffman,ホフマン
kulig,クーリク
pobożny,ポボジュヌィ
soszyński,ソシンスキー
dydek,ディデック
berenika,ベレニカ
tomsia,トムシア
wołosz,ボロシュ
skorupa,スコルパ
zaroślińskakról,ザロスリンスカ
ulam,ウラム
klaudia,クラウディア
kaczorowska,カチョロフスカ
różycka,コセク
zalewski,ザレフスキ
tokarska,トカルスカ
skorża,スコルジャ
czajkowska,チャイコフスカ
gundlach,グンドラフ
rogowiec,ロゴヴィエツ
icchak,イツハク
cukierman,ツケルマン
edmund,エドモンド
orlik,オルリック
leonard,レオナルト
pietraszak,ピェトラシャク
mączyński,モンチニスキ
zatorski,ザトルスキ
beata,ベアタ
szydło,シドゥウォ
bagiński,バギンスキー
angelika,アンゲリカ
cichocka,チホツカ
imich,イミック
klimecki,クリメツキ
lesser,レッセル
małkowski,マウコフスキ
pogány,ポガニー
wiszniewicz,ウィズニエヴィッツ
sergiusz,セルギウス
żymełka,ジメルカ
głogowski,グロガフスキー
cieplucha,チェプルハ
gajownik,ガヨフニク
regina,レギナ
smendzianka,スメンジャンカ
wisłocki,ヴィスウォツキ
kochański,コハンスキ
nowaktrębacka,ノヴァク
kruszelnicki,クルシェルニツキ
kolasiński,コラシンスキー
wincenty,ヴィンツェンティ
kryger,クリゲル
władimir,ウラジーミル
agapiejew,アガペーエフ
alexandra,アレクサンドラ
kamieniecki,カミェニェツキ
teodorczyk,テオドルチュク
klimczak,クリムチャク
budner,ブドネル
bamberlaskowska,バンベル
wittek,ヴィッテク
romer,ロメル
strugała,ストゥルガワ
styczyńska,フォルタン
stryja,ストリヤ
wierczuk,ヴィエルチュク
fonfara,フォンファラ
buchalik,ブハリク
tałaj,タワイ
eitel,エイテル
jarecki,ヤレツキ
herman,ヘルマン
linetty,リネティ
george,ジョージ
modelski,モデルスキー
klimaszewski,クリマシェフスキ
aszkiełowicz,アシュキエロビッチ
machulska,マチュルスカ
onar,オナル
skorupski,スコルプスキ
wojdan,ウオイダン
wiłkomirski,ヴィウコミルスキ
głowacki,グウォヴァツキ
pawłowski,パヴウォフスキ
korneluk,コンコレフスカ
olkowski,オルコフスキ
janicki,ヤニツキ
gikiewicz,ギキエヴィツ
radosław,ラドスワフ
wójcikowski,ヴォイジコフスキ
kuczma,クチマ
seweryn,セヴェリン
michalski,ミハルスキ
held,ヘルド
sabina,サビーナ
wojtala,ヴォイタラ
duda,ドゥダ
kędziora,ケンジオラ
fiedor,フィエドル
marciniak,マルチニアク
żmudziński,ジュムジンスキ
świątekżelazna,シフィオンテク
makowski,マコフスキ
stefańska,ステファンスカ
reiter,レイテル
adamiak,アダミャク
bogusława,ボグスワヴァ
olechnowicz,オレフノビッチ
leśniewicz,レスニェビッチ
trzaskowski,トシャスコフスキ
donatan,ドナタン
łomacz,ウォマチ
osińska,オシンスカ
hołownia,ホウォヴニャ
suszko,スシュコ
lasocki,ラソツキ
bednarczyk,ベドナルチク
błach,ブワフ
niewodniczański,ニェボードニーチャンスキー
reszko,レシェコ
borowicz,ボロヴィチ
okoń,オコン
szostak,ショスタク
waszczykowski,ヴァシチコフスキ
rau,ラウ
janik,ヤニク
jasiński,ヤシンスキ
maksymow,マクシモフ
lubomirski,ルボミルスキ
błachowicz,ブラホヴィッチ
różalski,ロザルスキー
maksymilian,マクシミリアン
zimoląg,ツィモロング
kaspszyk,カスプシク
hufnagel,フフナゲル
