kārlis,カールリス
butāne,ブターネ
aļona,エレナ
ostapenko,オスタペンコ
zommers,ゾンメルス
rinkēvičs,リンケービッチ
maskats,マスカツ
deniss,デニス
vasiļjevs,ヴァシリエフス
anno,アンノ
verners,ワーナーズ
auls,アーズ
angelina,アンゲリーナ
kučvaļska,クチヴァルスカ
leonīds,レオニードス
vīgners,ヴィグネルス
elīza,エリーザ
tīruma,ティルマ
ārons,アーロン
bogoļubovs,ボゴリューボフ
roberts,ロベルツ
uldriķis,ウルドリキス
rodions,ロディオンス
kurucs,クルークス
evika,エビカ
siliņa,シリニャ
plūme,プルーメ
bots,ボツ
krollis,クロリス
latvija,ラトビア
baltijas,バルティック
basketbola,バスケットボール
līga,リーグ
rīgas,リガ
geto,ゲットー
rīga,リガ
jelgava,イェルガヴァ
jūrmala,ユールマラ
cietoksnis,ポケット
sigulda,スィグルダ
aknīste,アクニステ
durbe,ドゥルベ
plostošana,モクザイリュウオク
ainaži,アイナジ
arēna,アリーナ
tukums,トゥクムス
saeima,サエイマ
rēzekne,レーゼクネ
vidzeme,ヴィドゼメ
eiro,ユーロ
kurzeme,クールラント
jēkabpils,イェーカブピルス
latgale,ラトガレ
zemgale,ゼムガレ
lielvārde,リェルヴァーデ
daugavpils,ダウガフピルス
cēsis,ツェーシス
valmiera,ヴァルミエラ
ventspils,ヴェンツピルス
dievturība,ディエヴトゥリーバ
vecrīga,ヴェツリガ
valka,ヴァルカ
lats,ラッツ
gaiziņš,ガイジンカインス
daugavas,ダウガヴァ
stadions,スタディオン
skonto,スコント
liepāja,リエパーヤ
kuldīga,クルディーガ
austrumeiropas,ヒガシヨーロッパ
platforma,クラトン
kremerata,クレメラータ
baltica,バルティカ
iskolats,イスコラト
ceļa,チェーン
velobrauciens,ツアー
iveta,イヴェタ
apkalna,アプカルナ
viktors,ビクトル
lorencs,ローレンツ
anna,アンナ
sakse,サクセ
pētersons,ペーテルソンス
ādolfs,アードルフス
bļodnieks,ブロドニエクス
vīts,ヴィーツ
rimkus,リムクス
sandis,サンディス
vladimirs,ヴラディミルス
kamešs,カメシュス
martinsons,マルティンソンス
iļja,イリア
vestermans,ヴェステルマンス
rainis,ライニス
inta,インタ
kļimovičadrēviņa,クリモヴィチャ
vija,ヴィヤ
celmiņa,セルミンス
vilis,ヴィリス
krištopans,クリシュトパンス
grigorjeva,グリゴリェワ
jeļena,エレナ
prokopčuka,プロコプツカ
laima,ライマ
vaikule,バイクレ
konrāds,コンラース
kalējs,カレーイス
pļaviņš,プラヴィンシ
voldemārs,ヴォルデマールス
veiss,ヴァイス
apsītis,アプシット
alberts,アルベルツ
šeibelis,シェイベリス
zenta,ゼンタ
mauriņa,マウリーナ
anatols,アナトール
lapiņš,ラピーン
starkovs,スタルコフス
astafjevs,アスタフイェフス
zemgals,ゼムガルス
ščerbatihs,スチェルバティス
konstantīns,コンスタンティン
raudive,ラウティヴ
dzintars,ジンタルス
jūlijs,ユーリース
daniševskis,ダニシェヴスキス
arājs,アラーイス
baltazars,バルタザール
rusovs,ルッソウ
oto,オットー
luterbergs,ルーテンベルグ
birkavs,ビルカフス
einars,エイナルス
repše,レプシェ
stepanovs,ステパノフス
zīle,ジル
bleidelis,ブレイデリス
peterss,ペテルス
vlaščenko,ウラシェンコ
šķēle,シュケーレ
gailis,ガイリス
artis,アーティス
pabriks,パブリクス
intars,インタルス
busulis,ブスリス
smilga,スミルガ
višņakovs,ヴィシュニャコフス
kviesis,クヴィエスィス
munters,ムンタース
uļjana,ウリャーナ
semjonova,セミョーノヴァ
lipmans,リップマン
berss,バース
solvita,ソルヴィタ
āboltiņa,アーボルティニャ
madara,マダラ
palameika,パラメイカ
slavens,スレイヴン
vadims,ヴァディム
vasiļevskis,ヴァシレフスキ
šteins,シュテインス
neimanis,ノイマン
guntars,グンタルス
krasts,クラスツ
lācis,ラーツィス
baiba,バイバ
skride,スクリデ
kristīne,クリスティーネ
opolais,オポライス
renārs,レナールス
kaupers,カウペルス
indulis,インドゥリス
emsis,エムシス
alfrēds,アルフレッド
rubiks,ルビック
solo,ソロ
dekmeijere,デクメイエレ
artmane,アルトマネ
olga,オルガ
rajecka,ライエッカ
bētiņš,ベティンズ
anatolijs,アナトリー
gorbunovs,ゴルブノフ
augusts,アウグスツ
kirhenšteins,キルヘンシュタインス
krišjānis,クリシュヤーニス
barons,バロンス
ozols,オゾルス
edmunds,エドムンツ
sprūdžs,スプルージュ
zirnis,ジルニス
šmēdiņš,シメディンシ
jēkabsons,イェーカブソンス
razgulajevs,ラザグリアエフ
hugo,フーゴ
celmiņš,ツェルミンシュ
žanna,ジャンナ
pugača,プガチャ
gints,ギンツ
bude,ブーデ
fricis,フリシス
roziņš,ロージンシュ
alberings,アルベリンクス
marģers,マルゲルス
skujenieks,スクエニエクス
zāmuēls,ザームエールス
tālivaldis,タリヴァルディス
ķeniņš,ケニンス
ieva,イエヴァ
gaile,ゲイリ
juraševskis,ユラシェフスキス
mendriks,メンドリクス
gaidis,ガイディス
kukule,ククレ
dace,ダツェ
melbārde,メルバールデ
haralds,ハラルズ
ida,イダ
kerkoviusa,ケルコフィウス
savaļnieks,サバリュニエクス
laura,ローラ
ikaunieceadmidiņa,イカニエス
manskis,マンスキー
liepiņš,レーピン
roberto,ロベルト
puķītis,プキティス
līna,リナ
mūze,ムゼ
liepa,リエパ
lēvenvolde,レーヴェンヴォルデ
dons,ドンズ
boļeslavs,ボレスワフ
maikovskis,マイコフスキ
daumants,ダウマンツ
dreiškens,ドレイシュケンス
pauļuks,パウリュクス
agate,アガテ
muceniece,ムツェニエツェ
semjons,セミョーン
nahimsons,ナキムソン
ginta,ギンタ
lapiņa,ラピシャ
ināra,イナーラ
mūrniece,ムールニエツェ
būmeisters,ブーメイスタース
filips,フィリップ
hiršhorns,ヒルシュホルン
zemļinskis,ゼムリンスキス
peive,ペイヴェ
jurijs,ユリス
andrejevs,アンドレイェフス
reinholds,ラインホルツ
gunārs,ギュナーズ
cilinskis,カリンスキー
zadvornova,ザドヴォルノヴァ
regīna,レジーナ
razuma,ラズマ
andreass,アンドレアス
felves,フェルベン
milda,ミルダ
lauberte,ローバーテ
indra,インドラ
devi,デーヴィー
seisuma,セイスマ
zjuzins,ジュジン
gilis,ギリス
valērijs,ヴァレーリイス
šabala,シャバラ
gluhovs,グルチョフ
aperāts,アペラーツ
nikolajs,ニコライス
galdiņš,ガルディンシュ
riekstiņš,リエクスティンシュ
strautmanis,ストラウトマニス
zigismunds,ジギスムント
sirmais,シルマイス
štolcers,シュトルツェルス
koļesņičenko,コレスニチェンコ
eidemanis,エイデマン
ella,エッラ
lolita,ロリータ
cauka,カウカ
franke,フランク
kerskorfs,キルスコルフ
ernsts,エルンスト
rasburgs,ラッツェブルク
rihards,リハルズ
zariņš,ザリンシュ
lauris,ラウリス
reiniks,ライニクス
zāle,ザール
valentīns,ヴァレンティーンス
lobaņovs,ロバニョフス
miervaldis,ミエルヴァルディス
ādamsons,アダムソンス
endzelīns,エンゼリーンズ
blagonadeždins,ブラゴナデジンス
berķis,ベルチス
kampars,カンパルス
karašausks,カラシャウスクス
agnese,アニェーゼ
pastare,パスタレ
aploks,アプロクス
plēsnieks,プレースニエクス
isakovs,イサコフス
mikus,ミクス
fomins,フォミンス
ance,アンス
krauze,クラウゼ
brauns,ブラウンス
arnis,アーニス
balčus,バルカス
romanovs,ロマノフ
karels,カレル
marks,マーク
šišons,チチョン
andžs,アンズス
flaksis,フラクシス
gerhards,ゲルハルト
johans,ヨハン
guna,グナ
zariņa,ザリサ
gabrāns,ガブランス
vilnis,ヴィルニス
bresis,ブレシス
kazakevičs,カザケヴィス
lilita,リリタ
zatlere,ザトレレ
lagūna,ラグーナ
žanis,ジャニス
bahs,バハス
bergmanis,ベルグマニス
kariņš,カリンズ
osis,オシス
pīnups,ピナップス
niks,ニクス
matvejevs,マトベジェフス
kostins,コスティン
julija,ユリヤ
teplih,テプリヒ
vērdiņš,ヴェルディンシュ
leons,レオンス
matīss,マティス
akuraters,アクラターズ
rizoto,ヒゾット
zīverts,ズィヴェルツ
akurāters,アクラタース
poļina,ポリーナ
jeļizarova,ジェリザロバ
zeltīts,ゼルティーツ
apoga,アッポガ
krūmiņš,クルミン
auzāns,アウザーンス
makarovs,マカロフス
simona,シモーナ
orinska,オリンスカ
ludolfs,ルドルフ
liberts,リベルツ
viesturs,ヴィエストゥール
kairišs,カイリシュ
edvards,エドヴァルズ
smiltēns,スミルテーンス
zigfrīds,ジグフリッド
muktupāvels,ムクトゥパーベルス
akuratere,アクラテレ
aleksandra,アレクサンドラ
petushko,ペトゥシュコ
račs,ラチス
antonijs,アントニス
černomordijs,セルノモルディス
ranka,ランカ
aminata,アミナータ
savadogo,サヴァドゴ
ivo,イボ
justs,ユスツ
inga,インガ
emīls,エミルス
elena,エレーナ
kovalova,コワロワ
kaža,カジャ
cirkunovs,サークノフ
rožkova,ロシュコバ
dagnija,ダグニア
dreika,ドレイカ
glebs,グレブス
basins,バシンス
valeria,ヴァレリア
trifancova,トゥリファンコワ
rukšāns,ルクシャーンス
bogdanovičs,ボグダノビッチ
cigaņiks,シガニスク
kudelkins,クデルキンス
sircovs,シルコフス
jakushina,ヤクシナ
kivlenieks,キブレニクス
krūzbergs,クルズベルグス
gruntmane,グルントメイン
kazāks,カザークス
aizpute,アイズプテ
smiltene,スミルテネ
saulkrasti,サウルクラスティ
aizkraukle,アジクラウクレ
jaunjelgava,ヤウニェルガヴァ
rumbula,ルンブラ
krāslava,クラースラヴァ
zilupe,ズィルペ
olaine,オライネ
venta,ベンタカワ
bauska,バウスカ
gulbene,グルベネ
koknese,コクネセ
rūjiena,ルーイエナ
balvi,バルビ
talsi,タルシ
preiļi,プレイリ
mazsalaca,マズサラツァ
salaspils,サラスピルス
dobele,ドベレ
ogre,オグレ
varakļāni,ヴァラクリャーニ
kārsava,カルサヴァ
kandava,カンダバ
līvāni,リーヴェンホフ
trasjanka,トラシャンカ
sēlija,セリヤ
alūksne,アルークスネ
skrunda,スクルンダ
ķekava,キェッカヴァ
ķegums,ケグムス
ādaži,アーダジ
saldus,サルダス
ludza,ルッザ
madona,マドナ
ilūkste,イルークスト
rail,レール
grobiņa,グロビニャ
priekule,プリエクレ
aglona,アグロナ
jaunlatvieši,セイネンラトビア
latvenergo,ラトベネルゴ
inčukalns,インチュカルンス
mārupe,マールペ
karosta,カロスタ
mikrofona,マイクロフォン
ieraksti,レコード
gaiziņkalns,ガイジンカインス
ulbroka,ウルブロカ
limbaži,リンバジ
daugavgrīva,ダウガヴグリーヴァ
vaiņode,ヴァイニョデ
sakta,サクタ
prisma,プリスマ
carnikava,ツァルニカヴァ
nida,ニダ
nepilsoņi,ヒコクセキシャ
ukri,ウクリ
aptauja,アプタウヤ
jāņi,ヒジリヨハネサイ
latvijas,ラトヴィア
sece,セツェ
pasažieru,パッサジエル
vilciens,ヴィリシエン
tērvete,テールヴェテ
jūrkalne,ピルスベルジ
majori,マヨリ
jersika,エリスカ
birzgale,ビルズガレ
bogdāni,ボグダーニ
staburags,スタブラグス
triānas,トリアーナ
parks,パーク
višķi,ヴィシュキ
atmoda,ココロカララトビアニ
lejasciems,レヤシエムス
slokas,スロカス
eleja,エレヤ
ziestu,ジエストゥ
kalns,カルンス
jaunais,ニュー
ratnieki,ラトニエキ
turlava,トゥルラヴァ
terra,テッラ
mariana,マリアナ
rublis,ルーブル
olimpija,オリンピア
ziemeļu,ジェメリュ
purvi,プルヴィ
irbene,イルベネ
delna,デルナ
progresīvie,シンポ
žaunerāni,ジャウネラーニ
mikitāni,ミキターニ
angulo,アングーロ
riga,リガ
europe,ヨーロッパ
