krzysztof,克日什托夫
szpilman,斯皮尔曼
adolf,阿道夫
schulzevler,舒尔茨埃夫勒
john,约翰
tavares,塔瓦雷斯
kołakowski,科拉科夫斯基
zagajewski,扎加耶夫斯基
świerczok,希维尔乔克
wilk,威尔克
daniel,丹尼尔
libeskind,里伯斯金
bauman,鲍曼
abakanowicz,阿巴卡诺维奇
romain,罗曼
gary,加里
dziwisz,济维齐
krystian,克里斯蒂安
zimerman,齐默尔曼
emmanuel,埃曼努埃尔
olisadebe,奥利萨德贝
spławaneyman,内曼
sikora,西科拉
maciej,马切伊
lampe,兰佩
szarmach,沙尔马赫
kucharski,库哈尔斯基
kłos,克沃斯
kubica,库比卡
rejewski,雷耶夫斯基
sławomir,斯瓦沃米尔
skrzypek,斯克日普克
matkowski,麦考斯基
ingarden,英伽登
ochab,奥哈布
bohdan,博赫丹
andrzejewski,安杰耶夫斯基
bartłomiej,巴特沃梅伊
jaszka,亚什卡
bartnik,巴尔特尼克
savielly,萨维利
tartakower,塔塔科维
herbert,赫伯特
bartosz,巴尔托什
kurek,库雷克
soćko,索科
kuratowski,库拉托夫斯基
siemomysł,谢莫米斯乌
lisiecki,利谢茨基
saganowski,萨加诺斯基
rafał,拉法乌
artur,阿图尔
siódmiak,休德米亚克
alfred,阿尔弗雷德
wieruszkowalski,科瓦尔斯基
gortat,戈塔特
benedykt,贝内迪克特
kocot,科措特
tomczak,托姆恰克
wacha,瓦查
mateusz,马特乌什
kusznierewicz,库什涅雷维奇
golik,高力克
tansman,汤斯曼
lijewski,利耶夫斯基
janusz,雅努什
zarenkiewicz,扎伦凯维奇
putra,普特拉
piasecki,皮亚塞基
chamique,沙米克
holdsclaw,霍尔兹克劳
paweł,帕维尔
baraszkiewicz,巴拉什凯维奇
bruno,布鲁诺
rodzik,罗兹克
łobodziński,洛博津斯基
brzeziński,布热津斯基
galiński,加林斯基
mariusz,马里乌什
jurasik,尤拉西克
stefan,斯特凡
wyszyński,维辛斯基
anders,安德斯
jaremski,雅雷姆斯基
kaczmarek,卡奇马雷克
gut,古特
bartman,巴特曼
mieczysław,米奇斯瓦夫
rakowski,拉科夫斯基
messner,梅斯内尔
olivia,奥利维娅
smoliga,斯莫利加
michnik,米奇尼克
petrich,佩特里赫
antoni,安东尼
karwowski,卡沃斯基
dudziak,杜齐亚克
mirosław,米罗斯瓦夫
hermaszewski,赫尔曼谢夫斯基
jop,约普
stasiak,斯塔夏克
dopierała,多皮耶拉瓦
seroczyński,塞罗琴斯基
beata,贝娅塔
sokołowskakulesza,索科沃夫斯卡库莱沙
łbik,乌比克
kamiński,卡明斯基
teodor,特奥多尔
leszetycki,莱谢蒂茨基
grzegorz,格热戈日
schetyna,谢蒂纳
pietrzykowski,皮耶奇科夫斯基
preisner,普莱斯纳
zdzisław,兹齐斯瓦夫
beksiński,贝克辛斯基
krzyszkowiak,克日什科维亚克
kusociński,库索钦斯基
lipień,利平
biedroń,比德隆
emerson,埃默松
fittipaldi,菲蒂帕尔迪
stanisława,斯坦尼斯瓦娃
walasiewicz,瓦拉谢维奇
matyjaszewski,马蒂亚谢夫斯基
jurecki,尤雷茨基
rubinstein,鲁宾斯坦
katus,卡图斯
świerczewski,希维尔切夫斯基
éric,埃里克
srecki,斯雷基
gottlieb,戈特利布
bloch,布洛赫
sebastián,施巴斯坦
setti,薛迪
szukała,舒卡瓦
dan,丹
dickau,迪考
rudolf,鲁道夫
weigl,魏格尔
jaśkowski,亚希科夫斯基
nâzım,纳欣
hikmet,希克美
wojtaszek,沃伊塔泽克
harald,哈拉尔德
konopka,科诺普卡
sinkiewicz,辛基维奇
zawada,扎瓦达
szczęsny,什琴斯尼
brzęczek,布任切克
szymanowski,希马诺夫斯基
ogaza,奥加扎
tłuczyński,特武琴斯基
sycz,瑟奇
kamila,卡米拉
augustyn,奥古斯丁
rybicki,雷比茨基
jacek,亚采克
majchrowski,马赫罗夫斯基
grechuta,格雷彻塔
golański,戈兰斯基
zenon,泽农
jaskuła,亚斯库瓦
licznerski,利奇内尔斯基
łeonid,列昂尼德
krawczuk,克拉夫丘克
żyro,佐罗
fyrstenberg,费腾柏格
grudzień,格鲁津
stępień,斯滕平
israel,伊斯雷尔
epstein,爱泼斯坦
zielinski,杰林斯基
paczyński,帕琴斯基
gąsienica,贡谢尼察
groń,格龙
damian,达米安
janikowski,雅尼科夫斯基
wleklak,弗莱克拉克
wójtowicz,武伊托维奇
czapski,恰普斯基
kłak,克瓦克
młotfijałkowski,姆沃特菲亚乌科夫斯基
ignacy,伊格纳齐
paderewski,帕德雷夫斯基
dudek,杜德克
onyszko,奥内什科
kubiak,库比亚克
lang,兰格
jagodzińska,雅高冼思嘉
mitch,米契
kupchak,库普恰克
zabłocki,扎布沃茨基
leśniewski,莱希涅夫斯基
kurtyka,克提卡
motyka,莫蒂卡
dariusz,达留什
adamczuk,亚当丘克
boruc,博鲁茨
skutnik,斯库尼克
bob,鲍勃
kurland,库兰
dembończyk,德姆邦奇克
szczepański,什切潘斯基
moreń,莫伦
szkudlarczyk,苏库德拉尔塞克
david,大卫
seymour,西蒙
dybowski,迪波夫斯基
szymon,西蒙
askenazy,阿什肯纳兹
iwaniec,伊万尼克
zieliński,杰林斯基
drogosz,德罗戈什
hilary,希拉里
koprowski,科普罗夫斯基
brunon,布鲁农
bendig,本迪格
ormanowski,奥尔马诺夫斯基
gęsior,根肖尔
szubert,舒伯特
mielcarski,梅尔察尔斯基
frankowski,弗兰科夫斯基
bartel,巴特尔
konrad,康拉德
niedźwiedzki,涅季维兹基
zawrotniak,扎夫罗特尼亚克
hubert,胡贝特
skrzypczak,斯克日普恰克
dawid,达维德
kubacki,库巴茨基
szulkin,舒尔金
kowalczyk,科瓦尔奇克
ludomir,卢多米尔
chronowski,赫罗诺夫斯基
tarski,塔斯基
agnieszka,阿格涅什卡
radwańska,拉德万斯卡
małysz,马维什
gołota,戈沃塔
ławrynowicz,拉夫里诺维奇
acquafresca,阿夸弗雷斯卡
wosz,沃什
nastula,纳斯图拉
pawłowski,帕夫沃夫斯基
syprzak,瑟普扎克
winiarski,维尼阿尔斯基
damien,达米恩
perquis,佩尔基
zamoyski,扎莫伊斯基
fajans,法扬斯
barburski,巴尔布尔斯基
joanna,乔安娜
fiodorow,费奥多罗
alain,阿兰
finkielkraut,芬基尔克罗
rzeźniczak,泽斯尼查克
pustelnik,皮斯代尔尼克
lucjan,卢茨扬
lis,利斯
nikolai,尼古拉
toporstanley,杜普史丹利
kaczyńska,卡钦斯卡
żygadło,兹伊加德罗
podlas,波德拉斯
dunecki,杜内茨基
sidło,西德沃
carl,卡尔
yastrzemski,雅泽姆斯基
rotblat,罗特布拉特
peszko,佩什科
skrzypaszek,斯克日帕谢克
szeja,谢亚
sylwia,瑟尔维娅
bogacka,博加茨卡
fortuna,福尔图纳
gierymski,吉列姆斯基
kierzkowski,凯日科夫斯基
stanislaus,斯坦尼斯劳斯
kobierski,科别尔斯基
szemuel,什穆埃尔
noach,诺厄
eisenstadt,艾森施塔特
udalski,乌达尔斯基
sobota,索博塔
jean,让
graczyk,格拉奇克
skrowaczewski,斯克罗瓦切夫斯基
kapuściński,卡普钦斯基
wróbel,弗鲁贝尔
wojtkowska,维特科夫斯卡
baszanowski,巴沙诺夫斯基
czerniak,科泽尼亚克
kwiatkowski,克维亚特科夫斯基
curtis,柯蒂斯
tomasevicz,托马塞维奇
leopold,利奥波德
staff,斯塔夫
sobiech,索比希
pinsker,平斯克
holland,霍兰
grażyna,格拉日娜
bacewicz,巴切维茨
pola,波拉
negri,内格里
szewińska,谢温斯卡
izabella,伊莎贝拉
scorupco,丝科鲁波
zagumny,扎古姆内
kot,科特
tara,塔拉
lipinski,利平斯基
jagiellonka,雅盖隆卡
justyna,尤斯蒂娜
rogowska,罗戈夫斯卡
martha,玛莎
stewart,史都华
kobylański,科贝兰斯基
markiewicz,马尔凯维奇
włodzimierz,沃齐米日
zawadzki,扎瓦兹基
lesław,莱斯瓦夫
ćmikiewicz,奇米凯维奇
piszcz,皮什奇
andrzejuk,安杰尤克
koźmiński,科日明斯基
mateusiak,马特斯亚克
kucharczyk,库恰尔切克
skolimowska,斯科利莫夫斯卡
anja,安嘉
rubik,鲁贝克
miarczyński,米亚尔琴斯基
oscar,奥斯卡
lewicki,莱维茨基
mytnik,梅特尼克
szozda,绍兹达
kmiecik,克梅奇克
trębicki,特伦比茨基
sergiusz,塞尔吉乌什
wołczaniecki,沃乌恰涅茨基
peliwo,佩利沃
zwoliński,兹沃林斯基
wysoczańska,维索钱斯卡
ida,艾达
haendel,亨德尔
elżbieta,埃尔日别塔
krzesińska,克热辛斯卡
dąbrowska,东布罗夫斯卡
erich,埃里希
juskowiak,尤斯科维亚克
kwaśniewska,克瓦希涅夫斯卡
julian,尤利安
marchlewski,马尔赫莱夫斯基
bierła,别尔瓦
juliusz,尤利乌什
słowacki,斯沃瓦茨基
halina,哈利娜
konopacka,科诺帕茨卡
daria,达里娅
werbowy,维宝莉
zygalski,佐加尔斯基
wszołek,沃莱克
wiesław,维斯瓦夫
rudkowski,鲁德科夫斯基
torben,杜宾
piechnik,派尼克
edmund,艾德蒙
strzelecki,斯特爵雷茨基
pińkowski,平科夫斯基
alice,爱丽丝
edyta,艾迪塔
górniak,歌娳娅
tul,图尔
urszula,厄苏拉
jarosz,雅罗什
fotyga,福蒂加
zahorski,扎霍斯基
gliński,格林斯基
bochenek,博赫内克
rut,鲁特
nielaba,涅拉巴
butkiewicz,布特凯维奇
ochyra,奥黑拉
pawlas,帕夫拉斯
nowakowski,诺瓦克沃斯基
ruciak,卢西亚克
ignaczak,伊格纳兹扎克
skrudlik,斯克鲁德利克
jabłkowski,雅布乌科夫斯基
bogusław,博古斯瓦夫
zych,齐赫
lisewski,利塞夫斯基
strzałka,斯恰乌卡
dagmara,达格玛拉
wozniak,沃伊尼亚克
zygfryd,齐克弗里特
szołtysik,绍乌蒂西克
euzebiusz,尤泽比乌兹
smolarek,斯莫拉雷克
berling,贝林格
maszczyk,马什奇克
ziółkowski,久乌科夫斯基
cyrankiewicz,西伦凯维兹
uri,尤里
orlew,奥莱夫
jaworski,雅沃尔斯基
martin,马丁
max,马克斯
jarkowski,亚尔科夫斯基
spychalski,斯彼哈尔斯基
konwicki,康维茨基
heinrich,海因茨
ponitka,波尼特卡
ewa,伊娃
kopacz,科帕奇
korwinmikke,科尔温米克
klempel,克莱姆佩尔
ireneusz,伊雷纽什
paliński,帕林斯基
natalia,娜塔莉亚
partyka,柏迪卡
lucyna,卢齐娜
langerkałek,朗格尔
świdnicka,希维德尼察
luiza,路易莎
złotkowska,兹沃特科夫斯卡
majka,马伊卡
hula,胡拉
kostka,科斯特卡
wasielewski,瓦谢莱夫斯基
kocerka,科采尔卡
olech,奥莱赫
kotarbiński,柯塔宾斯基
monika,莫妮卡
teresa,特雷莎
ciepły,切普维
rozmiarek,罗兹米亚雷克
samo,萨莫
chalupka,哈卢普卡
krystyna,克里斯蒂娜
skarbek,斯卡贝克
paździor,帕日焦尔
kolbowicz,科尔博维奇
wawrzyniak,瓦夫日尼亚克
denis,丹尼斯
urubko,纽博克
maniak,马尼亚克
alicja,阿莉恰
rosolska,罗索尔斯卡
olga,奥尔嘉
tokarczuk,朵卡萩
jarosława,雅罗斯瓦娃
jóźwiakowska,比耶达
michael,迈克尔
klim,克利姆
parulski,帕鲁尔斯基
sonnet,索内特
gęsicka,杰西卡
radzinski,拉津斯基
szrom,史罗坶
gmyrek,格梅雷克
jodłowiec,约托维奇
kaczmarz,卡茨马尔兹
sadlok,萨德洛克
wieczorek,维乔雷克
łasko,拉斯科
krychowiak,科里乔维亚克
korzeniowski,科热尼奥夫斯基
janina,雅尼娜
fetlińska,费特林斯卡
pietrzyk,皮耶奇克
foik,福伊克
gadocha,加多哈
górecka,古雷茨卡
małachowski,马瓦霍夫斯基
panufnik,帕努夫尼克
lipski,利普斯基
bachledacuruś,巴赫莱达楚鲁希
magda,玛格达
linette,蕾妮特
stecyk,斯泰齐克
szmal,什马尔
giedroyc,盖德罗伊茨
jake,杰克
kaminski,卡明斯基
pawlikowski,帕夫利科夫斯基
jadwiga,雅德维加
helga,黑尔佳
haase,哈泽
kłobukowska,克沃布科夫斯卡
maja,玛雅
włoszczowska,沃什乔夫斯卡
wajsówna,瓦伊斯
niedźwiedzka,沃伊尼亚克
tomaszewski,托马谢夫斯基
lato,拉托
zimny,齐姆内
świeżyński,希维任斯基
zapędzki,扎彭兹基
sala,萨拉
burton,伯顿
wesołowski,韦索沃夫斯基
janda,扬达
żmuda,日穆达
sobotta,索博塔
kasprzyk,卡斯普日克
werner,维尔纳
kołecki,科韦茨基
michel,米歇尔
jazy,雅齐
błażyński,布瓦任斯基
odonic,欧登尼采
waligóra,瓦利古拉
roger,罗歇
verey,韦雷
bajor,巴约尔
mowlik,莫夫利克
kwieciński,克维钦斯基
wolf,沃尔夫
messing,梅辛
koziejowski,科杰约夫斯基
pyciakpeciak,佩恰克佩恰克
siatka,西亚特卡
łapiński,瓦平斯基
szczygło,什奇格沃
goździak,戈伊齐亚克
joachim,约阿希姆
lelewel,莱莱韦尔
szumowska,叔莫斯卡
jaroszewicz,雅罗谢维奇
gołąb,戈翁布
stępiński,斯滕平斯基
nechama,尼查马
tec,泰克
opałka,奥帕乌卡
silberstein,席柏斯坦
paula,保拉
kaniachoduń,卡妮雅
wanda,万达
wiłkomirska,维乌科米尔斯卡
mila,米拉
gombrowicz,贡布罗维奇
łybacka,维巴茨卡
przysiężny,柏兹西兹尼
wlazły,沃拉兹里
michalik,米哈利克
jurkiewicz,尤尔凯维奇
christopher,克里斯托弗
ferguson,弗格森
liv,利夫
wszoła,弗绍瓦
blechacz,布莱哈奇
richard,理查德
pipes,派普斯
ślusarski,希卢萨尔斯基
chmielewska,奇米勒斯卡
szmidt,施密特
łasicki,瓦西茨基
staniek,斯塔涅克
wieszczycki,维什奇茨基
wawrowski,瓦夫罗夫斯基
błaszczak,布瓦什恰克
woicki,沃尔克基
komar,科马尔
poźniak,波兹尼亚克
halupczok,哈卢普乔克
pawłowska,帕弗沃夫斯卡
rozwadowski,约尔丹罗兹瓦多夫斯基
wojdat,沃伊达特
piekarska,皮耶卡尔斯卡特瓦尔多赫尔
barańska,巴兰斯卡
kiszczak,基什恰克
oskar,奥斯卡
lange,朗格
nadieżda,娜蒂斯达
zięba,希尔巴
moïse,莫伊斯
kisling,基斯林
wyszomirski,维绍米尔斯基
jachlewski,亚赫莱夫斯基
wolha,奥尔佳
konan,科农
piwko,皮夫科
wichary,维哈里
patryk,帕特里克
kuchczyński,库赫琴斯基
potocki,波托茨基
rolażymierski,罗拉日梅尔斯基
layvin,利云
kurzawa,古沙华
petrażycki,彼得拉日茨基
gągor,贡戈尔
celina,采莉纳
jesionowska,耶肖诺夫斯卡
halszka,哈兹卡
osmólska,奥斯穆斯卡
kielan,凯兰
awraham,亚伯拉罕
stern,斯特恩
wieszczekkordus,维什切克科尔杜斯
gruchała,格鲁哈瓦
rogalski,罗加尔斯基
czochralski,柴可拉斯基
bereszyński,贝雷辛内斯基
infeld,英费尔德
śmigłyrydz,雷兹希米格维
emilia,艾米利亚
plater,普莱特
ladislao,库巴拉
kubala,拉迪斯劳
wacław,瓦茨瓦夫
sierpiński,谢尔宾斯基
guerreiro,盖雷罗
tytoń,蒂通
malak,马拉克
czarnecki,恰尔内茨基
stoch,斯托赫
kosedowski,科塞多夫斯基
żurawski,茹拉夫斯基
nowak,诺瓦克
borsuk,博苏克
hans,汉斯
ziglarski,齐格拉尔斯基
malinowski,马利诺夫斯基
thiago,蒂亚戈
cionek,西奥内克
łogosz,罗高斯
orzechowski,奥热霍夫斯基
waryński,瓦伦斯基
mościcki,莫希奇茨基
najdorf,纳依道夫
wasilewski,瓦西莱夫斯基
reshevsky,雷谢夫斯基
wolszczan,沃尔兹森
sapkowski,萨普科夫斯基
wolny,沃尔内
cichoń,齐洪
tkaczyk,特卡奇克
kukuczka,库库奇卡
gierek,盖莱克
wyspiański,维斯皮安斯基
szeryng,谢林
brożek,布罗热克
kuszczak,古斯锡
zajkowski,扎伊科夫斯基
kulej,库莱伊
kosok,科索克
dudka,杜德卡
konchesky,孔切斯基
kozakiewicz,科扎凯维奇
lubański,卢班斯基
bosacki,博萨茨基
żewłakow,热夫拉科夫
herschel,赫佐尔
grynszpan,格林斯潘
blanik,布拉尼克
dąbrowski,东布罗夫斯基
horst,霍斯特
szymaniak,希马尼亚克
bartkowiak,巴寇亚克
woyda,沃伊达
godel,戈德尔
gorgoń,戈尔贡
eddie,埃迪
slovik,斯洛维克
lemkin,莱姆金
emanuel,伊曼纽尔
ax,艾克斯
fibak,菲巴克
matuszczyk,马图什奇克
jabłoński,雅布翁斯基
pilecki,皮雷茨基
bąk,巴克
mroziński,米罗辛希
solomon,所罗门
asch,阿希
kania,卡尼亚
akiba,阿基巴
grosicki,格罗西茨基
dołgowicz,多乌戈维奇
matthias,马蒂亚斯
ostrzolek,奥斯特若莱克
kilar,基拉尔
sandomierski,山杜米尔斯基
karłowicz,卡洛维茨
aneta,阿内塔
konieczna,科涅奇纳
egon,埃贡
franke,弗兰克
trepper,特雷伯
julia,朱莉娅
michalska,米哈尔斯卡
barcik,巴尔齐克
fularczykkozłowska,富拉尔奇克
elwira,埃尔维拉
seroczyńska,塞罗琴斯卡
eugeniusz,欧根纽什
łazowski,拉佐斯基
ewelina,埃韦利娜
ptak,普塔克
trzebińska,切宾斯卡
maurycy,莫里茨
moszkowski,莫什科夫斯基
głąb,格翁布
grubba,格鲁巴
badeński,巴登斯基
bródka,布鲁德卡
zofia,佐菲亚
nocetiklepacka,克莱帕茨卡
klata,克拉塔
nowicka,诺维茨卡
grzesiak,格热夏克
dragan,德拉甘
adach,阿达赫
helena,海伦娜
pilejczyk,皮莱伊奇克
francis,弗朗西斯
smerecki,斯梅雷茨基
szymczyk,希姆奇克
nowicki,诺维茨基
skrzydlewski,斯克日德莱夫斯基
kordylewski,柯迪莱夫斯基
babiuch,巴比乌赫
pilch,皮尔赫
jarosik,雅罗西克
balthus,巴尔蒂斯
słowik,斯沃维克
wenta,文塔
mordechaj,莫德哈伊
anielewicz,阿涅莱维奇
żuławski,左拉斯基
paleczny,帕莱奇内
norbert,诺贝特
ozimek,奥齐梅克
iwona,伊沃娜
dzięciołmarcinkiewicz,马尔钦凯维奇
krzewina,克热维纳
wnuklipiński,努克李平斯基
strejlau,斯特雷劳
różewicz,鲁热维奇
piątkowski,皮翁特科夫斯基
szydłowska,希德沃夫斯卡
wroński,弗龙斯基
grabowska,格拉博夫斯卡
mikołajczyk,米科瓦伊奇克
jędrzejczyk,耶德尔泽西克
małecki,马韦茨基
laskowski,拉斯科夫斯基
suski,苏斯基
oda,欧达
schottmüller,绍特穆勒
kuszewski,库谢夫斯基
zalewski,扎莱夫斯基
adamowicz,阿达莫维奇
skrzecz,斯克热奇
czajkowska,恰伊科夫斯卡
woś,沃希
marta,玛尔塔
ptaszyńska,阿丝妮西卡
supron,苏普龙
friedrich,弗里德里赫
zabielski,扎别尔斯基
dobrowolski,多布罗沃尔斯基
tyranowski,蒂兰诺夫斯基
korzybski,柯日布斯基
florian,弗洛里安
siwicki,西维茨基
legień,莱金
bobik,博比克
ślązak,希隆扎克
kiełbasińska,凯乌巴辛斯卡
wojnicz,伏尼契
wołosz,沃沃什
mączyński,马辛斯基
fleck,弗莱克
pati,帕蒂
yang,杨
kulig,库利格
aleksy,阿莱克西
antkiewicz,安特凯维奇
rudy,鲁迪
bebel,贝贝尔
rybaczewski,雷巴切夫斯基
walasek,瓦拉塞克
różycki,鲁日茨基
kubot,古博特
deyna,德厄纳
ben,宾
sahar,沙夏
czartoryski,恰尔托雷斯基
kasia,卡莎
struss,斯特拉斯
rutkowski,鲁特科夫斯基
rybus,里布斯
cwalina,克瓦林纳
podkowiński,波德科温斯基
wojtkowiak,沃伊特科维亚克
józewski,约瑟夫斯基
kozicki,科齐茨基
stańczuk,斯坦丘克
garguła,加尔古拉
koseła,科塞瓦
andrew,安德鲁
ornoch,奥诺赫
gawłowski,加沃夫斯基
sadalski,萨达尔斯基
dydak,迪达克
mikołaj,米科瓦伊
burda,布尔达
handke,汉德克
madaj,马达伊
sokołowski,索科沃夫斯基
olechowski,奥莱霍夫斯基
melcer,梅尔采尔
szczerba,什切尔巴
swornowski,斯沃尔诺夫斯基
czyżowicz,奇若维奇
grabarczyk,格拉巴尔奇克
chrapkowski,赫拉普科夫斯基
czerwonka,切尔翁卡
krenzmikołajczak,克伦兹米科瓦伊恰克
bronikowski,布罗尼科夫斯基
romaszewski,罗曼舍夫斯基
drewek,德雷韦克
szymczak,希姆恰克
przybysz,普日贝什
kuchta,库赫塔
antczak,安特恰克
józefa,约瑟法
ledwig,莱德维格
gacek,加切克
szcześniewskabryszewska,什琴希涅夫斯卡
dydek,迪德克
strzemiński,斯特泽敏斯基
walczykiewicz,瓦尔奇凯维奇
karolina,卡罗利娜
naja,纳亚
ustupski,乌斯图普斯基
urban,乌尔班
kobyliński,科贝林斯基
budziński,布津斯基
birkholz,比尔克霍尔茨
ernest,埃内斯特
ary,阿里
sternfeld,施特恩费尔德
fajdek,法伊德克
michele,麦克
baranowicz,巴拉诺维茨
czesława,切斯瓦娃
kościańska,科希恰因斯卡
pestkowski,佩斯特科夫斯基
skorek,斯科雷克
białkowski,比亚乌科夫斯基
imich,伊米奇
michniewicz,米赫涅维奇
eric,埃里克
piatkowski,皮亚考斯基
vincent,文斯
boryla,博里拉
makowski,马科夫斯基
kuptel,库普泰尔
irina,伊琳娜
zaricka,扎里茨卡娅
olek,奥莱克
czyż,切茨
zatorski,扎托尔斯基
danuta,达努塔
kordaczuk,科尔达丘克
królikiewicz,克鲁利凯维奇
łazarski,瓦扎尔斯基
jokiel,约凯尔
malarczyk,马拉尔茨克
tomala,托马拉
szosland,绍斯兰
kawecki,卡韦茨基
seweryn,塞韦伦
leliwaroycewicz,莱利瓦罗伊采维奇
papée,帕佩
sznajder,施奈德
zamojski,扎莫伊斯基
pawełczak,帕韦乌恰克
yerka,尤科
broź,布罗兹
tracz,特拉奇
zub,祖布
prytycki,普里季茨基
renata,雷娜塔
mauerróżańska,毛厄尔鲁然斯卡
teodorczyk,迪奥多斯基
krukowiczprzedrzymirski,克鲁科维奇普热杰米尔斯基
kołomański,科沃曼斯基
stankiewicz,斯坦凯维奇
