ana,アナ
priscila,プリシラ
perales,ペラレス
zeferino,ゼフェリーノ
nandayapa,ナンダヤパ
erubiel,エルビエル
durazo,デュラーゾ
octagón,オクタゴン
timo,ティモ
natalia,ナタリア
lafourcade,ラフォルカデ
ayón,アヨン
lucía,ルシア
zárate,サラーテ
superbarrio,スーパーバリオ
reynoso,レイノソ
pipino,ホセ
cuevas,クエバス
néstor,ネストル
araujo,アラウホ
hijo,イホ
santo,サント
caso,カソ
rogelio,ロヘリオ
funes,フネス
cándido,カンディド
eufemio,エウフェミオ
angélica,アンジェリカ
gavaldón,ガバルドン
crazy,クレイジー
volpi,ボルピ
geo,ゲオ
meneses,メネセス
michel,ミシェル
jourdain,ジョルディン
mil,ミル
máscaras,マスカラス
richard,リカルド
ricky,リッキー
marvin,マルビン
escobedo,エスコベド
layún,ラユン
salazar,サラザール
michele,ミチェレ
bernardelli,ベルナルデリ
gabriel,ガブリエル
pareyón,パレヨン
ayala,アヤラ
amalia,アマリア
andy,アンディ
ruiz,ルイス
rené,レネ
arredondo,アレドンド
parada,パラーダ
velasco,ベラスコ
romano,ロマーノ
guillemin,ギルマン
villoro,ビジョーロ
caro,カロ
quintero,キンテロ
brenda,ブレンダ
tena,テナ
cibernético,シベルネティコ
canek,カネック
manzanero,マンサネーロ
wagner,ワグナー
karim,カリーム
yori,ルイス
boy,ボーイ
campas,カンパス
daniel,ダニエル
zaragoza,サラゴサ
cristian,クリスティアン
arkangel,アルカンヘル
muerte,ムエルテ
popé,ポペ
osuna,オスナ
apolo,アポロ
dantés,ダンテス
argenis,アルヘニス
arturo,アルトゥーロ
decena,デセナ
aquino,アキーノ
zuloaga,スロアガ
wolfgang,ヴォルフガング
paalen,パーレン
muñoz,ムニョス
benjamín,ベンハミン
gil,ヒル
pezuela,ペスエラ
conlon,コンロン
nancarrow,ナンカロウ
rufino,ルフィーノ
tamayo,タマヨ
ripstein,リプスタイン
edgardo,エドガルド
codesal,コデサル
méndez,メンデス
álex,アレックス
cabrera,カブレラ
emmanuel,エマニュエル
lubezki,ルベツキ
candela,キャンデラ
mando,マンド
aurelio,アウレリオ
black,ブラック
warrior,ウォリアー
bocafloja,ボカフロハ
blue,ブルー
panther,パンテル
hernán,エルナン
solís,ソリス
montiel,モンティエル
jhonny,ジョニー
lupita,ルピタ
nyong'o,ニョンゴ
anza,アンサ
alberto,アルベルト
aspe,アスペ
eimbcke,エインビッケ
novarro,ノヴァロ
jenni,ジェニー
alcalá,アルカラ
ambriz,アンブリス
llave,ジャーベ
cuadras,クアドラス
alan,アラン
pulido,プリード
carla,カルラ
morrison,モリソン
chessman,チェスマン
charly,チャーリー
manson,マンソン
celso,セルソ
piña,ピニャ
erik,エリク
moncayo,モンカヨ
posada,ポサダ
joaquín,ホアキン
cosío,コシオ
martínez,マルティネス
f,フルクトゥオーソ
mijares,ミハレス
columba,コルンバ
bush,ブッシュ
zúñiga,スニガ
miranda,ミランダ
misterio,ミステリオ
sr,シニア
villalobos,ビジャロボス
ruelas,ルエラス
damián,ダミアン
alcázar,アルカサル
zorro,ソロ
solitario,ソリタリオ
terrible,テリブレ
santana,サンタナ
covarrubias,コバルビアス
último,ウルティモ
cy,サイ
acosta,アコスタ
mia,ミア
st,セント
bátiz,バティス
limón,リモン
leandro,レアンドロ
izaguirre,イサギレ
pascual,パスクアル
dark,ダーク
ozz,オズ
arce,アルセ
cuervo,クエルボ
ralph,ラルフ
o'neill,オニール
yhency,ヤンシー
brazobán,ブラゾバン
blas,ブラス
lydia,リディア
mendoza,メンドーサ
gastón,ガストン
rueda,ルエダ
quijano,クイジャーノ
silvia,シルビア
von,フォン
sauer,ザウアー
paco,パコ
stanley,スタンリー
colunga,コルンガ
sepúlveda,セプルベダ
amor,アモール
mon,モン
laferte,ブスタマンテ
tigre,エクストリーム
uno,タイガー
escudero,エスクデロ
demon,デーモン
lozano,ロサーノ
joakim,ホアキム
soria,ソリア
estrellita,エストレジータ
dino,ディーノ
cazares,カザレス
eréndira,エレンディラ
ibarra,イバラ
laredo,ラレド
kid,キッド
demarco,デマルコ
aldo,アルド
arau,アラウ
yahel,ヤエル
ortiz,オルティス
memo,メモ
fishman,フィッシュマン
mejía,メヒア
mandoki,マンドーキ
quirarte,キラルテ
nacho,ナチョ
dihigo,ディーゴ
gilberto,ヒルベルト
jürgen,ユルゲン
damm,ダム
hermosillo,エルモシージョ
mata,マタ
parra,パラ
coronel,コロネル
valentín,バレンティン
elizalde,エリザルデ
germán,ヘルマン
gedovius,ヘドビウス
huracán,ハリケーン
fuerza,フエルサ
torre,トーレ
burgos,ブルゴス
jacob,ジェイコブ
hermila,エルミラ
gus,グス
máscara,マスカラ
dorada,ドラダ
garza,ガルサ
fuerte,フォルテ
goya,ゴヤ
kong,コング
susana,スサナ
harp,ハープ
claudia,クラウディア
sheinbaum,シェインバウム
halloween,ハロウィン
darwin,ダルウィン
cerén,セレン
nurse,ヌルセ
osiel,オシエル
guillén,ギリェン
maxtla,マシュトラ
aldama,アルダマ
verástegui,ヴェラステーギ
dralístico,ドラリスティコ
jackie,ジャッキー
nava,ナバ
cienfuegos,シエンフエゴス
callens,カジェンス
cordero,コルデロ
arrieta,アリエタ
fierro,フィエッロ
carsolio,カルソリオ
mephisto,メフィスト
sangre,サングレ
azteca,アステカ
abella,アベージャ
máximo,マキシモ
mascarita,マスカラ
sagrada,サグラダ
huarte,ウアルテ
mari,マリ
lizmark,リスマルク
roger,ロジャー
castañeda,カスタネダ
oro,オロ
joe,ジョー
líder,ライダー
arely,アレリー
muciño,ムシーニョ
berchelt,ベルチェット
ismael,イスマエル
zambada,サンバダ
isaác,イサーク
brizuela,ブリスエラ
parka,パルカ
mr,ミステル
niebla,ニエブラ
emil,エミール
lewis,ルイス
holmdahl,ホルムデール
titán,ティタン
fénix,フェニックス
irma,イルマ
valeria,バレリア
luiselli,ルイセリ
olímpico,オリンピコ
pantera,パンテーラ
páez,パエス
pizaña,ピサーニャ
napoleón,ナポレオン
pierroth,ピエロー
raymundo,ライムンド
capetillo,カペティージョ
princesa,プリンセサ
sugehit,スヘイ
marina,マリーナ
tavira,タビラ
escorpión,エスコルピオン
lilian,リリアン
macorra,マコラ
rayo,ラヨ
jalisco,ハリスコ
valdés,バルデス
beltrán,ベルトラン
regina,レジーナ
torné,トルネ
sosa,ソーサ
fiera,フィエラ
rush,ルーシュ
cota,コタ
julia,ジュリア
goldani,ゴルダニ
telles,テレス
ceja,セハ
cometa,コメタ
sexy,セクシー
star,スター
kavka,シシド
shishido,カフカ
gran,グラン
esmeralda,エスメラルダ
mariana,マリアナ
rocky,ロッキー
reyna,レイナ
hamui,ハムイ
estrada,エストラーダ
chicana,チカナ
rolando,ローランド
hinojosa,ヒノホサ
genaro,ヘナロ
patricio,パトリシオ
stuka,ストゥーカ
starman,スターマン
tiffany,ティファニー
teodoro,テオドロ
higuera,ヒゲーラ
hirving,イルビング
dragon,ドラゴン
lee,リー
scorpio,スコルピオ
bárbaro,バルバロ
cavernario,カベルナリオ
tony,トニー
ferguson,ファーガソン
martha,マルタ
william,ウィリアム
yarbrough,ヤーブロー
érick,エリック
urías,ウリアス
vinicio,ビニー
castilla,カスティーリャ
ulloa,ウジョア
adan,エイダン
govea,ゴベア
vanessa,ヴァネッサ
orbelín,オルベリン
pineda,ピネダ
henry,エンリ
salcedo,サルセド
nati,ナティ
cano,カノ
flamita,フラミータ
alcíbar,アルシバル
alexa,アレクサ
grasso,グラッソ
irene,イレーネ
aldana,アルダナ
yair,ヤイール
uriel,ウリエル
antuna,アントゥナ
montes,モンテス
pentagón,ペンタゴン
sebastián,セバスティアン
córdova,コルドバ
o'ward,オワード
brandon,ブランドン
vazquez,バスケス
angel,エンジェル
jesse,ジェシー
jairo,ハイロ
arteaga,アルテアガ
alvarado,アルバラード
reyes,レジェス
edson,エドソン
donovan,ドノバン
aczino,アチノ
samuel,サムエル
nodal,ノーダル
alonso,アロンソ
ruizpalacios,ルイスパラシオス
ibáñez,イバニェス
macías,マシアス
santiago,サンティアゴ
emanuel,エマヌエル
navarrete,ナバレテ
rosa,ロサ
nemesio,ネメシオ
oseguera,オセゲラ
cervantes,セルバンテス
verdugo,ベルドゥーゴ
iniestra,イニエストラ
johan,ヨハン
vásquez,バスケス
julián,フリアン
joey,ジョーイ
rosalinda,ロザリンダ
valencia,バレンシア
munguía,ムンギア
kevin,ケビン
yalitza,ヤリッツァ
aparicio,アパリシオ
vikingo,ビキンゴ
luka,ルカ
romero,ロメロ
fernanda,フェルナンダ
melchor,メルチョール
randy,ランディ
arozarena,アロサレーナ
seade,セアデ
marcelo,マルセロ
iván,イバン
archivaldo,アルヒヴァルド
iñaki,イニャキ
godoy,ゴドイ
cade,ケイド
cowell,カウエル
romo,ロモ
cristo,クリスト
rejón,レホン
huchin,フーチン
espinoza,エスピノサ
maya,マヤ
lionel,リオネル
messi,メッシ
santillana,サンティリャーナ
panizo,パニーソ
laureano,ラウレアーノ
albiol,アルビオル
flecha,フレチャ
baviera,バイエルン
garbiñe,ガルビネ
muguruza,ムグルサ
dani,ダニ
aznar,アスナール
las,ラス
gorka,ゴルカ
portaña,ポルターニャ
calvo,カルボ
barenboim,バレンボイム
gasset,ガセット
shakira,シャキーラ
picasso,ピカソ
alberti,アルベルティ
joan,ジョアン
miró,ミロー
montserrat,モンセラート
caballé,カバリェ
alkorta,アルコルタ
rins,リンス
cuéllar,クエジャル
josico,ホセ
sergi,セルジ
dalí,ダリ
primo,プリモ
brühl,ブリュール
gris,グリス
iglesias,イグレシアス
itziar,イツィアル
ituño,イトゥーニョ
cortés,コルテス
penélope,ペネロペ
ronaldinho,ロナウジーニョ
sercan,セルジャン
sararer,サラレル
jenaro,ヘナロ
villaamil,ビジャミル
asier,アシエル
illarramendi,イジャラメンディ
martin,マルティン
ezequiel,エセキエル
calvente,カルベンテ
maceda,マセーダ
solana,ソラーナ
lluís,リュイス
companys,クンパニィス
simón,シモン
bolívar,ボリバル
llosa,リョサ
artur,アルトゥール
mas,マス
pánfilo,パンフィロ
narváez,ナルバエス
busto,ブスト
almendros,アルメンドロス
leonor,レオノール
austria,アウストリア
plácido,プラシド
domingo,ドミンゴ
almunia,アルムニア
simonet,シモネ
martí,マルティ
sastre,サストレ
nadal,ナダル
marc,マルク
soraya,ソラヤ
sáenz,サエンス
santamaría,サンタマリア
butragueño,ブトラゲーニョ
botella,ボテージャ
pereiro,ペレイロ
induráin,インドゥライン
aleixandre,アレイクサンドレ
bardem,バルデム
margarita,マルガリータ
teresa,テレサ
jacinto,ハシント
benavente,ベナベンテ
eugenia,エウヘニア
montijo,モンティジョ
contador,コンタドール
antoni,アントニ
tàpies,タピエス
delibes,デリーベス
jean,ジャン
reno,レノ
iniesta,イニエスタ
iker,イケル
chillida,チリーダ
camilo,カミロ
cela,セラ
semprún,センプルン
zapatero,サパテロ
austriaestiria,エスターライヒ
lorca,ロルカ
banderas,バンデラス
josep,ジュゼップ
puig,プッチ
i,イ
cadafalch,カダファルク
capablanca,カパブランカ
loyola,ロヨラ
àlex,アレックス
brendemühl,ブレンデミュール
bacarisse,バカリッセ
ángela,アンヘラ
fede,フェデ
vico,ビコ
berruguete,ベルゲーテ
bayo,バーヨ
carles,カルレス
puyol,プジョル
onetti,オネッティ
julen,フレン
lopetegui,ロペテギ
oriol,オリオル
junqueras,ジュンケラス
freire,フレイレ
carme,カルマ
chacón,チャコン
castillejo,カスティリェホ
catalina,カタリナ
aragón,アラゴン
silva,シルバ
gerard,ジェラール
piqué,ピケ
pinto,ピント
corretja,コレチャ
cesc,セスク
fàbregas,ファブレガス
morientes,モリエンテス
igor,イゴール
astarloa,アスタルロア
cal,カル
lope,ロペ
vega,ベガ
hernando,エルナンド
xavi,シャビ
vasco,バスコ
núñez,ヌニェス
balboa,バルボア
cajal,カハール
erauso,エラウソ
vizcaíno,ビスカイーノ
claret,クラレ
sol,ソル
isabel,イサベル
valois,ヴァロワ
barceló,バルセロ
ayo,アーヨ
aranda,アランダ
javi,ハビ
paredes,パレデス
soberón,ソベロン
marchena,マルチェナ
pep,ペップ
guardiola,グアルディオラ
rafa,ラファエル
benítez,ベニテス
mosquera,モスケラ
remón,レモン
elío,エリオ
morata,モラタ
gea,ヘア
di,ディ
stéfano,ステファノ
guaita,グアイタ
bernat,ベルナト
parejo,パレホ
canales,カナレス
fernandina,フェルナンダ
borbón,ボルボン
bojan,ボージャン
krkić,クルキッチ
joseba,ホセバ
beloki,ベロキ
niño,ニーニョ
josele,ホセレ
anselmo,アンセルモ
arzo,アルソ
guimerá,ギマラー
bodipo,ボディポ
markel,マルケル
susaeta,スサエタ
llaneras,リャネラス
unamuno,ウナムノ
gaudí,ガウディ
tello,テージョ
isaac,イサーク
cuenca,クエンカ
calatrava,カラトラーバ
navas,ナバス
lucio,ルシオ
santi,サンティ
cazorla,カソルラ
tondo,トンド
mikel,ミケル
arteta,アルテタ
aritz,アリツ
aduriz,アドゥリス
pozuelo,ポスエロ
plaza,プラサ
iago,イアゴ
aspas,アスパス
grijalva,グリハルバ
fiz,フィス
pedrell,ペドレル
salva,サルバ
sevilla,セビリア
almodóvar,アルモドバル
caicedo,カイセド
manolo,マノロ
preciado,プレシアード
albéniz,アルベニス
servet,セルヴェ
quique,キケ
acuña,アクーニャ
saviola,サビオラ
insúa,インスア
sorolla,ソローリャ
ibarretxe,イバレチェ
curro,クーロ
juana,フアナ
sajonia,ザクセン
ferran,フェラン
adrià,アドリア
floro,フローロ
ferrero,フェレーロ
barca,バルカ
valero,バレロ
folch,フォルチ
gonzalo,ゴンサロ
edu,エドゥ
movilla,モビージャ
balenziaga,バレンシアガ
jordi,ジョルディ
samaranch,サマランチ
arantxa,アランチャ
vicario,ビカリオ
pizzi,ピッツィ
salom,サロム
sada,サダ
louis,ルイ
blanc,ブラン
sarabia,サラビア
milla,ミジャ
portago,ポルターゴ
alves,アウヴェス
alguersuari,アルグエルスアリ
edwards,エドワーズ
magaly,マガリ
villota,ヴィロタ
gené,ジェネ
llorente,ジョレンテ
goytisolo,ゴイティソーロ
adelardo,アデラルド
escobar,エスコバル
castelucho,カステルッチョ
cierva,シエルバ
ibai,イバイ
guti,グティ
bella,ベジャ
abalo,アバロ
pau,パウ
gasol,ガソル
segovia,セゴビア
raymond,レイモン
domenech,ドメネク
amancio,アマンシオ
cabezón,カベソン
kraus,クラウス
astarloza,アスタルロサ
crespo,クレスポ
asís,アシース
soler,ソレール
domènec,ドメネク
balmanya,バルマーニャ
flandes,フランデス
san,サン
emeterio,エメテリオ
fernándezcavada,フェルナンデス
aleix,アレイクス
vidal,ビダル
váez,バーエス
urdangarin,ウルダンガリン
bosé,ボセ
córdoba,コルドバ
aguilera,アギレラ
gaspar,ガスパール
pereira,ペレイラ
rochina,ロチーナ
cotán,コターン
galdós,ガルドス
ferrer,フェレール
cea,セア
falla,ファリャ
moyá,モヤ
benicio,ベニチオ
verdasco,ベルダスコ
bartolomé,バルトロメ
murillo,ムリーリョ
maclean,マクレアン
espargaró,エスパルガロ
deulofeu,デウロフェウ
alarcón,アラルコン
debón,デボン
paula,パウラ
fran,フラン
jon,ヨン
andoni,アンドニ
goikoetxea,ゴイコエチェア
ocaña,オカーニャ
jesé,ヘセ
lucendo,ルセンド
rosales,ロサレス
grimaldo,グリマルド
rexach,レシャック
quevedo,ケベード
gurpegi,グルペギ
caparrós,カパロス
lopo,ロポ
camarasa,カマラサ
gregorio,グレゴリオ
manzano,マンサーノ
dapena,ダペナ
otero,オテロ
román,ロマン
abril,アブリル
azaña,アサーニャ
bécquer,ベッケル
sabino,サビノ
berthelot,ベルトロ
battenberg,バッテンベルグ
berrendero,ベレンデロ
santamaria,サンタマリア
dalmacio,ダルマシオ
langarica,ランガリカ
elcano,エルカーノ
ferrán,フェラン
corominas,コロミナス
valls,ヴァルス
maroto,マロト
manu,マヌ
tosar,トサール
cuartero,クアルテロ
francesc,フランセスク
arnau,アルナウ
pelegrín,ペレグリ
clavé,クラーベ
riego,リエゴ
amets,アメツ
txurruka,チュルカ
leal,レアル
egoi,エゴイ
lafuente,ラフエンテ
olivé,オリベ
raül,ラウル
colsa,コルサ
llobet,リョベート
maverick,マーベリック
viñales,ビニャーレス
maria,マリア
jujol,ジュジョール
asensi,アセンシ
amorós,アモロス
llull,リュル
prigioni,プリジオーニ
moral,モラル
valverde,バルベルデ
urzaiz,ウルサイス
ambrosio,アンブロジオ
spínola,スピノラ
baltasar,バルタサル
gracián,グラシアン
cristóbal,クリストバル
villegas,ビジェガス
chus,チュス
pereda,ペレーダ
tito,ティト
rabat,ラバト
hierro,イエロ
cardoso,カルドソ
manolete,マノレテ
farnesio,ファルネーゼ
hurtado,ウルタード
riesgo,リエスゴ
rocha,ロチャ
antón,アントン
eguiazábal,エギアサバル
poblet,ポブレット
loroño,ロロニョ
arnaiz,アルナイス
barón,バロン
xabier,シャビエル
azkargorta,アスカルゴルタ
landa,ランダ
patxi,パチ
gabica,ガビカ
espronceda,エスプロンセダ
zurbarán,スルバラン
coma,コマ
miquel,ミケル
robusté,ロブステ
isasi,イサシ
nani,ナニ
roma,ロマ
baroja,バローハ
casals,カザルス
xabi,シャビ
rusiñol,ルシニョール
medem,メデム
george,ジョージ
buenaventura,ブエナヴェントゥラ
durruti,ドゥルティ
pavón,パボン
nido,ニド
miño,ミーニョ
berni,ベルニ
negredo,ネグレド
molowny,モロウニー
villalonga,ビジャロンガ
baena,バエナ
puerta,プエルタ
almagro,アルマグロ
pahiño,パイーニョ
botín,ボティン
espinel,エスピネル
sainz,サインス
palop,パロップ
lennie,レニー
pujol,プジョル
ander,アンデル
iturraspe,イトゥラスペ
servià,セルビア
galarreta,ガラレタ
bruno,ブルーノ
soriano,ソリアーノ
bayona,バヨナ
porta,ポルタ
valentí,バレンティ
massana,マッサナ
duato,ドゥアト
cruchaga,クルチャガ
nando,ナンド
jimmy,ジミー
jump,ジャンプ
red,レッド
tommy,トミー
robredo,ロブレド
haimar,アイマル
zubeldia,スベルディア
condeduque,ガスパール
munitis,ムニティス
padial,パディアル
barberá,バルベラ
canal,カナル
bosque,ボスケ
fabrés,ファブレス
palanca,パランカ
flaño,フラーニョ
poli,イポリト
rincón,リンコン
linares,リナレス
orellana,オレリャーナ
chao,チャオ
royo,ロヨ
báñez,バニェス
chueca,チュエカ
arias,アリアス
molinero,モリネーロ
faustino,ファウスティノ
rupérez,ルペレス
lasa,ラサ
andreu,アンドレウ
fontàs,フォンタス
