陈定,チンサダ
黄鸣,キナ
黄宏,キヒロシ
何勇,ナニイサム
金山,カナヤマ
许晴,モトハレ
秦晖,ハタアキラ
孙震,マゴシン
田亮,タアキラ
绿川英子,ハセガワテル
安替,ヤスカワ
残雪,ザンセツ
崔健,チェケン
康生,ヤスオ
孙锐,マゴスルド
田沅,タハラ
孔泉,アナイズミ
巴森,バーサンジャブ
谭政,タンセイ
姜昆,キョウコン
张迪,チョウススム
刘星,リュウホシ
宋佳,ソウケイ
何金,ナニキン
哈达,ハダ
吉田海伟,ヨシダウミエラ
唐鹏,トウオオトリ
马可,ウマカ
陆俊,リクシュン
陈云,チンクモ
胡杰,エビススグル
胡歌,エビスカ
严浩,イムヒロシ
王伟,オウエラ
苍国来荣吉,アオコクライエイキチ
王檄,オウゲキ
黄宽,キヒロシ
韩雪,カンユキ
劳义,ロウヨシ
马云,ウマクモ
梁相,ヤナショウ
地下浩多,チカヒロシタ
孙祥,マゴサチ
谢晋,シャススム
王蒙,オウコウム
艾达,エイダ
王,ウォン
楼云,ロウクモ
努尔,ヌル
白克力,ベクリ
古力,コチカラ
李敏,リサトシ
凯尔,カイル
安德森,アンダーソン
秦昊,ハタヒロシ
秦岚,ハタアラシ
强卫,ツヨマモル
齐佳,ヒトシケイ
葛然朗巴,プンツォク
平措汪杰,ワンギャル
董斌,タダシアキラ
魏巍,ギタカシ
凌力,リョウリョク
王旭,オウアサヒ
胡军,エビスグン
艾敬,アイタカシ
赛福鼎,セイプディン
艾则孜,エズィズィ
肖钢,アヤカハガネ
阿不来提,アブラテ
阿不都热西提,アブドルシテ
王丹,オウマコト
柴玲,シバレイ
李博,リヒロシ
夏衍,シアーイエン
宋平,ソウタイラ
任航,ニンコウ
白光,ハッコウ
宋楠,ソウクスノキ
乔石,キョウセキ
李勇,リイサム
列确,レーチョク
夏雨,ナツウ
韩鹏,カンホウ
林夕,ハヤシユウ
程潜,ホドセン
王明,オウアキラ
林虎,ハヤシトラ
孙旭,マゴアサヒ
江平,ゴウビラ
林丹,ハヤシマコト
郑龙,テイリュウ
周伟,シュウエラ
贺龙,ガリュウ
朱旭,シュアサヒ
李典,リノリ
黎原,ハジムハラ
陈蕾,チンツボミ
林雪,ハヤシユキ
劳安,ロウヤス
罗京,ラミヤコ
王毅,オウアツシ
刘源,リュウハジメ
张毅,チョウアツシ
王军,オウグン
陈坤,チンヒツジサル
铁瑛,テツアキラ
孙奇,マゴキ
符浩,フヒロシ
古力娜扎,グーリーナーザー
罗干,ラミキ
穆青,キヨシアオ
刘鹤,リュウツル
王晶,オウアキラ
方强,ホウツヨシ
程虹,ホドニジ
刘毅,リュウアツシ
魏亮,ギアキラ
田中,タナカ
柳岩,ヤナギイワ
王林,オウリン
陶铸,スエイ
陈希,チンノゾミ
巫丹,ミコニ
吴楠,ゴクスノキ
熊飞,クマヒ
秦刚,ハタツヨシ
殷茵,インシトネ
车俊,クルマシュン
王平,オウタイラ
龙潜,リュウセン
谷牧,タニマキ
李希,リノゾミ
吕东,リョヒガシ
麦家,ムギカ
王克,オウカツ
苗华,ナエハナ
唐军,トウグン
陈武,チンタケシ
宋健,ソウケン
马原,マバル
王垚,オウタカシ
孙可,マゴカ
许勤,モトツトム
陈垣,チンカキ
连笑,レンエミ
刘刚,リュウツヨシ
石平,イシダイラ
张壮,チョウタケシ
林武,ハヤシタケシ
连岳,レンダケ
韩栋,カントウ
郑弘,テイヒロシ
雷军,カミナリグン
郭达,カクイタル
母其弥雅,ムチミヤ
郁秀,ユウシュウ
郑岩,テイイワ
童瑶,ワラベヨウ
刘奇,リュウキ
齐,チ
宝力高,ボラグ
伍芳,ゴカオル
康辉,カンアキラ
张希,チョウノゾミ
王群,オウグン
陈健,チンケン
杜宪,モリケン
董卿,タダシキョウ
任泉,ニンイズミ
时越,トキコシ
铁流,テツリュウ
陈数,チンスウ
宋洋,ソウヒロシ
梅方,ウメカタ
董浩,タダシヒロシ
当年明月,トウネンメイゲツ
陈钢,チンコウ
姜帆,キョウカイ
许嵩,モトカサ
王宁,オウヤスシ
潘蕾,ハンツボミ
田雄,タユウ
侯斌,ホウアキラ
尚红,ナオベニ
何康,ナニヤスシ
黄明,キアキラ
叶桂,ハカツラ
陈晓,チンアキラ
忍,ニン
胡兵,エビスヘイ
海霞,ウミカスミ
傅明,デンアキラ
小松,コマツ
容庚,ヨウカノエ
陈梦,チンユメ
司徒美堂,ツカサトビドウ
刚强,ツヨシキョウ
刘雷,リュウカミナリ
陈旭,チンアサヒ
刘正,リュウタダシ
刘达,リュウイタル
库尔班,クルバン
吐鲁木,トゥルム
黄轩,キノキ
刘敏,リュウサトシ
江庸,コウイサオ
正珠尔扎布,ジョンジュルジャブ
唐兰,トウラン
周骏,シュウシュン
额尔德尼乌拉,エルデンオール
李红,リクレナイ
李荣,リサカエ
陈豪,チンツヨシ
张平,チョウタイラ
孙力,マゴリョク
王火,オウヒ
雪克来提,ショハラト
扎克尔,ザキル
辛明,カラシアキラ
胡绳,エビスナワ
孔健,アナケン
丁冰,チョウコオリ
吴青,ゴアオ
牛牛,ウシウシ
王辉,オウアキラ
李康,リヤスシ
王汀,オウナギサ
王雷,オウカミナリ
王敏,オウサトシ
木子,キゴ
尹弘,インヒロシ
丁晟,チョウアキラ
高升,コウマス
王霜,オウシモ
陈雷,チンカミナリ
刘汉,リュウカン
张工,チョウコウ
王迪,オウススム
高福,タカヨシ
陈薇,チンゼンマイ
丁霞,チョウカスミ
丁毅,チョウアツシ
李昂,リノボル
方博,ホウヒロシ
谢毅,シャアツシ
李恒,リヒサシ
张卫,チョウマモル
李纯,リジュン
果敢,カカン
周庭,シュウニワ
尹力,インツトム
郭锋,カクホコサキ
尹正,インタダシ
庄毅,ソウアツシ
张俊,チョウシュン
张律,チョウタダシ
谭强,タンキョウ
陈冬,チンフユ
王源,オウハジメ
张昭,チョウアキラ
王琏,オウレン
高林,タカバヤシ
鞠枫,マリカエデ
贺飞,ガヒ
王浩,オウヒロシ
刘宁,リュウヤスシ
韩俊,カンシュン
柳青,ヤナギアオ
丁浩,チョウヒロシ
黄强,オウキョウ
程潇,ソンソ
辰乐,チョンロ
颜宁,カオヤスシ
何平,ナニタイラ
殷勇,インイサム
张本智和,チョウホントモカズ
谢科,シャカ
高星,コウホシ
商传,ショウデン
马宁,ウマヤスシ
宿白,ヤドシロ
张霸,チョウハ
天兵,オウアキラ
吐尼亚孜,トゥニヤズ
李现,リゲン
周深,シュウフカシ
张凌,チョウリョウ
王昶,オウアキラ
白鹿,シロシカ
王俊,オウシュン
林墨,ハヤシスミ
锟,クン
瓦里汗,ワリハン
赛里克,セリク
仁俊,ロンジュン
黄尧,キタカシ
靳如超爆炸案,イシカソウバクハツジケン
田伟,タエラ
王坚,オウケン
米日古丽,メヒルグル
图尔荪,トゥルスン
肖战,アヤカセン
塔西甫拉提,タシポラット
特依拜,ティップ
墨香铜臭,ボクカオリドウシュウ
董军,タダシグン
王辰,オウタツ
徐逸,ジョイツ
肖俊,シャオジュン
闫桉,イェナン
王立强事件,オウリツキョウジケン
龙洋,リュウヨウ
传林坊赖庆,デンリンボウヨリユキケイ
贾帕尔,ジャパル
阿比布拉,ハビブラ
韩雨,カンウ
柳帆,ヤナギカイ
矢板明夫,ヤイタアキオ
肖央,アヤカヒサシ
刘畅,リュウトオル
赵龙,チョウリュウ
迪妮格尔,ジニゲル
衣拉木江,イラムジャン
张展,チョウテン
乌日古木拉,ウルガマル
江成,エナリ
张陆,チョウリク
毛宁,モウヤスシ
刘伟,リュウエラ
程星,ホドホシ
马藜,ウマアカザ
林剑,ハヤシケン
史蒂文,スティーブン
何,ヒー
黄,キ
李,リー
张,チョウ
海鹏,ウミオオトリ
晓霞,アカツキカスミ
北星,ホクセイ
梁,イザベラ
洛施,リョン
利伟,リエラ
余,ヨ
文乐,ブンラク
赵,チョウ
季平,キタイラ
朱,シュ
白,シロ
岩松,イワマツ
乐际,ラクサイ
乐平,ヨシヒラ
周,シュウ
市明,シアキラ
文重,ブンオモ
毛,モウ
泽东,タクトウ
胡,エビス
于,ウェンシア
文霞,ユー
熊,クマ
朝忠,チョウチュウ
正声,セイコエ
紫阳,ムラサキヨウ
春秀,ハルシュウ
海滨,カイヒン
吉龙,ヨシリュウ
继科,ツギカ
许,モト
曾,ソ
荫权,カゲケン
振英,フエイ
董,タダシ
建华,ケンカ
朴方,シラキカタ
庆伟,ケイエラ
成虎,ナルトラ
永康,エイヤスシ
小丹,ショウニ
谢,シャ
杏芳,アンズカオル
陈,チン
永贵,エイタカ
曲,キョク
云霞,ウンカ
刘,リュウ
近平,チカラ
潘,ハン
玉良,タマリョウ
宇昆,リュウ
韩,ハン
素音,スーイン
连杰,リー
江,コウ
文秀,フミヒデ
徐,ジョ
勤先,ツトムサキ
庄,ソウ
则栋,ノリトウ
林,ハヤシ
凯歌,カイコー
鞍华,ホイ
顶顶,イタダキイタダキ
罗,ラ
温,ヌル
家宝,カホウ
富治,トミハル
艾,モグサ
未未,ミヒツジ
秀全,シュウゼン
立昌,タツアキラ
德华,ラウ
郭,アーロン
本山,モトヤマ
治中,チチュウ
卫东,マモルヒガシ
远新,トオシン
苏,ソ
克森,ジ
宗,ソウ
庆后,ケイゴ
小平,コダイラ
少奇,ショウキ
宋,ソウ
庆龄,ケイヨワイ
郑,テイ
哲敏,アキラサトシ
宏博,ヒロシハク
克志,カツシ
友凤,トモオオトリ
树理,キリ
叶,ハ
诗文,シブン
志红,ココロザシベニ
军霞,グンカスミ
振宁,フヤスシ
章,アキラ
尊岳,ミコトタケ
芸蕾,ゲイツボミ
赛赛,サイサイ
吴,ゴ
敏霞,サトシカスミ
伏,フク
明霞,メイカ
子歌,コカ
建滨,タテハマ
孙,マゴ
金杰,キムスグル
恩来,オンライ
克强,カツキョウ
岐山,キザン
润发,ユンファ
沁谣,ュンジュン
柏芝,チャン
智超,サトシチョウ
文意,ブンイ
晶晶,アキラアキラ
任,ニン
灿灿,サンサン
高,コウ
行健,クダリケン
镕基,ヨウキ
庆红,ケイベニ
志刚,ココロザシツヨシ
春兰,シュンラン
唐,タン
季礼,トン
司,ツカサ
徒华,トハナ
英杰,エイケツ
光美,テルミ
乐,ラク
靖宜,ヤスシムベ
贺,ガ
子珍,コチン
福明,フクアキラ
泽厚,サワアツシ
文媛,ブンヒメ
力雄,リキオ
源潮,ミナモトウシオ
颜,カオ
惠庆,メグミケイ
鸿钧,オオトリヒトシ
金,ピーター
培达,カム
宗南,ソウミナミ
薄,ススキ
宗仁,ソウヒトシ
嘉诚,ヨシミマコト
英年,エイネン
爱玲,アイレイ
高丽,コウウララ
岭东,ラム
春桥,ハルキョウ
德江,トクエ
树勋,キクン
嘉欣,ラム
馨平,ウォン
小波,サザナミ
尹,イン
常,ツネ
万全,バンゼン
静蕾,セイツボミ
仲勋,ナカイサオ
光诚,ヒカリマコト
达华,イタルハナ
美诗,チャン
小春,コハル
富玉,トミダマ
官正,カンタダシ
震业,シンギョウ
可信,カシン
华,ハナ
国锋,クニホコサキ
甄,ドニー
子丹,イェン
大文,ダイブン
先念,センネン
洪,サモ
金宝,ハン
祖德,ソトク
敬轩,ケイノキ
华健,ハナケン
致恒,チョン
焦,アセ
杜,モリ
惠宁,メグミヤスシ
崇智,タカシサトシ
嘉威,カーウェイ
康,カン
克清,カツキヨシ
左己,ヒダリオノレ
晓波,アカツキハ
康敏,リ
伯达,ハクタチ
匡迪,タダシススム
国荣,チャン
志军,ココロザシグン
锡联,スズレン
正虎,セイトラ
古,フル
广明,ヒロアキ
本,ホン
永胜,エイマサル
文谦,ブンケン
小帅,ショウソチ
国华,コッカ
星汉,ホシカン
马,ウマ
化腾,カアガ
健燊,キンサン
靓颖,チャン
艺谋,ゲイハカリゴト
平平,ヒラタイラ
方卓,ホウタク
朝伟,アサエラ
魏,ギ
京生,キョウセイ
安顺,アンジュン
贵鲜,キセン
呈栋,テイトウ
青林,アオリン
雪心,ツェー
福剑,フクケン
玉华,タマハナ
坦,ム
释,シルシ
印顺,ジュン
白羽,シラハ
步青,フアオ
安,ヤス
省身,ショウミ
家瑞,イエミズ
姚,アンドリュー
期智,チーチー
景林,ケイリン
永志,エイココロザシ
梦家,ユメカ
游,ヤウ
姜,キョウ
异康,イヤスシ
思惠,ラウ
嘉上,チャン
卓立,ホン
建超,ケンチョウ
赖,ヨリユキ
昌星,アキラボシ
纪恒,キノヒサシ
鸿忠,オオトリタダシ
吕,リョ
建刚,タテツヨシ
成远,ナトオ
岭峰,ミネホウ
端,ハジ
木杰,キスグル
长龙,チョウリュウ
楼,ロウ
继伟,ツナガエラ
连科,レンカ
易,エキ
建联,タテレン
仇,ロビン
云波,ショウ
沫若,アワワカ
永信,エイシン
龙,リュウ
清泉,キヨイズミ
卫健,チョン
立军,タツグン
谭,パトリック
耀文,タム
英林,エイリン
希怡,チェン
子楣,イップ
季,キ
羡林,トモハヤシ
丽珍,リー
震林,シンリン
霏霏,フェイフェイ
黛林,ホン
政才,セイサイ
中流,チュウリュウ
玉章,タマズサ
荷斌,タン
洪志,ヒロシココロザシ
卓翔,タクショウ
钱,セン
学森,ガクモリ
小鹏,ショウオオトリ
卫方,マモルカタ
云丽,クモウララ
犀,ホド
利哥,コクエイ
雨恩,リョン
汤,ユ
加丽,カウララ
戈亮,ホコアキラ
振盛,フモリ
学勤,ガクツトム
铁映,テツエイ
作鹏,サクオオトリ
国雄,クニオ
正非,セイヒ
费,ヒ
俊龙,シュンリュウ
咏麟,タム
寅恪,トラツトム
则仕,チェン
亚男,アオトコ
铁泉,ティエカン
伟强,ラウ
景润,ケイジュン
白石,シライシ
志毅,ココロザシアツシ
秦,ハタ
仁昌,ヒトアキ
丽红,ウララベニ
光荣,コウエイ
柴,シバ
松岳,マツタケシ
万钧,ヨロズヒトシ
谷,タニ
超豪,チョウゴウ
志新,ココロザシシン
可辛,カカラシ
长卫,チョウマモル
莫,カレン
文蔚,モク
春贤,ハルケン
小璐,シャオルー
乐泉,ラクイズミ
浩康,ン
建功,タテイサオ
关,チャールズ
兆昌,クワン
书鸿,ショオオトリ
应,チャールズ
昌佑,イン
正祥,セイサチ
歌辛,ウタカラシ
冠希,カンムリノゾミ
倪,ウォッチマン
柝声,ニー
玉刚,タマツヨシ
小刚,ショウツヨシ
乌,ウ
兰夫,ランフ
尚昆,ナオコン
惠昌,メグミアキラ
海东,ウミヒガシ
庆林,ケイリン
霆锋,ツェー
越红,コシクレナイ
德铭,トクメイ
联松,レンマツ
卫,マモル
用林,ヨウリン
中伟,チュウエラ
志永,ココロザシヒサシ
得志,トクココロザシ
观泰,カンタイ
程,ホド
天放,テンホウ
少功,ショウコウ
秋生,ウォン
乔,タカシ
冠华,カンムリハナ
德怀,トクフトコロ
保铭,ホメイ
祖英,ソエイ
德平,トクヘイ
胜利,ショウリ
乔木,タカギ
伊健,チェン
克诚,カツマコト
东妹,ヒガシイモウト
玉芹,タマセリ
少皇,ショウスメラギ
抗抗,コウコウ
成,シゲル
岚清,アラシキヨシ
占山,ウラナイヤマ
健星,ケンボシ
栗,クリ
战书,センショ
傅,デン
作义,サクヨシ
桃芳,モモカオル
亚鹏,アオオトリ
道明,ミチアキ
杨,チャーリー
采妮,ヤン
小慧,ラウ
书福,ショフク
子祥,ラム
敏德,ウォン
振中,フナカ
建清,タテキヨシ
文骏,ブンシュン
玉郎,タマロウ
洛,アロイージオ
国富,ドス
汪,ヒロシ
佳捷,ヨトシ
迟,オソ
尚斌,ナオアキラ
燊超,シンチョウ
万春,マンハル
小豪,シュウホウ
采芹,チン
元庆,モトケイ
鲍,アワビ
春来,ハルキ
喜顺,キジュン
子珊,ツイ
德森,チャン
欣欣,ヤンヤン
启华,ウン
饶,ニョウ
慧康,トシヤスシ
崔,チェ
明荃,ウォン
盛,モリ
宗亮,ソウアキラ
丽媛,ウララヒメ
文道,ブンドウ
小双,ショウソウ
文革,ブンカク
正英,チェンイン
建时,タテトキ
方,ホウ
力申,チカラサル
丰,ユタカ
万,バン
容,ヨウ
国正,クニマサ
国强,クニキョウ
鸿燊,ホー
隋,ズイ
段,ダン
君毅,キミアツシ
雪辰,ユキタツ
相龙,アイリュウ
邓,ウェンディ
文迪,デン
钟,チェリー
楚红,チェン
大为,ダイタメ
晓天,アカツキテン
汝章,ナンジアキラ
首晟,クビアキラ
云飞,クモヒ
雪红,ユキベニ
云樵,クモキコリ
文华,ブンハナ
雪梅,ユキウメ
冯,フィオナ
曦妤,フォン
祖儿,ソジ
符,フ
廷贵,ノベトウト
阳,ヒ
心妍,クァン
荣华,エイガ
智宏,トモヒロ
孔,アナ
庆东,ケイヒガシ
镇涛,ビー
家英,カーイン
永锵,タン
东亚,トウア
仁亮,ヒトシアキラ
清明,セイメイ
兆伦,ワン
智丽,ヤマチレ
逸夫,イツオ
爱瑾,ヨン
志伟,ココロザシエラ
纪,ジャ
丹迪,ジャ
明明,アキラアキラ
鹤洋,ツルヒロシ
丽丽,ウララウララ
之江,コレコウ
诸,ショ
庆梅,ケイウメ
玉香,タマコウ
庆华,ケイハナ
学升,ガクマス
义和,ヨシカズ
令辉,レイキ
中天,チュウテン
史,フミ
铁生,テツオ
根宝,ネタカラ
丁,チョウ
光训,ヒカリクン
靖,ヤスシ
志远,ココロザシトオ
大同,ダイドウ
远平,トオタイラ
永平,エイタイラ
镇伟,ラウ
伯华,ハクハナ
容慧,ヨウトシ
双江,ソウコウ
柏年,カシワミノル
超仪,ホー
侯,ホウ
凤连,オオトリレン
晓旭,アカツキアサヒ
洪文,ヒロシブン
德昭,コク
伍,ゴ
家朗,イエロウ
洛能,ラクノウ
若琳,コン
帖,ジョウ
虚云,クモ
延东,ノベヒガシ
开来,ヒラキライ
严,イム
牛,ウシ
剑锋,ケンホコサキ
杏儿,ウー
明珠,アキラタマ
法融,ホウトオル
希愈,マレイヨイヨ
南,ミナミ
立教,リッキョウ
子溢,ロー
耀汉,ン
子雄,チーホン
歌慧,ウォン
文静,ブンセイ
雪霏,ヤン
咏诗,エイシ
天华,ツェー
岸青,キシアオ
晓东,アカツキヒガシ
雯雯,ウェンウェン
夏,ナツ
宝龙,タカラリュウ
颖妍,チャン
国生,コクショウ
淑芳,ヨシヨシ
房,ボウ
峰辉,ミネアキラ
俊彦,トシヒコ
大宝,タイホウ
袁,ユエン
和平,ウーピン
秀岩,シュウイワ
翊云,リー
光烈,ヒカリレツ
恩庭,オンニワ
祖善,ソゼン
文俊,フミトシ
纯清,ジュンキヨシ
立波,タツナミ
舜筠,モウ
汉良,カンリョウ
法宪,ホウケン
晓岩,アカツキイワ
屠,ホフ
元梓,モトアズサ
艳梅,ツヤウメ
景,ケイ
力钧,チカラヒトシ
红冰,ベニコオリ
回,カイ
良玉,リョウダマ
学谦,ガクケン
铁山,テツザン
肇星,ハジメボシ
卫平,マモルタイラ
晓春,アカツキハル
鹿,シカ
心社,ココロシャ
金荣,キムサカエ
敬之,タカユキ
园慧,エントシ
外庐,ソトイオリ
冠吾,カンムリワレ
基儿,ライ
崇博,タカヒロ
励淇,チョウ
功红,コウベニ
邬,ヴィヴィアン
君梅,ウー
尔,イー
冬升,トンシン
立红,タツベニ
祥福,サチフク
小凤,チョイ
保中,ホチュウ
敏尔,サトシナンジ
苗,ナエ
希德,マレトク
葛,カズラ
洪升,ヒロシマス
晓松,アカツキマツ
欣潼,チョン
世才,セサイ
羽佳,ワン
劳,ロウ
丽诗,ウララシ
日君,ニチキミ
智晟,サトシアキラ
荣光,エイコウ
秀丽,シュウレイ
冠英,ホイ
孝通,タカミチ
志峰,ココロザシホウ
小威,ショウイ
晓锋,アカツキホコサキ
英华,エイカ
谨伦,ルエン
阿玉,アダマ
灵益,レイエキ
静初,セイハツ
海峰,ミホ
海胜,ウミショウ
穆,キヨシ
铁柱,テッチュウ
浩田,ヒロシタ
家栋,イエトウ
田,タ
纪云,キノクモ
舒漫,チョン
慧敏,チョウ
东明,トウメイ
黎,ハジム
海荣,ウミサカエ
彭,パン
浩翔,ホーチョン
麦,アラン
兆辉,マック
达志,シュッツ
小环,タム
品梅,シナウメ
剑英,ケンエイ
时轮,トキワ
令,リョウ
计划,ケイカク
生贤,ナマケン
晓刚,アカツキツヨシ
露露,ワン
小,ショウ
滕,ジョイス
丽名,タン
克明,コクメイ
观澄,カンキヨシ
戴,ダイ
思杰,シージエ
石曾,イシソ
津浩,ツヒロシ
岸英,キシスグル
晓飞,アカツキヒ
永清,エイキヨシ
井,イ
柏然,カシワシカ
永华,エイハナ
胤良,イー
先楚,センスワエ
德伦,フォン
全有,チョンユウ
昊辰,ハオチェン
经武,ケイブ
肇,ハジメ
俊哲,シュンアキラ
博文,ヒロブミ
云龙,クモリュウ
楚,スワエ
金玲,キムレイ
晓鹏,アカツキオオトリ
宝库,ホウコ
柳,ヤナギ
传志,ツトウココロザシ
锡进,スズススム
剑卿,ケンキョウ
贝宁,カイヤスシ
泽田,サワダ
金莲,キムレン
勤勤,ツトムツトム
长春,チョウシュン
留成,トメナル
汉超,カンチョウ
朝旭,アサアサヒ
守盛,マモリサカリ
绍雄,シウホン
贵仁,タカヒト
滨兴,ハマキョウ
成武,ナルブ
刁,ディアオ
亦男,イーナン
翠华,ミドリハナ
亚洲,アシュウ
建红,タテクレナイ
国标,クニシルベ
童,ワラベ
世平,ヨタイラ
席,セキ
振峰,フミネ
苗龙,ナエリュウ
喜斌,キアキラ
克石,カツセキ
仁泰,ユー
哲琴,ダワ
璨琛,リー
雅伦,チャン
冬鹏,フユオオトリ
名照,メイアキラ
学忠,ガクタダシ
泽林,サワリン
蔡,マシュー
明绍,チャドウィック
骏凌,シュンリョウ
子君,コクン
云逸,クモイッ
辛,カラシ
俊仁,シュンヒトシ
朝平,アサタイラ
汉谋,カンハカリゴト
良才,リョウサイ
岳,タケ
开先,ヒラキサキ
学昌,ガクアキラ
良礼,リョウレイ
永昌,エイショウ
燕卿,ツバメキョウ
选平,センタイラ
梅,ウメ
兰芳,ランカオル
天明,テンメイ
小东,シウトン
壮壮,タケシタケシ
天乐,クー
恩富,オントミ
琢言,ミガクゲン
开甲,ヒラキカブト
家辉,チャーフィー
超声,チョウコエ
卡,カ
楚米,ツニ
伟信,イップ
祖康,ソヤスシ
文文,ブンブン
冠杰,ホイ
光祖,ヒカリソ
来燕,ライツバメ
凤莲,オオトリレン
宪明,ノリアキ
锡龙,スズリュウ
尤,ユウ
勇智,イサム
冬雨,フユウ
德仁,トクヒトシ
柏豪,パッホウ
约翰,サイズ
日言,ン
子聪,コサト
靖超,ヤスシチョウ
立群,タツグン
铸久,イヒサ
绿,グ
坝娘,リーンダムタン
之谦,コレケン
忠云,チュウクモ
祖琳,コク
翁,オウ
兰成,ランシゲル
婉婷,チャン
承志,ウケタマワココロザシ
云山,クモヤマ
绿汀,ミドリナギサ
国梁,クニヤナ
伯明,ハクアキラ
友兰,トモラン
隆平,リュウヘイ
国清,クニキヨ
惠,メグミ
尉,ジョウ
小洋,ショウヨウ
瑞恩,ライ
威威,イイ
力生,チカラセイ
鹏芳,オオトリカオル
丽虹,コウ
陆,ジン
思敬,ルージ
云迪,リ
沙,イサゴ
孟,タケシ
学农,ガクノウ
日华,ウォン
菊英,クァン
香,コウ
苏红,ソクレナイ
英东,エイヒガシ
文,ジャニス
咏珊,マン
方舟,ハコブネ
孔坚,アナケン
厘王,オウ
