セッシュウ,셋슈,sesshuu,sessyu
フエキユウコ,유민,fuekiyuuko,yumin
ヘンジョウ,헨조,henjou,henjo
ナツホ,카호,natsuho,kaho
カリナ,카리나,karina,karina
ベッキー,벡키,bekkī,begki
カキフライ,카키후라이,kakifurai,kakihurai
スティーヴ,스티브,sutīvu,seutibeu
アオキ,아오키,aoki,aoki
ミヤギリョータ,송태섭,miyagiryōta,songtaeseob
ミヤワキサキリョウ,사쿠라,miyawakisakiryou,sakura
トクヒメ,도쿠히메,tokuhime,dokuhime
ハツネ,하츠네,hatsune,haceune
ナカツカサ,나카쓰카사,nakatsukasa,nakasseukasa
シャエイコ,사에코,shaeiko,saeko
マシ,마시,mashi,masi
オカ,오카,oka,oka
リョウ,료,ryou,ryo
ヤマトタケル,야마토타케루,yamatotakeru,yamatotakeru
タチハラマサアキ,김윤규,tachiharamasaaki,gimyungyu
サイゴウキョク,사이고노쓰보네,saigoukyoku,saigonosseubone
ケンニョ,겐뇨,kennyo,gennyo
ニチレン,니치렌,nichiren,niciren
キンタロウ,긴타로,kintarou,gintaro
レイシャ,레이샤,reisha,reisya
ヘイリー,헤일리,heirī,heilri
ヤナギナギ,야나기나기,yanaginagi,yanaginagi
ハーフナー,마이크,hāfunā,maikeu
マイク,하프나,maiku,hapeuna
チンシュンシン,진순신,chinshunshin,jinsunsin
アンズ,안,anzu,an
オカダ,오카다,okada,okada
カズチカ,가즈치카,kazuchika,gajeucika
ドウゲン,도겐,dougen,dogen
リン,링,rin,ring
ミンメイ,밍메이,minmei,mingmei
オオモトアヤノ,놋치,oomotoayano,nosci
キヨハル,기요하루,kiyoharu,giyoharu
エンチン,엔친,enchin,encin
リオオ,리타,rioo,rita
ディド,하프나,dido,hapeuna
リュウ,류,ryuu,ryu
アブツニ,아부쓰니,abutsuni,abusseuni
エルサムニー,엘샘니,erusamunī,elsaemni
オサマ,오사마,osama,osama
ビメイ,미나,bimei,mina
ミナミ,미나미,minami,minami
カネコミヒロ,미히로,kanekomihiro,mihiro
ノハラヒマワリ,신짱아,noharahimawari,sinjjanga
ツヨシタブ,만퉁퉁,tsuyoshitabu,mantungtung
ギョウキ,교기,gyouki,gyogi
タマモマエ,다마모노마에,tamamomae,damamonomae
ユースケ,유스케,yūsuke,yuseuke
サンタマリア,산타마리아,santamaria,santamaria
ジャクレン,자쿠렌,jakuren,jakuren
ユカナ,유카나,yukana,yukana
テンカイ,덴카이,tenkai,denkai
カネナリアセ,김성간,kanenariase,gimseonggan
アヤサイ,아야나,ayasai,ayana
ナオタイオウ,쇼타이왕,naotaiou,syotaiwang
コマツヒメ,코마츠히메,komatsuhime,komaceuhime
モンキー,몽키,monkī,mongki
パンチ,펀치,panchi,peonci
ソセイ,소세이,sosei,sosei
チョー,조,chō,jo
ゴウオニ,아쿠마,gouoni,akuma
メグミケイ,에교,megumikei,egyo
トーゴ,이가와,tōgo,igawa
イガワ,토고,igawa,togo
クジラ,쿠지라,kujira,kujira
ドラエモン,도라에몽,doraemon,doraemong
ホネガワスネオット,왕비실,honegawasuneotto,wangbisil
ヤス,야스,yasu,yaseu
デンツウ,덴쓰,dentsuu,densseu
スタニスラフ,스타니슬라프,sutanisurafu,seutaniseulrapeu
ブーニン,부닌,būnin,bunin
サイトウ,사이토,saitou,saito
タカヲ,타카오,takawo,takao
ローラ,로라,rōra,rora
チャフウリン,챠후린,chafuurin,cyahurin
ドモンケン,도몬켄,domonken,domonken
ウコン,우콘,ukon,ukon
アンリ,안리,anri,anri
サカザキ,사카자키,sakazaki,sakajaki
ノグチピント,노구치핀토,noguchipinto,nogucipinto
エリキソン,에릭손,erikison,erigson
サガミ,사가미,sagami,sagami
スンエ,슌에,sune,syune
シミケン,시미켄,shimiken,simiken
クダリミコト,교손,kudarimikoto,gyoson
ラース,라시,rāsu,rasi
ビハーリー,비하리,bihārī,bihari
ボース,보스,bōsu,boseu
ハル,할,haru,hal
ヤマノウチ,야마노우치,yamanouchi,yamanouci
ケイコ,게이코,keiko,geiko
リー,리,rī,ri
ノミコ,노미코,nomiko,nomiko
ヒロ,히로,hiro,hiro
カナガワ,가나가와,kanagawa,ganagawa
アラマリ,아라마리,aramari,aramari
ジュンコイ,스미레,junkoi,seumire
ソンイ,쑨웨이,soni,ssunwei
ツキヤマドノ,쓰키야마도노,tsukiyamadono,sseukiyamadono
カメヒメ,가메히메,kamehime,gamehime
ボビー,보비,bobī,bobi
オロゴン,올로건,orogon,olrogeon
キムタダシフチ,김정연,kimutadashifuchi,gimjeongyeon
インハジメキョウ,윤기협,inhajimekyou,yungihyeob
チョウユウウエ,장우식,chouyuuue,jangusig
ゴリ,고리,gori,gori
メグリ,메구리,meguri,meguri
プヨ,뿌요,puyo,bbuyo
リュウダイスケ,장명남,ryuudaisuke,jangmyeongnam
オオヤケアカツキ,구교,ooyakeakatsuki,gugyo
ハウバート,하버트,haubāto,habeoteu
ダン,단,dan,dan
ザ,더,za,deo
ニンジャ,닌자,ninja,ninja
カチヤ,카츠야,kachiya,kaceuya
エイイサオ,에이토쿠,eiisao,eitoku
ヒビリアマ,닛슈니,hibiriama,nissyuni
レイミ,레이미,reimi,reimi
タカハシジュリ,쥬리,takahashijuri,jyuri
レイ,레이,rei,rei
ハラカミ,하라카미,harakami,harakami
ダイアズカ,도요,daiazuka,doyo
リョウカン,료칸,ryoukan,ryokan
ジョン,존,jon,jon
カビラ,카비라,kabira,kabira
リリアン,리리안,ririan,ririan
オトセ,오토세,otose,otose
ニーコ,니코,nīko,niko
ナチュ,나츄,nachu,nacyu
ナツコ,나츠코,natsuko,naceuko
リリー,릴리,rirī,rilri
フランキー,프랭키,furankī,peuraengki
フォンチー,폰치,fonchī,ponci
マルセタロウ,김균홍,marusetarou,gimgyunhong
オオキアキコ,아키코,ookiakiko,akiko
キムヒデトシ,김수준,kimuhidetoshi,gimsujun
イチヒメ,이치히메,ichihime,icihime
ツルヒメ,쓰루히메,tsuruhime,sseuruhime
マト,마토,mato,mato
ミッキー,미키,mikkī,miki
カーチス,커티스,kāchisu,keotiseu
ヤナガワジロウ,양원석,yanagawajirou,yangweonseog
ロメロ,로메로,romero,romero
フランク,프랑크,furanku,peurangkeu
シホ,시호,shiho,siho
マギー,마기,magī,magi
ユキヲ,유키오,yukiwo,yukio
ウィリアム,윌리엄,wiriamu,wilrieom
メレル,메렐,mereru,merel
ヴォーリズ,보리스,vuォーrizu,boriseu
キムブンガク,김문학,kimubungaku,gimmunhag
コウウララワカヒカリ,고약광,kouurarawakahikari,goyaggwang
ハナエ,하나에,hanae,hanae
ナモリ,나모리,namori,namori
カンフトシシュン,한태순,kanfutoshishun,hantaesun
カエデ,카에데,kaede,kaede
トキダアイリ,톳키,tokidaairi,toski
デンデン,덴덴,denden,denden
エナコ,에나코,enako,enako
ミナト,미나토,minato,minato
ナガハラシゲキ,장성희,nagaharashigeki,jangseonghyi
マエダクン,마에다군,maedakun,maedagun
ド,드랭크생,do,deuraengkeusaeng
ランクザンモチ,노조미,rankuzanmochi,nojomi
マイコ,마이코,maiko,maiko
ビモト,미온,bimoto,mion
ノン,논,non,non
ジョキョウショク,서경식,jokyoushoku,seogyeongsig
ジン,진,jin,jin
ティンクル,팅클,tinkuru,tingkeul
サトヤス,사도야스,satoyasu,sadoyaseu
リカ,린카,rika,rinka
ニッキ,하프나,nikki,hapeuna
アサキ,아사키,asaki,asaki
オバタミノル,강영철,obataminoru,gangyeongceol
コウセイ,고쇼,kousei,gosyo
リョウカ,료카,ryouka,ryoka
キムクミコ,김구미자,kimukumiko,gimgumija
ミヤギヒロアキ,김홍명,miyagihiroaki,gimhongmyeong
アッチョリケ,앗초리케,atchorike,ascorike
アゴバリア,아고바리아,agobaria,agobaria
アイカ,아이카,aika,aika
アイコロモ,아이,aikoromo,ai
エレット,에렛토,eretto,eresto
ショウ,쇼,shou,syo
ザマ,자마,zama,jama
ヤスヒツハナ,안필화,yasuhitsuhana,anpilhwa
ニシヤマ,니시야마,nishiyama,nisiyama
ソウキチ,소키치,soukichi,sokici
オウスズメマゴ,오쟈쿠손,ousuzumemago,ojyakuson
オミ,오미,omi,omi
クスクス,쿠스쿠스,kusukusu,kuseukuseu
トクヤマブンムネ,홍문종,tokuyamabunmune,hongmunjong
イルカ,이루카,iruka,iruka
コブイチ,코부이치,kobuichi,kobuici
クロード,클로드,kurōdo,keulrodeu
チアリ,치아리,chiari,ciari
カニビーム,카니빔,kanibīmu,kanibim
ミッツ,미츠,mittsu,miceu
マングローブ,맹그로브,mangurōbu,maenggeurobeu
マルシア,마르시아,marushia,mareusia
ポープ,포프,pōpu,popeu
ロクデナシコ,로쿠데나시코,rokudenashiko,rokudenasiko
サンカクヘッド,산카쿠헤드,sankakuheddo,sankakuhedeu
マジカル,매지컬,majikaru,maejikeol
パワー,파워,pawā,paweo
マコ,마코,mako,mako
ヒナツエイタロウ,허영,hinatsueitarou,heoyeong
ヒロジ,고지,hiroji,goji
カツシカ,가쓰시카,katsushika,gasseusika
ホクサイ,호쿠사이,hokusai,hokusai
オダ,오다,oda,oda
キシモト,키시모토,kishimoto,kisimoto
ナガサワ,나가사와,nagasawa,nagasawa
トオル,데쓰,tooru,desseu
スキガラ,스키가라,sukigara,seukigara
マサヒロ,마사히로,masahiro,masahiro
ユウジ,유지,yuuji,yuji
クリハラ,쿠리하라,kurihara,kurihara
ルイ,루이,rui,rui
ジョウコウ,상황후,joukou,sanghwanghu
キサキミチコ,미치코,kisakimichiko,miciko
ワカギ,와카키,wakagi,wakaki
タミキ,타미키,tamiki,tamiki
マツサカ,마쓰자카,matsusaka,masseujaka
ダイスケ,다이스케,daisuke,daiseuke
タケヨシ,부키치,takeyoshi,bukici
ワオコシ,가즈키,waokoshi,gajeuki
ダテ,다테,date,date
チュウムネ,다다무네,chuumune,dadamune
フチタ,후치다,fuchita,hucida
ミツオ,미쓰오,mitsuo,misseuo
リュウノスケ,류노스케,ryuunosuke,ryunoseuke
カツラフトシ,가쓰라,katsurafutoshi,gasseura
ロウ,다로,rou,daro
スギハラ,스기하라,sugihara,seugihara
アンノ,안노,anno,anno
ヒデアキ,히데아키,hideaki,hideaki
タイショウ,다이쇼,taishou,daisyo
テンノウ,천황,tennou,ceonhwang
コトブキヨシ,코토부키,kotobukiyoshi,kotobuki
サイコ,미나코,saiko,minako
ウロフチ,우로부치,urofuchi,urobuci
ゲン,겐,gen,gen
シンボウ,신보,shinbou,sinbo
アキユキ,아키유키,akiyuki,akiyuki
ホリエ,호리에,horie,horie
ユイ,유이,yui,yui
カネモト,카네모토,kanemoto,kanemoto
ヒサコ,히사코,hisako,hisako
アベ,아베,abe,abe
コウボウ,코보,koubou,kobo
タナカ,다나카,tanaka,danaka
ノヨリ,노요리,noyori,noyori
ヨシハル,료지,yoshiharu,ryoji
コウノ,고노,kouno,gono
ヨウヘイ,요헤이,youhei,yohei
マツオ,마쓰오,matsuo,masseuo
バショウ,바쇼,bashou,basyo
カンタダシ,간,kantadashi,gan
ヨシダ,요시다,yoshida,yosida
ヤガミ,야가미,yagami,yagami
クミ,쿠미,kumi,kumi
オモネキヨシ,아스미,omonekiyoshi,aseumi
カナ,카나,kana,kana
オリカサ,오리카사,orikasa,orikasa
トミコ,후미코,tomiko,humiko
クギミヤ,쿠기미야,kugimiya,kugimiya
リエ,리에,rie,rie
ハナザワ,하나자와,hanazawa,hanajawa
ミユキ,미유키,miyuki,miyuki
カワセ,카와세,kawase,kawase
アキコ,아키코,akiko,akiko
ヒダリミユキ,히다리,hidarimiyuki,hidari
コ,사치코,ko,saciko
ノザワ,노자와,nozawa,nojawa
ヨウスケ,요스케,yousuke,yoseuke
エイジ,에이지,eiji,eiji
サトウ,사토,satou,sato
ミソラ,미소라,misora,misora
ヒバリ,히바리,hibari,hibari
ホンダ,혼다,honda,honda
ヤマベ,야마베노,yamabe,yamabeno
サヨ,사요,sayo,sayo
ユイカ,유이모토,yuika,yuimoto
ミチル,미치루,michiru,miciru
コトノ,코토노,kotono,kotono
ヤマグチ,야마구치,yamaguchi,yamaguci
ツヨシ,쓰토무,tsuyoshi,sseutomu
エイミサト,에미리,eimisato,emiri
タダモリ,다다모리,tadamori,dadamori
タカガキ,타카가키,takagaki,takagaki
アヤヨウ,아야히,ayayou,ayahi
マツライ,마츠키,matsurai,maceuki
ミユウ,미유,miyuu,miyu
イトウ,이토,itou,ito
カナメグミ,카나에,kanamegumi,kanae
ヤノ,야노,yano,yano
ヒカサ,히카사,hikasa,hikasa
ヨウシ,요코,youshi,yoko
トマツ,토마츠,tomatsu,tomaceu
ハルカ,하루카,haruka,haruka
クロサワ,구로사와,kurosawa,gurosawa
アキラ,아키라,akira,akira
ハラダ,하라다,harada,harada
ヒラヤマ,히라야마,hirayama,hirayama
リコン,도네가와,rikon,donegawa
カワススム,스스무,kawasusumu,seuseumu
ヒデキ,히데키,hideki,hideki
ハラヨシミ,하라,harayoshimi,hara
ミチ,요시미치,michi,yosimici
ナンブ,난부,nanbu,nanbu
シンジュン,노부유키,shinjun,nobuyuki
シンジ,신지,shinji,sinji
ヨリユキサン,라이,yoriyukisan,rai
ヒ,산요,hi,sanyo
アヤ,아야,aya,aya
スズキ,스즈키,suzuki,seujeuki
コウキュウ,쓰네히사,koukyuu,sseunehisa
オウヒショウジナイシンノウ,왕비,ouhishoujinaishinnou,wangbi
ヤマモト,야마모토,yamamoto,yamamoto
タンゲ,단게,tange,dange
ミヤモト,미야모토,miyamoto,miyamoto
シゲル,시게루,shigeru,sigeru
シント,니토베,shinto,nitobe
トイナゾウ,이나조,toinazou,inajo
タケミツ,타케미츠,takemitsu,takemiceu
ノリコ,노리코,noriko,noriko
トウコ,후지코,touko,hujiko
ノト,노토,noto,noto
マミコ,마미코,mamiko,mamiko
サク,사쿠마,saku,sakuma
ハザマレイ,레이,hazamarei,rei
カワスミ,카와스미,kawasumi,kawaseumi
アヤコ,아야코,ayako,ayako
コシバ,고시바,koshiba,gosiba
カオリ,카오리,kaori,kaori
フユバ,토우마,fuyuba,touma
ユミ,유미,yumi,yumi
ヨシミタ,가다,yoshimita,gada
ユキコ,유키코,yukiko,yukiko
ヒダカ,히다카,hidaka,hidaka
リナ,리나,rina,rina
ヨコヤマ,요코야마,yokoyama,yokoyama
ウエシバ,우에시바,ueshiba,uesiba
モリタイラ,모리헤이,moritaira,morihei
サスハラ,사시하라,sasuhara,sasihara
マツウラ,마츠우라,matsuura,maceuura
ミツミ,미쓰미,mitsumi,misseumi
ミサト,미사토,misato,misato
ヒロナカ,히로나카,hironaka,hironaka
タイラユウ,헤이스케,tairayuu,heiseuke
ユノキ,유즈키,yunoki,yujeuki
カナメ,카나메,kaname,kaname
キタデ,기타데,kitade,gitade
ナナ,나나,nana,nana
アサヌマ,아사누마,asanuma,asanuma
イネジロウ,이네지로,inejirou,inejiro
カノ,가노,kano,gano
ミチヒコ,미치히코,michihiko,micihiko
セイホウ,니시카타,seihou,nisikata
トモナガ,도모나가,tomonaga,domonaga
フクダ,후쿠다,fukuda,hukuda
ヤスオ,야스오,yasuo,yaseuo
コン,곤,kon,gon
コヅ,오즈,kodzu,ojeu
ミゾグチ,미조구치,mizoguchi,mijoguci
ミヤザキ,미야자키,miyazaki,miyajaki
シュン,하야오,shun,hayao
チュウジョウ,나카조,chuujou,nakajo
クン,이사오,kun,isao
マサキ,마사키,masaki,masaki
コウ,고,kou,go
ナガタニ,하세베,nagatani,hasebe
ブマコト,마코토,bumakoto,makoto
タテヤマ,다테야마,tateyama,dateyama
ショウヘイ,쇼헤이,shouhei,syohei
ミヤザワ,미야자와,miyazawa,miyajawa
ケンジ,겐지,kenji,genji
ナギサ,나기사,nagisa,nagisa
キキョウ,다카노리,kikyou,dakanori
トヨトミ,도요토미,toyotomi,doyotomi
ワタナベ,와타나베,watanabe,watanabe
マユ,마유,mayu,mayu
クリタ,구리타,kurita,gurita
タケオ,다케오,takeo,dakeo
カタヤマ,가타야마,katayama,gatayama
トラノスケ,도라노스케,toranosuke,doranoseuke
ハマザキ,하마사키,hamazaki,hamasaki
アユミ,아유미,ayumi,ayumi
ソタ,소다,sota,soda
アリオカ,아리오카,arioka,arioka
ダイタカ,다이키,daitaka,daiki
イマイ,이마이,imai,imai
ヨサ,요사,yosa,yosa
ミナモトヨシ,미나모토노,minamotoyoshi,minamotono
イエ,요시이에,ie,yosiie
サダヲ,사다오,sadawo,sadao
シラカワ,시라카와,shirakawa,sirakawa
ジミ,지미,jimi,jimi
アキマサ,메이쇼,akimasa,meisyo
ウチダ,우치다,uchida,ucida
リョウヘイ,료헤이,ryouhei,ryohei
ノダ,노다,noda,noda
ヨシヒコ,요시히코,yoshihiko,yosihiko
ゲンハ,겐바,genha,genba
ムラタ,무라타,murata,murata
リョウフト,료타,ryoufuto,ryota
カンヨシ,스가,kanyoshi,seuga
エラ,요시히데,era,yosihide
テラウチ,데라우치,terauchi,derauci
ヤオ,야오,yao,yao
ホウアキラ,마사아키,houakira,masaaki
コウショウ,고코마쓰,koushou,gokomasseu
マツテンノウ,천황,matsutennou,ceonhwang
カワサカエ,카와에이,kawasakae,kawaei
イリヤマ,이리야마,iriyama,iriyama
アンナ,안나,anna,anna
ハタタスク,하다,hatatasuku,hada
カズコ,사와코,kazuko,sawako
カノウ,가노,kanou,gano
シュンスケ,슌스케,shunsuke,syunseuke
テヅカ,데즈카,tedzuka,dejeuka
オサム,오사무,osamu,osamu
ショウワ,쇼와,shouwa,syowa
ミズキ,미즈키,mizuki,mijeuki
ヨシザワ,요시자와,yoshizawa,yosijawa
アキラフ,아키호,akirafu,akiho
イヌイタカ,이누이,inuitaka,inui
アキエ,아키에,akie,akie
ヒカ,히가,hika,higa
リカルド,리카루도,rikarudo,rikarudo
コダマ,고다마,kodama,godama
ミナモトタロウ,겐타로,minamototarou,gentaro
トウノ,히가시노,touno,higasino
ケイゴ,게이고,keigo,geigo
コヅカ,고즈카,kodzuka,gojeuka
シマザキ,시마자키,shimazaki,simajaki
レナ,레나,rena,rena
サコン,사콘,sakon,sakon
ナカザワ,나카자와,nakazawa,nakajawa
サトフトシ,소타,satofutoshi,sota
ショウタイラ,쇼헤이,shoutaira,syohei
ユウダイロウ,유타로,yuudairou,yutaro
トシオ,토시로,toshio,tosiro
ドイ,도이하라,doi,doihara
マイ,마이,mai,mai
ホソノ,호소노,hosono,hosono
セイブン,마사부미,seibun,masabumi
ヤスダ,야스다,yasuda,yaseuda
リダイ,미치히로,ridai,micihiro
オオエ,오에,ooe,oe
ユウスケ,유스케,yuusuke,yuseuke
ブンヤ,훈야노,bunya,hunyano
ヤスヒデ,야스히데,yasuhide,yaseuhide
ウエハラ,우에하라,uehara,uehara
ユウサク,유사쿠,yuusaku,yusaku
マツイ,마쓰이,matsui,masseui
イシハラ,이시하라,ishihara,isihara
マキタロウ,신타로,makitarou,sintaro
ヤスノ,안노,yasuno,anno
モヨコ,모요코,moyoko,moyoko
サンチュウ,야마나카,sanchuu,yamanaka
シンワタル,신야,shinwataru,sinya
ギチン,기친,gichin,gicin
ケンタ,겐타,kenta,genta
カゲヤマ,가게야마,kageyama,gageyama
マサヒサシ,마사나가,masahisashi,masanaga
クリサワ,구리사와,kurisawa,gurisawa
イエヤス,이에야스,ieyasu,ieyaseu
ナカタ,나카타,nakata,nakata
タネタ,타네다,taneta,taneda
リサ,리사,risa,risa
ヨネモト,요네모토,yonemoto,yonemoto
タクジ,다쿠지,takuji,dakuji
ウエダ,우에다,ueda,ueda
カンフトシ,고타,kanfutoshi,gota
リンヒサシ,미치히사,rinhisashi,micihisa
ヤマザキ,야마자키,yamazaki,yamajaki
ホンマ,혼마,honma,honma
マツバラ,마쓰바라,matsubara,masseubara
リョウコウ,요시카,ryoukou,yosika
ソウマ,소마,souma,soma
ケンタロウ,겐타로,kentarou,gentaro
シゲルノリ,시게노리,shigerunori,sigenori
ヒライ,히라이,hirai,hirai
ショウセイ,쇼키,shousei,syoki
フカザワ,후카사와,fukazawa,hukasawa
ジンハク,마사히로,jinhaku,masahiro
クニオ,구니오,kunio,gunio
イシイ,이시이,ishii,isii
キクジロウ,기쿠지로,kikujirou,gikujiro
ヨネリョウ,메라,yoneryou,mera
マルヤマ,마루야마,maruyama,maruyama
ヨシアキ,요시아키,yoshiaki,yosiaki
タクヤ,다쿠야,takuya,dakuya
カンヒロシ,고스케,kanhiroshi,goseuke
アケボノフトシ,아케보노,akebonofutoshi,akebono
ゴンベエ,곤노효에,gonbee,gonnohyoe
カワバタ,가와바타,kawabata,gawabata
ヤスナリ,야스나리,yasunari,yaseunari
ヨコミチ,요코미치,yokomichi,yokomici
タカヒロ,다카히로,takahiro,dakahiro
ハトヤマ,하토야마,hatoyama,hatoyama
ユキオ,유키오,yukio,yukio
アソウ,아소,asou,aso
コイズミ,고이즈미,koizumi,goijeumi
メイジ,메이지,meiji,meiji
ミナモトミノル,미나모토노,minamotominoru,minamotono
アサ,사네토모,asa,sanetomo
ヒロブミ,히로부미,hirobumi,hirobumi
モリワキ,모리와키,moriwaki,moriwaki
リョウタ,료타,ryouta,ryota
ヤクショウ,엔노,yakushou,enno
カク,오즈누,kaku,ojeunu
コマチ,고마치,komachi,gomaci
イマミヤ,이마미야,imamiya,imamiya
オオサコ,오사코,oosako,osako
コノエ,고노에,konoe,gonoe
モトミ,모토자네,motomi,motojane
マゴメ,마고메,magome,magome
カズヤ,가즈야,kazuya,gajeuya
モリシゲル,모리,morishigeru,mori
ブン,시게후미,bun,sigehumi
アンドウ,안도,andou,ando
タダオ,다다오,tadao,dadao
カワグチ,가와구치,kawaguchi,gawaguci
ノウカツ,요시카쓰,noukatsu,yosikasseu
ヒロユキ,히로유키,hiroyuki,hiroyuki
ジョウテンノウ,천황,joutennou,ceonhwang
シン,마코토,shin,makoto
マツダ,마쓰다,matsuda,masseuda
マレイ,마아야,marei,maaya
シノヤマ,시노야마,shinoyama,sinoyama
キノシン,기신,kinoshin,gisin
ソノコ,소노,sonoko,sono
ヌル,시온,nuru,sion
エザキ,에사키,ezaki,esaki
レオナ,레오나,reona,reona
エイサク,에이사쿠,eisaku,eisaku
アシハラ,아시하라,ashihara,asihara
キサキナゴ,히나코,kisakinago,hinako
ヒガシグチ,히가시구치,higashiguchi,higasiguci
ジュンアキラ,마사아키,junakira,masaaki
タカハタ,타카하타,takahata,takahata
ジンム,진무,jinmu,jinmu
チュウセツ,주아이,chuusetsu,juai
コダイラ,코다이라,kodaira,kodaira
ジケン,사건,jiken,sageon
マエハラ,마에하라,maehara,maehara
セイジ,세이지,seiji,seiji
サカグチ,사카구치,sakaguchi,sakaguci
アンゴ,안고,ango,ango
アントニオ,안토니오,antonio,antonio
イノキ,이노키,inoki,inoki
テツヤ,데쓰야,tetsuya,desseuya
ヤスタカ,야스타카,yasutaka,yaseutaka
ヨシユキ,요시유키,yoshiyuki,yosiyuki
オオヒサ,오쿠보,oohisa,okubo
ホナガヤス,나가야스,honagayasu,nagayaseu
オグラ,오구라,ogura,ogura
ヤスハラ,야스하라,yasuhara,yaseuhara
ナルタイ,나리야스,narutai,nariyaseu
マサノリ,요시노리,masanori,yosinori
カジメ,카지,kajime,kaji
キヌコ,메이코,kinuko,meiko
キヨハラ,기요하라노,kiyohara,giyoharano
ラクザン,라쿠야마,rakuzan,rakuyama
フジヶタニ,후지가야,fujiヶtani,hujigaya
マツダイ,마쓰요,matsudai,masseuyo
ナオキ,나오키,naoki,naoki
フジタ,후지타,fujita,hujita
フジワラ,후지와라노,fujiwara,hujiwarano
フヒトウ,후히토,fuhitou,huhito
トシツル,에카쿠,toshitsuru,ekaku
ケイタスク,게이스케,keitasuku,geiseuke
マツモト,마쓰모토,matsumoto,masseumoto
セイチョウ,세이초,seichou,seico
カジウラ,카지우라,kajiura,kajiura
ユキ,유키,yuki,yuki
