глюкоза,グリュコーザ,glyukoza
енисейск,エニセイスク,eniseysk
укок,ウコクコウゲン,ukok
ачинск,アチンスク,achinsk
ахтубинск,アフトゥビンスク,ahtubinsk
железноводск,ジェレズノヴォツク,zheleznovodsk
ефремов,エフレーモフ,efremov
красная,クラースナヤ,krasnaya
поляна,ポリャーナ,polyana
ессентуки,エセントゥキ,essentuki
имандра,イマンドラコ,imandra
бавлы,バヴルィ,bavly
багратионовск,バグラティオノフスク,bagrationovsk
железнодорожный,ジェレズノドロジュニ,zheleznodorozhnyy
саяны,サヤンサンミャク,sayany
ильмень,イリメニコ,ilmen
арбат,アルバートドオリ,arbat
балашиха,バラシハ,balashiha
балахна,バラフナ,balahna
жуковский,ジュコーフスキー,zhukovskiy
заводоуковск,ザヴォドウコフスク,zavodoukovsk
жуковка,ジューコフカ,zhukovka
жиздра,ジズドラ,zhizdra
жуков,ジューコフ,zhukov
байкальск,バイカリスク,baykalsk
балабаново,バラバノヴォ,balabanovo
барабинск,バラビンスク,barabinsk
бежецк,ベジェツク,bezheck
батайск,バタイスク,bataysk
заинск,ザインスク,zainsk
западная,ザパドナヤ,zapadnaya
двина,ドヴィナ,dvina
заволжск,ザヴォルシスク,zavolzhsk
белёв,ベリョーフ,belyov
зарайск,ザライスク,zaraysk
белозерск,ベロゼルスク,belozersk
белогорск,ベロゴルスク,belogorsk
беломорск,ベロモルスク,belomorsk
белый,ベールイ,belyy
звенигород,ズヴェニゴロド,zvenigorod
зеленоград,ゼレノグラード,zelenograd
казбек,カズベク,kazbek
курган,クルガン,kurgan
выборг,ヴィボルグ,vyborg
зеленодольск,ゼレノドリスク,zelenodolsk
бикин,ビキン,bikin
беслан,ベスラン,beslan
березники,ベレズニキ,berezniki
полесье,ポリーシャ,polese
богородицк,ボゴロジツク,bogorodick
волхов,ヴォルホフ,volhov
бокситогорск,ボクシトゴルスク,boksitogorsk
бологое,ボロゴエ,bologoe
большой,ボリショイ,bolshoy
камень,カーメニ,kamen
болхов,ボルホフ,bolhov
болохово,ボロホヴォ,bolohovo
кингисепп,キンギセップ,kingisepp
новая,ノヴァヤ,novaya
ладога,ラドガ,ladoga
игарка,イガルカ,igarka
ивантеевка,イヴァンテエフカ,ivanteevka
бодайбо,ボダイボ,bodaybo
болгар,ボルガル,bolgar
альфа,アルファブタイ,alfa
лдпр,ロシアジユウミンシュトウ,ldpr
златоуст,ズラトウースト,zlatoust
кубок,クレムリン,kubok
кремля,カップ,kremlya
алроса,アルロサ,alrosa
ивангород,イヴァンゴロド,ivangorod
злынка,ズルィンカ,zlynka
знаменск,ズナメンスク,znamensk
мосфильм,モスフィルム,mosfilm
зубцов,ズブツォフ,zubcov
люберцы,リュベルツィ,lyubercy
суздаль,スーズダリ,suzdal
миасс,ミアス,miass
молокане,モロカンハ,molokane
мирный,ミールヌイ,mirnyy
сланцы,スランツィ,slancy
сертолово,セルトロヴォ,sertolovo
луга,ルーガ,luga
черниговка,チェルニゴフカ,chernigovka
яблоко,ヤブロコ,yabloko
тихвин,チフヴィン,tihvin
сосновый,ソスノヴイ,sosnovyy
бор,ボル,bor
шлиссельбург,シュリッセリブルク,shlisselburg
яхрома,ヤフロマ,yahroma
новороссийск,ノヴォロシースク,novorossiysk
анапа,アナパ,anapa
темрюк,テムリュク,temryuk
великий,ヴェリキイ,velikiy
устюг,ウスチュグ,ustyug
истра,イストラ,istra
осетия,オセチア,osetiya
ишимбай,イシンバイ,ishimbay
армавир,アルマヴィル,armavir
геленджик,ゲレンジーク,gelendzhik
старая,スタラヤ,staraya
телецкое,テレツコイェコ,teleckoe
прогресс,プログレスホキュウセン,progress
камышин,カムイシン,kamyshin
калязин,カリャージン,kalyazin
дружба,ドルジバパイプライン,druzhba
камешково,カメシコヴォ,kameshkovo
джагды,ジャグドゥイサンミャク,dzhagdy
вконтакте,フコンタクテ,vkontakte
шхара,シュハラサン,shhara
обьенисейский,オビ,obeniseyskiy
канал,エニセイウンガ,kanal
подольск,ポドリスク,podolsk
кандалакша,カンダラクシャ,kandalaksha
искра,イスクラ,iskra
лукойл,ルクオイル,lukoyl
мгимо,モスクワコクサイカンケイダイガク,mgimo
карабулак,カラブラク,karabulak
карачаевск,カラチャエフスク,karachaevsk
карачев,カラチェフ,karachev
астрон,アストロン,astron
палтога,パルトガ,paltoga
мытищи,ムィティシ,mytishchi
ладушкин,ラードゥシキン,ladushkin
симферополь,シンフェロポリ,simferopol
тасс,タスツウシン,tass
кашин,カシン,kashin
ялта,ヤルタ,yalta
каргополь,カルゴポリ,kargopol
забайкальск,ザバイカリスク,zabaykalsk
касимов,カシモフ,kasimov
нижегородский,ニジニ,nizhegorodskiy
метрополитен,ノヴゴロドチカテツ,metropoliten
листвянка,リストヴャンカ,listvyanka
футуризм,ミライハ,futurizm
кашира,カシーラ,kashira
кемь,ケミ,kem
дербент,デルベント,derbent
кизляр,キズリャル,kizlyar
опочка,オポーチカ,opochka
нерчинск,ネルチンスク,nerchinsk
ахмат,アフマド,ahmat
арена,アリーナ,arena
бион,ビオン,bion
хасавюрт,ハサヴユルト,hasavyurt
орочи,オロチゾク,orochi
кимры,キームルィ,kimry
кимовск,キモフスク,kimovsk
кинель,キネリ,kinel
белушья,ベルーシャ,belushya
губа,グバ,guba
демянск,デミャンスク,demyansk
царицыно,ツァリツィノコウエン,caricyno
лача,ラチャコ,lacha
байкалоамурская,バイカル,baykaloamurskaya
магистраль,アムールテツドウ,magistral
лакинск,ラキンスク,lakinsk
киреевск,キレーエフスク,kireevsk
кинешма,キネシマ,kineshma
интерфакс,インテルファクスツウシン,interfaks
кисловодск,キスロヴォツク,kislovodsk
киренск,キレンスク,kirensk
киржач,キルジャチ,kirzhach
калинка,カリンカ,kalinka
уланудэнский,ウラン,ulanudenskiy
трамвай,ウデシデン,tramvay
кировск,キロフスク,kirovsk
черский,チェルスキー,cherskiy
климовск,クリモフスク,klimovsk
клин,クリン,klin
клинцы,クリンツィ,klincy
кола,コラ,kola
кологрив,コログリフ,kologriv
козельск,コゼリスク,kozelsk
агинское,アギンスコエ,aginskoe
когалым,コガリム,kogalym
ковылкино,コビルキノ,kovylkino
кольчугино,コリチューギノ,kolchugino
конаково,コナコヴォ,konakovo
кондопога,コンドポガ,kondopoga
кондрово,コンドロヴォ,kondrovo
королёв,コロリョフ,korolyov
кораблино,コラブリノ,korablino
туруханск,トゥルハンスク,turuhansk
сихотэалинь,シホテアリニサンミャク,sihotealin
корсаков,コルサコフ,korsakov
костерёво,コスチェリョヴォ,kosteryovo
коряжма,コリャジュマ,koryazhma
котельники,コチェリニキ,kotelniki
красногорск,クラスノゴルスク,krasnogorsk
аян,アヤン,ayan
краснозаводск,クラスノザヴォツク,krasnozavodsk
краснознаменск,クラスノズナメンスク,krasnoznamensk
котлас,コトラス,kotlas
котельнич,コテリニチ,kotelnich
красноармейск,クラスノアルメイスク,krasnoarmeysk
яковлев,ヤコヴレフ,yakovlev
новошахтинск,ノヴォシャフチンスク,novoshahtinsk
красный,クラスヌイ,krasnyy
сулин,スリン,sulin
суржик,スルジク,surzhik
кронштадт,クロンシュタット,kronshtadt
кстово,クストヴォ,kstovo
аник,アニクサン,anik
тикси,ティクシ,tiksi
кувшиново,クフシノヴォ,kuvshinovo
кудымкар,クディムカル,kudymkar
нанайцы,ナナイ,nanaycy
амдерма,アンジェルマ,amderma
вятское,ヴャツコエ,vyatskoe
лениногорск,レニノゴルスク,leninogorsk
ашкеназы,アシュケナジム,ashkenazy
курильск,クリリスク,kurilsk
курлово,クルロヴォ,kurlovo
беломорскобалтийский,シロウミ,belomorskobaltiyskiy
трансаэро,トランスアエロコウクウ,transaero
лабытнанги,ラビトナンギ,labytnangi
кяхта,キャフタ,kyahta
маяк,マヤークカクギジュツシセツ,mayak
бураново,ブラノボ,buranovo
керчь,ケルチ,kerch
находка,ナホトカ,nahodka
лаишево,ライシェヴォ,laishevo
росатом,ロスアトム,rosatom
дыхтау,ディフタウ,dyhtau
рубль,ソビエトレンポウ,rubl
ссср,ルーブル,sssr
лесозаводск,レソザヴォーツク,lesozavodsk
леон,サトゥルン,leon
сатурн,ラメンスコーエ,saturn
ленск,レンスク,lensk
атсонупури,アトサダケ,atsonupuri
таннуола,タンドゥサンミャク,tannuola
сретенье,グロムニツァ,sretene
ливны,リーヴヌィ,livny
ломоносов,ロモノソフ,lomonosov
липки,リプキ,lipki
лихославль,リホスラヴリ,lihoslavl
лиски,リスキ,liski
ангара,アンガラ,angara
макаров,マカロフ,makarov
земля,ゼムリャ,zemlya
георга,ゲオルグ,georga
любим,リュビーム,lyubim
людиново,リュジノヴォ,lyudinovo
москвич,モスクヴィッチ,moskvich
китеж,キーテジ,kitezh
луховицы,ルホヴィツィ,luhovicy
парус,ホイワ,parus
макарьев,マカリエフ,makarev
малая,マーラヤ,malaya
вишера,ヴィシェラ,vishera
малгобек,マルゴベク,malgobek
архара,アルハラ,arhara
малоархангельск,マロアルハンゲリスク,maloarhangelsk
малоярославец,マロヤロスラヴェツ,maloyaroslavec
мамадыш,ママディシュ,mamadysh
мамоново,マモノヴォ,mamonovo
гопники,ゴプニク,gopniki
тятя,チャチャダケ,tyatya
мглин,ムグリン,mglin
мегион,メギオン,megion
медвежьегорск,メドヴェジエゴルスク,medvezhegorsk
мантурово,マントゥロヴォ,manturovo
хибины,ヒビヌイサンミャク,hibiny
северсталь,セヴェルスターリ,severstal
дальавиа,ダリアビアコウクウ,dalavia
ленфильм,レンフィルム,lenfilm
медынь,メドゥイニ,medyn
межгорье,メジゴーリエ,mezhgore
междуреченск,メジュドゥレチェンスク,mezhdurechensk
мензелинск,メンゼリンスク,menzelinsk
мещовск,メシチョフスク,meshchovsk
меленки,メレンキ,melenki
менделеевск,メンデレーエフスク,mendeleevsk
атомфлот,アトムフロート,atomflot
сочи,ソチ,sochi
минеральные,ミネラーリヌィエ,mineralnye
воды,ヴォードィ,vody
минусинск,ミヌシンスク,minusinsk
забайкалье,ザバイカル,zabaykale
российский,ロシア,rossiyskiy
мичуринск,ミチュリンスク,michurinsk
михайлов,ミハイロフ,mihaylov
пограничный,ポグラニチニ,pogranichnyy
можайск,モジャイスク,mozhaysk
мончегорск,モンチェゴルスク,monchegorsk
ленин,レーニン,lenin
охотск,オホーツク,ohotsk
монголы,モンゴルミンゾク,mongoly
пятигорск,ピャチゴルスク,pyatigorsk
мосальск,モサリスク,mosalsk
яр,ヤール,yar
раменское,ラメンスコエ,ramenskoe
муром,ムーロム,murom
мценск,ムツェンスク,mcensk
эльбрус,エルブルスサン,elbrus
мышкин,ムィシュキン,myshkin
коломенское,コローメンスコエ,kolomenskoe
атомстройэкспорт,アトムストロイエクスポルト,atomstroyeksport
неро,ネロコ,nero
назрань,ナズラン,nazran
боголюбово,ボゴリュボヴォ,bogolyubovo
южный,サウス,yuzhnyy
поток,ストリーム,potok
невель,ネヴェリ,nevel
невельск,ネベリスク,nevelsk
шуховская,シューホフ,shuhovskaya
башня,タワー,bashnya
союзное,ベラルーシ,soyuznoe
государство,ロシアレンゴウコッカ,gosudarstvo
невинномысск,ネヴィンノムイスク,nevinnomyssk
уйгуры,ウイグル,uygury
моздок,モズドク,mozdok
ардон,アルドン,ardon
аврора,アヴローラ,avrora
переделкино,ペレデルキノ,peredelkino
орск,オルスク,orsk
торопец,トロペツ,toropec
мир,ミール,mir
толбачик,トルバチクサン,tolbachik
тобольск,トボリスク,tobolsk
газета,ガゼータ,gazeta
таганрог,タガンログ,taganrog
ржд,ロコモティフ,rzhd
императорский,ツァールスコエ,imperatorskiy
царскосельский,セロー,carskoselskiy
лицей,リツェイ,licey
академик,アカデミック,akademik
еникале,イエニカレ,enikale
аркона,アルコナ,arkona
шивелуч,シベルチサン,shiveluch
нерехта,ネレフタ,nerehta
нелидово,ネリドヴォ,nelidovo
нерюнгри,ネリュングリ,neryungri
слободская,スロボダ,slobodskaya
украина,ウクライナ,ukraina
черноморскокаспийская,ポントス,chernomorskokaspiyskaya
пеники,ペニキ,peniki
олонец,オロネツ,olonec
нестеров,ネステロフ,nesterov
нея,ニェヤ,neya
мариинск,マリインスク,mariinsk
нижневартовск,ニジネヴァルトフスク,nizhnevartovsk
нижнекамск,ニジネカムスク,nizhnekamsk
казанский,カザン,kazanskiy
кремль,クレムリン,kreml
диксон,ディクソン,dikson
союзмультфильм,ソユーズムリトフィルム,soyuzmultfilm
фенноскандия,フェノスカンジア,fennoskandiya
холмогоры,ホルモゴルイ,holmogory
нововоронеж,ノヴォヴォロネジ,novovoronezh
автодром,オートドローム,avtodrom
мангазея,マンガゼヤ,mangazeya
новозыбков,ノヴォズィプコフ,novozybkov
новодвинск,ノヴォドヴィンスク,novodvinsk
ряжск,リャジスク,ryazhsk
палана,パラナ,palana
авиадвигатель,アヴィアドヴィガーテリ,aviadvigatel
новокуйбышевск,ノヴォクイビシェフスク,novokuybyshevsk
новомичуринск,ノヴォミチュリンスク,novomichurinsk
новомосковск,ノヴォモスコフスク,novomoskovsk
новоржев,ノヴォルジェフ,novorzhev
новосиль,ノヴォシリ,novosil
новосокольники,ノヴォソコリニキ,novosokolniki
ноглики,ノグリキ,nogliki
ольга,オルガ,olga
лесогорское,メイコウマチ,lesogorskoe
метровагонмаш,メトロワゴンマッシュ,metrovagonmash
эльгыгытгын,エリギギトギンコ,elgygytgyn
новый,ノヴィ,novyy
уренгой,ウレンゴイ,urengoy
ногинск,ノギンスク,noginsk
норильск,ノリリスク,norilsk
нурлат,ヌルラト,nurlat
ноябрьск,ノヤブリスク,noyabrsk
бырранга,ビルランガサンミャク,byrranga
чита,チタ,chita
нюрба,ニュルバ,nyurba
новочеркасск,ノヴォチェルカッスク,novocherkassk
няндома,ニャンドマ,nyandoma
нягань,ニャガン,nyagan
новочебоксарск,ノヴォチェボクサルスク,novocheboksarsk
обнинск,オブニンスク,obninsk
одинцово,オジンツォボ,odincovo
ожерелье,オジェリェーリエ,ozherele
вильчека,ビリチェク,vilcheka
остров,オストロフ,ostrov
осташков,オスタシコフ,ostashkov
озёрск,オジョルスク,ozyorsk
хасан,ハサンコ,hasan
независимая,ニェザヴィーシマヤ,nezavisimaya
александроневская,アレクサンドル,aleksandronevskaya
лавра,ネフスキーダイシュウドウイン,lavra
базовый,ベーシック,bazovyy
элемент,エレメント,element
башнефть,バシネフチ,bashneft
баскунчак,バスクンチャクコ,baskunchak
олёкминск,オリョークミンスク,olyokminsk
окуловка,オクロフカ,okulovka
белуха,ベルーハサン,beluha
онега,オネガ,onega
бурлак,フネビキ,burlak
базардюзю,バザルデュジサン,bazardyuzyu
оха,オハ,oha
павловск,パヴロフスク,pavlovsk
мамаев,ママエフ,mamaev
павловский,パヴロフスキー,pavlovskiy
посад,ポサド,posad
партизанск,パルチザンスク,partizansk
певек,ペヴェク,pevek
устьордынский,ウスチオルディンスキー,ustordynskiy
палатка,パラトカ,palatka
петропавловский,シュザシトペトル,petropavlovskiy
собор,パウェルダイセイドウ,sobor
волгодонской,ヴォルガ,volgodonskoy
пионерский,ピオネールスキー,pionerskiy
печоры,ペチョールィ,pechory
звезда,ズヴェズダ,zvezda
петергоф,ペテルゴフ,petergof
пестово,ペストヴォ,pestovo
карачай,カラチャイコ,karachay
петушки,ペトゥシキ,petushki
ванино,ワニノ,vanino
печора,ペチョラ,pechora
безымянный,ベズイミアニサン,bezymyannyy
интеркосмос,インターコスモス,interkosmos
берутарубе,ベルタルベヤマ,berutarube
плавск,プラフスク,plavsk
плёс,プリョス,plyos
блестящие,ブレスチャーシチエ,blestyashchie
останкинская,オスタンキノ,ostankinskaya
телебашня,タワー,telebashnya
покровск,ポクロフスク,pokrovsk
слюдянка,スリュジャンカ,slyudyanka
юкос,ユコス,yukos
пастила,パスチラ,pastila
распутица,デイネイキ,rasputica
селигер,セリゲルミズウミ,seliger
ломо,ロモ,lomo
челюскин,チェリュスキンミサキ,chelyuskin
балаклава,バラクラヴァ,balaklava
полесск,ポレッスク,polessk
ясная,ヤースナヤ,yasnaya
цаганхаг,ツァガンハグコ,caganhag
порхов,ポルホフ,porhov
почеп,ポーチェプ,pochep
полярный,ポリャールヌイ,polyarnyy
сургут,スルグト,surgut
поронайск,ポロナイスク,poronaysk
починок,ポチノク,pochinok
пошехонье,ポシェホニエ,poshehone
известия,イズベスチヤ,izvestiya
капустин,カプースチン,kapustin
халхамонголы,ハルハ,halhamongoly
московский,モスクワ,moskovskiy
международный,ミュージック,mezhdunarodnyy
фестиваль,ピース,festival
мира,フェスティバル,mira
горки,ゴールキ,gorki
ленинские,レーニンスキエ,leninskie
тымовское,ティモフスコエ,tymovskoe
правдинск,プラヴジンスク,pravdinsk
сокольники,ソコーリニキ,sokolniki
прокопьевск,プロコピエフスク,prokopevsk
правда,プラウダ,pravda
радужный,ラードゥジヌイ,raduzhnyy
таймыр,タイミルミズウミ,taymyr
никель,ニケリ,nikel
пластун,プラストゥン,plastun
смоленсксеверный,スモレンスクキタヒコウジョウ,smolensksevernyy
пустошка,プストシカ,pustoshka
пущино,プーシチノ,pushchino
пыталово,プィタロヴォ,pytalovo
интурист,インツーリスト,inturist
комсомольская,コムソモリスカヤ,komsomolskaya
мемориал,メモリアル,memorial
смирных,スミルヌイフ,smirnyh
камаринская,カマリンスカヤ,kamarinskaya
бунге,ブンゲ,bunge
шацк,シャーツク,shack
викимапия,ウィキマピア,vikimapiya
палех,パレフ,paleh
бурейская,ブレヤ,bureyskaya
гэс,ダム,ges
петровичи,ペトロヴィッチ,petrovichi
зенит,ゼニット,zenit
серов,セロフ,serov
провидения,プロヴィデニヤ,provideniya
уэлен,ウエレン,uelen
северодвинск,セヴェロドヴィンスク,severodvinsk
наши,ナーシ,nashi
нижнеангарск,ニジネアンガルスク,nizhneangarsk
лучегорск,ルチェゴルスク,luchegorsk
сколково,スコルコヴォ,skolkovo
