김일,金日
홍희,泓熙
두봉,枓奉
영준,永峻
명훈,明勋
정훈,正勋
용건,庸健
명길,明吉
정철,正哲
미영,美英
렴,廉
대옥,大玉
덕훈,德训
송이,松怡
남운,南云
신조,新朝
승엽,承烨
명희,命熹
정화,正花
광익,光益
상성,霜成
성애,圣爱
학림,鹤林
현,玄
계관,桂冠
엄,严
윤철,润哲
서,徐
만술,万述
설송,雪松
정수,钟秀
남기,南基
을설,乙雪
길연,吉渊
용무,勇武
정각,正觉
광철,光铁
응빈,应彬
희영,希英
무영,武荣
만건,万建
동,董
정호,正浩
채,蔡
희정,喜正
덕수,德铢
백룡,白龙
광룡,光龙
윤심,润心
인범,仁范
하일,河日
병서,炳誓
룡천,龙天
맹,孟
종호,钟镐
명철,明哲
방,方
학세,学世
태덕,泰德
영길,永吉
제선,济善
문규,文奎
계룡,启龙
윤미,润美
광성,光成
유성,有成
국범,国范
수길,秀吉
선희,善姬
홍찬,洪灿
은철,恩哲
인희,仁姬
성희,成姬
곽,郭
범기,范基
필화,弼花
분희,粉姬
량욱,良煜
유,俞
순복,顺福
두익,斗翼
장엽,长烨
태복,泰福
옥임,玉任
양,杨
형섭,亨燮
철수,铁洙
세봉,世凤
용순,容淳
극렬,克烈
배,裴
송월,松月
원균,元均
경숙,京淑
두철,斗哲
태남,泰南
정린,正麟
명수,明秀
수용,洙墉
정균,贞均
정임,正任
경만,景万
종수,钟洙
능수,能洙
기룡,基龙
영수,英洙
경옥,京玉
세영,世永
상조,相朝
인덕,仁德
도일,道日
경덕,京德
효순,孝淳
일정,日晶
재홍,在鸿
병규,炳奎
춘추,春秋
문영,文宁
인선,仁善
병렬,炳烈
태영,兑荣
준택,准泽
소앙,素昂
동춘,东春
설,薛
정식,贞植
영진,永进
용일,勇日
효심,孝心
연미,研美
철성,哲成
심,沈
현욱,贤旭
상철,相哲
경일,庆日
재룡,在龙
춘식,春植
승수,承秀
학원,学远
주애,主爱
대성,大成
창호,昌浩
경진,景进
형진,亨进
영식,永植
명,明
차현,车铉
철범,哲范
현일,贤日
성호,成浩
형준,衡俊
선권,善权
성일,成日
인호,人虎
광호,光浩
경택,京择
강철,康哲
정관,正宽
윤석,润石
달현,达铉
송,宋
호성,虎声
권무,权武
재선,载善
응조,应兆
현아,金泫雅
허각,许阁
윤하,高润荷
이호,李浩
수영,秀英
보아,宝儿
태연,太妍
허재,许载
서현,徐玄
린다,琳达
장미인애,张美仁爱
효연,孝渊
세븐,崔东昱
장상,张裳
리웨이펑,李玮锋
장면,张勉
효민,朴宣映
고수,高洙
정찬,郑灿
장혁,张赫
김희철,希澈
고건,高建
수지,秀智
독고영재,独孤永宰
유리,俞利
빅토르,维克多
성훈,成勋
순정효황후,纯贞孝皇后
민호,珉豪
환희,黄伦硕
윤아,润娥
허정,许政
현빈,玄彬
태민,泰民
함은정,咸𤨒晶
승리,胜利
장훈,张本勋
태양,太阳
최강창민,沈昌珉
려욱,厉旭
효린,孝琳
찬성,黄灿盛
김범,金泛
설리,崔真理
유빈,宥斌
공유,孔刘
시원,崔始源
이준,李准
서우,瑞雨
신건,辛建
은혁,银赫
예성,艺声
콘스웨이트,哥夫韦特
신동,神童
김성택,春日王克昌
이인혜,李仁𬤝
권집,权辑
신애,申爱
신지,申智
재희,在喜
지연,朴芝妍
김기범,起范
홍철,洪喆
강남,康男
빅터,域陀
샤카,沙克亚
선예,先艺
핫펠트,誉恩
김다솜,多顺
유건,刘建
임혁,林赫
선미,宣美
최정,崔廷
스티븐,史蒂文
수현,金秀贤
강두,姜斗
이진,李真
김조광수,金赵光秀
종현,钟铉
길,吉成俊
솔비,权志晏
사오리,张佐绪里
주현,朱铉
이참,李参
의민태자,李垠
소연,朴昭妍
문희,文姬
민룡,闵龙
아드리아누,艾杜安奴
슈바,祖华
강풀,姜草
제아,金孝珍
이현,李贤
미나,沈敏雅
백현,伯贤
니키,尼基
기욤,纪尧姆
패트리,帕特里
권혁,权奕
찬열,灿烈
권일,权逸
조권,赵权
김준,金俊
보람,全宝蓝
최다니엘,崔丹尼尔
현우,显祐
최윤,崔允
이적,李笛
이상,李箱
윤빛가람,尹比加兰
천둥,天动
아우미르,艾美亚
로페스,卢比斯
루나,路拿
김태정,唐龙
전진,前进
리키,瑞奇
미료,赵美慧
유룡,刘龙
루벤,鲁宾
베르넌시오,贝隆斯奥
롭,罗布
레프스나이더,瑞福斯奈德
이용,李镕
조셉,乔瑟夫
칸,坎恩
앤디,李先镐
이에리사,李艾莉萨
김완,金浣
윤현,尹铉
정아,廷娥
태미,金景淑
블라디미르,弗拉基米尔
요반치치,约万西奇
성우리,中村友理
소유,韶宥
이원,李源
알렉산더,亚历山大
이솜,李絮
정준,郑俊
루시아누,卢斯安奴
발렌치,华伦迪
지우스,迪乌斯
조안,赵安
의친왕,李堈
큐리,李居丽
정희철,熹哲
아유미,伊藤由美
스티페,斯泰普
라피치,拉皮奇
우영,张祐荣
준호,李俊昊
장용,张勇
권율,权律
엘,金明洙
장광,张光
박유향,诗音
가희,嘉熙
하민우,旼佑
현영,贤荣
브라이언,朱玟奎
채연,蔡妍
이석,李锡
이특,利特
김숙,金淑
진혁,陈赫
찬희,姜澯熙
라비,金元植
정욱,郑旭
최란,崔兰
채림,蔡琳
휘성,辉晟
유진,柳真
장하오저,张镐哲
리세,权梨世
황보,皇甫惠贞
조순,赵淳
니모,吴尚恩
다니,金岱妮
노을,卢乙
수애,秀爱
이완,李莞
류담,柳潭
이언,李言
지성,池晟
홍기,洪基
선우은숙,鲜于银淑
나현,罗玄
박나래,朴娜𠡠
김신,金信
방민아,珉雅
성준,盛骏
에릭,文晸赫
맷,麦
사이먼,西蒙
김민,金玟
이영,俐英
정헌,正宪
우혜림,惠林
이훈,李勋
성민,晟敏
고은,高银
혜리,惠利
김청,金清
신사동호랭이,新沙洞老虎
강별,姜星
성제,金成帝
박봄,朴春
홍진,洪震
강민,姜旼
성모,尹成模
유선,裕善
윤학,郑允鹤
채빈,彩彬
강지영,知英
선우용여,鲜于龙女
설훈,薛勋
온유,温流
션,肖恩
리차드,理查德
규현,圭贤
원빈,元斌
길건,吉健
듀크,李浩成
진경,陈庆
유노윤호,郑允浩
박소진,素珍
손성아,成雅
최권,崔权
림킴,金艺琳
마린,张庆欢
디오,都敬秀
정다소미,郑多素美
우현,禹贤
티애,李太恩
조아영,雅英
정엽,郑烨
이엘,李伊
선우재덕,鲜于载德
승재,许泰熙
오희,吴熙
최민,崔珉
이얼,李臬
윤조,慎胤祖
최희,崔熙
한희,韩熙
창조,创造
병헌,秉宪
슬기,瑟琪
매드라이프,洪珉绮
배우희,优熙
산들,灿多
진영,振永
공찬,孔灿
정우,郑宇
지우,至祐
박경리,倞利
세리,世理
황우슬혜,黄雨瑟惠
윤박,尹博
승호,升昊
정현,郑泫
시현,金始炫
렌,崔珉起
민희,朱敏熙
동현,金东玄
재효,宰孝
권민아,珉娥
고윤,高允
소향,素香
효은,李孝恩
최웅,崔雄
지선,黄智宣
영재,崔荣宰
유겸,金有谦
죠앤,李妍智
박진,朴振
양현,梁贤
은비,高恩妃
초아,草娥
표혜미,慧美
김설현,雪炫
인섹,崔仁石
이레,李蕊
전율,田庾理
달수빈,秀彬
미케일라,米凯拉
디츠,迪耶兹
신지민,智珉
허준,许俊
선우정아,鲜于贞娥
솔지,率智
엘린,金旼荣
시은,朴莳恩
금미,白宝蓝
김경남,夫裴
유나,酉奈
한다라,海岭
하니,哈妮
혜린,慧潾
동하,东夏
공명,孔明
신혜정,惠晶
이엘리야,李伊利雅
소율,昭燏
허웅,许雄
김권,金权
레오,郑泽运
켄,李宰焕
주영,周永
주권,朱权
스테파니,斯蒂芬妮
슈가,闵玧其
홍빈,李弘彬
하준,嘏俊
해찬,楷灿
화사,华莎
승희,胜熙
원우,全圆佑
이로,加频
문별,玟星
솔라,颂乐
장률,张律
김필,金必
최환,崔桓
지수,金志洙
효정,效定
주헌,李周宪
다혜,多惠
수민,池受玟
케빈,凯文
재민,渽民
라이언,莱恩
고준,高俊
조가은,佳恩
디노,李灿
우효,于孝恩
승관,夫胜宽
에스쿱스,崔胜哲
민규,金珉奎
우지,李知勋
도겸,李硕珉
문빈,文彬
박훈,朴勋
해빈,韩海彬
양예나,睿娜
유영,刘永
민혁,民赫
민재,旼宰
김봄소리,金本索里
허율,许律
로운,金锡佑
보나,苞娜
다원,达渊
강혜연,蕙妍
정유지,有智
박경,朴经
채영,彩瑛
기현,柳基现
지효,志效
다현,多贤
나연,娜琏
셔누,孙贤祐
강다니엘,姜丹尼尔
소영,林昭瑛
오혁,吴赫
미미,金美贤
신현수,申𫍽洙
연우,妍雨
종섭,金钟燮
백호,姜东昊
최리,崔里
유정,金柔廷
소희,金昭喜
민서,金敏书
후이,李会泽
헤즈,洪宜珍
태일,李泰欥
황희,黄熙
박정,朴钉
성연,成嬿
박시연,施妍
류원,柳垣
학진,鹤辰
권채원,恩彩
문숙,文淑
원호,李虎锡
피넛,韩旺乎
루아,金秀璟
리나,姜昭恩
다영,多荣
정연,定延
제이크,杰克
설아,雪娥
폰,许元硕
여름,夏天
서훈,徐薰
곽빈,郭彬
코고나다,名田高梧
홍석,梁洪硕
현진,贤真
던,金晓钟
진호,赵珍虎
도영,道英
태용,泰容
고욱,宋元锡
이진솔,真率
솔빈,率滨
린샤오쥔,林孝埈
정채연,彩娟
선우예권,鲜于艺权
의진,李宜缜
로몬,朴所罗门
은서,恩熙
재현,在玹
청하,请夏
연정,俞延静
인성,金仁性
키노,姜炯求
우석,郑禹奭
주연,李柱延
지안,智眼
영훈,金泳勋
루리,李秀炫
진예,津锐
황보승희,皇甫承希
홍경,洪庆
나윤,金娜允
재호,徐在宇
혜빈,慧彬
장준,张准
유경,湵京
범규,杋圭
수빈,秀彬
방찬,方灿
정휘,郑𪸩
신원,高信源
해윤,海允
지원,智媛
영빈,金永彬
한결,李翰洁
강훈,姜勋
은상,李垠尚
시연,始娟
리노,李旻浩
루키,宋义进
희진,姬振
미연,曹薇娟
재윤,李在允
전웅,田雄
원필,金元弼
이도현,李到𬀪
도운,尹度云
하슬,夏瑟
이설,李雪
진솔,郑真率
채령,李彩领
류진,申留真
예지,黄礼志
승민,金升玟
엘라,金京主
라키,朴慜赫
진진,朴真佑
보라,紫萝
현재,李在贤
김우진,宇珍
창빈,彰彬
진안,秦安
성찬,成灿
적재,郑宰沅
준규,金俊奎
허영,许荣
이근,李根
나나,权娜延
주은,李主恩
김히어라,金赫拉
베릴,赵干熙
쇼메이커,许秀
허찬,许灿
동헌,李东宪
선우,金善禹
수진,徐穗珍
려운,厉云
현준,许玹准
서욱,徐旭
제우스,宙斯
태현,太显
황보름별,黄宝凛星
셀린,席琳
휴닝바히에,休宁巴伊叶
지니,崔允珍
윤호,丁润浩
홍중,金弘中
이연,李妍
덱스,金珍映
반,潘
기문,基文
연아,妍儿
영표,荣杓
두리,杜里
명박,明博
정희,正姬
민기,民基
용화,容和
영생,永生
영권,英权
진현,镇铉
현수,贤秀
문식,文植
영린,荣邻
원순,元淳
상현,相现
병국,秉局
한나,汉娜
은선,银善
손,孙
태진,泰珍
수미,秀美
남규,南奎
승모,升模
염,廉
기훈,基勋
나,罗
아름,雅凛
진,真
이한,理翰
하이,遐怡
선진,善津
격호,格浩
현상,贤尚
선유,善有
재중,在中
명숙,明淑
영애,英爱
용준,勇浚
태훈,太勋
승완,承完
민정,玟廷
영희,令姬
원재,源载
장은,章银
요섭,耀燮
성현,成贤
찬욱,赞郁
운재,云在
태환,泰桓
수환,寿焕
무현,武铉
정환,贞桓
규하,圭夏
명보,明甫
진실,真实
효리,孝利
영아,永雅
은경,恩庆
기,奇
성용,诚庸
아중,亚中
근석,根硕
청준,清俊
경리,景利
준섭,俊燮
대중,大中
소민,沼玟
승만,承晚
경아,暻娥
운찬,云灿
민영,敏英
종필,钟泌
정무,丁茂
자철,滋哲
범근,范根
천수,天秀
두환,斗焕
형택,亨泽
숙자,淑子
차옥,次玉
무교,戊校
해정,海晶
경은,景银
남준,南准
흥민,兴慜
윤진,伦珍
창동,沧东
혜선,惠善
수녕,水宁
태우,泰愚
은희,银姬
희경,熙琼
수연,受延
재범,宰范
수경,秀卿
진석,镇奭
소리,素利
황식,滉植
광현,广铉
승용,承龙
동호,东浩
은중,殷中
광선,光善
상화,相花
이경,利卿
지현,智贤
미란,美兰
경영,京宁
성룡,成龙
동진,东进
방자,方子
종신,钟信
진수,真秀
봉,奉
중근,重根
범수,范洙
연석,演锡
소현,所泫
옥빈,玉彬
혜옥,惠玉
지혜,智惠
현확,铉碻
석,石
은미,银美
은실,恩实
영자,英子
승훈,承勋
짐,吉姆
범석,范锡
승렬,升烈
형일,亨镒
연성,延星
재성,在成
민아,敏儿
민수,敏寿
민우,玟雨
보선,潽善
예진,艺真
미진,美进
아라,雅罗
혜진,惠轸
아람,雅岚
태규,太奎
은지,恩智
학선,鹤善
혜수,憓秀
재헌,载宪
휘향,辉香
은아,恩雅
호정,好贞
종원,钟原
시완,时完
세훈,世勋
진희,珍熙
근영,瑾莹
사랑,思朗
기덕,基德
두나,斗娜
수정,秀贞
연경,软景
경선,敬善
신영,信永
도연,道嬿
남선,南善
담비,淡妃
원근,源根
근철,根哲
주호,柱昊
선,宣
동열,铜烈
준수,俊秀
희섭,希涉
양숙,良淑
상은,尚垠
영광,永光
세혁,世爀
태희,泰希
희선,喜善
은숙,银淑
문열,文烈
태호,台镐
남길,南佶
희숙,希淑
준영,俊英
광희,光熙
준기,准基
동준,桐俊
종욱,锺郁
시경,始璄
육,陆
경화,京和
동원,东原
기정,基祯
재영,在咏
회찬,会灿
윤혜,允慧
정석,政奭
리수,莉秀
보배,甫倍
용기,镛基
근혜,槿惠
규식,奎植
태지,太志
보경,甫炅
용형,容衡
청용,青龙
아성,我星
혜영,惠英
상천,商天
모,牟
태범,太钒
종오,钟午
용은,容银
혜석,蕙锡
동건,东健
치영,致暎
자연,紫妍
선명,鲜明
하늘,荷娜
웅용,雄镕
유천,有天
요환,遥焕
한봉,汉奉
루마,闰珉
택상,泽相
나영,奈映
영하,英夏
중문,重文
재형,宰亨
후락,厚洛
궁민,宫珉
성기,圣基
사,史
재혁,载赫
선화,善花
여옥,丽玉
영태,荣泰
영선,永善
준혁,埈赫
종범,钟范
상훈,尚勋
승우,承佑
두현,斗炫
제훈,帝勋
한열,韩烈
소은,昭訚
동수,东秀
하선,河宣
익희,翼熙
회창,会昌
윤옥,润玉
연재,延在
서연,智恩
라,罗
서형,瑞亨
석호,锡镐
선홍,善洪
혜천,惠践
재진,宰榛
진규,珍圭
왕,王
기춘,机春
유근,幽根
진철,真喆
견,甄
미리,美里
철승,哲承
선동,仙东
충희,忠熙
소이,素怡
원식,元植
원철,源哲
한별,韩星
태웅,泰雄
덕현,德现
학자,鹤子
영석,英硕
지빈,智彬
은별,银别
기희,基熙
성근,星根
일선,日善
임생,林生
재규,载圭
윤영,允荣
순태,纯泰
지완,志完
원기,元基
창순,彰顺
신양,新阳
요찬,尧赞
원희,元熹
동완,烔完
창수,昌洙
중훈,重勋
수근,守根
태균,泰均
인천,仁天
내상,内相
교문,教文
용대,龙大
한수,翰秀
우혁,佑赫
지훈,智薰
성흔,性炘
진화,振和
경호,敬淏
지환,智焕
용택,龙泽
세은,世恩
윤지,允智
지영,智泳
미숙,美淑
인환,仁焕
준석,俊锡
솔규,率圭
공,孔
용하,容夏
완섭,完燮
아연,娥娟
유환,裕焕
상수,商守
인식,寅植
재용,在镕
병현,秉铉
인화,忍和
귀,可
여니,爱淘
동근,东根
인석,仁锡
홍길,弘吉
용성,镛成
영기,永基
범영,范永
인정,仁贞
진이,镇伊
형돈,亨敦
준하,埻夏
건모,健模
옥,玉
택연,泽演
장미,将美
윤식,润植
태휘,泰辉
순이,顺伊
상미,相美
호동,镐童
유미,有美
재석,载锡
사니,莎妮
지은,枝恩
우진,玗臻
선영,善英
시후,时厚
치훈,治勋
진선,镇善
민성,敏成
효진,孝真
범곤,范坤
수만,秀满
달수,达秀
대평,大平
지만,志晚
시헌,时宪
민표,旼杓
연건,演建
증현,增铉
해란,海兰
석우,锡雨
창원,昌源
정렬,贞烈
학범,鹤范
덕우,德祐
하나,荷娜
성환,成焕
영명,永命
재응,在应
진운,珍云
광수,光洙
병만,炳万
봉수,奉洙
신혜,薪惠
정원,贞洹
은우,恩宇
애란,爱烂
보연,甫娟
민,闵
지아,智雅
주희,周熙
병준,秉准
소정,昭正
철우,喆雨
헌재,宪宰
상우,尚禹
옥희,玉姬
당,唐
예서,汭序
조영,祚永
경림,京林
희봉,希峰
종민,钟旼
예슬,艺瑟
담민,潭民
순재,顺载
이나,伊娜
두관,斗官
일록,日录
완규,完圭
몽헌,梦宪
치홍,致弘
향남,香男
영란,英兰
여진,汝珍
지석,芝释
국현,国现
범호,杋浩
길남,吉男
성균,成均
강희,江姬
관용,宽容
도,都
지한,枝寒
호진,昊辰
건우,建宇
익준,益准
동석,东石
민지,旻智
문수,文洙
만석,万石
옥숙,玉淑
규리,奎吏
대환,大焕
종찬,钟赞
알,秋
렉스,宪坤
종혁,钟赫
호준,镐浚
대영,大永
영성,永星
태완,泰琓
효숙,孝琡
미선,美善
창현,昌贤
화수,和洙
지희,智熙
하은,贺恩
학순,学顺
윤재,胤载
상진,尚进
태임,泰林
민경,玟镜
진욱,阵郁
재원,载沅
동민,东旻
택수,泽洙
태란,泰兰
기붕,起鹏
영도,荣道
현철,显哲
종업,钟业
선민,先民
창욱,昌旭
진서,镇瑞
춘헌,春宪
인권,吝劝
수남,秀男
재덕,在德
재환,宰焕
정윤,贞允
희애,喜爱
기우,己雨
지운,知云
해숙,海淑
강호,康昊
준형,俊炯
주봉,柱奉
이재,怡才
만희,万熙
인영,仁永
법민,法旼
세라,世摞
두심,斗心
충현,忠显
동일,东镒
기택,琦泽
인수,仁秀
동훈,东勋
석민,锡珉
건형,建炯
소라,素罗
채화,彩华
덕귀,德贵
추,秋
하룡,河龙
수봉,守峰
광석,光石
혜자,惠子
청천,青天
부경,富竞
세동,世东
길훈,吉勋
석현,锡炫
희찬,熙灿
현만,贤万
기찬,基灿
경민,京民
중업,重业
수원,水院
승룡,承龙
상렬,相烈
다빈,多彬
태권,泰权
민식,岷植
동문,东文
호석,昊锡
훈현,薰铉
윤정,伦贞
광래,广来
승배,承培
하,夏
희라,希罗
민종,旻钟
렌킴,起范
준익,濬益
민석,珉锡
용식,溶植
호용,镐溶
애라,爱罗
명신,命新
태곤,太坤
윤숙,允淑
용찬,庸灿
홍원,烘原
우여,祐吕
경훈,景勋
제문,帝文
경환,卿焕
상호,相浩
서영,瑞英
승규,升圭
규로,奎鲁
승화,升和
석원,锡源
창훈,昌勋
상중,相中
뢰성,礼圣
계령,季昑
동욱,东旭
종일,钟镒
명휘,明辉
혜성,彗星
유람,游岚
희순,喜洵
정민,政珉
소,苏
지섭,志燮
계상,启相
이욱,利郁
상윤,相仑
창정,昌丁
원복,元馥
정명,正明
효신,孝信
빛나,嫔娜
활란,活兰
후명,厚明
한이,汉伊
양호,亮镐
혜련,惠莲
감,甘
우성,宇成
성령,成铃
수성,寿成
태군,泰君
성진,成珍
성규,圣圭
민형,明迥
정빈,贞彬
경원,卿瑗
중일,仲逸
성범,成范
승효,承洨
청아,清娥
기웅,基雄
석천,锡天
해민,海旻
항서,恒绪
희수,熙洙
누리,卢丽
하영,夏荣
희성,熙圣
갑용,甲龙
해철,海澈
재명,财明
석영,皙暎
정길,正吉
장순,章洵
현종,玹种
지민,智敏
혜연,惠连
익환,益焕
석희,锡希
문순,文洵
서라,曙曪
연희,沇熹
재욱,在旭
한선,汉善
덕화,德华
우휘,于辉
원진,垣晋
원준,元俊
재기,在基
반석,反锡
석수,硕洙
대호,大镐
건상,建相
하윤,昰昀
상홍,商洪
궁원,宫远
태수,汰遂
준엽,俊晔
창석,昌锡
온,温
주완,朱莞
우찬,雨灿
창남,昌男
성동,星东
필중,弼重
종우,钟佑
혜정,惠贞
승현,升炫
하늬,荷妮
방언,邦彦
지호,志镐
창근,昌根
혜원,慧园
보희,甫姬
재상,哉相
상균,商扦
형,邢
시훈,时熏
정렴,正濂
예,芮
동성,东圣
영덕,荣德
경준,敬竣
요한,约翰
성웅,星雄
범신,范信
재은,在恩
병덕,秉德
병범,秉范
인엽,仁烨
형근,亨根
응준,应俊
근태,槿泰
을동,乙东
가윤,嘉允
준희,准熹
창의,昶仪
정음,正音
덕환,德焕
석진,锡辰
화순,和顺
경순,京纯
형민,亨民
현승,贤承
대명,大明
영규,英奎
원상,元相
태하,泰夏
새별,新星
찬숙,赞淑
미자,美子
경자,敬子
병수,炳守
자옥,慈玉
기준,基俊
춘위,春郁
웅천,雄天
종훈,锺勋
형숙,亨淑
월선,月仙
주형,周炯
우중,宇中
아현,雅贤
수아,秀儿
경규,敬揆
미희,美姬
치원,致远
라진,罗振
민진,玟真
요원,枖原
한성,汉成
신미,信美
지남,指南
장무,长茂
종애,宗爱
피,皮
흥수,兴铢
필립,必立
지숙,知淑
옥렬,玉烈
충균,忠均
성원,成源
혜교,慧乔
윤기,润起
해리,海利
준환,浚焕
인철,麟彻
시라,时那
갑수,甲洙
필상,弼商
한기,汉基
승종,胜钟
기수,基秀
윤대,允大
의종,懿钟
대제,大济
준용,埈镕
두한,斗汉
여,吕
본무,本茂
경률,京律
경두,倞杜
달영,达永
연서,涟序
세돌,世乭
성하,成夏
종석,钟奭
특영,特英
애영,爱英
불암,佛岩
충식,忠植
성윤,星允
다희,多熙
승은,胜恩
주환,周焕
정한,正汉
상협,尚协
승범,承范
태준,太准
상민,相民
정진,订晋
민환,敏焕
영은,令恩
윤섭,允燮
선엽,善烨
기갑,基甲
승헌,承宪
기원,基源
해원,海远
장우,章宇
우연,孝荣
동빈,东彬
길옥,吉玉
성재,圣宰
지애,智爱
숭용,崇勇
정락,政洛
주원,周原
주찬,周灿
경미,敬美
태리,泰利
대훈,大勋
형욱,炯旭
형태,亨泰
시백,始柏
창환,昌焕
상필,相弼
재록,载禄
규정,奎祯
용옥,容沃
동윤,东允
정태,正泰
찬우,灿宇
영현,荣昡
정난,正兰
영환,永焕
남진,男珍
예령,艺玲
온아,温儿
판곤,判坤
탁,卓
채아,彩雅
새봄,赛范
준식,准植
용재,勇载
화영,和荣
새론,赛纶
정야,正也
순철,淳哲
의선,义宣
서준,叙俊
동운,东云
은채,恩彩
대현,大贤
슬옹,瑟雍
선빈,善彬
은범,恩范
창민,畅敏
재우,在宇
아섭,儿叶
남표,南杓
중권,重权
이건,尹厚
신도,神道
혜숙,惠淑
다민,多敏
세정,世丁
정모,正模
에,李
일리,艺真
우빈,宇彬
보름,宝凛
훙,洪
톈밍,天明
흥식,兴植
성숙,成淑
창숙,昌淑
성은,成恩
빈우,彬宇
애경,爱敬
규완,圭莞
준연,俊渊
성열,成烈
윤경,允庆
선경,宣敬
동선,东宣
달식,达植
선재,善财
리혜,梨惠
근령,槿姈
희룡,喜龙
혜경,蕙敬
차연,且妍
필희,弼姬
재엽,载烨
세종,世种
쥬니,朱妮
순영,顺荣
임정,任贞
본길,本佶
승환,升桓
승연,丞涓
세아,世雅
연수,娟受
가연,佳嬿
유석,庾石
종규,钟圭
낙춘,乐春
수희,水熙
화연,和娟
현정,贤静
재순,在顺
애리,爱利
우민,宇珉
예련,艺莲
세욱,世旭
상기,相纪
승태,承泰
갑순,甲顺
은석,恩锡
클,李
라라,成敏
유섬,萸暹
완수,完洙
규환,圭焕
한준,汉俊
무숙,戊淑
자현,瓷炫
도빈,道斌
국,菊
설희,雪姬
재웅,载雄
형식,炯植
태윤,泰允
다은,多恩
금희,成媛
주상,柱相
종빈,钟彬
윤희,胤熙
시윤,施允
일갑,日甲
다감,多感
승아,承雅
시민,时敏
규종,奎钟
권택,权泽
승찬,升瓒
제규,帝圭
보미,普美
잔디,珍迪
성식,成湜
호민,镐民
준표,准杓
숙희,淑姬
해효,海骁
지규,智圭
자명,子明
도은,叶玺
성한,成汉
상엽,相烨
지광,志光
희열,喜烈
시언,施彦
한동,汉东
근안,根安
한승,汉乘
용필,容弼
신욱,信煜
왕용,王龙
희준,熙俊
선용,善溶
철한,哲瀚
석훈,锡勋
세윤,世润
재정,在贞
현선,铉善
형탁,亨倬
유비,侑菲
은성,恩诚
규한,奎翰
재황,在煌
효춘,孝春
혜은,慧殷
정재,丁载
해미,海美
희태,熺太
충훈,忠勋
상연,尚渊
진성,真星
탐희,潭熙
연선,妍善
근형,根滢
상면,相勉
원숙,元淑
병세,炳世
시영,施昤
장춘,长春
진모,镇模
