aleksandrs,알렉산드르스,alregsandeureuseu
daliņš,달린슈,dalrinsyu
arnis,아르니스,areuniseu
mednis,메드니스,medeuniseu
kaspars,카스파르스,kaseupareuseu
gorkšs,고르크슈,goreukeusyu
cauņa,차우냐,caunya
vitālijs,비탈리스,bitalriseu
astafjevs,아스타페우스,aseutapeuseu
nelsons,넬손스,nelsonseu
gustavs,구스타우스,guseutauseu
zemgals,젬갈스,jemgalseu
zatlers,자틀레르스,jateulrereuseu
vilis,빌리스,bilriseu
krištopans,크리슈토판스,keurisyutopanseu
kalvītis,칼비티스,kalbitiseu
miša,미샤,misya
maiskis,마이스키,maiseuki
afanasijs,아파나시스,apanasiseu
kuzmins,쿠즈민스,kujeuminseu
alberts,알베르츠,albereuceu
kviesis,크비에시스,keubiesiseu
kononovs,코노노프,kononopeu
jēkabs,예캅스,yekabseu
peterss,페테르스,petereuseu
silovs,실로프스,silropeuseu
bārtulis,바르툴리스,bareutulriseu
tomass,토마스,tomaseu
ksenija,크세니야,keuseniya
solo,솔로,solro
māris,마리스,mariseu
verpakovskis,베르파코우스키스,bereupakouseukiseu
ivars,이바르스,ibareuseu
godmanis,고드마니스,godeumaniseu
marija,마리야,mariya
naumova,나우모바,naumoba
aija,아이야,aiya
andrejeva,안드레예바,andeureyeba
anastasija,아나스타시야,anaseutasiya
sevastova,세바스토바,sebaseutoba
ineta,이네타,ineta
radēviča,라데비차,radebica
štrombergs,슈트롬베르크스,syuteurombereukeuseu
artūrs,아르투르스,areutureuseu
irbe,이르베,ireube
dainis,다이니스,dainiseu
kūla,쿨라,kulra
eduards,에두아르츠,eduareuceu
kalniņš,칼닌슈,kalninsyu
augusts,아우구스츠,auguseuceu
kirhenšteins,키르헨슈테인스,kireuhensyuteinseu
ausma,아우스마,auseuma
ziedonekantāne,지에도네칸타네,jiedonekantane
viktorija,빅토리아,bigtoria
modesta,모데스타,modeseuta
uvis,우비스,ubiseu
vladislavs,블라디슬라우스,beulradiseulrauseu
gutkovskis,구트코우스키스,guteukouseukiseu
paukštello,파욱슈텔로,paugsyutelro
deniss,데니스,deniseu
čerkovskis,체르코우스키스,cereukouseukiseu
ināra,이나라,inara
mūrniece,무르니에체,mureuniece
agate,아가테,agate
muceniece,무체니에체,muceniece
jana,야나,yana
sekste,섹스테,segseute
ilze,일제,ilje
ķuzuleskrastiņa,추줄레스크라티냐,cujulreseukeuratinya
romualds,로무알츠,romualceu
ražuks,라죽스,rajugseu
beness,아이조,aijo
aijo,베네스,beneseu
pauls,파울스,paulseu
keišs,케이슈,keisyu
ēriks,에릭스,erigseu
pelcis,펠치스,pelciseu
gundars,군다르스,gundareuseu
celitāns,첼리탄스,celritanseu
laura,라우라,raura
rizoto,히조투,hijotu
jackēvičs,야츠케비치,yaceukebici
vsevolods,브세볼로스,beusebolroseu
zeļonijs,젤로니스,jelroniseu
baiba,바이바,baiba
broka,브로카,beuroka
daudziņš,다우진슈,daujinsyu
kučinskis,쿠친스키스,kucinseukiseu
tobu,토부,tobu
uldis,울디스,uldiseu
pūcītis,푸치티스,pucitiseu
georgijs,게오르기스,georeugiseu
kuļikovs,쿨리코우스,kulrikouseu
aļona,옐레나,yelrena
ostapenko,오스타펜코,oseutapenko
pjotrs,페트르,peteureu
avens,아벤,aben
raimonds,라이몬츠,raimonceu
vējonis,베요니스,beyoniseu
aminata,아미나타,aminata
savadogo,사바도고,sabadogo
kristīne,크리스티네,keuriseutine
nevarauskaatkočūne,네바라우스카,nebarauseuka
ieva,이에바,ieba
lagūna,라구나,raguna
šiškins,시슈킨스,sisyukinseu
edgars,에드가르스,edeugareuseu
rinkēvičs,린케비치,rinkebici
jeļena,옐레나,yelrena
maļuka,루블레우스카,rubeulreuseuka
pīnups,피눕스,pinubseu
deandrē,디안드레,diandeure
jedlins,예들린,yedeulrin
ģirts,지르츠,jireuceu
ķesteris,체스테리스,ceseuteriseu
arsens,아르센스,areusenseu
miskarovs,미스카로우스,miseukarouseu
ingūna,잉구나,ingguna
butāne,부타네,butane
atis,아티스,atiseu
slakteris,슬락테리스,seulragteriseu
samanta,사만타,samanta
tīna,티나,tina
laimdota,라임도타,raimdota
straujuma,스트라우유마,seuteurauyuma
zemgus,젬구스,jemguseu
girgensons,기르겐손스,gireugensonseu
rūdolfs,루돌프스,rudolpeuseu
gaitars,가이타르스,gaitareuseu
kristaps,크리스탑스,keuriseutabseu
porziņģis,포르진지스,poreujinjiseu
ingrīda,잉그리다,inggeurida
andriņa,안드리냐,andeurinya
helga,헬가,helga
dancberga,단츠베르가,danceubereuga
evika,에비카,ebika
siliņa,실리냐,silrinya
ārons,아론스,aronseu
bogoļubovs,보골루보프스,bogolrubopeuseu
latvija,라트비아,rateubia
irbes,이르베,ireube
šaurums,해협,haehyeob
latvijas,라트비아,rateubia
futbola,축구,cuggu
federācija,연맹,yeonmaeng
jūrmala,유르말라,yureumalra
piltene,필테네,piltene
eiro,유로,yuro
rīga,리가,riga
aknīste,아크니스테,akeuniseute
kurzeme,쿠를란트,kureulranteu
ģerbonis,국장,gugjang
rīgas,리가,riga
radio,라디오,radio
un,및,mic
televīzijas,텔레비전,telrebijeon
tornis,타워,taweo
jaunjelgava,야우넬가바,yaunelgaba
izlase,국가대표팀,guggadaepyotim
latviešu,라트비아,rateubia
mitoloģija,신화,sinhwa
jelgava,옐가바,yelgaba
tukums,투쿰스,tukumseu
aizkraukle,아이스크라우클레,aiseukeuraukeulre
jēkabpils,예캅필스,yekabpilseu
strūves,스트루베,seuteurube
ģeodēziskais,측지,ceugji
loks,아크,akeu
rēzekne,레제크네,rejekeune
valpurģu,발푸르기스의,balpureugiseuyi
nakts,밤,bam
ainaži,아이나지,ainaji
sigulda,시굴다,sigulda
saeima,사에이마,saeima
psrs,소련,soryeon
basketbola,농구,nonggu
krāslava,크라슬라바,keuraseulraba
salacgrīva,살라츠그리바,salraceugeuriba
latgale,라트갈레,rateugalre
bauska,바우스카,bauseuka
baltijas,발트,balteu
asambleja,의회,yihoe
zemgale,젬갈레,jemgalre
balvi,발비,balbi
universitāte,대학교,daehaggyo
dobele,도벨레,dobelre
daugava,다우가바,daugaba
vidzeme,비제메,bijeme
ventspils,벤츠필스,benceupilseu
skonto,스콘토,seukonto
dzintara,호박의,hobagyi
ceļš,길,gil
ogre,오그레,ogeure
salaspils,살라스필스,salraseupilseu
olimpiskajās,라트비아,rateubia
spēlēs,선수단,seonsudan
saldus,살두스,salduseu
ludza,루자,ruja
alūksne,알룩스네,alrugseune
madona,마도나,madona
dziesmotā,노래,norae
revolūcija,혁명,hyeogmyeong
gulbene,굴베네,gulbene
grobiņa,그로비냐,geurobinya
lielvārde,리엘바르데,rielbareude
pērkonkrusts,천둥십자당,ceondungsibjadang
preiļi,프레일리,peureilri
monētas,주화,juhwa
daugavpils,다우가프필스,daugapeupilseu
airbaltic,에어발틱,eeobaltig
liepājas,리에파야스,riepayaseu
metalurgs,메탈루르크스,metalrureukeuseu
dievturība,디에브투리바,diebeuturiba
dzelzceļš,철도,ceoldo
valka,발카,balka
baldone,발도네,baldone
mikrotīkls,미크로틱,mikeurotig
cēsis,체시스,cesiseu
valmiera,발미에라,balmiera
pārkrievošana,러시아화,reosiahwa
brīvības,자유,jayu
piemineklis,기념비,ginyeombi
tīģeri,호랑이,horangi
blāzma,블라즈마,beulrajeuma
apriņķis,아프린치스,apeurinciseu
kuldīga,쿨디가,kuldiga
vienotība,단결,dangyeol
dienas,디에나스,dienaseu
lapa,라파,rapa
sieviešu,여자,yeoja
olimpiskā,올림픽,olrimpig
komiteja,위원회,wiweonhoe
virtuve,요리,yori
limbaži,림바지,rimbaji
liepāja,리에파야,riepaya
aldaris,알다리스,aldariseu
auda,아우다,auda
krievu,러시아계,reosiagye
savienība,연합,yeonhab
hokeja,아이스하키,aiseuhaki
sports,라트비아의,rateubiayi
latvijā,스포츠,seupoceu
metta,메타,meta
jāņi,야니,yani
saimniecība,경제,gyeongje
miķeļi,미켈리,mikelri
rupjmaize,루피마이제,rupimaije
spartaks,스파르탁스,seupareutagseu
latvijai,라트비아와,rateubiawa
ventspilij,위하여,wihayeo
reģionu,지역,jiyeog
apvienība,연합,yeonhab
jāņu,야니,yani
siers,치즈,cijeu
krievvalodīgie,러시아어권,reosiaeogweon
riga,리가,riga
par,인간적인,inganjeogin
cilvēcīgu,라트비아를,rateubiareul
latviju,위하여,wihayeo
jevgēņijs,예브게니스,yebeugeniseu
maksimenko,막시멩코,magsimengko
romāns,로만스,romanseu
vainšteins,바인슈테인스,bainsyuteinseu
ignatjevs,이그나테우스,igeunateuseu
mediņš,메딘슈,medinsyu
maija,마이야,maiya
eichhorn,아이히호른,aihihoreun
dāvis,다비스,dabiseu
bertāns,베르탄스,bereutanseu
herberts,헤르베르츠,hereubereuceu
vasiļjevs,바실레우스,basilreuseu
sergejs,세르게이스,sereugeiseu
žoltoks,졸톡스,joltogseu
sprukts,스프룩츠,seupeurugceu
zigurds,지구르츠,jigureuceu
lanka,랑카,rangka
bārzdiņa,바르즈디냐,bareujeudinya
dairis,다이리스,dairiseu
harijs,하리스,hariseu
vītoliņš,비톨린슈,bitolrinsyu
mairis,마이리스,mairiseu
briedis,브리에디스,beuriediseu
elīna,엘리나,elrina
garanča,가랑차,garangca
renārs,레나르스,renareuseu
kaupers,카우페르스,kaupereuseu
nils,닐스,nilseu
ušakovs,우샤코우스,usyakouseu
opolais,오폴라이스,opolraiseu
jāzeps,야젭스,yajebseu
vītols,비톨스,bitolseu
ģederts,제데르츠,jedereuceu
eliass,엘리아스,elriaseu
sigvards,시그바르츠,sigeubareuceu
kļava,클랴바,keulryaba
nora,노라,nora
ikstena,익스테나,igseutena
razgulajevs,라즈굴라예우스,rajeugulrayeuseu
haralds,하랄츠,haralceu
marts,마르츠,mareuceu
pujāts,푸야츠,puyaceu
reirs,레이르스,reireuseu
manskis,만스키,manseuki
domburs,돔부르스,dombureuseu
katrīna,카트리나,kateurina
krumpāne,크룸파네,keurumpane
irina,이리나,irina
odojevceva,오도옙체바,odoyebceba
valters,발테르스,baltereuseu
frīdenbergs,프리덴베르크스,peuridenbereukeuseu
pelšs,펠슈,pelsyu
olga,올가,olga
zadvornova,코르사크,koreusakeu
arvils,아르빌스,areubilseu
ašeradens,아셰라덴스,asyeradenseu
valērijs,발레리스,balreriseu
šabala,샤발라,syabalra
lauris,라우리스,rauriseu
reiniks,레이닉스,reinigseu
lūcija,루치야,ruciya
garūta,가루타,garuta
silagailis,실라가일리스,silragailriseu
arvis,아르비스,areubiseu
viguls,비굴스,bigulseu
inese,이네세,inese
zandere,잔데레,jandere
ada,아다,ada
svetlova,스베틀로바,seubeteulroba
rubļevska,루블레프스카,rubeulrepeuseuka
diāna,디아나,diana
marcinkēviča,마르칭케비차,mareucingkebica
artis,아르티스,areutiseu
ostups,오스툽스,oseutubseu
bordāns,보르단스,boreudanseu
arturs,아르투르스,areutureuseu
maskats,마스카츠,maseukaceu
vineta,비네타,bineta
sareika,사레이카,sareika
mamikins,마미킨스,mamikinseu
bondars,본다르스,bondareuseu
roze,로제,roje
stiebra,스티에브라,seutiebeura
konstantīns,콘스탄틴,konseutantin
konstantinovs,콘스탄티노프,konseutantinopeu
linards,리나르츠,rinareuceu
tauns,타운스,taunseu
nevarauska,네바라우스카,nebarauseuka
elīza,엘리자,elrija
tīruma,티루마,tiruma
roberts,로베르트,robereuteu
vipers,비페르,bipereu
sproģis,스프로지스,seupeurojiseu
osis,오시스,osiseu
reinis,레이니스,reiniseu
krūzbergs,크루즈베르크스,keurujeubereukeuseu
ingus,잉구스,ingguseu
vizulis,비줄리스,bijulriseu
krišjānis,크리샤니스,keurisyaniseu
zeļģis,젤지스,jeljiseu
voits,보이츠,boiceu
ilga,일가,ilga
šuplinska,슈플린스카,syupeulrinseuka
kamilla,카밀라,kamilra
bartone,바르토네,bareutone
juhansone,유한소네,yuhansone
inga,잉가,ingga
pizāne,피자네,pijane
daniela,다니엘라,danielra
vismane,비스마네,biseumane
ijabs,이얍스,iyabseu
kandava,칸다바,kandaba
eiropas,유럽,yureob
autoceļš,고속도로,gosogdoro
somi,핀족,pinjog
himna,국가,gugga
lestene,레스테네,reseutene
terra,테라,tera
mariana,마리아나,mariana
europe,유럽,yureob
