热比娅,레비야,rebiya
葛攀,갈반,galban
也,예,ye
斯,쓰,sseu
麦,맥,maeg
嘉,가,ga
咏麟,융린,yungrin
寅恪,인커,inkeo
鸿宾,훙빈,hungbin
葛珪,갈규,galgyu
崔,추,cu
世昌,이스창,iseucang
葛,거,geo
优,유,yu
烨,예,ye
关,관,gwan
之琳,지림,jirim
季,지,ji
羡林,셴린,syenrin
戴,대,dae
震,진,jin
兆基,자오지,jaoji
可辛,커신,keosin
乌,우,u
兰夫,란푸,ranpu
尚昆,상쿤,sangkun
耿,겅,geong
惠昌,후이창,huicang
小鹏,샤오펑,syaopeong
纪恒,지헝,jiheong
鸿忠,훙중,hungjung
洪志,훙즈,hungjeu
文蔚,원웨이,weonwei
春贤,춘센,cunsen
乐泉,러취안,reocwian
悲鸿,베이훙,beihung
希怡,시이,sii
永珀,융포,yungpo
霞,샤,sya
明宇,밍위,mingwi
晶,징,jing
撒,사,sa
贝宁,베이닝,beining
雷,레,re
锋,이펑,ipeong
冠希,관희,gwanhyi
倪,워,weo
郝,하,ha
海东,오하이둥,ohaidung
庆林,칭린,cingrin
霆锋,정봉,jeongbong
祖英,쭈잉,jjuing
爱萍,아이핑,aiping
傅,마,ma
联松,롄쑹,ryenssung
继耐,지나이,jinai
小龙,소룡,soryong
伟平,웨이핑,weiping
震林,전린,jeonrin
金莲,진롄,jinryen
汪,왕,wang
顺,순,sun
国立,궈리,gweori
恺威,카이웨이,kaiwei
耀汉,요한,yohan
秋生,추생,cusaeng
德怀,더화이,deohwai
作义,쭤이,jjweoi
亚鹏,야펑,yapeong
铮,정,jeong
金华,진화,jinhwa
道明,다오밍,daoming
健星,키엔싱,kiensing
采妮,채니,caeni
长青,이창칭,icangcing
键锋,젠펑,jenpeong
丽如,리루,riru
子祥,쯔샹,jjeusyang
耀明,야오밍,yaoming
振中,전중,jeonjung
声琨,성쿤,seongkun
尤,유,yu
权,취안,cwian
舒,수,su
畅,창,cang
安琪,안치,anci
成武,청우,ceongu
耀烨,야오예,yaoye
元庆,위안칭,wiancing
鲍,바,ba
喜顺,오시순,osisun
庚,경,gyeong
诗颖,스잉,seuing
栗,리,ri
战书,잔수,jansu
娄,러,reo
勤俭,우친젠,ucinjen
敏尔,민얼,mineol
俊才,쥔차이,jwincai
纳,나,na
奕欢,오이환,oihwan
淑芳,수팡,supang
保中,우바오중,ubaojung
培源,우페이위안,upeiwian
时,스,seu
佩璞,페이푸,peipu
国强,궈창,gweocang
敬之,징즈,jingjeu
鹿,루,ru
心社,신서,sinseo
子强,쯔창,jjeucang
武,우,u
保铭,바오밍,baoming
乔,차,ca
冠华,오관화,ogwanhwa
秦,친,cin
光荣,광룽,gwangrung
小双,샤오솽,syaoswang
岚清,란칭,rancing
敏德,민덕,mindeog
蔡,차,ca
楚生,이추성,icuseong
丰,펑,peong
子恺,쯔카이,jjeukai
正英,정잉,jeonging
新宇,오신위,osinwi
春,춘,cun
卢,루,ru
福坦,푸탄,putan
瑞伟,우루이웨이,uruiwei
冼,셴,syen
东妹,둥메이,dungmei
钟,종,jong
汉良,한량,hanryang
正永,오정융,ojeongyung
晓岩,샤오옌,syaoyen
诗雯,스원,seuweon
群,췬,cwin
乔波,차오보,caobo
爱瑾,애근,aegeun
淑贞,숙정,sugjeong
兆致,자오즈,jaojeu
鹤洋,우허양,uheoyang
宣,선,seon
萱,훤,hweon
文迪,원디,weondi
楚红,추훙,cuhung
容,용,yong
祖儿,조아,joa
汝章,루장,rujang
隆基,룽지,rungji
尚,샹,syang
气,치,ci
古,고,go
巨基,거기,geogi
文岳,원웨,weonwe
丽媛,리위안,riwian
家栋,가동,gadong
达,다,da
田,톈,tyen
汉,한,han
子霖,쯔린,jjeurin
俊杰,쥔제,jwinje
雄,슝,syung
刁,댜,dya
亦男,오이난,oinan
凤贞,펑전,peongjeon
凡钰,판위,panwi
星,싱,sing
苏,쑤,ssu
童,퉁,tung
小云,샤오윈,syaowin
大为,다웨이,dawei
远,위안,wian
臧,짱,jjang
克家,커자,keoja
敏,오민,omin
邵,런,reon
志伟,즈웨이,jeuwei
方,팡,pang
励之,리즈,rijeu
晴,이칭,icing
欣健,신젠,sinjen
靖琪,청치,ceongci
保华,바오화,baohwa
展工,잔궁,jangung
明明,밍밍,mingming
声,이성,iseong
佘,서,seo
诗曼,스만,seuman
树林,수린,surin
妮,니,ni
荀,쉰,swin
慧生,후이성,huiseong
志文,즈원,jeuweon
综,종,jong
采芹,우차이친,ucaicin
德芬,오더펀,odeopeon
施,스,seu
廷懋,팅마오,tingmao
芮,루,ru
迺伟,이나이웨이,inaiwei
庆东,칭둥,cingdung
家英,가영,gayeong
镇涛,전타오,jeontao
虹,훙,hung
嘉慧,자후이,jahui
天凯,이톈카이,ityenkai
特尔,터얼,teoeol
袁,위,wi
炳添,빙톈,bingtyen
美媛,메이위안,meiwian
令辉,링후이,ringhui
中天,중톈,jungtyen
卜,부,bu
中,중,jung
商,상,sang
荣,룽,rung
洪文,훙원,hungweon
峥,정,jeong
陶,타,ta
灵生,링성,ringseong
韦,웨,we
定欣,정흔,jeongheun
凌,링,ring
菲菲,페이페이,peipei
陆,루,ru
勤勤,친친,cincin
保东,바오둥,baodung
超仪,자오이,jaoi
帖,톄,tye
雅娜,야나,yana
茜尧,첸야오,cenyao
延东,옌둥,yendung
杏儿,싱얼,singeol
梦桃,멍타오,meongtao
志敏,오즈민,ojeumin
喜,헤이,hei
天华,톈화,tyenhwa
岸青,오안칭,oancing
吉,지,ji
炳轩,빙시안,bingsian
宗源,쭝위안,jjungwian
卓娜,줘나,jweona
光烈,광례,gwangrye
邱,추,cu
健,젠,jen
格,거,geo
非,페이,pei
文俊,원쥔,weonjwin
樟柯,장커,jangkeo
玮锋,웨이펑,weipeong
尔,얼,eol
冬升,퉁성,tungseong
欢,환,hwan
子健,이쯔젠,ijjeujen
彤,오퉁,otung
大宝,다바오,dabao
雯雯,원원,weonweon
夏,샤,sya
宝龙,바오룽,baorung
倩莹,우첸잉,ucening
必武,비우,biu
司,쓰,sseu
天峰,톈펑,tyenpeong
蔷,창,cang
基伟,지웨이,jiwei
颖,윙,wing
楚耀,초요,coyo
汉文,한문,hanmun
笔畅,우비창,ubicang
薛,쉐,swe
凯琪,카이치,kaici
枫,풍,pung
广璞,광푸,gwangpu
芳霄,팡샤오,pangsyao
伟,웨이,wei
和平,화평,hwapyeong
纯清,안춘칭,ancuncing
火,훠,hweo
亮,량,ryang
力钧,리쥔,rijwin
良德,량더,ryangdeo
孟,멍,meong
苏平,쑤핑,ssuping
滢,잉,ing
回,후,hu
良玉,이량위,iryangwi
开来,카이라이,kairai
德榜,우더방,udeobang
琰,옌,yen
比利,비리,biri
毕,비,bi
津浩,진하오,jinhao
屠,투,tu
呦呦,유유,yuyu
学谦,쉐첸,swecen
肇星,자오싱,jaosing
晨,오천,oceon
荣光,룽광,runggwang
家璇,자쉬안,jaswian
铁,톄,tye
冠英,관영,gwanyeong
费,페,pe
孝通,이샤오퉁,isyaotung
红雷,훙레이,hungrei
戚,척,ceog
玉武,옥무,ogmu
桂兰,구이란,guiran
旭,쉬,swi
惠妍,후이옌,huiyen
邬,우,u
君梅,쥔메이,jwinmei
励淇,우리치,urici
菲,페이,pei
功红,궁훙,gunghung
羽佳,위자,wija
盛,성,seong
世才,스차이,seucai
欣潼,신퉁,sintung
军,쥔,jwin
飚,뱌오,byao
正伟,정웨이,jeongwei
遥,야오,yao
晓江,샤오장,syaojang
晓松,오샤오쑹,osyaossung
井,징,jing
柏然,보란,boran
莉,리,ri
里,리,ri
炜,웨이,wei
奇,이치,ici
龚,궁,gung
蓓苾,베이비,beibi
日君,르쥔,reujwin
智晟,오즈성,ojeuseong
寒,한,han
静初,징추,jingcu
沈,선,seon
跃跃,웨웨,wewe
真,전,jeon
震业,전예,jeonye
赟定,오윈딩,owinding
柴,차,ca
翰,한,han
康,캉,kang
克清,커칭,keocing
晓飞,샤오페이,syaopei
灵益,링이,ringi
骏凌,쥔링,jwinring
谁,수,su
储,추,cu
安平,안핑,anping
珉,민,min
树清,수칭,sucing
小,샤,sya
沈阳,오선양,oseonyang
琦,치,ci
岸英,오안잉,oaning
柳,류,ryu
传志,촨즈,cwanjeu
秀娜,우슈나,usyuna
镇业,진업,jineob
程,청,ceong
砚秋,옌치우,yenciu
肇,자,ja
俊哲,오쥔저,ojwinjeo
博文,보원,boweon
曲,취,cwi
波,보,bo
霄鹏,샤오펑,syaopeong
云龙,윈룽,winrung
时轮,스룬,seurun
令,링,ring
计划,지화,jihwa
庆黎,칭리,cingri
威,웨이,wei
品梅,핀메이,pinmei
剑英,젠잉,jening
菊,쥐,jwi
觅,미,mi
焰,염,yeom
嵩,쑹,ssung
厚良,허우량,heouryang
永华,융화,yunghwa
潇霆,샤오팅,syaoting
赫,허,heo
汉超,한차오,hancao
桦,화,hwa
其昀,치윈,ciwin
天宇,톈위,tyenwi
永祥,융샹,yungsyang
璨琛,찬천,canceon
守盛,서우성,seouseong
传堂,촨탕,cwantang
绍雄,사오슝,saosyung
卫,웨,we
留成,이류청,iryuceong
奇帆,치판,cipan
晓鹏,샤오펑,syaopeong
帆,판,pan
坚柔,젠러우,jenreou
红,훙,hung
永,융,yung
石曾,스청,seuceong
后,예,ye
咏荷,영하,yeongha
紫函,쯔한,jjeuhan
晓冬,샤오둥,syaodung
政,정,jeong
昌智,창즈,cangjeu
查理,사리,sari
昊辰,하오천,haoceon
美钿,메이톈,meityen
仿吾,팡우,pangu
达明,달명,dalmyeong
锡进,시진,sijin
璐,루,ru
耀宇,야오위,yaowi
蒿,하,ha
俊闵,오쥔민,ojwinmin
菁,칭,cing
史,스,seu
良,량,ryang
𫘜,원,weon
残,찬,can
琢言,줘옌,jweoyen
家辉,자후이,jahui
苗,먀,mya
侨伟,오차오웨이,ocaowei
佳捷,자제,jaje
燊超,선차오,seoncao
钧儒,쥔루,jwinru
霍,훠,hweo
思燕,쓰옌,sseuyen
檀,탄,tan
啸,샤오,syao
仁泰,런타이,reontai
岳,웨,we
敏君,민쥔,minjwin
润伯,룬보,runbo
歌,거,geo
尉,웨,we
健行,이젠싱,ijensing
雯婕,원제,weonje
晖,후이,hui
剑,젠,jen
子君,쯔쥔,jjeujwin
维杰,웨이제,weije
勇智,융,yung
冬雨,우둥위,udungwi
曼,만,man
亚林,이야린,iyarin
梅,메,me
婷,이팅,iting
弋博,이보,ibo
霏霏,이,i
骠,표,pyo
阿,아,a
卡,셀,sel
生,성,seong
泳梁,용량,yongryang
朝阳,차오양,caoyang
当,당,dang
兰芳,이란팡,iranpang
志安,지안,jian
永昌,융창,yungcang
焯华,우촉바,ucogba
喆,저,jeo
姿,자,ja
萧,샤,sya
劲光,오진광,ojingwang
韦彤,우웨이퉁,uweitung
峻,쥔,jwin
承志,오청즈,oceongjeu
绍史,사오스,saoseu
翁,웡,weong
文灏,원하오,weonhao
森,썬,sseon
睿羊,우루이양,uruiyang
海涛,하이터오,haiteoo
淳,춘,cun
春华,춘화,cunhwa
漱溟,수명,sumyeong
蘅毅,헝이,heongi
力,리,ri
幂,미,mi
小东,소동,sodong
壮壮,좡좡,jwangjwang
天乐,천락,ceonrag
国焘,궈타오,gweotao
学农,쉐눙,swenung
超,차오,cao
日华,르화,reuhwa
秋霞,추샤,cusya
浚伟,쥔웨이,jwinwei
菊英,쥐잉,jwiing
宇航,우항,uhang
慈红,츠훙,ceuhung
沛宜,페이이,peii
香,홍,hong
吕,여,yeo
良伟,량위,ryangwi
广义,광이,gwangi
兵,빙,bing
继绳,지성,jiseong
天,톈,tyen
稻葵,다오쿠이,daokui
国梁,궈량,gweoryang
稼祥,자샹,jasyang
小军,샤오쥔,syaojwin
冠杰,관걸,gwangeol
景远,오징위안,ojingwian
友兰,유란,yuran
启立,치리,ciri
之谦,즈첸,jeucen
锐,루이,rui
聿明,위밍,wiming
夔,기,gi
铁梁,톄량,tyeryang
石孙,스쑨,seussun
荃,취안,cwian
森悦,썬웨,sseonwe
稼先,자셴,jasyen
健泓,젠훙,jenhung
海媚,해미,haemi
聪,총,cong
文怀,문회,munhoe
云迪,윈디,windi
北,베,be
坚,견,gyeon
长春,창춘,cangcun
从文,충원,cungweon
锺书,중수,jungsu
毅仁,이런,ireon
治郅,즈즈,jeujeu
小祥,이샤오샹,isyaosyang
房,팡,pang
祖名,쭈밍,jjuming
祥,샹,syang
姬,지,ji
鹏飞,펑페이,peongpei
至,쯔,jjeu
博洋,보양,boyang
翦,젠,jen
伯赞,보짠,bojjan
乃亮,나이량,nairyang
晓明,샤오밍,syaoming
敖,아,a
嘉年,오자녠,ojanyen
志光,즈광,jeugwang
容慧,룽후이,runghui
伯华,우보화,ubohwa
屈,츄,cyu
光春,광춘,gwangcun
子羚,자령,jaryeong
美薇,미미,mimi
怡,이,i
泉,안취안,ancwian
赛飞,싸이페이,ssaipei
洛,알,al
国富,로이시우,roisiu
汶霏,원페이,weonpei
会凤,후이펑,huipeong
鞠,쥐,jwi
盈智,잉즈,ingjeu
玥霏,위신,wisin
萍,핑,ping
羽生,위성,wiseong
罗庚,뤄겅,rweogeong
有光,우유광,uyugwang
东荪,둥쑨,dungssun
德生,더성,deoseong
学勇,쉐융,sweyung
少波,사오보,saobo
光,이광,igwang
国祥,궈샹,gweosyang
才厚,차이허우,caiheou
雎,쥐,jwi
晓雯,샤오원,syaoweon
镇伟,진위,jinwi
敬道,징다오,jingdao
朴,퍄,pya
其芳,치팡,cipang
岑,천,ceon
建勋,젠쉰,jenswin
廷钰,팅위,tingwi
律成,율성,yulseong
衍,옌,yen
依林,오이린,oirin
东兴,둥싱,dungsing
春莹,춘잉,cuning
富春,푸춘,pucun
美琪,오메이치,omeici
浩然,이하오란,ihaoran
可新,커신,keosin
嘉明,자밍,jaming
清华,칭화,cinghwa
奚,밍,ming
园慧,위안후이,wianhui
旭日,오쉬르,oswireu
栋,둥,dung
华清,화칭,hwacing
慈欣,츠신,ceusin
伯雄,보슝,bosyung
冠文,관문,gwanmun
宏,굉,goeng
满洲,만추,mancu
金龙,진룽,jinrung
咏仪,안융이,anyungi
亮亮,량량,ryangryang
绍峰,사오펑,saopeong
立群,리췬,ricwin
馥荔,푸리,puri
毓嶂,위장,wijang
济深,지선,jiseon
望道,왕다오,wangdao
雨,위,wi
晓庆,샤오칭,syaocing
智霖,지림,jirim
赓,겅,geong
享健,샹젠,syangjen
宇春,위춘,wicun
锐基,루이지,ruiji
蕊妮,루이니,ruini
毓黻,위푸,wipu
至鹏,즈펑,jeupeong
振吉,진길,jingil
熙德,희덕,hyideog
广,광,gwang
充仁,충런,cungreon
紫棋,쯔치,jjeuci
达华,달화,dalhwa
奎,콰이,kwai
雅菲,우야페이,uyapei
健翔,젠샹,jensyang
衍聪,옌충,yencung
剑飞,젠페이,jenpei
翠玲,추이링,cuiring
晓娟,샤오쥐안,syaojwian
白尘,바이천,baiceon
守信,서우신,seousin
雨霏,우비,ubi
汉雄,한슝,hansyung
生智,성즈,seongjeu
学智,쉐즈,swejeu
淇,치,ci
峰,펑,peong
广平,광핑,gwangping
飞,비,bi
家骝,안자류,anjaryu
晋,진,jin
伟霆,웨이팅,weiting
伯渠,보취,bocwi
汝璈,이루아오,iruao
智雯,지문,jimun
镇宗,진종,jinjong
致用,오즈융,ojeuyung
鼓应,구잉,guing
岩,옌,yen
朔,숴,sweo
文豪,원하오,weonhao
舜臣,순신,sunsin
雅芝,오야즈,oyajeu
宪魁,셴쿠이,syenkui
微,웨이,wei
立果,리궈,rigweo
丹丹,단단,dandan
沛,페이,pei
洁如,제루,jeru
山麟,산린,sanrin
明哲,밍저,mingjeo
佳芯,카이섬,kaiseom
弘,안훙,anhung
典,전,jeon
小光,샤오광,syaogwang
跃,웨,we
山聪,산충,sancung
伯承,보청,boceong
耀扬,요양,yoyang
荣臻,룽전,rungjeon
文垚,오원야오,oweonyao
小旋,샤오쉬안,syaoswian
嘉乐,자러,jareo
智贤,즈셴,jeusyen
瑞敏,루이민,ruimin
展鹏,잔펑,janpeong
德全,더취안,deocwian
佳航,자항,jahang
嘉琪,자치,jaci
德洙,덕수,deogsu
安娜,안나,anna
钰,위,wi
辛,신,sin
秀文,수문,sumun
瑞卿,루이칭,ruicing
炳德,빙더,bingdeo
华顺,화순,hwasun
闻天,원톈,weontyen
建新,젠신,jensin
干,오첸,ocen
肖,샤,sya
明泽,밍쩌,mingjjeo
秀波,슈보,syubo
嘉华,자화,jahwa
可秀,가수,gasu
敏庄,민좡,minjwang
光宪,광선,gwangseon
祖蓝,쭈란,jjuran
嘉余,자위,jawi
祚庥,쭤슈,jjweosyu
雨绮,위치,wici
狄,디,di
海心,해심,haesim
恩裕,언위,eonwi
奕中,이중,ijung
天翔,톈샹,tyensyang
向前,샹첸,syangcen
文辉,원후이,weonhui
博,보,bo
毅凯,이카이,ikai
圃,오푸,opu
华柱,오화추,ohwacu
闫,옌,yen
之贤,즈셴,jeusyen
汶锜,우원치,uweonci
圆圆,오위안위안,owianwian
金羽,진위,jinwi
瑜,위,wi
洪波,오훙보,ohungbo
钺,웨,we
