leandro,레안드루,reandeuru
pé,헤나투,henatu
murcho,프레데리쿠,peurederiku
gylmar,지우마르,jiumareu
bebel,베베우,bebeu
eliane,일리아니,ilriani
elias,일리아스,ilriaseu
guy,가이,gai
ecker,에커,ekeo
edgar,이드가르,ideugareu
bruno,브루누,beurunu
iara,이아라,iara
lee,리,ri
celso,세우수,seusu
amorim,아모링,amoring
hugo,우구,ugu
hoyama,호야마,hoyama
argel,아르제우,areujeu
fuchs,푸크스,pukeuseu
guilherme,길례르미,gilryereumi
torres,토히스,tohiseu
firmino,피르미누,pireuminu
kiko,키코,kiko
loureiro,루레이로,rureiro
carioca,카리오카,karioka
edvaldo,이드바우두,ideubaudu
santa,산타,santa
rosa,호자,hoja
pedro,페드루,pedeuru
geromel,제루메우,jerumeu
justino,주스티누,juseutinu
milene,밀레니,milreni
domingues,도밍게스,dominggeseu
pinto,핀투,pintu
chaves,샤베스,syabeseu
maria,마리아,maria
olívia,올리비아,olribia
tuta,투타,tuta
muriqui,무리키,muriki
fernanda,페르난다,pereunanda
garay,가라이,garai
lina,리나,rina
bo,보,bo
bardi,바르디,bareudi
romeu,호메우,homeu
tancredo,탕크레두,tangkeuredu
tandara,탄다라,tandara
caixeta,카이셰타,kaisyeta
caio,카이우,kaiu
canedo,카네두,kanedu
correa,코헤아,kohea
antonio,안토니우,antoniu
candido,칸지두,kanjidu
autran,아우트랑,auteurang
dourado,도라두,doradu
suzuki,스즈키,seujeuki
glaube,글라우베,geulraube
feitosa,페이토자,peitoja
leão,레앙,reang
xuxa,슈샤,syusya
rogério,호제리우,hojeriu
brito,브리투,beuritu
casemiro,카제미루,kajemiru
deborah,데보라,debora
secco,세코,seko
cabral,카브라우,kabeurau
echigo,에치고,ecigo
ubaldo,우바우두,ubaudu
betty,베치,beci
bento,벤투,bentu
carla,카를라,kareulra
camurati,카무라치,kamuraci
letícia,레치시아,recisia
birkheuer,비르케우에르,bireukeuereu
rachel,하셰우,hasyeu
queiroz,케이로스,keiroseu
marques,마르케스,mareukeseu
macedo,마세두,masedu
laurindo,로린도,rorindo
jucilei,주실레이,jusilrei
ziad,지아드,jiadeu
fazah,파자,paja
giselle,지젤,jijel
itié,이티에,itie
marjorie,마르조리,mareujori
estiano,이스치아누,iseucianu
wagner,바그네르,bageunereu
lopes,로페스,ropeseu
rafaela,하파엘라,hapaelra
mariana,마리아나,mariana
ximenes,시메니스,simeniseu
lucélia,루셀리아,ruselria
giovanna,지오바나,jiobana
antonelli,안토넬리,antonelri
maicosuel,마이코주에우,maikojueu
marcelo,마르셀루,mareuselru
gleiser,글레이제르,geulreijereu
ernesto,에르네스투,ereuneseutu
geisel,가이제우,gaijeu
santoro,산토루,santoru
jardel,자르데우,jareudeu
nivaldo,니바우두,nibaudu
vieira,비에이라,bieira
perla,펄라,peolra
haneyjardine,헤이니자딘,heinijadin
severino,세베리누,seberinu
andre,앙드레,angdeure
matos,마토스,matoseu
lisa,오노,ono
ono,리사,risa
plínio,플리누,peulrinu
salgado,사우가두,saugadu
vágner,바그네르,bageunereu
love,로비,robi
cláudio,클라우지우,keulraujiu
taffarel,타파레우,tapareu
deco,데쿠,deku
evandro,에반드루,ebandeuru
goebel,괴벨,goebel
regina,헤지나,hejina
duarte,두아르치,duareuci
vital,비타우,bitau
brazil,브라지우,beurajiu
aldair,아우다이르,audaireu
roger,호제르,hojereu
guerreiro,게헤이루,geheiru
taddei,타데이,tadei
diego,지에구,jiegu
maurício,마우리시우,maurisiu
ceni,세니,seni
daishiro,요시무라,yosimura
yoshimura,다이시로,daisiro
djalma,자우마,jauma
cristiano,크리스티아누,keuriseutianu
gomes,고메스,gomeseu
taison,타이송,taisong
deivson,데이비송,deibisong
maciel,마시에우,masieu
fernando,페르난두,pereunandu
émerson,이메르송,imereusong
florinda,플로린다,peulrorinda
bolkan,보우캉,boukang
jânio,자니우,janiu
quadros,쿠아드루스,kuadeuruseu
leonardo,레오나르두,reonareudu
bittencourt,비텡코우르트,bitengkoureuteu
manga,망가,mangga
michel,미셰우,misyeu
bastos,바스투스,baseutuseu
marcus,다나카,danaka
túlio,마르쿠스,mareukuseu
tanaka,툴리오,tulrio
bohm,봄,bom
machado,마샤두,masyadu
assis,아시스,asiseu
vasconcelos,바스콘셀로스,baseukonselroseu
tostão,토스탕,toseutang
santacroce,산타크로체,santakeuroce
rink,힝크,hingkeu
derlei,데를레이,dereulrei
sabatella,사바텔라,sabatelra
giuseppe,주세페,jusepe
ungaretti,운가레티,ungareti
philippe,필리피,pilripi
coutinho,코치뉴,kocinyu
leônidas,레오니다스,reonidaseu
wanderson,완데르송,wandereusong
sabino,사비누,sabinu
odilo,오질루,ojilru
scherer,셰레르,syerereu
robson,호브송,hobeusong
conceição,콘세이상,konseisang
saverin,새버린,saebeorin
marighella,마리겔라,marigelra
sylvinho,시우비뉴,siubinyu
falcão,파우캉,paukang
mineiro,미네이루,mineiru
frederico,프레데리쿠,peurederiku
guedes,게지스,gejiseu
moura,모라,mora
raí,하이,hai
frança,프란사,peuransa
morris,모히스,mohiseu
albert,알베르트,albereuteu
orestes,오레스테스,oreseuteseu
caldeira,칼데이라,kaldeira
allan,알랑,alrang
naldo,나우두,naudu
dumont,산토스뒤몽,santoseudwimong
henrique,엔히키,enhiki
buss,부스,buseu
hernanes,에르나니스,ereunaniseu
ganso,간수,gansu
andrés,안드레스,andeureseu
d'alessandro,달레산드로,dalresandeuro
avila,아빌라,abilra
bernardi,베르나르지,bereunareuji
padilha,파질랴,pajilrya
waldo,와우두,waudu
jô,조,jo
keirrison,케이히송,keihisong
zarvos,자르부스,jareubuseu
cortês,코르테스,koreuteseu
eva,에바,eba
wilma,비우마,biuma
stênio,스테니오,seutenio
garcia,가르시아,gareusia
gaspar,가스파르,gaseupareu
sampaio,삼파이우,sampaiu
anjos,안주스,anjuseu
junior,주니오르,junioreu
aracy,아라시,arasi
balabanian,발라바냔,balrabanyan
vampeta,밤페타,bampeta
kelly,켈리,kelri
key,케이,kei
nenê,네네,nene
paulista,파울리스타,paulriseuta
gullar,굴라르,gulrareu
walter,월터,weolteo
afanasieff,아파나시에프,apanasiepeu
alencar,알렝카르,alrengkareu
cláudia,클라우지아,keulraujia
abreu,아브레우,abeureu
george,고바야시,gobayasi
kobayashi,조지,joji
saatkamp,사트캄프,sateukampeu
tita,치타,cita
toninho,토니뉴,toninyu
jonas,조나스,jonaseu
léo,레우,reu
baptistão,밥티스탕,babtiseutang
nelsinho,네우시뉴,neusinyu
dorival,도리바우,doribau
caymmi,카이미,kaimi
antunes,안투느스,antuneuseu
coimbra,코임브라,koimbeura
kac,칵,kag
vinicius,비니시우스,binisiuseu
mello,멜루,melru
edgard,에드가르드,edeugareudeu
leuenroth,레우엔로스,reuenroseu
olavo,올라부,olrabu
flávio,플라비우,peulrabiu
filipe,필리피,pilripi
gilmar,지우마르,jiumareu
rinaldi,호나우디,honaudi
egberto,이그베르투,igeubereutu
gismonti,지즈몬티,jijeumonti
otto,오투,otu
bumbel,붐베우,bumbeu
daniella,다니엘라,danielra
cicarelli,시카렐리,sikarelri
montenegro,몬테네그루,montenegeuru
mattioni,마치오니,macioni
rivaldo,히바우두,hibaudu
mauro,마우루,mauru
reis,헤이스,heiseu
meirelles,메이렐리스,meirelriseu
careca,카레카,kareka
ruy,루이,rui
guerra,게하,geha
ciro,시루,siru
regiane,헤지아네,hejiane
martial,마르샬,mareusyal
gueroult,게루,geru
tiago,티아구,tiagu
splitter,스플리테르,seupeulritereu
adaílton,아다이우통,adaiutong
bolzan,보우장,boujang
cury,쿠리,kuri
wellington,웰링통,welringtong
nem,넹,neng
anderson,안데르송,andereusong
ghosn,곤,gon
luan,루앙,ruang
santana,산타나,santana
prass,프라스,peuraseu
athos,아투스,atuseu
schwantes,슈완치스,syuwanciseu
toldo,토우두,toudu
bá,바,ba
leticia,레치시아,recisia
spiller,스필레르,seupilrereu
cândido,칸지두,kanjidu
cássia,카시아,kasia
kis,키스,kiseu
jadson,자드송,jadeusong
edivaldo,에디발도,edibaldo
rojas,에르모사,ereumosa
nelson,넬슨,nelseun
damiris,다미리스,damiriseu
dantas,단타스,dantaseu
lyoto,료투,ryotu
machida,마치다,macida
angela,안젤라,anjelra
park,박,bag
friedenreich,프리덴라이히,peuridenraihi
christian,크리스치앙,keuriseuciang
corrêa,코헤아,kohea
dionísio,지오니지우,jionijiu
larissa,라리사,rarisa
tavares,타바레스,tabareseu
varejão,바레장,barejang
mehmet,메흐멧,meheumes
telê,텔레,telre
ramos,하무스,hamuseu
blat,블랫,beulraes
larangeira,라란제이라,raranjeira
sávio,사비우,sabiu
passos,파수스,pasuseu
juniti,주니치,junici
saito,사이토,saito
manieri,마니에리,manieri
andrews,앤드루스,aendeuruseu
nakahara,나카하라,nakahara
sabrina,사브리나,sabeurina
sato,사투,satu
chierighini,시에리그히니,sierigeuhini
rochemback,호솀바크,hosyembakeu
wallace,왈라시,walrasi
hélder,엘데르,eldereu
câmara,카마라,kamara
marcelinho,마르셀리뉴,mareuselrinyu
nascimento,나시멘투,nasimentu
serra,세라,sera
boff,보프,bopeu
ewerton,에베르통,ebereutong
teixeira,테이셰이라,teisyeira
renzo,헨주,henju
agresta,아그레스타,ageureseuta
astrojildo,아스트로질두,aseuteurojildu
tardelli,타르델리,tareudelri
pimpão,핌팡,pimpang
adílson,아지우송,ajiusong
warken,와르켕,wareukeng
matuzalém,마투잘렝,matujalreng
ángel,앙헬,anghel
portugal,포르투갈,poreutugal
lília,릴리아,rilria
arona,아로나,arona
müller,뮐레르,mwilrereu
donato,도나토,donato
gama,가마,gama
isadora,이사도라,isadora
williams,윌리엄스,wilrieomseu
cássio,카시우,kasiu
cionek,시오네크,sionekeu
camila,카밀라,kamilra
morgado,모르가두,moreugadu
pitanga,피탕가,pitangga
vissotto,비소투,bisotu
carol,카롤리니,karolrini
francischini,프란시스시니,peuransiseusini
castro,카스트루,kaseuteuru
juliana,줄리아나,julriana
knust,크누스트,keunuseuteu
claudia,클라우지아,keulraujia
leitte,레이치,reici
airto,아이르투,aireutu
francileudo,프란실레우두,peuransilreudu
fagner,파그네르,pageunereu
bonfá,봉파,bongpa
esteves,에스테베스,eseutebeseu
lázaro,라자루,rajaru
guiomar,기오마르,giomareu
novaes,노바이스,nobaiseu
pretinha,프레치냐,peurecinya
rodolfo,호도우푸,hodoupu
dira,지라,jira
paes,파이스,paiseu
danny,다니,dani
morais,모라이스,moraiseu
chagas,샤가스,syagaseu
castán,카스탕,kaseutang
mel,메우,meu
fronckowiak,프롱코위아크,peurongkowiakeu
diogo,디오구,diogu
santo,산투,santu
flávia,플라비아,peulrabia
débora,데보라,debora
negrini,네그리니,negeurini
renata,헤나타,henata
sorrah,소하,soha
serrado,세하두,sehadu
natália,나탈리아,natalria
falavigna,팔라비냐,palrabinya
formiga,포르미가,poreumiga
vanessa,바네사,banesa
giácomo,지아코무,jiakomu
renan,헤낭,henang
barão,바랑,barang
sarahyba,사라이바,saraiba
ronaldo,호나우두,honaudu
klebber,클레베르,keulrebereu
toledo,톨레두,tolredu
lisboa,리스본,riseubon
rua,후아,hua
tony,토니,toni
gracie,그라시,geurasi
haddad,아다지,adaji
michels,미셰우스,misyeuseu
joaquim,조아킹,joaking
paulinho,파울리뉴,paulrinyu
yan,얀,yan
emanuela,이마누엘라,imanuelra
leomar,레오마르,reomareu
leiria,레이리아,reiria
geraldo,제라우두,jeraudu
alckmin,아우키민,aukimin
jair,자이르,jaireu
giba,지바,jiba
bianca,비앙카,biangka
comparato,콤파라투,komparatu
isis,이지스,ijiseu
valverde,바우베르지,baubereuji
gabriela,가브리엘라,gabeurielra
guimarães,기마랑이스,gimarangiseu
norma,노마,noma
bengell,벤겔,bengel
preguinho,프레기뉴,peureginyu
salles,살리스,salriseu
murilo,무릴루,murilru
welliton,웰리통,welritong
vitor,비토르,bitoreu
belfort,베우포르,beuporeu
grazi,그라지,geuraji
massafera,마사페라,masapera
peticov,페티쿠브,petikubeu
titow,치토우,citou
sandra,산드라,sandeura
corveloni,코르벨로니,koreubelroni
ederson,이데르송,idereusong
honorato,오노라투,onoratu
campos,캄푸스,kampuseu
cristiana,크리스티나,keuriseutina
reali,레알리,realri
temer,테메르,temereu
danni,다니엘리,danielri
luísa,루이자,ruija
mendonça,멘돈사,mendonsa
paolla,파올라,paolra
maitê,마이테,maite
proença,프로엔사,peuroensa
flor,플로,peulro
dorothy,도로시,dorosi
stang,스탕,seutang
paloma,팔로마,palroma
zardin,자르딩,jareuding
bruna,브루나,beuruna
marquezine,마르케지니,mareukejini
charles,찰스,calseu
lygia,리지아,rijia
fagundes,파군지스,pagunjiseu
telles,텔리스,telriseu
elis,엘리스,elriseu
falabella,팔라벨라,palrabelra
benício,베니시우,benisiu
marília,마릴리아,marilria
pêra,페라,pera
washington,와싱통,wasingtong
stecanela,스테카넬라,seutekanelra
cerqueira,세르케이라,sereukeira
simplício,심플리시우,simpeulrisiu
céu,세우,seu
rubem,후벵,hubeng
zuluzinho,줄루징요,julrujingyo
finn,핑,ping
mattos,마투스,matuseu
lyra,리라,rira
magno,마그누,mageunu
chuva,슈바,syuba
itamar,이타마르,itamareu
franco,프랑쿠,peurangku
pepe,페페,pepe
sophie,소피,sopi
charlotte,샤를로치,syareulroci
farias,파리아스,pariaseu
bernardes,베르나르지스,bereunareujiseu
occhialini,오키알리니,okialrini
anselmo,안세우무,anseumu
vendrechovski,벤드레초프스키,bendeurecopeuseuki
luna,루나,runa
teló,텔로,telro
simões,시몽이스,simongiseu
denilson,데니우송,deniusong
batista,바티스타,batiseuta
cleonésio,클레오네시우,keulreonesiu
nonato,노나투,nonatu
rodriguez,호드리게스,hodeurigeseu
do,두,du
waguinho,바기뉴,baginyu
rinaldo,히나우두,hinaudu
héverton,에베르통,ebereutong
durães,두랑이스,durangiseu
moacir,모아시르,moasireu
bérgson,베르그송,bereugeusong
renaldo,헤나우두,henaudu
ivan,이방,ibang
matsunaga,마쓰나가,masseunaga
jean,제앙,jeang
raphael,하파에우,hapaeu
vanderlei,반데를레이,bandereulrei
uvini,우비니,ubini
angelo,안젤로,anjelro
sormani,소르마니,soreumani
alexsandro,알레산드루,alresandeuru
leandra,레안드라,reandeura
leal,레아우,reau
denise,데니지,deniji
trindade,트린다지,teurindaji
dellal,델럴,delreol
aldo,아우두,audu
christine,크리스치니,keuriseucini
lua,루아,rua
blanco,블랑쿠,beulrangku
luana,루아나,ruana
piovani,피오바니,piobani
cléber,클레베르,keulrebereu
manoel,마노에우,manoeu
messias,메시아스,mesiaseu
sulzbach,줄츠바흐,julceubaheu
pölking,푈킹,poelking
saldanha,사우다냐,saudanya
marlon,말론,malron
aline,알리니,alrini
weber,웨베르,webereu
alinne,알리니,alrini
patricia,파트리시아,pateurisia
pillar,필라르,pilrareu
andréia,안드레이아,andeureia
horta,오르타,oreuta
vasconcellos,바스콘셀루스,baseukonselruseu
nanda,난다,nanda
nathalie,나탈리,natalri
moellhausen,모엘하우젠,moelhaujen
amanda,아만다,amanda
nunes,누니스,nuniseu
gianetti,지아네치,jianeci
léa,레아,rea
bin,빙,bing
andréa,안드레아,andeurea
beltrão,베우트랑,beuteurang
newton,니우통,niutong
elierce,일리어시,ilrieosi
kaká,카카,kaka
roberson,호베르송,hobereusong
arruda,아루다,aruda
tainá,타이나,taina
nogueira,노게이라,nogeira
sabotage,사보타지,sabotaji
palmieri,팔미에리,palmieri
bueno,부에누,buenu
caco,카코,kako
ciocler,시오클러,siokeulreo
tolói,톨로이,tolroi
erick,에릭,erig
didone,지도니,jidoni
milton,미우통,miutong
samuel,사무엘,samuel
braz,브라스,beuraseu
fabiana,파비아나,pabiana
semprebom,셈프레봉,sempeurebong
weverson,웨베르송,webereusong
kaiser,카이저,kaijeo
manoela,마노엘라,manoelra
othon,오손,oson
gero,제루,jeru
camilo,카밀루,kamilru
ingra,인그라,ingeura
lyberato,리베라토,riberato
gamalho,가말류,gamalryu
luke,루크,rukeu
ross,로스,roseu
marieta,마리에타,marieta
severo,세베루,seberu
sousa,소자,soja
valete,발레치,balreci
ely,엘리,elri
hilbert,이우베르트,iubereuteu
toscano,토스카누,toseukanu
anastácio,아나스타시우,anaseutasiu
isabelle,이자벨리,ijabelri
drummond,드루몬드,deurumondeu
xavier,자비에,jabie
jaques,자크,jakeu
mike,마이키,maiki
milhem,밀헴,milhem
cortaz,코타즈,kotajeu
sidarta,시다르타,sidareuta
arolde,아로우지,arouji
criciúma,크리시우마,keurisiuma
paiakã,파이아캉,paiakang
marlone,마를로니,mareulroni
simone,시모니,simoni
spoladore,스폴라도리,seupolradori
vladimir,블라디미르,beulradimireu
brichta,브리치타,beuricita
petra,페트라,peteura
vadão,바당,badang
lino,리누,rinu
facioli,파시올리,pasiolri
wendell,웬데우,wendeu
lira,리라,rira
valesca,발레스카,balreseuka
popozuda,포포주다,popojuda
lais,라이스,raiseu
weverton,웨베르통,webereutong
tatá,타타,tata
werneck,웨르네크,wereunekeu
éder,에데르,edereu
yuu,카미야,kamiya
kamiya,유우,yuu
leo,레우,reu
dalcin,다우싱,dausing
bolsonaro,보우소나루,bousonaru
carvana,카바나,kabana
gléguer,글레게르,geulregereu
zorzin,조르징,joreujing
joelison,조엘리손,joelrison
nabuco,나부쿠,nabuku
schmidt,슈미트,syumiteu
luciano,루시아누,rusianu
valle,발리,balri
moisés,모이세스,moiseseu
magalhães,마갈량이스,magalryangiseu
maisa,마이사,maisa
manuela,마누엘라,manuelra
d'ávila,다빌라,dabilra
paiva,파이바,paiba
rosamaria,호자마리아,hojamaria
murtinho,무르치뉴,mureucinyu
berger,베르게르,bereugereu
bromfman,브롬프만,beurompeuman
marcélia,마르셀리아,mareuselria
cartaxo,카르타슈,kareutasyu
yago,야구,yagu
pikachu,피카슈,pikasyu
wesley,웨즐레이,wejeulrei
maiolino,마이올리누,maiolrinu
rogerio,호제리우,hojeriu
prateat,프라테아트,peurateateu
agnelli,아녤리,anyelri
vitinho,비치뉴,bicinyu
sophia,소피아,sopia
abrahão,아브라앙,abeuraang
éderson,에데르송,edereusong
bendini,벤지니,benjini
giusti,지우스치,jiuseuci
bethe,베치,beci
kenedy,케네지,keneji
ryder,히데르,hidereu
caiçara,카이사라,kaisara
alcir,아우시르,ausireu
sereno,세레누,serenu
cittadini,시타지니,sitajini
matheus,마테우스,mateuseu
barbara,바르바라,bareubara
fialho,피알류,pialryu
cícero,시세로,sisero
jemerson,제메르송,jemereusong
everton,에베르통,ebereutong
cebolinha,소아리스,soariseu
anitta,아니타,anita
laura,라우라,raura
rizzotto,히조투,hijotu
ludmilla,루드밀라,rudeumilra
pocah,포카,poka
azevêdo,아제베두,ajebedu
velasco,벨라스쿠,belraseuku
malcom,마우콩,maukong
maia,마이아,maia
octávio,옥타비우,ogtabiu
scarpa,스카르파,seukareupa
pacheco,파셰쿠,pasyeku
d'almeida,다우메이다,daumeida
gonzaga,곤자가,gonjaga
jesus,제수스,jesuseu
isabella,이자벨라,ijabelra
santoni,산토니,santoni
gerson,제르송,jereusong
levy,레비,rebi
ítalo,이탈루,italru
sergio,세르지오,sereujio
guizé,기제,gije
chibana,치바나,cibana
alisson,알리송,alrisong
becker,베케르,bekereu
daniela,다니엘라,danielra
lexa,렉사,regsa
jimmy,지미,jimi
durano,듀레이노,dyureino
joelinton,조엘린통,joelrintong
vitti,비티,biti
