hebe,ɛbɛ
maria,mɐɾiɐ
leopoldina,lɛopoldinɐ
áustria,awʃtɾiɐ
lucimar,luzimɐɾ
marcelo,mɐɾsɛlo
vieira,viɛjɾɐ
marcos,mɐɾkoʃ
aoás,ɐowaʃ
corrêa,koʁeɐ
piquet,pikʷɛt
alberto,ɐlbɛɾto
parreira,pɐʁɛjɾɐ
rubens,ʁubɛnʃ
barrichello,bɐʁikɛllo
luciano,luziɐno
burti,buɾti
rosset,ʁoʃsɛt
zózimo,zɔzimo
eder,ɛdɛɾ
citadin,sitɐdĩ
martins,mɐɾtinʃ
dilma,dilmɐ
rousseff,ʁowuʃsɛff
emílio,ɛmilio
goeldi,ɡowɛldi
igor,iɡoɾ
carmen,kɐɾmɛ̃
miranda,miɾɐndɐ
freire,fɾɛjɾɛ
ânderson,andɛɾsõ
thiago,tiɐɡo
motta,mottɐ
fabio,fɐbio
figueiredo,fiɡʷɛjɾɛdo
maxwell,mɐswɛll
scherrer,skɛʁɛɾ
cabelino,kɐbɛlino
denílson,dɛnilsõ
neves,nɛvɛʃ
dunga,dunɡɐ
vilém,vilẽ
flusser,fluʃsɛɾ
ronald,ʁonɐld
golias,ɡoliɐʃ
barbosa,bɐɾbozɐ
antônio,ɐntonio
leonardo,lɛonɐɾdo
nascimento,nɐʃsimɛnto
almir,ɐlmiɾ
fraga,fɾɐɡɐ
tarso,tɐɾso
marques,mɐɾkʷɛʃ
maurício,mawɾizio
gugelmin,ɡʒɛlmĩ
cavalcante,kɐvɐlkɐntɛ
mendes,mɛndɛʃ
chico,kiko
serra,sɛʁɐ
pace,pɐzɛ
raul,ʁawl
boesel,bowɛzɛl
ingo,inɡo
hoffmann,offmɐn
zonta,zontɐ
alex,ɐlɛs
rodrigo,ʁodʁiɡo
dias,diɐʃ
emerson,ɛmɛɾsõ
rosa,ʁozɐ
glauber,ɡlawbɛɾ
rocha,ʁokɐ
marisa,mɐɾizɐ
monte,montɛ
robert,ʁobɛɾt
falkenburg,fɐlkɛnbuɾɡ
amaral,ɐmɐɾɐl
daniel,dɐniɛl
pizzonia,piʒzoniɐ
francisco,fɾɐnsiʃko
ernandi,ɛɾnɐndi
zico,ziko
eduardo,ɛduɐɾdo
neto,nɛto
wolnei,wolnɛj
caio,kɐjo
adriano,ɐdʁiɐno
jesus,ʒɛzuʃ
eric,ɛɾik
fernando,fɛɾnɐndo
botteghin,bottɛɡĩ
almeida,ɐlmɛjdɐ
gerlin,ʒɛɾlĩ
hugo,uɡo
henrique,ɛnʁikʷɛ
assis,ɐʃsiʃ
do,do
fabrício,fɐbʁizio
alice,ɐlizɛ
braga,bɾɐɡɐ
morena,moɾɛnɐ
baccarin,bɐkkɐɾĩ
márcio,maɾsio
gilson,ʒilsõ
lacerda,lɐzɛɾdɐ
ramos,ʁɐmoʃ
ivete,ivɛtɛ
sangalo,sɐnɡɐlo
sarah,sɐɾɐ
clarice,klɐɾizɛ
lispector,liʃpɛktoɾ
lucas,lukɐʃ
di,di
grassi,ɡɾɐʃsi
roberto,ʁobɛɾto
rivellino,ʁivɛllino
jordana,ʒoɾdɐnɐ
brewster,bɾɛwstɛɾ
éverton,evɛɾtõ
nogueira,noɡʷɛjɾɐ
fittipaldi,fittipɐldi
enrique,ɛnʁikʷɛ
bernoldi,bɛɾnoldi
cristiano,kɾiʃtiɐno
matta,mɐttɐ
ribeiro,ʁibɛjɾo
christian,kɾiʃtiɐ̃
fábio,fabio
félix,felis
amélia,ɐmeliɐ
bragança,bɾɐɡɐnsɐ
marcel,mɐɾsɛl
ortolan,oɾtolɐ̃
cláudio,klawdio
caçapa,kɐsɐpɐ
ana,ɐnɐ
carolina,kɐɾolinɐ
reston,ʁɛʃtõ
fabiana,fɐbiɐnɐ
murer,muɾɛɾ
maurren,mawʁɛ̃
maggi,mɐɡʒi
gil,ʒil
izabel,izɐbɛl
cicinho,sizino
cacau,kɐkaw
robinho,ʁobino
maicon,majkõ
douglas,dowuɡlɐʃ
sisenando,sizɛnɐndo
ranieri,ʁɐniɛɾi
guimarães,ɡʷimɐɾɐ̃j̃ʃ
cordeiro,koɾdɛjɾo
artur,ɐɾtuɾ
moraes,moɾɐɛʃ
bismarck,biʃmɐɾkk
faria,fɐɾiɐ
romário,ʁomaɾio
cafu,kɐfu
caroline,kɐɾolinɛ
trentini,tɾɛntini
adolfo,ɐdolfo
lutz,lutʒ
bertrand,bɛɾtɾɐnd
orléans,oɾleɐnʃ
e,ɛ
sandy,sɐndj
maiara,mɐjɐɾɐ
walsh,wɐls
abilio,ɐbilio
diniz,diniʒ
dinamite,dinɐmitɛ
marina,mɐɾinɐ
zumbi,zumbi
palmares,pɐlmɐɾɛʃ
astrud,ɐʃtɾud
sônia,soniɐ
beatriz,bɛɐtʁiʒ
barros,bɐʁoʃ
gal,ɡɐl
bethânia,bɛtaniɐ
fritz,fɾitʒ
müller,müllɛɾ
amauri,ɐmawɾi
carvalho,kɐɾvɐlo
garrincha,ɡɐʁinkɐ
sérgio,seɾʒio
donizetti,donizɛtti
batista,bɐtiʃtɐ
alfie,ɐlfiɛ
enoch,ɛnok
jennifer,ʒɛnnifɛɾ
o'neill,oʼnɛjll
jaqueline,ʒɐkʷɛlinɛ
joubert,ʒowubɛɾt
royce,ʁowjzɛ
gracie,ɡɾɐziɛ
raphael,ʁɐpɐɛl
meschini,mɛʃkini
jefferson,ʒɛffɛɾsõ
siqueira,sikʷɛjɾɐ
sebastião,sɛbɐʃtiɐ̃w̃
lazaroni,lɐzɐɾoni
wanderson,wɐndɛɾsõ
carmo,kɐɾmo
sarney,sɐɾnɛj
murilo,muɾilo
endres,ɛndɾɛʃ
correia,koʁɛjɐ
evaristo,ɛvɐɾiʃto
macedo,mɐzɛdo
francisca,fɾɐnsiʃkɐ
raquel,ʁɐkʷɛl
zimmermann,zimmɛɾmɐn
joel,ʒowɛl
santana,sɐntɐnɐ
cézar,sezɐɾ
toninho,tonino
cerezo,sɛɾɛzo
álvaro,alvɐɾo
maior,mɐjoɾ
aquino,ɐkʷino
miguel,miɡʷɛl
toquinho,tokʷino
danilo,dɐnilo
gabriel,ɡɐbʁiɛl
guilherme,ɡʷilɛɾmɛ
milhomem,milomɛ̃
gusmão,ɡʃmɐ̃w̃
ismael,iʃmɐɛl
nery,nɛɾj
buarque,buɐɾkʷɛ
holanda,olɐndɐ
eliane,ɛliɐnɛ
elias,ɛliɐʃ
gylmar,ʒjlmɐɾ
sheilla,sɛjllɐ
thaísa,taj́zɐ
daher,dɐɛɾ
alvim,ɐlvĩ
wallace,wɐllɐzɛ
roque,ʁokʷɛ
kitadai,kitɐdaj
dani,dɐni
lins,linʃ
hermeto,ɛɾmɛto
pascoal,pɐʃkowɐl
roniéliton,ʁonielitõ
xavier,ʃɐviɛɾ
bruna,bɾunɐ
tenório,tɛnɔɾio
cunha,kunɐ
mangabeira,mɐnɡɐbɛjɾɐ
unger,unʒɛɾ
anselmo,ɐnsɛlmo
arthur,ɐɾtuɾ
moreira,moɾɛjɾɐ
biggs,biɡɡʃ
paula,pawlɐ
pequeno,pɛkʷɛno
claudino,klawdino
ruth,ʁut
huenes,uɛnɛʃ
lemos,lɛmoʃ
isidoro,izidoɾo
érika,eɾikɐ
coimbra,kowimbɾɐ
rômulo,ʁomulo
monteiro,montɛjɾo
raudinei,ʁawdinɛj
anversa,ɐnvɛɾsɐ
cristiane,kɾiʃtiɐnɛ
justino,ʒuʃtino
michelle,mikɛllɛ
victor,viktoɾ
bagy,bɐʒj
lyra,ljɾɐ
luíza,luj́zɐ
sá,sa
wellington,wɛllinɡtõ
lovefoxxx,lovɛfokskss
fernanda,fɛɾnɐndɐ
garay,ɡɐɾɐj
tancredo,tɐnkɾɛdo
rita,ʁitɐ
larissa,lɐɾiʃsɐ
frança,fɾɐnsɐ
éder,edɛɾ
jofre,ʒofʁɛ
werdum,wɛɾdũ
anthony,ɐntonj
steffen,stɛffɛ̃
camille,kɐmillɛ
cabral,kɐbʁɐl
maya,mɐjɐ
gabeira,ɡɐbɛjɾɐ
kelvin,kɛlvĩ
mateus,mɐtewʃ
andré,ɐndɾe
rienzo,ʁiɛnzo
isadora,izɐdoɾɐ
williams,williɐmʃ
guilheiro,ɡʷilɛjɾo
tandara,tɐndɐɾɐ
caixeta,kajksɛtɐ
édson,edsõ
natália,nɐtaliɐ
émerson,emɛɾsõ
firmino,fiɾmino
leão,lɛɐ̃w̃
camilo,kɐmilo
brito,bɾito
renato,ʁɛnɐto
pé,pe
murcho,muɾko
licínio,lizinio
rangel,ʁɐnʒɛl
donato,donɐto
alexander,ɐlɛksɐndɛɾ
kellner,kɛllnɛɾ
ryan,ʁjɐ̃
sidmar,sidmɐɾ
antonio,ɐntonio
arlindo,ɐɾlindo
lattes,lɐttɛʃ
wagner,wɐɡnɛɾ
william,williɐ̃
salles,sɐllɛʃ
kiko,kiko
loureiro,lowuɾɛjɾo
defendi,dɛfɛndi
olívia,oliviɐ
michel,mikɛl
claudinei,klawdinɛj
suzuki,suzuki
marjorie,mɐɾʒoɾiɛ
estiano,ɛʃtiɐno
érico,eɾiko
veríssimo,vɛɾiʃsimo
pixinguinha,piksinɡʷinɐ
milton,miltõ
edgar,ɛdɡɐɾ
meneses,mɛnɛzɛʃ
pinto,pinto
chaves,kɐvɛʃ
honório,onɔɾio
carneiro,kɐɾnɛjɾo
zé,ze
carioca,kɐɾiokɐ
tiago,tiɐɡo
della,dɛllɐ
vega,vɛɡɐ
iracema,iɾɐzɛmɐ
trevisan,tɾɛvizɐ̃
vicente,vizɛntɛ
simão,simɐ̃w̃
edmílson,ɛdmilsõ
matias,mɐtiɐʃ
arivaldo,ɐɾivɐldo
renata,ʁɛnɐtɐ
colombo,kolombo
canedo,kɐnɛdo
correa,koʁɛɐ
gomes,ɡomɛʃ
valentim,vɐlɛntĩ
bia,biɐ
ernesto,ɛɾnɛʃto
geisel,ʒɛjzɛl
santoro,sɐntoɾo
mariana,mɐɾiɐnɐ
ximenes,ʃimɛnɛʃ
claudio,klawdio
giuliano,ʒiwliɐno
tadeu,tɐdew
aranda,ɐɾɐndɐ
aquiles,ɐkʷilɛʃ
priester,pɾiɛʃtɛɾ
cielo,siɛlo
taffarel,tɐffɐɾɛl
parreiras,pɐʁɛjɾɐʃ
argel,ɐɾʒɛl
fuchs,fukʃ
dino,dino
sani,sɐni
vágner,vaɡnɛɾ
rogério,ʁoʒeɾio
nunes,nunɛʃ
roger,ʁoʒɛɾ
guerreiro,ɡʷɛʁɛjɾo
aldair,ɐldajɾ
lúcio,luzio
mayer,mɐjɛɾ
wilson,wilsõ
edvaldo,ɛdvɐldo
santa,sɐntɐ
jonas,ʒonɐʃ
américo,ɐmeɾiko
torres,toʁɛʃ
jaime,ʒajmɛ
melo,mɛlo
djalma,dʒɐlmɐ
glaube,ɡlawbɛ
feitosa,fɛjtozɐ
cícero,sizɛɾo
marco,mɐɾko
feliciano,fɛliziɐno
blanka,blɐnkɐ
sperafico,spɛɾɐfiko
max,mɐs
cavalera,kɐvɐlɛɾɐ
cavalieri,kɐvɐliɛɾi
caetano,kɐɛtɐno
veloso,vɛlozo
café,kɐfe
jânio,ʒanio
quadros,kɐdʁoʃ
gallo,ɡɐllo
rezende,ʁɛzɛndɛ
schmidt,skmidt
narciso,nɐɾsizo
romeu,ʁomew
pedro,pɛdʁo
weingärtner,wɛjnɡɐ̈ɾtnɛɾ
laurindo,lawɾindo
fabiano,fɐbiɐno
cezar,sɛzɐɾ
viegas,viɛɡɐʃ
muricy,muɾizj
ramalho,ʁɐmɐlo
eliseu,ɛlizew
visconti,viʃkonti
ivanaldo,ivɐnɐldo
david,dɐvid
bohm,bõ
machado,mɐkɐdo
bernardes,bɛɾnɐɾdɛʃ
walter,wɐltɛɾ
wanderley,wɐndɛɾlɛj
anita,ɐnitɐ
garibaldi,ɡɐɾibɐldi
washington,wɐʃinɡtõ
tavares,tɐvɐɾɛʃ
germano,ʒɛɾmɐno
borovicz,boɾovikʒ
schweger,skwɛʒɛɾ
facho,fɐko
inocêncio,inozensio
mariano,mɐɾiɐno
espinosa,ɛʃpinozɐ
greco,ɡɾɛko
tostão,toʃtɐ̃w̃
giuseppe,ʒiwzɛppɛ
ungaretti,unɡɐɾɛtti
falcão,fɐlkɐ̃w̃
thomaz,tomɐʒ
bellucci,bɛlluksi
deborah,dɛboɾɐ
secco,sɛkko
diogo,dioɡo
antunes,ɐntunɛʃ
nicolau,nikolaw
leônidas,lɛonidɐʃ
moedim,mowɛdĩ
etges,ɛtʒɛʃ
claudecir,klawdɛziɾ
aparecido,ɐpɐɾɛzido
aguiar,ɐɡʷiɐɾ
mabilia,mɐbiliɐ
phan,pɐ̃
văn,vɐ̆
jardel,ʒɐɾdɛl
nivaldo,nivɐldo
ramón,ʁɐmɔ̃
osni,oʃni
lage,lɐʒɛ
yamaguchi,jɐmɐɡki
mauricio,mawɾizio
sousa,sowuzɐ
severino,sɛvɛɾino
andre,ɐndɾɛ
matos,mɐtoʃ
portela,poɾtɛlɐ
rafaela,ʁɐfɐɛlɐ
saverin,sɐvɛɾĩ
frederico,fɾɛdɛɾiko
guedes,ɡʷɛdɛʃ
ierusalimschy,iɛɾuzɐlimskj
raí,ʁaj́
evandro,ɛvɐndɾo
goebel,ɡowɛbɛl
fernandão,fɛɾnɐndɐ̃w̃
dom,dõ
um,ũ
romão,ʁomɐ̃w̃
mário,maɾio
haberfeld,ɐbɛɾfɛld
eleazar,ɛlɛɐzɐɾ
bertha,bɛɾtɐ
bittencourt,bittɛnkowuɾt
rickson,ʁikksõ
buss,busʃ
andrés,ɐndɾeʃ
d'alessandro,dʼɐlɛʃsɐndɾo
kerlon,kɛɾlõ
franco,fɾɐnko
teixeira,tɛjksɛjɾɐ
ceni,sɛni
fabian,fɐbiɐ̃
pipo,pipo
derani,dɛɾɐni
levir,lɛviɾ
culpi,kulpi
menescal,mɛnɛʃkɐl
vanderlei,vɐndɛɾlɛj
luxemburgo,luksɛmbuɾɡo
venceslau,vɛnsɛʃlaw
brás,bɾaʃ
deivson,dɛjvsõ
freyre,fɾɛjʁɛ
sampaio,sɐmpɐjo
gral,ɡɾɐl
róbson,ʁɔbsõ
izecson,izɛksõ
leite,lɛjtɛ
candido,kɐndido
portinari,poɾtinɐɾi
venturini,vɛntuɾini
demian,dɛmiɐ̃
maia,mɐjɐ
robson,ʁobsõ
conceição,konsɛjsɐ̃w̃
arnaldo,ɐɾnɐldo
viana,viɐnɐ
pontes,pontɛʃ
paulista,pawliʃtɐ
péricles,peɾiklɛʃ
oswald,oʃwɐld
lúcia,luziɐ
petterle,pɛttɛɾlɛ
adilson,ɐdilsõ
kindlemann,kindlɛmɐn
thales,tɐlɛʃ
leites,lɛjtɛʃ
gonzaga,ɡonzɐɡɐ
ivan,ivɐ̃
rink,ʁink
waldemar,wɐldɛmɐɾ
aureliano,awɾɛliɐno
cabrerizo,kɐbʁɛɾizo
morris,moʁiʃ
albert,ɐlbɛɾt
fredo,fɾɛdo
martha,mɐɾtɐ
vasconcellos,vɐʃkonsɛlloʃ
ruas,ʁuɐʃ
vinicius,viniziwʃ
ferran,fɛʁɐ̃
newton,nɛwtõ
mendonça,mɛndonsɐ
santacroce,sɐntɐkʁozɛ
nair,najɾ
bello,bɛllo
jedaias,ʒɛdɐjɐʃ
capucho,kɐpuko
montenegro,montɛnɛɡʁo
mauro,mawɾo
reis,ʁɛjʃ
farfus,fɐɾfuʃ
fischer,fiʃkɛɾ
baiano,bɐjɐno
naná,nɐna
vasconcelos,vɐʃkonsɛloʃ
semler,sɛmlɛɾ
padilha,pɐdilɐ
moisés,mowizeʃ
emil,ɛmil
rached,ʁɐkɛd
geraldo,ʒɛɾɐldo
meirelles,mɛjɾɛllɛʃ
osman,oʃmɐ̃
bartolomeu,bɐɾtolomew
zarvos,zɐɾvoʃ
marighella,mɐɾiɡɛllɐ
reginaldo,ʁɛʒinɐldo
anjos,ɐnʒoʃ
isaac,izɐɐk
karabtchevsky,kɐɾɐbtkɛvskj
bábby,babbj
ketleyn,kɛtlɛj̃
flávio,flavio
bombonato,bombonɐto
splitter,splittɛɾ
iomar,iomɐɾ
autuori,awtuoɾi
mignone,miɡnonɛ
erison,ɛɾizõ
saatkamp,sɐɐtkɐmp
josimar,ʒozimɐɾ
higino,iʒino
avila,ɐvilɐ
bernardi,bɛɾnɐɾdi
florent,floɾɛnt
amodio,ɐmodio
vampeta,vɐmpɛtɐ
r,ʁ
orestes,oɾɛʃtɛʃ
allan,ɐllɐ̃
gaúcho,ɡaẃko
túlio,tulio
maravilha,mɐɾɐvilɐ
ademir,ɐdɛmiɾ
guia,ɡʷiɐ
georgia,ʒɛoɾʒiɐ
brown,bɾow
virna,viɾnɐ
ronaldo,ʁonɐldo
guiaro,ɡʷiɐɾo
bosco,boʃko
nazareth,nɐzɐɾɛt
sevcenko,sɛvsɛnko
anderson,ɐndɛɾsõ
ghosn,ɡoʃ
salgado,sɐlɡɐdo
domingos,dominɡoʃ
sydney,sjdnɛj
possuelo,poʃsuɛlo
arêas,ɐɾeɐʃ
rifan,ʁifɐ̃
huertas,uɛɾtɐʃ
jacobi,ʒɐkobi
weldon,wɛldõ
airton,ajɾtõ
ladaga,lɐdɐɡɐ
arlene,ɐɾlɛnɛ
telê,tɛle
varejão,vɐɾɛʒɐ̃w̃
mehmet,mɛmɛt
aurélio,awɾelio
dutra,dutʁɐ
alessandro,ɐlɛʃsɐndɾo
estêvão,ɛʃtevɐ̃w̃
joyce,ʒowjzɛ
sobral,sobʁɐl
deyvison,dɛjvizõ
rochemback,ʁokɛmbɐkk
behar,bɛɐɾ
bordon,boɾdõ
friedenreich,fɾiɛdɛnʁɛjk
ludwig,ludwiɡ
riedel,ʁiɛdɛl
lyoto,ljoto
machida,mɐkidɐ
rizzo,ʁiʒzo
guarnieri,ɡɐɾniɛɾi
afanasieff,ɐfɐnɐziɛff
ruy,ʁuj
guerra,ɡʷɛʁɐ
casagrande,kɐzɐɡʁɐndɛ
elton,ɛltõ
brandão,bɾɐndɐ̃w̃
sávio,savio
miélli,mielli
venerando,vɛnɛɾɐndo
lorenzo,loɾɛnzo
fernández,fɛɾnandɛʒ
assunção,ɐʃsunsɐ̃w̃
jacaré,ʒɐkɐɾe
hélder,eldɛɾ
câmara,kamɐɾɐ
marcelinho,mɐɾsɛlino
vital,vitɐl
gonzalo,ɡonzɐlo
sorondo,soɾondo
dorival,doɾivɐl
caymmi,kɐjmmi
nobre,nobʁɛ
giovanni,ʒiovɐnni
battista,bɐttiʃtɐ
castagneto,kɐʃtɐɡnɛto
elizeth,ɛlizɛt
boff,boff
givanildo,ʒivɐnildo
olavo,olɐvo
serginho,sɛɾʒino
chulapa,kulɐpɐ
trevizan,tɾɛvizɐ̃
grohe,ɡɾoɛ
natálya,nɐtaljɐ
anderle,ɐndɛɾlɛ
giaffone,ʒiɐffonɛ
rousimar,ʁowuzimɐɾ
palhares,pɐlɐɾɛʃ
negri,nɛɡʁi
marianne,mɐɾiɐnnɛ
steinbrecher,stɛjnbɾɛkɛɾ
sales,sɐlɛʃ
heleno,ɛlɛno
freitas,fɾɛjtɐʃ
jô,ʒo
bibiano,bibiɐno
prass,pɾɐsʃ
gerônimo,ʒɛɾonimo
carpegiani,kɐɾpɛʒiɐni
gilmar,ʒilmɐɾ
gastão,ɡɐʃtɐ̃w̃
egberto,ɛɡbɛɾto
gismonti,ʒiʃmonti
juliano,ʒuliɐno
antonello,ɐntonɛllo
pery,pɛɾj
zago,zɐɡo
anna,ɐnnɐ
stella,stɛllɐ
schic,skik
renan,ʁɛnɐ̃
anaílson,ɐnaj́lsõ
noleto,nolɛto
leal,lɛɐl
adriane,ɐdʁiɐnɛ
galisteu,ɡɐliʃtew
eustáquio,ewʃtakʷio
jesuíno,ʒɛzuj́no
avanzi,ɐvɐnzi
altair,ɐltajɾ
martial,mɐɾtiɐl
gueroult,ɡʷɛɾowult
alcântara,ɐlkantɐɾɐ
malachias,mɐlɐkiɐʃ
airto,ajɾto
frei,fɾɛj
betto,bɛtto
marquinhos,mɐɾkʷinoʃ
francileudo,fɾɐnsilewdo
magda,mɐɡdɐ
tagliaferro,tɐɡliɐfɛʁo
guiomar,ɡʷiomɐɾ
novaes,novɐɛʃ
véra,veɾɐ
clouzot,klowuzot
maldonado,mɐldonɐdo
jaimez,ʒajmɛʒ
nasr,nɐʃɾ
dionísio,dionizio
boaro,bowɐɾo
carol,kɐɾol
gattaz,ɡɐttɐʒ
everaldo,ɛvɛɾɐldo
meligeni,mɛliʒɛni
ieda,iɛdɐ
vargas,vɐɾɡɐʃ
suzano,suzɐno
andréia,ɐndɾejɐ
laurence,lawɾɛnsɛ
georgina,ʒɛoɾʒinɐ
albuquerque,ɐlbukʷɛɾkʷɛ
josef,ʒozɛf
giovane,ʒiovɐnɛ
gávio,ɡavio
elisângela,ɛlizanʒɛlɐ
kyra,kjɾɐ
larangeira,lɐɾɐnʒɛjɾɐ
camila,kɐmilɐ
brait,bɾajt
luis,lujʃ
ganga,ɡɐnɡɐ
zumba,zumbɐ
formiga,foɾmiɡɐ
márcia,maɾsiɐ
haydée,ɐjdeɛ
andrews,ɐndɾɛwʃ
nakahara,nɐkɐɐɾɐ
juniti,ʒuniti
saito,sajto
luan,luɐ̃
louzã,lowuzɐ̃
clara,klɐɾɐ
rua,ʁuɐ
edmundo,ɛdmundo
elaine,ɛlajnɛ
davidson,dɐvidsõ
lincoln,linkol
cássio,kaʃsio
ponte,pontɛ
sabrina,sɐbʁinɐ
sato,sɐto
gilton,ʒiltõ
davi,dɐvi
galvão,ɡɐlvɐ̃w̃
pires,piɾɛʃ
radamés,ʁɐdɐmeʃ
gnattali,ɡnɐttɐli
janeth,ʒɐnɛt
arcain,ɐɾkaj̃
cláudia,klawdiɐ
michels,mikɛlʃ
joaquim,ʒowɐkʷĩ
razia,ʁɐziɐ
hélio,elio
castroneves,kɐʃtɾonɛvɛʃ
sidiclei,sidiklɛj
pitanga,pitɐnɡɐ
candeia,kɐndɛjɐ
flora,floɾɐ
purim,puɾĩ
caram,kɐɾɐ̃
emanuela,ɛmɐnuɛlɐ
alencar,ɐlɛnkɐɾ
ewerton,ɛwɛɾtõ
cacá,kɐka
bueno,buɛno
hipólito,ipɔlito
boaventura,bowɐvɛntuɾɐ
carón,kɐɾɔ̃
jonathas,ʒonɐtɐʃ
cristian,kɾiʃtiɐ̃
batata,bɐtɐtɐ
ángel,anʒɛl
portugal,poɾtuɡɐl
bustamante,buʃtɐmɐntɛ
ed,ɛd
arona,ɐɾonɐ
juliana,ʒuliɐnɐ
imai,imaj
henkel,ɛnkɛl
leila,lɛjlɐ
esquiva,ɛʃkʷivɐ
moura,mowuɾɐ
vagner,vɐɡnɛɾ
mancini,mɐnsini
jacob,ʒɐkob
bandolim,bɐndolĩ
cristóvão,kɾiʃtɔvɐ̃w̃
valeska,vɐlɛʃkɐ
cartola,kɐɾtolɐ
biurrun,biwʁũ
daiane,dɐjɐnɛ
wanderlei,wɐndɛɾlɛj
roza,ʁozɐ
vitor,vitoɾ
belfort,bɛlfoɾt
lerner,lɛɾnɛɾ
beth,bɛt
wesley,wɛʃlɛj
beltrame,bɛltɾɐmɛ
edivaldo,ɛdivɐldo
nalbert,nɐlbɛɾt
bitencourt,bitɛnkowuɾt
rabello,ʁɐbɛllo
ederson,ɛdɛɾsõ
honorato,onoɾɐto
felicja,fɛlikʒɐ
blumental,blumɛntɐl
heitor,ɛjtoɾ
aramburu,ɐɾɐmbuɾu
bastos,bɐʃtoʃ
romualdo,ʁomuɐldo
arppi,ɐɾppi
wallid,wɐllid
