kārlis,kɑːrlĭs
bietags,bi͜etɑks
jevgeņijs,ʝe͜uɡeɲiʝs
saproņenko,sɑprɔɲæňku͜o
dankers,dɑňkers
skrastiņš,skrɑstiɲʃ
martins,mɑrtins
dukurs,dukurs
daliņš,dɑliɲʃ
mednis,mednĭs
kononovs,kɔnɔnɔ͜us
bārtulis,bɑːrtulĭs
tomass,tɔmɑsː
naumova,nɑ͜umɔvɑ̆
andrejeva,ɑndreʝævɑ̆
ineta,inætɑ̆
radēviča,rɑdeːvit͡ʃɑ̆
irbe,irbĕ
ausma,ɑ͜usmɑ̆
ziedonekantāne,zi͜edɔnækɑntɑːnĕ
viktorija,viktɔriʝɑ̆
modesta,mɔdæstɑ̆
uvis,uvĭs
paukštello,pɑ͜ukʃtælːu͜o
čerkovskis,t͡ʃærkɔ͜uskĭs
jana,ʝɑnɑ̆
sekste,sekstĕ
ķuzuleskrastiņa,cuzuleskrɑstiɲɑ̆
ražuks,rɑʑuks
beness,benesː
aijo,ɑ͜iʝu͜o
keišs,ke͜iʃ
pelcis,pelt͡sĭs
gundars,ɡundɑrs
celitāns,t͡selitɑːns
broka,brɔkɑ̆
daudziņš,dɑ͜ud͡ziɲʃ
tobu,tɔbŭ
uldis,uldĭs
pūcītis,puːt͡siːtĭs
georgijs,ɡeɔrɡiʝs
kuļikovs,kuʎikɔ͜us
nevarauskaatkočūne,nevɑrɑ͜uskɑɑtkɔt͡ʃuːnĕ
šiškins,ʃiʃkins
maļuka,mɑʎukɑ̆
ķesteris,cesterĭs
arsens,ɑrsens
miskarovs,miskɑrɔ͜us
atis,ɑtːĭs
slakteris,slɑkterĭs
samanta,sɑmɑntɑ̆
tīna,tiːnɑ̆
zemgus,zæmɡŭs
girgensons,ɡirɡænsɔns
gaitars,ɡɑ͜itɑrs
ingrīda,iňɡriːdɑ̆
andriņa,ɑndriɲɑ̆
helga,xælɡɑ̆
dancberga,dɑnd͡zbærɡɑ̆
irbes,irbĕs
šaurums,ʃɑ͜urums
futbola,fudbɔlɑ̆
federācija,fedærɑːt͡siʝɑ̆
piltene,piltenĕ
ģerbonis,ɟærbɔnĭs
radio,rɑdiɔː
un,un
televīzijas,televiːziʝɑ̆s
tornis,tɔrnĭs
izlase,izlɑsĕ
latviešu,lɑtvi͜eʃŭ
mitoloģija,mitɔlɔɟiʝɑ̆
strūves,struːvĕs
ģeodēziskais,ɟeɔdeːziskɑ͜is
loks,lu͜oks
valpurģu,vɑlpurɟŭ
nakts,nɑkt͡s
psrs,psrs
salacgrīva,sɑlɑd͡zɡriːvɑ̆
asambleja,ɑsɑmbleʝɑ̆
universitāte,universitɑːtĕ
daugava,dɑ͜uɡɑvɑ̆
dzintara,d͡zintɑrɑ̆
ceļš,t͡seʎʃ
olimpiskajās,ɔlimpiskɑʝɑːs
spēlēs,speːleːs
dziesmotā,d͡zi͜esmɔtɑː
revolūcija,rævɔluːt͡siʝɑ̆
pērkonkrusts,pæːrkɔnkrust͡s
monētas,mɔnæːtɑ̆s
airbaltic,ɑ͜irbɑltit͡s
liepājas,li͜epɑːʝɑ̆s
metalurgs,mætɑlurks
dzelzceļš,d͡zelst͡seʎʃ
baldone,bɑldɔnĕ
mikrotīkls,mikrɔtiːkls
pārkrievošana,pɑːrkri͜evu͜oʃɑnɑ̆
brīvības,briːviːbɑ̆s
piemineklis,pi͜emineklĭs
tīģeri,tiːɟerĭ
blāzma,blɑːzmɑ̆
apriņķis,ɑpriɲcĭs
vienotība,vi͜enɔtiːbɑ̆
dienas,di͜enɑ̆s
lapa,lɑpːɑ̆
sieviešu,si͜evi͜eʃŭ
olimpiskā,ɔlimpiskɑː
komiteja,kɔmiteʝɑ̆
virtuve,virtuvĕ
aldaris,ɑldɑrĭs
auda,ɑ͜udɑ̆
krievu,kri͜evŭ
savienība,sɑvi͜eniːbɑ̆
hokeja,xɔkeʝɑ̆
sports,spɔrt͡s
latvijā,lɑtviʝɑː
metta,mættɑ̆
saimniecība,sɑ͜imni͜et͡siːbɑ̆
miķeļi,miceʎĭ
rupjmaize,rupʝmɑ͜izĕ
spartaks,spɑrtɑks
latvijai,lɑtviʝɑ͜i
ventspilij,ventspilii̯
reģionu,reɟiɔnŭ
apvienība,ɑpvi͜eniːbɑ̆
jāņu,ʝɑːɲŭ
siers,si͜ers
krievvalodīgie,kri͜evvɑlɔdiːɡi͜e
par,pɑr
cilvēcīgu,t͡silveːt͡siːɡŭ
latviju,lɑtviʝŭ
jevgēņijs,ʝe͜uɡeːɲiʝs
ignatjevs,iɡnɑtʝe͜us
maija,mɑ͜iʝɑ̆
eichhorn,e͜it͡sxxɔrn
sergejs,serɡe͜is
žoltoks,ʑɔltɔks
sprukts,sprukt͡s
zigurds,ziɡurt͡s
lanka,lɑňkɑ̆
bārzdiņa,bɑːrzdiɲɑ̆
dairis,dɑ͜irĭs
harijs,xɑriʝs
vītoliņš,viːtɔliɲʃ
nils,nils
ušakovs,uʃɑkɔ͜us
ģederts,ɟedert͡s
eliass,eliɑsː
sigvards,siɡvɑrt͡s
nora,nu͜orɑ̆
ikstena,ikstænɑ̆
marts,mɑrt͡s
pujāts,puʝɑːt͡s
reirs,re͜irs
domburs,du͜omburs
katrīna,kɑtriːnɑ̆
krumpāne,krumpɑːnĕ
irina,irinɑ̆
odojevceva,ɔdɔʝe͜ut͡sævɑ̆
frīdenbergs,friːdenberks
pelšs,pelʃ
arvils,ɑrvils
ašeradens,ɑʃærɑdens
silagailis,silɑɡɑ͜ilĭs
arvis,ɑrvĭs
viguls,viɡuls
zandere,zɑnderĕ
ada,ɑdɑ̆
svetlova,svætlɔvɑ̆
rubļevska,rubʎe͜uskɑ̆
marcinkēviča,mɑrt͡siňkeːvit͡ʃɑ̆
ostups,ɔstups
bordāns,bɔrdɑːns
vineta,vinætɑ̆
