douglas,dʌɡləs
davis,dejvəs
prescott,pɹɛskɑt
joule,d͡ʒul
clapton,klæptən
marianne,mɛɹiæn
faithfull,fejθfəl
livingstone,lɪvɪŋstown
round,ɹawnd
emeric,ɪmɹɪk
pressburger,pɹɛsbɹ̩ɡɹ̩
laurence,lɔɹəns
olivier,owlɪviej
johnny,d͡ʒɑni
herbert,hɹ̩bɹ̩t
darren,dɑɹən
fletcher,flɛt͡ʃɹ̩
stirling,stɹ̩lɪŋ
moss,mɔs
diana,dajænə
wynne,wɪn
jones,d͡ʒownz
alexa,əlɛksə
chung,t͡ʃʌŋ
ethel,ɛθəl
smyth,smajθ
sandy,sændi
denny,dɛni
kathleen,kæθlin
lonsdale,lɑnsdejl
wharton,wɔɹtən
lisa,lisə
stansfield,stænsfild
gary,ɡɛɹi
lineker,lajnkɹ̩
mel,mɛl
b,bi
barbara,bɑɹbɹ̩ə
cartland,kɑɹtlənd
zaha,zɑhə
hadid,hɑdid
madden,mædən
sienna,siɛnə
guillory,ɡɪlɹ̩i
maynard,mejnɹ̩d
keynes,kejnz
ludwig,lʌdwɪɡ
wittgenstein,wɪtd͡ʒənstajn
lean,lin
charles,t͡ʃɑɹlz
laughton,lɔtən
boorman,bʊɹmən
greenaway,ɡɹinəwej
coulthard,kulθɑɹd
pryce,pɹajs
brundle,bɹʌndəl
broadley,bɹɔdli
allan,ælən
mcnish,məknɪʃ
horrocks,hɔɹəks
sally,sæli
gunnell,ɡʌnəl
christiane,kɹɪstiɑn
amanpour,ɑmɑnpʊɹ
imogen,ɪməɡən
poots,puts
conor,kɑnɹ̩
kenneth,kɛnɪθ
branagh,bɹænæ
schlesinger,ʃlɛsɪnd͡ʒɹ̩
ridley,ɹɪdli
ustinov,ustɪnɑv
coast,kowst
krebs,kɹɛbz
ross,ɹɑs
brawn,bɹɔn
syd,sɪd
barrett,bæɹɪt
hailwood,hejlwʊd
winifred,wɪnɪfɹɪd
wagner,wæɡnɹ̩
gascoyne,ɡæskojn
julian,d͡ʒuliən
bailey,bejli
khan,kɑn
elisabeth,ɪlɪzəbɪθ
schwarzkopf,ʃwɔɹtskɔpf
klaus,klaws
fuchs,fjuks
anthony,ænθəni
horowitz,hɔɹowɪts
greenwell,ɡɹinwɛl
pugh,pju
kevin,kɛvɪn
ayers,ajɹ̩z
kingsley,kɪŋzli
ron,ɹɑn
dennis,dɛnɪs
collins,kɑlɪnz
jock,d͡ʒɑk
clear,klɪɹ
max,mæks
mosley,mowzli
acheson,æt͡ʃəsən
watkins,wɑtkɪnz
blair,blɛɹ
katrina,kætɹinə
kaif,kejf
major,mejd͡ʒɹ̩
whitmarsh,wɪtmɑɹʃ
newey,nui
wirth,wɹ̩θ
amanda,əmændə
holden,howldən
anita,ənitə
roddick,ɹɑdɪk
romero,ɹowmɛɹow
edith,idɪθ
pargeter,pɑɹɡɪtɹ̩
jacqui,d͡ʒækwi
liam,liəm
neeson,nisən
helen,hɛlən
sharman,ʃɑɹmən
rogers,ɹɑd͡ʒɹ̩z
hague,hejɡ
keeley,kili
hawes,hɔz
eysenck,ejsəŋk
hannah,hænə
spearritt,spɪɹɪt
nash,næʃ
callaghan,kæləhæn
lewis,luɪs
conrad,kɑnɹæd
veidt,vejidt
born,bɔɹn
lily,lɪli
allen,ælən
tyrrell,tajɹɛl
bob,bɑb
richards,ɹɪt͡ʃɹ̩dz
murray,mɹ̩i
hart,hɑɹt
anna,ænə
friel,fɹil
torrence,tɔɹəns
nicholson,nɪkəlsən
morison,mɔɹɪsən
cumming,kʌmɪŋ
sarah,sɛɹə
waters,wɔtɹ̩z
hobbs,hɑbz
woolmer,wʊlmɹ̩
andros,ændɹɑs
townsend,tawnzənd
bell,bɛl
warr,wɔɹ
horner,hɔɹnɹ̩
pat,pæt
symonds,sɪməndz
whiting,wajtɪŋ
brookner,bɹʊknɹ̩
siân,siâɛn
phillips,fɪlɪps
phyllida,fɪlidə
harvey,hɑɹvi
postlethwaite,powstlθwejt
barnard,bɑɹnɹ̩ɹd
coughlan,kɔɡlən
nigel,najd͡ʒəl
stepney,stɛpni
kyle,kajl
walker,wɔkɹ̩
hayley,hejli
mills,mɪlz
polly,pɑli
derek,dɛɹɪk
jarman,d͡ʒɑɹmən
alastair,æləstɛɹ
mccorquodale,məkɔɹkədejl
kenney,kɛni
beasant,bzənt
evenson,ɛvɪnsən
robson,ɹɑbsən
andy,ændi
barker,bɑɹkɹ̩
weasley,wizli
judd,d͡ʒʌd
nico,nikow
yennaris,jɛnɛɹ̩ɪs
adam,ædəm
lallana,lælænə
hannam,hænəm
rob,ɹɑb
white,wajt
robin,ɹɑbən
herd,hɹ̩d
neil,nil
oatley,owtli
densham,dɛnʃəm
dernie,dɹ̩ni
dawson,dɔsən
andre,ɑndɹej
wisdom,wɪzdəm
maurice,mɔɹis
wilkes,wɪlks
rudolf,ɹudɑlf
peierls,pajɹlz
nikolaus,nɪkəlawz
pevsner,pɛvsnɹ̩
damon,dejmən
mansell,mænsəl
jenson,d͡ʒɛnsən
button,bʌtən
southgate,sawθɡejt
hermione,hɹ̩majəni
granger,ɡɹejnd͡ʒɹ̩
magdalen,mæɡdələn
nabb,næb
samantha,səmænθə
bond,bɑnd
pegg,pɛɡ
geoff,d͡ʒɛf
willis,wɪlɪs
tauranac,tɔʊɹ̩ənək
carol,kæɹəl
cleveland,klivlənd
roddy,ɹɑdi
mcdowall,məkdawəl
williamina,wɪljəminə
fiona,fiownə
kaiane,kajæn
aldorino,ɑldɹinow
sam,sæm
mcclean,məklin
minette,mɪnɛt
walters,wɔltɹ̩z
sadie,sædi
frost,fɹɔst
mcvie,məkvi
veronica,vɹ̩ɑnɪkə
cartwright,kɑɹtɹajt
jill,d͡ʒɪl
ireland,ajɹ̩lənd
lottie,lɑti
dod,dɑd
drabble,dɹæbəl
reginald,ɹɛd͡ʒənəld
innes,ɪnəs
pocock,pɑkək
naylor,nejlɹ̩
rachel,ɹejt͡ʃəl
podger,pɑd͡ʒɹ̩
cherie,t͡ʃɪɹi
sanders,sændɹ̩z
humza,hʌmzə
yousaf,jawsəf
cockcroft,kɑkɹɔft
frederic,fɹɛdɹɪk
c,si
okonedo,əkownejdow
aaron,ɛɹən
evelyn,ɛvələn
glennie,ɡlɛni
giggs,ɡɪɡz
gabriel,ɡejbɹiəl
aldiss,ɑldɪs
fay,fej
weldon,wɛldən
alek,əlɛk
wek,wɪk
donaldson,dɑnəldsən
sue,su
heather,hɛðɹ̩
holdsworth,howldzwɹ̩θ
laugher,læɹ̩
barmby,bɑɹmbi
dana,dejnə
wynter,wɪntɹ̩
bill,bɪl
brandt,bɹænt
lilian,lɪliən
henschel,hɛnʃəl
preston,pɹɛstən
aubrey,ɔbɹi
de,di
grey,ɡɹej
keeler,kilɹ̩
kris,kɹɪs
boyd,bojd
val,væl
mcdermid,məkdɹ̩məd
dors,dɔɹz
pooley,puli
greenwood,ɡɹinwʊd
cilla,sɪlə
black,blæk
sansom,sænsəm
benjamin,bɛnd͡ʒəmən
frankel,fɹæŋkəl
marsden,mɑɹsdən
nathan,nejθən
redmond,ɹɛdmənd
brendan,bɹɛndən
bruce,bɹus
heinz,hajnz
london,lʌndən
walter,wɔltɹ̩
lassally,læsəli
manu,mænu
tuilagi,tulɑɡi
hallett,hælɪt
dale,dejl
paterson,pætɹ̩sən
kerry,kɛɹi
katona,kɑtownə
rubeus,ɹubiəs
hagrid,hɑɡɹəd
nicols,nɪkəlz
turner,tɹ̩nɹ̩
jacqueline,d͡ʒækwəlɪn
emily,ɛmɪli
bergl,bɹ̩ɡəl
edward,ɛdwɹ̩d
dannreuther,dænɹojʌðɹ̩
phil,fɪl
bardsley,bɑɹdsli
rosenfeld,ɹowzənfɛld
pidgeon,pɪdd͡ʒɪn
kavan,kejvən
marc,mɑɹk
bolan,bowlən
jaime,hajmi
whitty,wɪti
denise,dɪnis
elder,ɛldɹ̩
stephenson,stivənsən
severus,sɛvɹ̩əs
snape,snejp
boone,bun
felicity,fɪlɪsəti
lott,lɑt
elliot,ɛliət
getty,ɡɛti
jr,d͡ʒunjɹ̩
logan,lowɡən
pearsall,pɹ̩səl
launchbury,lɔnt͡ʃbɛɹi
nicol,nɪkəl
gibb,d͡ʒɪb
ovett,owvɛt
mirrlees,mɪɹliz
bessie,bɛsi
love,lʌv
lightoller,lajtəlɹ̩
joyce,d͡ʒojs
hatto,hætow
harty,hɑɹti
landon,lændən
ronald,ɹɑnəld
blackburn,blækbɹ̩n
stan,stæn
laurel,lɔɹəl
billy,bɪli
idol,ajdəl
charlotte,ʃɑɹlət
auerbach,awɹ̩bɑk
morrison,mɔɹɪsən
sellers,sɛlɹ̩z
rutherford,ɹʌθɹ̩fɹ̩d
eugene,jud͡ʒin
conti,kownti
ellen,ɛlən
ann,æn
packer,pækɹ̩
flamsteed,flæmstid
barlow,bɑɹlow
dani,dɑni
rowe,ɹow
tessa,tɛsə
sanderson,sændɹ̩sən
gregg,ɡɹɛɡ
sulkin,sʌlkɪn
kirkby,kɹ̩kbi
sylvia,sɪlviə
sleigh,slej
kempson,kɛmpsən
andrea,ændɹiə
riseborough,ɹajzbɹ̩ow
mina,minə
gilmour,ʒɪlmʊɹ
patricia,pətɹɪʃə
hayes,hejz
jason,d͡ʒejsən
gardener,ɡɑɹdənɹ̩
seaman,simən
irvine,ɹ̩vajn
welsh,wɛlt͡ʃ
lindsay,lɪndzi
duncan,dʌŋkən
burgh,bɹ̩ɡ
osgood,ɑsɡʊd
luke,luk
moore,mʊɹ
ida,ajdə
haendel,hɛndəl
marie,mɹ̩i
rambert,ɹæmbɹ̩t
ferrier,fɛɹiɹ̩
donald,dɑnəld
runnicles,ɹʌnəkəlz
hunter,hʌntɹ̩
janet,d͡ʒænət
baker,bejkɹ̩
mary,mɛɹi
t,ti
stead,stɛd
birdy,bɹ̩di
angela,ænd͡ʒələ
mortimer,mɔɹtɪmɹ̩
stevens,stivənz
warnock,wɔɹnɑk
beverley,bɛvɹ̩li
allitt,ælɪt
perry,pɛɹi
gwyneth,ɡwajnɪθ
yvette,ɪvɛt
jeremy,d͡ʒɛɹəmi
corbyn,kɔɹbɪn
cleo,kliow
laine,lejn
ric,ɹɪk
victor,vɪktɹ̩
mclaglen,məklɑɡələn
madeleine,mædəlɛn
carroll,kæɹəl
johnston,d͡ʒɑnstən
cicely,sɪsəli
saunders,sɔndɹ̩z
thérèse,tiejt͡ʃéɑɹèsawθist
coffey,kɑfi
hurley,hɹ̩li
kornberg,kɔɹnbɹ̩ɡ
gilroy,ɡɪlɹoj
ellis,ɛlɪs
stokes,stowks
harry,hɛɹi
melling,mɛlɪŋ
courtenay,kɹ̩tənej
norbert,nɔɹbɹ̩t
elias,əlajəs
fowler,fawlɹ̩
weatherall,wɛðɹ̩ɔl
archie,ɑɹt͡ʃi
panjabi,pænd͡ʒɑbi
beckinsale,bɛkɪnsejl
bettany,bɛtəni
pauline,pɔlin
alicia,əlɪʃə
markova,mɑɹkowvə
darcey,dɑɹsi
bussell,bʌsəl
garden,ɡɑɹdən
judy,d͡ʒudi
dyble,dajbəl
tracey,tɹejsi
syms,sɪmz
von,vɔn
arnim,ɑɹnɪm
e,i
f,ɛf
schumacher,ʃumɑkɹ̩
mannheim,mænhajm
erich,ɛɹɪk
mendelsohn,mɛndəlsən
elgar,ɛlɡɹ̩
antonia,æntowniə
draco,dɹəkow
malfoy,mælfoj
venetia,vənɛʃə
burney,bɹ̩ni
beatrice,biətɹəs
lillie,lɪli
sinead,ʃɪnejd
kerr,kɹ̩
juliet,d͡ʒuliɛt
freya,fɹejə
stark,stɑɹk
julyan,d͡ʒʌliən
westbrook,wɛstbɹʊk
talvin,tælvɪn
singh,sɪŋ
freemantle,fɹimæntəl
lindy,lɪndi
hemming,hɛmɪŋ
anastasia,ænəstejʒə
griffith,ɡɹɪfəθ
sprott,spɹɑt
martine,mɑɹtin
mccutcheon,məkʌt͡ʃən
katarina,kɑtɹ̩inə
muller,mʌlɹ̩
marin,mɛɹɪn
alsop,ælsɑp
thomas,tɑməs
kendrick,kɛndɹɪk
russ,ɹʌs
bray,bɹej
mickie,mɪki
most,mowst
teck,tɛk
ralf,ɹɑlf
dahrendorf,dɑɹɪndɔɹf
guttmann,ɡʌtmən
benedict,bɛnədɪkt
cumberbatch,kʌmbɹ̩bæt͡ʃ
terence,tɛɹəns
stamp,stæmp
freud,fɹojd
perutz,pɹ̩ʌts
mcdonald,məkdɑnəld
cecilia,sɪsiljə
colledge,kɑlɪd͡ʒ
boris,bɔɹɪs
huxley,hʌksli
mansfield,mænzfild
koestler,kowsəlɹ̩
shilton,ʃɪltən
turnbull,tɹ̩nbʊl
webber,wɛbɹ̩
stafford,stæfɹ̩d
cripps,kɹɪps
oswald,ɔzwɔld
aneurin,ənɹɪn
dev,dɛv
patel,pətɛl
stoppard,stɑpɹ̩d
hoon,hun
jay,d͡ʒej
truman,tɹumən
damien,dejmiən
hirst,hɹ̩st
cusick,kjuzɪk
bligh,blaj
numan,numən
finch,fɪnt͡ʃ
mcmanaman,məkmænəmən
ridgewell,ɹɪd͡ʒwɛl
geoffrey,d͡ʒɛfɹi
howe,haw
heseltine,hɛsəltin
healey,hili
profumo,pɹəfumow
bevin,bɛvɪn
fox,fɑks
benn,bɛn
foot,fʊt
ernst,ɹ̩nst
gombrich,ɡɑmbɹɪk
otto,ɑtow
deutsch,dojt͡ʃ
tauber,tawbɹ̩
haffenden,hæfɪndən
cavill,kævəl
lansbury,lænzbɹ̩i
delaney,dəlejni
canetti,kənɛti
agyness,əɡɪnəs
deyn,dɛn
josephson,d͡ʒowsəfsən
julie,d͡ʒuli
gurdon,ɡɹ̩dən
gilbert,ɡɪlbɹ̩t
jessica,d͡ʒɛsɪkə
tandy,tændi
abel,ejbəl
vivian,vɪviən
woodward,wʊdwɔɹd
mcgarrity,məɡæɹəti
ray,ɹej
milland,mɪlənd
banesh,bejnɛʃ
hoffmann,hɔfmən
shawcross,ʃɔkɹɔs
ruddy,ɹʌdi
lennox,lɛnəks
higgins,hɪɡɪnz
julianne,d͡ʒuliɛn
glenda,ɡlɛndə
jackson,d͡ʒæksən
arliss,ɑɹlɪs
hooper,hupɹ̩
rab,ɹæb
butler,bʌtlɹ̩
ioan,ajown
gruffudd,ɡɹʌfudd
coltrane,kowltɹən
molina,məlinə
justine,d͡ʒəstin
greening,ɡɹinɪŋ
buchan,bʌkən
osborne,ɔzbɔɹn
butt,bʌt
pettyfer,pɛtajfɹ̩
norman,nɔɹmən
lamont,ləmɑnt
leon,liɑn
brittan,bɹɪtən
rodney,ɹɑdni
porter,pɔɹtɹ̩
carson,kɑɹsən
marty,mɑɹti
feldman,fɛldmən
hiddleston,hɪdəlstən
francis,fɹænsəs
pym,pɪm
wilkinson,wɪlkənsən
r,ɑɹ
clynes,klajnz
nicolson,nɪkowlsən
kennedy,kɛnədi
philip,fɪləp
hammond,hæmənd
armitage,ɑɹmɪtɪd͡ʒ
colman,kowlmən
niven,najvən
rex,ɹɛks
eagles,iɡəlz
imre,ɪmɹə
lakatos,lækətowz
philby,fɪlbi
jermaine,d͡ʒɹ̩mejn
pennant,pɛnənt
brand,bɹænd
jenas,d͡ʒɛnəz
paisley,pejzli
bryan,bɹajən
owen,owən
icke,ɪk
hilaire,hɪlɛɹ
belloc,bɛlɑk
jenkins,d͡ʒɛŋkənz
rhodri,ɹɑdɹi
morgan,mɔɹɡən
aldous,ɑldəs
m,ɛm
barrie,bæɹi
rod,ɹɑd
popper,pɑpɹ̩
glenn,ɡlɛn
hoddle,hɑdəl
vinnie,vɪni
dmitri,dəmitɹi
hvorostovsky,hvɹɔstɑvski
iris,ajɹəs
hornby,hɔɹnbi
shirley,ʃɹ̩li
greer,ɡɹɪɹ
garson,ɡɑɹsən
morris,mɔɹəs
johnnie,d͡ʒɑni
enoch,inək
jeannette,d͡ʒənɛt
altwegg,æltwɛ
templeton,tɛmpəltən
frederick,fɹɛdɹɪk
forsyth,fɔɹsajθ
tolkien,towkin
worthington,wɹ̩ðɪŋtən
north,nɔɹθ
whitehead,wajthɛd
rodwell,ɹɑdwɛl
hailey,hejli
barry,bæɹi
lincoln,lɪŋkən
woodgate,wʊdɡejt
alistair,ælɪstɛɹ
darling,dɑɹlɪŋ
highmore,hajmɔɹ
izzard,ɪzɹ̩d
rosemary,ɹowzmɛɹi
sutcliff,sʌtklɪf
clint,klɪnt
greaves,ɡɹivz
moyes,mojz
maxwell,mækswɛl
pickles,pɪkəlz
hunt,hʌnt
mcshee,məkʃi
di,di
resta,ɹistə
cary,kɛɹi
grant,ɡɹænt
wiles,wajlz
melanie,mɛləni
klein,klajn
joseph,d͡ʒowsəf
cynthia,sɪnθiə
ursula,ɹ̩sələ
dronke,dɹɑŋk
cyril,sɪɹəl
knowles,nowlz
cliff,klɪf
westwick,wɛstwɪk
galsworthy,ɡælzwɹ̩ði
fred,fɹɛd
hoyle,hojl
mckane,məkejn
godfree,ɡɑdfɹi
hutchinson,hʌt͡ʃɪnsən
eve,iv
myles,majlz
gardner,ɡɑɹdnɹ̩
lizzie,lɪzi
deignan,dəɡnæn
roberts,ɹɑbɹ̩ts
pankhurst,pæŋkhɹ̩st
sheen,ʃin
vashti,væʃti
bunyan,bʌnjən
catherine,kæθɹ̩ən
tate,tejt
brett,bɹɛt
naomi,nejowmi
katrin,kætɹɪn
cartlidge,kɑɹtlɪd͡ʒ
hicks,hɪks
harding,hɑɹdɪŋ
vanessa,vənɛsə
gemma,d͡ʒɛmə
arterton,ɑɹtɹ̩tən
nicholas,nɪkələs
hoult,howlt
anton,æntɔn
ferdinand,fɹ̩dɪnænd
cattermole,kætɹ̩mowl
boyle,bojl
leona,liownə
blackett,blækɪt
hardy,hɑɹdi
