イチロー,it͡ɕiɾoː
オオシマヒロユキ,oːɕimaçiɾojɯkʲi
イシイヒサイチ,iɕiːçisait͡ɕi
シンシア,ɕiĩɕia
ラスター,ɖasɯtaː
クスノキカツラ,kɯsɯnokʲikat͡sɯɾa
ハットリミツル,hattoɾʲimʲit͡sɯɾɯ
ノミコ,nomʲiko
マチゲリータ,mat͡ɕiɡeɾʲiːta
アサミ,asamʲi
カネコアツシ,kanekoat͡sɯɕi
アイザワハルカ,aizaɰahaɾɯka
ヒロ,çiɾo
マツダ,mat͡sɯda
アズママユミ,azɯmamajɯmʲi
ヨシ,joɕi
インカク,iŋkakɯ
インジョ,ind͡ʑo
ダンカン,daŋkaɴ
カヤマユミ,kajamajɯmʲi
タイライサオ,taiɾaisao
タキイサオ,takʲiːsao
インソン,iĩsoɴ
カオキナ,kaokʲina
ナガサワ,naɡasaɰa
トオル,toːɾɯ
スキガラ,sɯkʲiɡaɾa
マサヒロ,masaçiɾo
ヨシダ,joɕida
ムロフシ,mɯɾoɸɯɕi
ヒロジ,çiɾoʑi
クリハラ,kɯɾʲihaɾa
ルイ,ɖɯi
コバヤシ,kobajaɕi
カユメエラ,kajɯmeːɾa
ジョウコウ,d͡ʑoɯkoɯ
キサキミチコ,kʲisakʲimʲit͡ɕiko
ワカギ,ɰakaɡʲi
タミキ,tamʲikʲi
キシモト,kʲiɕimoto
ヒトシシ,çitoɕiɕi
ヒラヤマ,çiɾajama
セイジ,seːʑi
ミツミ,mʲit͡sɯmʲi
ミサト,mʲisato
ナガタ,naɡata
トクモト,tokɯmoto
ヒロナカ,çiɾonaka
タイラユウ,taiɾajɯː
ユノキ,jɯnokʲi
カナメ,kaname
ムラタ,mɯɾata
シュンカイ,ɕɯŋkai
マツバラ,mat͡sɯbaɾa
タケヒサ,takeçisa
キタデ,kʲitade
ナナ,nana
クワケイ,kɯɰakeː
アサ,asa
サナダ,sanada
ユキ,jɯkʲi
ヒダリミユキ,çidaɾʲimʲijɯkʲi
コ,ko
ケンスケ,keẽsɯke
ノザワ,nozaɰa
ヨウスケ,joɯsɯke
カワマタ,kaɰamata
タダシ,tadaɕi
エイジ,eːʑi
アヅマ,azɯma
ケンジロウ,kend͡ʑiɾoɯ
マサオ,masao
ナガタニ,naɡataɲi
カワカイタロウ,kaɰakaitaɾoɯ
スズキ,sɯzɯkʲi
リコン,ɖʲikoɴ
カワススム,kaɰasɯsɯmɯ
ヤノ,jano
アキコ,akʲiko
カノ,kano
ミチヒコ,mʲit͡ɕiçiko
イタルゾウ,itaɾɯzoɯ
タクヤ,takɯja
ヨシヒサ,joɕiçisa
ヨシノ,joɕino
マサヨシ,masajoɕi
フユバ,ɸɯjɯba
ユミ,jɯmʲi
ミズハシ,mʲizɯhaɕi
カオリ,kaoɾʲi
コンドウ,kondoɯ
サルハシ,saɾɯhaɕi
カツコ,kat͡sɯko
ミソラ,mʲisoɾa
ヒバリ,çibaɾʲi
タカハシ,takahaɕi
サヤカ,sajaka
コウノ,koɯno
ヨウヘイ,joɯheː
アベ,abe
コウボウ,koɯboɯ
クロサワ,kɯɾosaɰa
ヒデキ,çidekʲi
ハラヨシミ,haɾajoɕimʲi
ミチ,mʲit͡ɕi
ナンブ,nambɯ
シンジュン,ɕind͡ʑɯɴ
タケミツ,takemʲit͡sɯ
コシバ,koɕiba
マサトシ,masatoɕi
ミヤザワ,mʲijazaɰa
ケンジ,kend͡ʑi
タテヤマ,tatejama
ショウヘイ,ɕoɯheː
ナギサ,naɡʲisa
イトウ,itoɯ
ユウキ,jɯːkʲi
ダテ,date
タイムネ,taimɯne
アマチ,amat͡ɕi
シゲル,ɕiɡeɾɯ
フジワラ,ɸɯʑiɰaɾa
タカコ,takako
ブンヤ,bɯɯ̃ja
ヤスヒデ,jasɯçide
ユウスケ,jɯːsɯke
ウエハラ,ɯehaɾa
ユウサク,jɯːsakɯ
イシダ,iɕida
マサコ,masako
シバヤマ,ɕibajama
ゼンケイ,d͡zeŋkeː
オイタ,oita
ミゾグチ,mʲizoɡɯt͡ɕi
ゼンヒョウエ,d͡zeẽçoɯe
ナツミ,nat͡sɯmʲi
エン,eŋ
リョウフト,ɖʲoɯɸɯto
ノダ,noda
ヨシヒコ,joɕiçiko
タイショウ,taiɕoɯ
テンノウ,tennoɯ
ノヨリ,nojoɾʲi
ヨシハル,joɕihaɾɯ
カン,kaɴ
ナカタ,nakata
ヒデトシ,çidetoɕi
カツアキラ,kat͡sɯakʲiɾa
カツラフトシ,kat͡sɯɾaɸɯtoɕi
ロウ,ɖoɯ
マルキ,maɾɯkʲi
シュン,ɕɯɴ
ヤマグチ,jamaɡɯt͡ɕi
カンヒロシ,kaãçiɾoɕi
ワカマツ,ɰakamat͡sɯ
セツロウ,set͡sɯɾoɯ
クーデンホーフ,kɯːdeẽhoːɸɯ
コウシ,koɯɕi
ホンリョウ,honɖʲoɯ
シンジロウ,ɕind͡ʑiɾoɯ
シノダ,ɕinoda
モモベニ,momobeɲi
ミノリ,mʲinoɾʲi
カワノブヒデ,kaɰanobɯçide
エト,eto
サトシトク,satoɕitokɯ
エイミサト,eːmʲisato
タダモリ,tadamoɾʲi
ワタナベ,ɰatanabe
アツ,at͡sɯ
ナカノ,nakano
セイココロザシ,seːkokoɾozaɕi
アキバ,akʲiba
ケンヤ,keẽja
サトウ,satoɯ
タケオ,takeo
タカガキ,takaɡakʲi
アヤヨウ,ajajoɯ
ヒサシ,çisaɕi
キリュウ,kʲiɾʲɯː
サチシュウ,sat͡ɕiɕɯː
ミヤモト,mʲijamoto
シント,ɕinto
トイナゾウ,toinazoɯ
マツライ,mat͡sɯɾai
ミユウ,mʲijɯː
カナメグミ,kanameɡɯmʲi
ヒカサ,çikasa
ヨウシ,joɯɕi
トマツ,tomat͡sɯ
ハルカ,haɾɯka
チュウムネ,t͡ɕɯːmɯne
フチタ,ɸɯt͡ɕita
ミツオ,mʲit͡sɯo
コウキュウ,koɯkʲɯː
オウヒショウジナイシンノウ,oɯçiɕoɯʑinaiɕinnoɯ
リュウノスケ,ɖʲɯːnosɯke
チュウジョウ,t͡ɕɯːʑoɯ
キノチョウ,kʲinot͡ɕoɯ
タニツヨシ,taɲit͡sɯjoɕi
クン,kɯɴ
コトブキヨシ,kotobɯkʲijoɕi
サイコ,saiko
ウロフチ,ɯɾoɸɯt͡ɕi
ゲン,ɡeŋ
ホリエ,hoɾʲie
ユイ,jɯi
シンボウ,ɕimboɯ
アキユキ,akʲijɯkʲi
カネモト,kanemoto
ヒサコ,çisako
アキタ,akʲita
ウジャク,ɯʑakɯ
タカヤス,takajasɯ
ツヨシ,t͡sɯjoɕi
イノ,ino
タシゲル,taɕiɡeɾɯ
ヤガミ,jaɡamʲi
クミ,kɯmʲi
オモネキヨシ,omonekʲijoɕi
カナ,kana
サヨ,sajo
アナミ,anamʲi
ドウジョウ,doɯʑoɯ
チョクリン,t͡ɕokɯɾʲiŋ
ホウジョウ,hoɯʑoɯ
ユトリ,jɯtoɾʲi
モリイサオ,moɾʲiːsao
イタリ,itaɾʲi
カシタ,kaɕita
レオ,ɖeo
ユイカ,jɯika
ミチル,mʲit͡ɕiɾɯ
キリガ,kʲiɾʲiɡa
カツシカ,kat͡sɯɕika
ホクサイ,hokɯsai
カサミタダシ,kasamʲitadaɕi
ユウ,jɯː
キムイズル,kʲimɯizɯɾɯ
シン,ɕiŋ
オリカサ,oɾʲikasa
トミコ,tomʲiko
ハナザワ,hanazaɰa
クギミヤ,kɯɡʲimʲija
リエ,ɖʲie
カワセ,kaɰase
ミユキ,mʲijɯkʲi
ウエシバ,ɯeɕiba
モリタイラ,moɾʲitaiɾa
サスハラ,sasɯhaɾa
マツウラ,mat͡sɯːɾa
ヤナギタカシ,janaɡʲitakaɕi
リ,ɖʲi
ヨコヤマ,jokojama
アサヌマ,asanɯma
イネジロウ,ineʑiɾoɯ
キクチ,kʲikɯt͡ɕi
タケトキ,taketokʲi
フクダ,ɸɯkɯda
ヤスオ,jasɯo
セイホウ,seːhoɯ
サク,sakɯ
ハザマレイ,hazamaɾeː
ノト,noto
マミコ,mamʲiko
カワスミ,kaɰasɯmʲi
アヤコ,ajako
マツオ,mat͡sɯo
バショウ,baɕoɯ
キキョウ,kʲikʲoɯ
トヨトミ,tojotomʲi
ヒデヨシ,çidejoɕi
ヨシミタ,joɕimʲita
ユキコ,jɯkʲiko
ヒダカ,çidaka
リナ,ɖʲina
アキマサ,akʲimasa
ヌカタ,nɯkata
オウ,oɯ
ウチダ,ɯt͡ɕida
リョウヘイ,ɖʲoɯheː
リカタ,ɖʲikata
キヨシ,kʲijoɕi
コン,koɴ
ホウドウ,hoɯdoɯ
カンヨシ,kaãjoɕi
エラ,eɾa
コウショウ,koɯɕoɯ
マツテンノウ,mat͡sɯtennoɯ
ミヤザキ,mʲijazakʲi
エイシ,eːɕi
クリタ,kɯɾʲita
マユ,majɯ
カタヤマ,katajama
トラノスケ,toɾanosɯke
ハマザキ,hamazakʲi
アユミ,ajɯmʲi
シンジ,ɕind͡ʑi
ヨリユキサン,joɾʲijɯkʲisaɴ
ヒ,çi
カガミサト,kaɡamʲisato
キヨジ,kʲijoʑi
クラユウ,kɯɾajɯː
トウノ,toɯno
ケイゴ,keːɡo
ウラタ,ɯɾata
ワタセ,ɰatase
ユウタ,jɯːta
コヅカ,kozɯka
ヒロシブ,çiɾoɕibɯ
コウテル,koɯteɾɯ
イナダ,inada
マサズミ,masazɯmʲi
ニシヤマ,ɲiɕijama
エイタカシ,eːtakaɕi
ヨシザワ,joɕizaɰa
アキラフ,akʲiɾaɸɯ
オオウラ,oːɯɾa
アンナ,anna
サカマキ,sakamakʲi
アスカ,asɯka
アイ,ai
トモザキ,tomozakʲi
マエダ,maeda
サンチュウ,sant͡ɕɯː
シンワタル,ɕiĩɰataɾɯ
ヤスゲイ,jasɯɡeː
ノウミセツオ,noɯmʲiset͡sɯo
タネタ,taneta
リサ,ɖʲisa
クニオ,kɯɲio
キクジロウ,kʲikɯʑiɾoɯ
ヨネモト,jonemoto
タクジ,takɯʑi
シュンスケ,ɕɯɯ̃sɯke
テヅカ,tezɯka
オサム,osamɯ
ウチヤマ,ɯt͡ɕijama
タカシ,takaɕi
アンノ,anno
ヒデアキ,çideakʲi
イタミ,itamʲi
モリユウ,moɾʲijɯː
マサキ,masakʲi
コウ,koɯ
キセキ,kʲisekʲi
シバザキ,ɕibazakʲi
メグミジ,meɡɯmʲiʑi
ヒエタ,çieta
アレイ,aɾeː
ラン,ɖaɴ
マツサカ,mat͡sɯsaka
ダイスケ,daisɯke
シラカワ,ɕiɾakaɰa
ヒデオ,çideo
ススムワレ,sɯsɯmɯɰaɾe
ミナモトヨリユキ,mʲinamotojoɾʲijɯkʲi
セイ,seː
ブマコト,bɯmakoto
コマキ,komakʲi
オウミ,oɯmʲi
アソウ,asoɯ
マスダ,masɯda
クラフジ,kɯɾaɸɯʑi
ナカザワ,nakazaɰa
サトフトシ,satoɸɯtoɕi
ショウタイラ,ɕoɯtaiɾa
カンスグル,kaãsɯɡɯɾɯ
ユウダイロウ,jɯːdaiɾoɯ
ナツメ,nat͡sɯme
ボウノカイ,boɯnokai
ショウサクラ,ɕoɯsakɯɾa
イヌワラベ,inɯɰaɾabe
ヨリユキヤス,joɾʲijɯkʲijasɯ
アカイケ,akaike
チョウツトム,t͡ɕoɯt͡sɯtomɯ
オオヒサ,oːçisa
ホナガヤス,honaɡajasɯ
タカダ,takada
ケンタロウ,kentaɾoɯ
ムラサキアヤ,mɯɾasakʲiaja
ホンマ,homma
リョウコウ,ɖʲoɯkoɯ
トシオ,toɕio
ウキョウ,ɯkʲoɯ
ムラカミ,mɯɾakamʲi
ハルキ,haɾɯkʲi
イエヤス,iejasɯ
ミマサヒロ,mʲimasaçiɾo
コウゲン,koɯɡeŋ
ケイブ,keːbɯ
モリワキ,moɾʲiɰakʲi
